ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 11 ກຸມພາ, ຢູ່ຮ່າໂນ້ຍ, ກະຊວງປ້ອງກັນປະເທດ ໄດ້ຈັດຕັ້ງກອງປະຊຸມແລກປ່ຽນວຽກງານຕົ້ນລະດູບານໃໝ່ປີກຸນ 2019.	Sáng 11-2, tại Hà Nội, Bộ Quốc phòng tổ chức Hội nghị trao đổi công tác đầu Xuân 2019.
ທ່ານພົນເອກ ໂງຊວນລິກ, ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດ ໄດ້ເປັນປະທານກອງປະຊຸມ.	Đại tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng chủ trì cuộc họp.
ຕາງໜ້າໃຫ້ຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດ, ທ່ານພົນເອກ ໂງຊວນລິກ ຮັບຮູ້, ຍ້ອງຍໍຊົມເຊີຍໝາກຜົນ ເຊິ່ງທົ່ວກອງທັບບັນລຸໄດ້ກ່ອນ ແລະໃນໂອກາດບຸນປີໃໝ່ປະຈໍາຊາດປີກຸນ.	Thay mặt Quân ủy Trung ương, Bộ Quốc phòng, Thượng tướng Ngô Xuân Lỵ ghi nhận và biểu dương những thành tích của toàn quân trước và nhân dịp Tết Nguyên đán.
ທ່ານພົນເອກ ໂງຊວນລິກ ເນັ້ນໜັກວ່າ: ໃນໄລຍະຜ່ານມາ, ເປັນຕົ້ນແມ່ນໃນໂອກາດບຸນເຕັດ, ພະນັກງານ, ນັກຮົບທົ່ວກອງທັບໄດ້ສະແດງໃຫ້ເຫັນຄວາມສາມັກຄີ, ຄວາມຕັດສິນໃຈ, ເຊີດຊູສະຕິຄວາມຮັບຮູ້ລະວັງຕົວ, ກຽມພ້ອມສູ້ຮົບ, ບໍ່ປະໃຫ້ຕົກຢູ່ໃນທ່າຮັບໂດຍບັງເອີນໃນທຸກສະຖານະການ;	Thượng tướng Ngô Xuân Lik nhấn mạnh: Trong thời gian qua, nhất là dịp Tết, cán bộ, chiến sĩ trong toàn quân đã thể hiện tinh thần đoàn kết, ý chí quyết tâm, tự giác, sẵn sàng chiến đấu, không để sơ suất;
ຈັດຕັ້ງໃຫ້ທະຫານຕ້ອນຮັບລະດູບານໃໝ່, ບຸນເຕັດຢ່າງອົບອຸ່ນ ແລະຄົບຖ້ວນ.	Sắp xếp để bộ đội đón xuân, đón Tết đầm ấm, trọn vẹn.
ນີ້ແມ່ນປະຖົມປັດໃຈສໍາຄັນເພື່ອໃຫ້ທົ່ວກອງທັບ ຮັບ ແລະປະຕິບັດທຸກໜ້າທີ່ໃນປີໃໝ່ 2019 ເປັນຢ່າງດີ.	Đây là yếu tố quan trọng để toàn quân nhận và thực hiện tốt mọi nhiệm vụ năm 2019.
ທ່ານພົນເອກ ໂງຊວນລິກ ກ່າວຄໍາເຫັນສະຫຼຸບກອງປະຊຸມ.	Đại tướng Ngô Xuân Lik kết luận buổi làm việc.
ພາບ: ຕ໊ຽນດາດ.	Ảnh: Tiến Đạt
ພາຍຫຼັງຕ້ອນຮັບບຸນເຕັດ, ທ່ານພົນເອກ ໂງຊວນລິກ ຮຽກຮ້ອງໃຫ້ບັນດາອົງການ, ກົມກອງຕ້ອງເລີ່ມລົງມືປະຕິບັດໜ້າທີ່ຕາມແຜນການທີ່ໄດ້ວາງອອກໃນທັນທີ;	Sau khi chào mừng lễ hội, Thượng tướng Ngô Xuân Lik kêu gọi các tổ chức, bộ phận bắt tay ngay vào thực hiện nhiệm vụ theo kế hoạch;
ເປັນເຈົ້າການກໍາແໜ້ນສະພາບການໃນທຸກດ້ານ, ໂດຍສະເພາະແມ່ນໃນບັນດາບໍລິເວນຈຸດສຸມ;	Làm chủ tình hình mọi mặt, nhất là các lĩnh vực trọng tâm;
ແກ້ໄຂຢ່າງທັນການ, ມີປະສິດທິຜົນ.	Giải quyết kịp thời, hiệu quả.
