ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 25 ກຸມພາ, ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ພ້ອມດ້ວຍຄະນະຜູ້ແທນຂັ້ນສູງຫວຽດນາມ ໄດ້ໄປຮອດນະຄອນຫຼວງ ພະນົມເປັນ, ເລີ່ມຕົ້ນການຢ້ຽມຢາມທາງລັດຖະກິດກໍາປູເຈຍ ຕາມຄໍາເຊີນຂອງພະບາດສົມເດັດພະບໍລົມມະນຽດ Norodom Sihamoni.	Miễn phí - Tổng thư ký Nguyễn Phú Trọng, Nguyễn Phú Thuộc, Đảng Cộng sản Việt Nam
ເວລາ 16 ໂມງ 15 ນາທີ, ຢູ່ພະລາຊະວັງ, ພະບາດສົມເດັດພະບໍລົມມະນຽດ Norodom Sihamoni ໄດ້ເປັນປະທານພິທີຕ້ອນຮັບທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ.	26 phút 26, tại Cung điện, Tổng thống Norodom Sihamoni, Bí thư Tổng thư ký Tổng thư ký Nguyễn Phú Trọng, Việt Nam.
ຫຼັງຈາກນັ້ນ, ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ແລະພະບາດສົມເດັດພະບໍລົມມະນຽດ Norodom Sihamoni ໄດ້ດໍາເນີນການພົບປະເຈລະຈາ.	Sau đó, Tổng thư ký, Tổng thống, Tổng thống, Tổng thống Norodom Sihamoni đã thực hiện để gặp gỡ các cuộc đàm phán.
ພະບາດສົມເດັດພະບໍລົມມະນຽດ Norodom Sihamoni ແລະທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ.	Gánh nặng, Norodom Sihamoni và Tổng Bí thư Nguyễn Phú Trọng, Tổng thống Tổng thống.
ພາບ: ຫງວຽນເຕີ໊ນຕວນ.	Ảnh: Nguyễn Tenuan.
ທີ່ການພົບປະເຈລະຈາ, ການນໍາສອງທ່ານ ຖືວ່າໝາກຜົນຂອງສາຍພົວພັນມິດຕະພາບ, ການຮ່ວມມືຮອບດ້ານລະຫວ່າງສອງປະເທດໃນໄລຍະຜ່ານມາ ແມ່ນເລີ່ມມາຈາກສາຍພົວພັນຖານບ້ານໃກ້ເຮືອນຄຽງອັນສະໜິດຕິດພັນທີ່ມີມາແຕ່ດົນນານ ແລະໄດ້ກາຍເປັນສັນຍາລັກທີ່ສັກກາລະບູຊາ, ເປັນຊັບສົມບັດອັນລໍ້າຄ່າຂອງທັງສອງປະເທດ, ເປັນພື້ນຖານທີ່ໜັກແໜ້ນ ແລະເປັນກໍາລັງໜູນຢ່າງແຮງໃນການນໍາສາຍພົວພັນສອງປະເທດກ້າວເຂົ້າສູ່ໄລຍະພັດທະນາໃໝ່;	Đáp ứng, hai lãnh đạo, Co-op năm lần và rất nhiều thư từ, hai quốc gia, hai quận, dẫn đến hai quốc gia, hai quận
ຢັ້ງຢືນເລື່ອງປົກປ້ອງ, ຮັກສາ ແລະພັດທະນາສາຍພົວພັນນີ້ ແມ່ນຄວາມຮັບຜິດຊອບລວມຂອງສອງລັດ ແລະປະຊາຊົນສອງປະເທດ.	Xác nhận bảo vệ, điều trị và phát triển mối quan hệ này là tổng trách nhiệm của hai quốc gia và hai quốc gia.
ການນໍາສອງທ່ານຢັ້ງຢືນວ່າ ຈະເຮັດຈົນສຸດຄວາມສາມາດຂອງຕົນເພື່ອເພີ່ມພູນຄູນສ້າງ, ເສີມຂະຫຍາຍຢ່າງບໍ່ຢຸດຢັ້ງ ແລະສືບທອດນໍ້າໃຈສາມັກຄີມິດຕະພາບທີ່ເປັນມູນເຊື້ອ ແລະການຮ່ວມມືຮອບດ້ານ ຫວຽດນາມ-ກໍາປູເຈຍ ໃຫ້ຄົນຮຸ່່ນຫຼັງ, ເພື່ອໃຫ້ສາຍພົວພັນນີ້ຂຽວສົດງົດງາມ, ໝັ້ນຄົງຂະໜົງແກ່ນໄປຊົ່ວກາລະນານ.	Hai người dẫn đến việc thực hiện mối quan hệ của chúng tôi, và không có, và sự tăng cường liên tiếp của Việt Nam và Campuchia.
ທ່ານເລຂາທິການໃຫຍ່, ປະທານປະເທດ ຫງວຽນຝູຈ້ອງ ແລະພະບາດສົມເດັດພະບໍລົມມະນຽດ Norodom Sihamoni.	Tổng thư ký, Tổng thống Nguyễn Phú Trọng và Robertyan Sihamoni.
ພາບ: ສຳນັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ເນື່ອງໃນໂອກາດນີ້, ທ່ານ ຫງວຽນຝູຈ້ອງ ໄດ້ມອບເຄື່ອງຄອມພິວເຕີ 100 ຊຸດ ໃຫ້ພະບາດສົມເດັດພະບໍລົມມະນຽດ ເພື່ອໃຫ້ພະບາດສົມເດັດພະບໍລົມມະນຽດ ມອບໃຫ້ບັນດາຮາກຖານການສຶກສາຂອງກໍາປູເຈຍ.	Nhân dịp này, Nguyễn Tieng đã trao 100 chỗ cho quân Richeanan đến Campuchia.
ໂດຍ: ກວຽດເຕິີມ.	Bởi: Mathenuel DataRital.
