ກປ.ອອນໄລ - ເນື່ອງໃນໂອກາດທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ສິ້ນສຸດການຢ້ຽມຢາມສັນຖະວະໄມຕີ ສປປ ລາວ ຢ່າງເປັນທາງການ ແລະຢ້ຽມຢາມທາງລັດຖະກິດລາຊະອານາຈັກກໍາປູເຈຍ ປະສົບຜົນສຳເລັດຢ່າງຈົບງາມ, ທ່ານ ຮວ່າງບິ່ງກວນ, ກໍາມະການສູນກາງພັກ, ຫົວໜ້າຄະນະພົວພັນຕ່າງປະເທດສູນກາງພັກ ໄດ້ຕອບສໍາພາດຕໍ່ສື່ມ່ວນຊົນກ່ຽວກັບບັນດາໝາກຜົນພົ້ນເດັ່ນຂອງການຢ້ຽມຢາມ.	Thuy Phú Trọng Tổng Tổng thư ký, Tổng thống Vương quốc Bambian, đứng đầu đại diện vacco, PDR Lào)
ເນື້ອໃນຕອບສໍາພາດດັ່ງລຸ່ມນີ້.	Nội dung của phản ứng sau.
ນັກຂ່າວ: ການຢ້ຽມຢາມ ສປປ ລາວ ແລະກໍາປູເຈຍ ຂອງທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ຫາກໍ່ສິ້ນສຸດລົງຢ່າງຈົບງາມ, ຂໍໃຫ້ທ່ານແບ່ງປັນຢ່າງເລິກເຊິ່ງກວ່າກ່ຽວກັບຄວາມໝາຍຂອງການຢ້ຽມຢາມຄັ້ງນີ້?	Nhà báo: Tham quan Tổng thư ký Lào Nguyễn Phú Trọng, được chứng nhận về ý nghĩa của chuyến thăm này?
ທ່ານ ຮວ່າງບິ່ງກວນ: ນີ້ແມ່ນການຢ້ຽມຢາມຕ່າງປະເທດຄັ້ງທໍາອິດໃນຖານະເປັນເລຂາທິການໃຫຍ່, ປະທານປະເທດຂອງທ່ານ ຫງວຽນຝູຈ້ອງ ແລະການເລືອກ ສປປ ລາວ ແລະລາຊະອານາຈັກກໍາປູເຈຍ ເປັນບັນດາປະເທດທໍາອິດຂອງການຢ້ຽມຢາມຕ່າງປະເທດ ນັ້ນກໍແມ່ນການຢັ້ງຢືນເຖິງນະໂຍບາຍສະເໝີຕົ້ນສະເໝີປາຍ ແລະຖືເປັນສໍາຄັນຂອງພັກ, ລັດ ແລະປະຊາຊົນຫວຽດນາມ ໃນການພົວພັນກັບ ລາວ ແລະກໍາປູເຈຍ, ເຊິ່ງເປັນສອງປະເທດບ້ານໃກ້ເຮືອນຄຽງ, ມີການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອ, ສະໜິດຕິດພັນມາແຕ່ດົນນານ ແລະມີຄວາມສໍາຄັນພິເສດດ້ານຍຸດທະສາດສໍາລັບຫວຽດນາມ.	Hoàng Bình Quân, đã đến thăm quốc gia lần đầu tiên với tư cách là Bí thư và Chủ tịch Bí thư Nguyễn Phú Trọng và chọn PDR và Vương quốc Campuchia là chuyến thăm đầu tiên ở nước ngoài, chính sách xác nhận liên tục đứng đầu tầm quan trọng của Đảng, Nhà nước và Mối quan hệ của người dân Với Lào và Campuchia, một nước láng giềng, có quan hệ giữa truyền thống, liên kết chặt chẽ với chiến lược đặc biệt lâu dài và quan trọng đối với Việt Nam.
ການຢ້ຽມຢາມໄດ້ດໍາເນີນໃນປີບານພັບທີ່ຫວຽດນາມ ແລະລາວ ຜັນຂະຫຍາຍການປະຕິບັດມະຕິກອງປະຊຸມໃຫຍ່ຂອງແຕ່ລະພັກ ແລະສອງພັກກໍາລັງກະກຽມກອງປະຊຸມໃຫຍ່ອົງຄະນະພັກຂັ້ນຕ່າງໆມຸ່ງໄປເຖິງກອງປະຊຸມໃຫຍ່ທົ່ວປະເທດຂອງແຕ່ລະພັກ, ແລະກໍາປູເຈຍ ກ້າວເຂົ້າສູ່ໄລຍະພັດທະນາໃໝ່ດ້ວຍເລື່ອງສະພາແຫ່ງຊາດ ແລະລັດຖະບານຊຸດໃໝ່ຫາກໍ່ໄດ້ຮັບການສ້າງຕັ້ງຂຶ້ນ, ທັງກົງກັບໂອກາດ ຫວຽດນາມ - ກໍາປູເຈຍ ຫາກໍ່ຈັດຕັ້ງບັນດາການເຄື່ອນໄຫວສະເຫຼີມສະຫຼອງແຫ່ງວັນໄຊຊະນະລະບອບດັບສູນເຊື້ອຊາດ Pol Pot - Ieng Sary ຄົບຮອບ 40 ປີ.	Du khách được thực hiện tại Việt Nam và Đảng thứ hai tư vấn kỷ niệm Pol Po Po
ສະນັ້ນ, ການຢ້ຽມຢາມຄັ້ງນີ້ມີຄວາມໝາຍສຸດທີ່ສໍາຄັນ ແລະແທດຈິງໃນການຮັດແໜ້ນສາຍພົວພັນມິດຕະພາບອັນຍິ່ງໃຫຍ່, ຄວາມສາມັກຄີແບບພິເສດ ແລະການຮ່ວມມືຮອບດ້ານຫວຽດນາມ - ລາວ, ແລະການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອ ແລະການຮ່ວມມືຮອບດ້ານ ຫວຽດນາມ-ກໍາປູເຈຍ, ສ້າງກໍາລັງໜູນຢ່າງແຮງເພື່ອຊຸກຍູ້ບັນດາຂົງເຂດຮ່ວມມືກັບສອງປະເທດອ້າຍນ້ອງຢ່າງຮອບດ້ານ.	Do đó, chuyến thăm này thực sự có ý nghĩa, và sự thống nhất của Việt Nam, và hợp tác thông thường với hai dốc.
ນັກຂ່າວ: ດ້ວຍຄວາມໝາຍອັນໃຫຍ່ຫຼວງນັ້ນ, ຂໍທ່ານໃຫ້ຮູ້ບັນດາຜົນງານພົ້ນເດັ່ນທີ່ບັນລຸໄດ້ໃນການຢ້ຽມຢາມຄັ້ງນີ້?	Nhà báo: Với ý nghĩa lớn đó, bạn biết hiệu suất vượt trội đạt được trong chuyến thăm này?
ທ່ານ ຮວ່າງບິ່ງກວນ: ການຢ້ຽມຢາມສອງປະເທດຂອງທ່ານ ຫງວຽນຝູຈ້ອງ ປະສົບຜົນສໍາເລັດຢ່າງຈົບງາມ, ບັນລຸໄດ້ຜົນງານສໍາຄັນຫຼາຍຢ່າງ.	Người thứ hai thứ nhất Nguyễn Minh Vann: Chuyến thăm thứ hai đến Nguyễn Phú Trọng đã thành công thành công, đạt được một công việc rất quan trọng.
ລາວ ແລະກໍາປູເຈຍ ຕ້ອນຮັບທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ພ້ອມດ້ວຍຄະນະຢ່າງສົມກຽດ, ອົບອຸ່ນ, ເຕັມໄປດ້ວຍຖານສະຫາຍອ້າຍນ້ອງດ້ວຍບັນດາພິທີຕ້ອນຮັບລະດັບສູງສຸດ.	Lào chào đón Tổng thư ký Nguyễn Phú Trọng, Tổng thống của Tổng thống, ấm áp, ấm áp, đầy anh em.
ຍິ່ງກວ່ານັ້ນ, ເຖິງວ່າການຢ້ຽມຢາມໄດ້ດໍາເນີນໃນໄລຍະບໍ່ຍາວກໍ່ຕາມ ແຕ່ລາຍການຢ້ຽມຢາມ ແລະເຮັດວຽກຢູ່ສອງປະເທດພັດສຸດທີ່ອຸດົມສົມບູນ, ແທດຈິງ ແລະມີປະສິດທິຜົນ.	Hơn thế nữa, ngay cả chuyến thăm không dài nhưng danh sách các chuyến thăm và hoạt động trong hai thực tế và hiệu quả.
ບັນດາການເຈລະຈາ, ພົບປະຂອງທ່ານ ຫງວຽນຝູຈ້ອງ ກັບບັນດາການນໍາຂັ້ນສູງຂອງລາວ ແລະກໍາປູເຈຍ ໄດ້ດໍາເນີນໃນບັນຍາກາດໄມຕີຈິດມິດຕະພາບ, ເປີດອົກເປີດໃຈ, ຈິງໃຈ, ກົງໄປກົງມາ, ມີຄວາມໄວ້ເນື້ອເຊື່ອໃຈເຊິ່ງກັນແລະກັນ;	Nguyễn Phú Trọng nói chuyện với Nguyễn Thiện Đan Mạch và Campuchia đã tiến hành một cách thân thiện, chân thành, chân thành, với sự tin tưởng lẫn nhau;
ເນື້ອໃນແລກປ່ຽນເລິກເຊິ່ງກວ້າງຂວາງ, ທັງມີລະດັບຍຸດທະສາດ, ທັງເລິກເຊິ່ງ, ລະອຽດ:	Nội dung trao đổi sâu, cả cấp độ chiến lược, với một khoản tiền phạt:
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ແລະທ່ານ ບຸນຍັງ ວໍລະຈິດ ເລຂາທິການໃຫຍ່, ປະທານປະເທດລາວ.	Tổng thư ký Nguyễn Phú Trọng, Tổng thống, Chủ tịch, Việt Nam, Chủ tịch Bí thư Việt Nam, Tổng thống.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
