ກປ.ອອນໄລ - ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 64 ປີແຫ່ງວັນແພດໝໍຫວຽດນາມ, ຕອນເຊົ້າວັນທີ 27 ກຸມພາ, ກະຊວງສາທາລະນະສຸກຫວຽດນາມ ໄດ້ຈັດຕັ້ງພິທີປຸກລະດົມລາຍການສຸຂະພາບຫວຽດນາມ.	(VOVworld) - Sáng 27/2, Bộ Y tế Việt Nam tổ chức Lễ quảng bá chương trình sức khỏe Việt Nam.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ເຂົ້າຮ່ວມ ແລະປຸກລະດົມລາຍການ.	Thủ tướng Chính phủ Nguyễn Xuân Phúc đã đến dự và phát động chương trình.
ລາຍການໄດ້ເຊື່ອມຕໍ່ຖ່າຍທອດທາງເຄືອຂ່າຍອິນເຕີແນັດຢູ່ 63 ແຂວງ, ນະຄອນ ແລະກວ່າ 700 ແຫ່ງຢູ່ບັນດາເມືອງ, ເທດສະບານແຂວງໃນທົ່ວປະເທດ.	Chương trình được phát trên mạng Internet tại 63 tỉnh, thành phố và hơn 700 quận, huyện, thành phố trực thuộc Trung ương trên cả nước.
ທ່ານ ຫງວຽນຊວນຟຸກ ແລະບັນດາຜູ້ແທນທີ່ພິທີປຸກລະດົມ.	Đồng chí Nguyễn Xuân Phúc và các đại biểu tại lễ động viên.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ກ່າວຄໍາເຫັນທີ່ພິທີປຸກລະດົມ, ທ່ານ ຫງວຽນຊວນຟຸກ ຮຽກຮ້ອງການປຸກລະດົມ, ເສີມຂະຫຍາຍປະສິດທິຜົນບົດບາດ, ຄວາມຮັບຜິດຊອບຂອງອໍານາດການປົກຄອງທຸກຂັ້ນ, ທຸກກະຊວງ, ຂະແໜງການ, ທ້ອງຖິ່ນ ແລະບັນດາອົງການຈັດຕັ້ງພ້ອມກັນກໍ່ສ້າງສະພາບແວດລ້ອມ, ເງື່ອນໄຂສະດວກ, ປຸກລະດົມການເຂົ້າຮ່ວມຂອງປະຊາຊົນ, ປະຊາຄົມ ແລະທົ່ວສັງຄົມ, ປະຕິບັດວຽກງານຄຸ້ມຄອງເປັນຢ່າງດີ, ເບິ່ງແຍງດູແລຮອບດ້ານເພື່ອຍົກສູງສຸຂະພາບ, ຮູບຮ່າງ, ອາຍຸຍືນ ແລະຄຸນນະພາບການດໍາລົງຊີວິດຂອງຊາວຫວຽດນາມ.	Phát biểu tại buổi lễ, ông Nguyễn Xuân Phúc kêu gọi động viên, tăng cường vai trò, trách nhiệm của các cấp chính quyền, các bộ, ban, ngành, địa phương và các tổ chức nhằm xây dựng môi trường, điều kiện thuận lợi, sự tham gia của cộng đồng, sức khỏe cộng đồng và phúc lợi xã hội, sức khỏe cộng đồng .
ທ່ານ ຫງວຽນຊວນຟຸກ ຮຽກຮ້ອງປະຊາຊົນອອກກໍາລັງກາຍເປັນປະຈໍາ.	Nguyễn Xuân Phúc kêu gọi mọi người tập thể dục thường xuyên
ພາບ: ເວືອງຖຸຍ.	Ảnh: Vương Thủy
ພາຍຫຼັງພິທີປຸກລະດົມ, ບັນດາກິດຈະກໍາຂອງລາຍການສຸຂະພາບຫວຽດນາມ ໄດ້ດໍາເນີນຢູ່ທຸກແຫ່ງຖ່າຍທອດ ຄື: ແທກຄວາມດັນເລືອດ, ໃຫ້ຄໍາປຶກສາດ້ານສຸຂະພາບເພື່ອໂຄສະນາ, ຂົນຂວາຍປະຊາຊົນໄປກວດສຸຂະພາບຢ່າງເປັນປະຈໍາ...	Sau lễ phát động, các hoạt động của Chương trình Sức khỏe Việt Nam được diễn ra khắp nơi như đo huyết áp, tư vấn sức khỏe để công khai, kêu gọi người dân đi khám sức khỏe định kỳ ...
ຈັດຕັ້ງລາຍການອອກກຳລັງກາຍ, ຫຼິ້ນກິລາກາຍຍະກຳ, ຖີບລົດຖີບ, ໄປຍ່າງເປັນຂະບວນເພື່ອໂຄສະນາຕອບສະໜອງຂະບວນການທົ່ວປວງຊົນເພີ່ມທະວີການອອກກໍາລັງກາຍຍົກສູງສຸຂະພາບ.	Tổ chức các chương trình tập thể dục, chơi thể dục nhịp điệu, đi xe đạp, đi dạo để công khai quá trình tập luyện tăng cường sức khỏe.
ໂດຍ: ບົວພອນ.	Bởi: Buaphone.
