ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 12 ມີນາ, ທີ່ສໍານັກງານນາຍົກລັດຖະມົນຕີຫວຽດນາມ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ U Kyaw Tin ລັດຖະມົນຕີກະຊວງການຮ່ວມມືສາກົນມຽນມາ ເນື່ອງໃນໂອກາດມາ ຫວຽດນາມ ເປັນປະທານຮ່ວມກອງປະຊຸມຄະນະກໍາມະການປະສົມກ່ຽວກັບການຮ່ວມມືສອງຝ່າຍຫວຽດນາມ-ມຽນມາ ຄັ້ງທີ 9.	DPA - Shean 12th, tại Thủ tướng Nhà thờ Nguyễn Thị Ju, về số lượng Việt Nam
ທ່ານ ຫງວຽນຊວນຟຸກ ມີຄວາມເຊື່ອໝັ້ນວ່າ, ຜົນສໍາເລັດຂອງກອງປະຊຸມຈະປະກອບສ່ວນສໍາຄັນເຂົ້າໃນການນໍາສາຍພົວພັນຄູ່ຮ່ວມມືຮ່ວມມືຮອບດ້ານ ຫວຽດນາມ-ມຽນມາ ໄດ້ຮັບການພັດທະນາທີ່ມີເນື້ອແທ້ ແລະມີປະສິດທິຜົນກວ່າອີກ.	Thủ tướng Nguyễn Phú đã bị co giật, thành công của Myanmar sẽ được đóng góp cho thực tế và hiệu quả hơn.
ທ່ານນາຍົກລັດຖະມົນຕີ ຢືນຢັນວ່າ, ຍາມໃດ ຫວຽດນາມ ກໍສະໜັບສະໜູນຄວາມມານະພະຍາຍາມຂອງ ມຽນມາ ໃນການຊຸກຍູ້ວິວັດການສັນຕິພາບ ແລະປອງດອງຊາດ.	Thủ tướng Việt Nam hỗ trợ những nỗ lực của Miến Điện để thúc đẩy hòa bình và hòa giải.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຕ້ອນຮັບທ່ານ U Kyaw Tin ລັດຖະມົນຕີກະຊວງການຮ່ວມມືສາກົນມຽນມາ.	Thủ tướng Nguyễn Xuân Nguyễn Xuân Nguyễn Nguyễn Xuân Xuân Nguyễn Mayo Nhận Bộ trưởng Bộ Hợp tác Quốc tế Miến Điện
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ທ່ານ U Kyaw Tin ເວົ້າວ່າ, ສາຍພົວພັນມຽນມາ-ຫວຽດນາມ ພວມພັດທະນາອັນດີງາມທີ່ສູດ ແລະປິຕິຊົມຊື່ນແຈ້ງໃຫ້ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັັດຖະມົນຕີ ຮັບຊາບກ່ຽວກັບໝາກຜົນອັນດີງາມຂອງກອງປະຊຸມ.	U KYAW TIN nói, Việt Nam quan hệ để phát triển công thức Nguyễn Xu Xukhamuane thành quả tốt của cuộc họp.
ທ່ານ U Kyaw Tin ຕີລາຄາວ່າ, ນັບແຕ່ເມື່ອສ້າງຕັ້ງສາຍພົວພັນທາງການທູດໃນປີ 1975, ສາຍພົວພັນລະຫວ່າງສອງປະເທດໄດ້ຮັບການເພີ່ມທະວີຢ່າງບໍ່ຢຸດຢັ້ງຜ່ານບັນດາການຢ້ຽມຢາມຂັ້ນສູງຂອງການນໍາສອງຝ່າຍ.	Thỉnh thoảng U Kyaw TIN, kể từ khi thành lập quan hệ ngoại giao vào năm 1975, mối quan hệ giữa hai phiên lãnh đạo thứ cấp.
ພ້ອມກັນນັ້ນ, ສາຍພົວພັນດ້ານເສດຖະກິດ, ການຄ້າ, ການລົງທຶນສອງປະເທດກໍໄດ້ຮັບການພັດທະນາຢ່າງແຮງ.	Đồng thời, kinh tế, đầu tư thương mại, đầu tư cũng được phát triển.
ທ່ານ ຫງວຽນຊວນຟຸກ ຢືນຢັນວ່າ, ຫວຽດນາມ ຈະສືບຕໍ່ສະໜັບສະໜູນ ມຽນມາ ຢູ່ບັນດາເວທີປາໄສຫຼາຍຝ່າຍ, ພ້ອມກັນປາດຖະໜາຢາກສອງປະເທດຈະສືບຕໍ່ສົມທົບກັນຢ່າງແໜ້ນແຟ້ນ, ເປັນຕົ້ນແມ່ນໃນປີທີ່ ຫວຽດນາມ ເປັນປະທານອາຊຽນ 2020 ແລະກໍາມະການບໍ່ປະຈໍາການສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດອາຍຸການ 2020-2021.	Việt Nam tiếp tục hỗ trợ Miến Điện, cùng nhau, hai năm theo luật, Liên Hợp Quốc và Thư ký Liên Hợp Quốc)
ທ່ານ ຫງວຽນຊວນຟຸກ ປາດຖະໜາຢາກທ່ານ U Kyaw Tin ສືບຕໍ່ມີການປະກອບສ່ວນຫຼາຍຢ່າງໃນການພັດທະນາສາຍພົວພັນລະຫວ່າງສອງປະເທດເວົ້າສະເພາະ ແລະສາຍພົວພັນລະຫວ່າງບັນດາປະເທດອາຊຽນ ເວົ້າລວມ.	Ông Kyaw Tini muốn bạn tiếp tục phát triển giữa hai nước nói chuyện.
ກ່ອນໜ້ານັ້ນ, ໃນວັນດຽວກັນ, ທີ່ຮ່າໂນ້ຍ, ທ່ານ ຟ້າມບິ່ງມີງ ຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ ແລະທ່ານ U Kyaw Tin ລັດຖະມົນຕີໄດ້ເປັນປະທານຮ່ວມກອງປະຊຸມຄະນະກໍາມະການປະສົມກ່ຽວກັບການຮ່ວມມືສອງຝ່າຍຫວຽດນາມ-ມຽນມາ ຄັ້ງທີ 9.	Trước đó, cùng ngày, Bộ trưởng Hà Nội, Hà Nội, Thủ tướng Kyaw Thủ tướng Nguyễn Tấn Nguyên Tân
