ກປ.ອອນໄລ - ວັນທີ 12 ມີນາ, ທີ່ຮ່າໂນ້ຍ, ທ່ານ ບຸ່ຍແທງເຊີນ ຮອງລັດຖະມົນຕີຜູ້ປະຈໍາການກະຊວງການຕ່າງປະເທດຫວຽດນາມ ແລະທ່ານ Ramiz Hasanov ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ Azerbaijan ໄດ້ດໍາເນີນການທາບທາມຄຳເຫັນດ້ານການເມືອງ ເພື່ອແລກປ່ຽນກ່ຽວກັບສະພາບການພົວພັນສອງຝ່າຍ, ກໍຄືບາງບັນຫາສາກົນ ແລະພາກພື້ນທີ່ຕ່າງຝ່າຍຕ່າງມີຄວາມສົນໃຈ.	Sở Chính trị, tại Hà Nội, Bộ trưởng Bộ Ngoại giao Azerzaijan Phó Thủ tục Ngoại trưởng
ທ່ານ ບຸ່ຍແທງເຊີນ ຮອງລັດຖະມົນຕີຜູ້ປະຈໍາການກະຊວງການຕ່າງປະເທດຫວຽດນາມ ກ່າວຄໍາເຫັນທີ່ການທາບທາມຄຳເຫັນດ້ານການເມືືອງ.	Phó Bộ trưởng Ngoại giao Nguyễn Tấn Dangergandotories, Bộ Ngoại giao Việt Nam
ພາບ: PV.	Ảnh: PV.
ຮອງລັດຖະມົນຕີສອງທ່ານ ໄດ້ສະແດງຄວາມເພີ່ງພໍໃຈຕໍ່ການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອ ຫວຽດນາມ-Azerbaijan ໄດ້ຮັບການພັດທະນາຢ່າງຕັ້ງໜ້າໃນຊຸມປີມໍ່ໆມານີ້, ຢັ້ງຢືນຄວາມປາດຖະໜາຢາກຊຸກຍູ້ການຮ່ວມມືຫຼາຍດ້ານລະຫວ່າງສອງປະເທດກວ່າອີກ.	Thứ trưởng thứ hai của Phó Phó Phó Đức Phó Tình bạn là chủ động trong những năm gần đây, khẳng định rất nhiều sự hợp tác giữa hai nước.
ສອງທ່ານ ໄດ້ຕີລາຄາສູງການຮ່ວມມືຢ່າງແໜ້ນແຟ້ນ ແລະມີປະສິດທິຜົນລະຫວ່າງກະຊວງການຕ່າງປະເທດຫວຽດນາມ ແລະກະຊວງການຕ່າງປະເທດ Azerbaijan ໃນໄລຍະຜ່ານມາ, ປະກອບສ່ວນສໍາຄັນເຂົ້າໃນການເພີ່ມທະວີການພົວພັນສອງຝ່າຍ.	Thứ hai, bạn đã đánh giá cao bởi Bộ Azeria nước ngoài của Azerbai, góp phần vào việc tăng hai bên.
ບັນດາຜູ້ແທນສອງປະເທດຫວຽດນາມ ແລະAzerbaijan ເປັນປະທານການທາບທາມຄຳເຫັນດ້ານການເມືອງ.	Sư đoàn Việt Nam và Azerbaijan là bình luận tổng thống.
ພາບ: PV.	Ảnh: PV.
ສອງຝ່າຍເຫັນດີເປັນເອກະພາບຮັກສາການແລກປ່ຽນຄະນະ ແລະການພົບປະທຸກຂັ້ນ, ພິເສດແມ່ນບັນດາການຢ້ຽມຢາມຂັ້ນສູງຢ່າງເປັນປະຈໍາ;	Hai bên đồng ý là đồng phục trao đổi và phiên, chuyên về thường xuyên đến thăm;
ສືບຕໍ່ປັບປຸງຂອບນິຕິກໍາໃຫ້ແກ່ການຮ່ວມມືສອງຝ່າຍ, ພິເສດແມ່ນໃນບັນດາຂົງເຂດສົ່ງເສີມ ແລະປົກປ້ອງການລົງທຶນ, ກະສິກໍາ, ການສຶກສາ-ກໍ່ສ້າງ;	Tiếp tục cải thiện đồng hồ án pháp lý, đặc biệt là trong lĩnh vực thúc đẩy và đầu tư, nông nghiệp, giáo dục;
ເປີດກວ້າງການຮ່ວມມືໃນບັນດາຂົງເຂດທີ່ມີແງ່ຫວັງ ຄື: ນ້ຳມັນອາຍແກັດ, ວັດທະນະທໍາ, ກິລາ ແລະການທ່ອງທ່ຽວ...	Hợp tác mở trong khu vực triển vọng: Gas, Văn hóa, Thể thao và Tour ...
ສອງຝ່າຍເຫັນດີເປັນເອກະສັນສົມທົບກັນຢ່າງແໜ້ນແຟ້ນທີ່ບັນດາເວທີປາໄສສາກົນ ແລະພາກພື້ນ, ພິເສດແມ່ນສະຫະປະຊາຊາດ ເພື່ອປະກອບສ່ວນເຂົ້າໃນການຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບ ແລະເຄົາລົບກົດໝາຍສາກົນ.	Hai bên đồng ý thuận tiện trong các diễn đàn quốc tế và khu vực, đặc biệt, ổn định và tôn trọng quốc tế.
ໂດຍ: ເກື່ອງດັ້ງ.	Bởi: Trương.
