ກປ.ອອນໄລ - ໃນລະຫວ່າງວັນທີ 18 ແລະ 19 ມີນາ, ກອງປະຊຸມປຶກສາຫາລືດ້ານການເມືອງຄັ້ງທີ 11 ລະຫວ່າງກະຊວງການຕ່າງປະເທດຫວຽດນາມ ແລະກະຊວງການຕ່າງປະເທດນິວຊີແລນ ແລະການເຈລະຈາປະຈຳປີ ອາຊຽນ - ນິວຊີແລນ ຄັ້ງທີ 26 ໄດ້ດຳເນີນຢູ່ນະຄອນຫຼວງ Wellington, ປະເທດນິວຊີແລນ.	Januala 26, New Zealand, New Zealand, thuế ASEAN lần thứ 11, New Zealand
ຄະນະຜູ້ແທນຫວຽດນາມ ໂດຍທ່ານ ຫງວຽນກ໊ວກຢຸງ ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ ນຳໜ້າ.	Đoàn tiếng Việt của Bộ trưởng Bộ Ngoại giao Việt Nam của Nguyễn Tấn Dũng dẫn đầu.
ທີ່ກອງປະຊຸມປຶກສາຫາລືດ້ານການເມືອງ, ຄະນະຜູ້ແທນສອງປະເທດໄດ້ສຳຫຼວດກວດກາຄືນການພົວພັນສອງປະເທດນັບແຕ່ການເຈລະຈາ ຄັ້ງທີ 10 ປີ 2015 ຈົນຮອດປະຈຸບັນ, ຮັບຮູ້ບັນດາຄວາມຄືບໜ້າຢ່າງແຮງໃນການຮ່ວມມືໃນບັນດາຂົງເຂດຕ່າງໆລະຫວ່າງສອງປະເທດ, ພິເສດແມ່ນດ້ານເສດຖະກິດ, ການຄ້າ, ການລົງທຶນ, ການປ້ອງກັນຊາດ-ປ້ອງກັນຄວາມສະຫງົບ, ການສຶກສາ-ບຳລຸງສ້າງ...	Hai cuộc họp tham vấn chính trị, hai nước, ở hai nước, giáo dục - Đào tạo ...
ສອງຝ່າຍເຫັນດີເປັນເອກະສັນເພີ່ມທະວີການຮ່ວມມື, ຍົກສູງກຳລັງຄວາມສາມາດຮັບມືກັບບັນດາບັນຫາຄວາມໝັ້ນຄົງບໍ່ແມ່ນການທະຫານ (ຄວາມໝັ້ນຄົງທາງເຄືອຂ່າຍອິນເຕີແນັດ, ຕ້ານການກໍ່ການຮ້າຍ, ຕ້ານການຄ້າມະນຸດ...	Hai bên đồng ý tăng cường hợp tác, nhanh chóng, các vấn đề chống quân sự, chống buôn bán, chống buôn bán
) ໃຫ້ຫຼາຍກວ່າອີກ.	) Cung cấp thêm.
ທ່ານ ຫງວຽນກ໊ວກຢຸງ ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ.	Thủ tướng Nguyễn Tấn Dương Phó trưởng Bộ Ngoại giao.
ພາບ: vov.vn.	Ảnh: Vov.vn.
ສອງຝ່າຍໄດ້ແລກປ່ຽນຢ່າງເລິກເຊິ່ງກວ້າງຂວາງກ່ຽວກັບບັນດາບັນຫາຢູ່ພາກພື້ນ ແລະສາກົນເຊິ່ງຕ່າງຝ່າຍຕ່າງມີຄວາມສົນໃຈ, ເຫັນດີເປັນເອກະພາບສືບຕໍ່ສົມທົບກັນຢ່າງແໜ້ນແຟ້ນທີ່ບັນດາເວທີປາໄສພາກພື້ນ ແລະສາກົນ, ພິເສດແມ່ນໃນຂອບເຂດບັນດາກົນໄກໂດຍ ອາຊຽນ ນຳໜ້າ, APEC, ASEM, ສະຫະປະຊາຊາດ...	Bí mật trao đổi sâu sắc về các vấn đề khu vực và quốc tế, ASEAN, Liên Hợp Quốc, Liên Hợp Quốc, Liên Hợp Quốc ...
ທີ່ການເຈລະຈາ ອາຊຽນ - ນິວຊີແລນ ຄັ້ງທີ 26, ບັນດາປະເທດອາຊຽນ ແລະນິວຊີແລນ ຢັ້ງຢືນການຖືເປັນສຳຄັນ ແລະໃຫ້ຄຳໝັ້ນສັນຍາຊຸກຍູ້ການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດ ອາຊຽນ - ນິວຊີແລນ ໃຫ້ນັບມື້ນັບພັດທະນາຢ່າງເລິກເຊິ່ງກວ້າງຂວາງ.	ASEAN - ASEAN TALKS, ASEAN và New Zealand xác nhận sự phát triển của sự hợp tác của ASEAN-ASEAN - New Zealand
ອາຊຽນ ແລະນິວຊີແລນ ເຫັນດີເປັນເອກະສັນຕໍ່ການສ້າງແຜນການດຳເນີນງານໃນໄລຍະໃໝ່ 2021-2025 ແລະຈັດຕັ້ງບັນດາການເຄື່ອນໄຫວກະກຽມເຫດການສະເຫຼີມສະຫຼອງ 45 ປີ ແຫ່ງວັນສ້າງຕັ້ງການພົວພັນຄູ່ຮ່ວມມືໃນປີ 2020.	ASEAN và New Zealand đồng ý thực hiện một kế hoạch hoạt động hoạt động mới là 2021-2055, chuẩn bị cho sự hợp tác của 2020 lễ kỷ niệm.
ໂດຍ: ສົມເພັດ.	Đăng bởi: Kim cương trộn.
