ກປ.ອອນໄລ - ໂດຍໄດ້ຮັບຄໍາເຊີນຂອງທ່ານ ຫງວຽນຝູຈ້ອງ ປະທານປະເທດແຫ່ງ ສສ.	Pro trực tuyến - với việc nhận được lời mời của Chủ tịch Tổng thống Nguyễn Thirten của BD.
ຫວຽດນາມ, ພະມະຫາກະສັດບຣູໄນ Sultan Haji Hassanal Bolkiah ຢ້ຽມຢາມທາງລັດຖະກິດຫວຽດນາມ ໃນລະຫວ່າງວັນທີ 26-28 ມີນາ 2019.	Việt Nam, vua của Brunei Hassanal Bolkiah thăm Việt Nam, 262 6.2
ການຢ້ຽມຢາມທາງລັດຖະກິດຫວຽດນາມ ຂອງພະມະຫາກະສັດ Sultan Haji Hassanal Bolkiah ໄດ້ດຳເນີນໃນສະພາວະການພົວພັນລະຫວ່າງສອງປະເທດພັດທະນາຢ່າງສະດວກນັບທັງສອງຝ່າຍ ແລະຫຼາຍຝ່າຍ, ນັບແຕ່ເມື່ອສ້າງຕັ້ງການພົວພັນທາງການທູດໃນປີ 1992.	Chuyến thăm đến nền kinh tế Việt Nam của Sultan Haji Hassanal King Bolkiah đã được tiến hành trong các tuyên bố liên hệ hai và nhiều biển.
ຄວາມໄວ້ເນື້ອເຊື່ອໃຈດ້ານການເມືອງລະຫວ່າງສອງປະເທດນັບມື້ນັບໄດ້ຮັບການປັບປຸງຜ່ານການຮັກສາການແລກປ່ຽນຄະນະ ແລະການພົບປະຂັ້ນສູງ.	Niềm tin chính trị giữa hai nước đã được cập nhật thông qua việc trao đổi và trao đổi Sessical.
ເດືອນ ມີຖຸນາ 2000, ຫວຽດນາມ ແລະບຣູໄນ ໄດ້ລົງນາມໃນບົດບັນທຶກຊ່ວຍຈຳວ່າດ້ວຍການສ້າງຕັ້ງຄະນະກຳມະການຮ່ວມມືສອງຝ່າຍ.	Tháng 6 năm 2000, Việt Nam và Brunei đã ký Bản ghi nhớ của Ủy ban hợp tác của hai bên.
ໃນປີ 2017, ສອງປະເທດໄດ້ຈັດຕັ້ງບັນດາການເຄື່ອນໄຫວສະເຫຼີມສະຫຼອງ 25 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດ, ໃນນັ້ນມີກອງປະຊຸມສະໄໝສາມັນເທື່ອທີ 1 ຄະນະກຳມະການຮ່ວມມືສອງຝ່າຍຫວຽດນາມ - ບຣູໄນ.	Trong năm 2017, hai nước đã tổ chức 25 năm quan hệ ngoại giao, Việt Nam, Brunei-Brunei.
ທ່ານ ຫງວຽນຝູຈ້ອງ, ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ແລະພະມະຫາກະສັດບຣູໄນ Sultan Haji Hassanal Bolkiah ກວດແຖວກຽດຕິຍົດກອງທັບປະຊາຊົນຫວຽດນາມ.	Người Việt Nam, Bí thư Tướng, Chủ tịch Nội địa Việt Nam và Lào Bringer Haji Hassanal Bolkiah kiểm tra hàng phe đối lập của người dân Việt Nam.
ພາບ: ຈ້ອງຫາຍ.	Ảnh: Chăm sóc.
ກ່ຽວກັບການພົວພັນດ້ານເສດຖະກິດ, ການຄ້າ ແລະການລົງທຶນ, ໄລ່ມາຮອດປີ 2018, ບຣູໄນ ຢືນອັນດັບທີ 21/128 ປະເທດ ແລະເຂດແຄ້ວນ ລົງທຶນເຂົ້າຫວຽດນາມ ແລະຢືນອັນດັບທີ 4 ໃນພາກພື້ນອາຊຽນ ຖັດຈາກ ສິງກະໂປ, ມາເລເຊຍ ແລະໄທ, ດ້ວຍ 179 ໂຄງການມີຈໍານວນທຶນທັງໝົດກວ່າ 1 ຕື້ໂດລາສະຫະລັດ.	Về quan hệ kinh tế, thương mại và đầu tư, năm 2012, Malaysia, với 17 tỷ trong khu vực Việt Nam và Thái Lan.
ໃນຂະນະນັ້ນ, ປະຈຸບັນຫວຽດນາມ ມີສອງໂຄງການລົງທຶນຢູ່ ບຣູໄນ ດ້ວຍຈໍານວນທຶນຈົດທະບຽນທັງໝົດແມ່ນ 3,6 ລ້ານໂດລາສະຫະລັດ.	Vào thời điểm đó, Việt Nam có hai dự án đầu tư tại Brunei với tổng số tiền đăng ký là 3,6 triệu USD.
ສອງຝ່່າຍໄດ້ວາງເປົ້າໝາຍນຳວົງເງິນການຄ້າສອງຝ່າຍບັນລຸ 500 ລ້ານໂດລາສະຫະລັດ ໃນປີ 2025.	Một số hai bên đạt đến thương mại hai bên đạt 500 triệu đô la Mỹ vào năm 2025.
ການຮ່ວມມືດ້ານປ້ອງກັນຊາດລະຫວ່າງສອງປະເທດໄດ້ຮັບການເພີ່ມທະວີໃນຂອບເຂດສອງຝ່າຍ ແລະອາຊຽນ.	Hợp tác quốc phòng giữa hai nước đã tăng trong phạm vi hai ASEAN và ASEAN.
ຫວຽດນາມ ແລະບຣູໄນ ໄດ້ລົງນາມໃນບົດບັນທຶກຊ່ວຍຈຳວ່າດ້ວຍການຮ່ວມມືດ້ານປ້ອງກັນຊາດໃນເດືອນ ພະຈິກ 2005.	Việt Nam và Brunei đã ký một bản ghi nhớ hợp tác quốc phòng vào tháng 11 năm 2005.
ສອງຝ່າຍໄດ້ແລກປ່ຽນຄະນະຜູ້ແທນ ແລະນັກສຳມະນາກອນ, ການຮ່ວມມືບຳລຸງສ້າງ-ການຝຶກຊ້ອມ ແລະໄດ້ລົງນາມໃນບົດບັນທຶກຊ່ວຍຈຳວ່າດ້ວຍການຮ່ວມມືລະຫວ່າງທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ແລະທະຫານເຮືອລາດຊະວົງບຣູໄນ ໃນເດືອນ ທັນວາ 2013.	Hai bên đã trao đổi phái đoàn và các Vicoons, đào tạo - Quân đội Brunei, tháng 12 năm 2013.
ການຮ່ວມມືດ້ານການສຶກສາລະຫວ່າງສອງປະເທດໃນໄລຍະມໍ່ໆມານີ້ມີຫຼາຍບາດກ້າວພັດທະນາຢ່າງຕັ້ງໜ້າ.	Hợp tác giáo dục giữa hai nước gần đây, các bước nâng cao hơn.
ເດືອນ ເມສາ 2014, ສອງປະເທດໄດ້ລົງນາມໃນບົດບັນທຶກຊ່ວຍຈຳວ່າດ້ວຍການຮ່ວມມືດ້ານການສຶກສາ.	Tháng 4 năm 2014, hai quốc gia đã ký biên bản ghi nhớ hợp tác giáo dục.
ເດືອນ ພະຈິກ 2017, ສູນບຳລຸງສ້າງພາສາອັງກິດ UBD Global Center ຢູ່ນະຄອນດ່ານ້ັງ ໄດ້ເປີດການນໍາໃຊ້ດ້ວຍການເຂົ້າຮ່ວມຂອງພະມະຫາກະສັດບຣູໄນ ເນື່ອງໃນໂອກາດດຳເນີນກອງປະຊຸມສຸດຍອດເວທີປາໄສການຮ່ວມມືເສດຖະກິດອາຊີ-ປາຊີຟິກ (APEC) ຄັ້ງທີ 25.	Tháng 11 năm 2017, UBD Global Global cho Hoa Kỳ, Hoa Kỳ mở cửa cho Hiệp hội Brunei-Pacific với Hội đồng.
ໃນສົກຮຽນ 2017-2018, ສູນດັ່ງກ່າວໄດ້ຈັດຫຼາຍຊຸດຮຽນໄລຍະສັ້ນໃຫ້ແກ່ນັກສຶກສາຫວຽດນາມ, ນັກສຶກສາບຣູໄນ ແລະບັນດາປະເທດໃນພາກພື້ນ.	Trong năm 2017-2018, trung tâm cũng đã tổ chức một gói sinh viên ngắn hơn, các quốc gia Cincel và khu vực.
ທ່ານ ຫງວຽນຝູຈ້ອງ, ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ພົບປະເຈລະຈາກັບພະມະຫາກະສັດບຣູໄນ Sultan Haji Hassanal Bolkiah.	The Nguyễn Phú Trọng, Tổng thư ký, Chủ tịch Trương Tấn Sang, Chủ tịch Trương Tấn Sultan Haji Hassanal Bolkiah.
ພາບ: ຈ້ອງຫາຍ.	Ảnh: Chăm sóc.
ໃນຂະນະນັ້ນ, ການຮ່ວມມືດ້ານວັດທະນະທຳລະຫວ່າງສອງປະເທດເປັນຕົ້ນແມ່ນໃນຂອບເຂດບັນດາໂຄງການກ່ຽວກັບການຮ່ວມມືດ້ານວັດທະນະທຳຂອງຄະນະກຳມະການວັດທະນະທຳຖະແຫຼງຂ່າວອາຊຽນ (ASEAN COCI).	Vào thời điểm đó, sự hợp tác văn hóa giữa các dự án văn hóa văn hóa văn hóa ASEAN (ASEAN)
ຫວຽດນາມ ແລະບຣູໄນ ລ້ວນແຕ່ຕັ້ງໜ້າສະໜັບສະໜູນ, ເຂົ້າຮ່ວມບັນດາການເຄື່ອນໄຫວ, ໂຄງການທີ່ຝ່າຍກົງກັນຂ້າມສະເໜີ.	Việt Nam, Brunei, Brunei, tham dự sự hỗ trợ, tham gia, chương trình ngược lại.
ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 25 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດ (1992-2017), ສອງຝ່າຍໄດ້ຈັດຕັ້ງການເຄື່ອນໄຫວພົບປະແລກປ່ຽນວັດທະນະທຳ, ສິລະປະຫຼາຍຢ່າງຢູ່ແຕ່ລະປະເທດ.	Nhân dịp tám năm quan hệ ngoại giao (1992-2017), hai năm quan hệ ngoại giao tìm thấy một trao đổi văn hóa, nhiều nghệ thuật tại mỗi quốc gia.
ນອກຈາກນັ້ນ, ສອງປະເທດໄດ້ລົງນາມໃນບົດບັນທຶກຊ່ວຍຈຳວ່າດ້ວຍການຮ່ວມມືດ້ານການທ່ອງທ່ຽວໃນເດືອນພະຈິິກ 2001.	Ngoài ra, hai nước đã ký Bản ghi nhớ hợp tác du lịch ở Juisia
ນັບແຕ່ວັນທີ 1 ສິງຫາ 2007, ບຣູໄນ ຍົກເວັ້ນວິຊາໃຫ້ແກ່ພົນລະເມືອງຫວຽດນາມ (14 ວັນ) ແລະນັບແຕ່ວັນທີ 8 ສິງຫາ 2007, ຫວຽດນາມ ກໍ່ຍົກເວັ້ນວິຊາໃຫ້ແກ່ພົນລະເມືອງບຣູໄນ (14 ວັນ).	Từ ngày 1 tháng 8 năm 2007, 14 ngày của Công dân Việt Nam, 2007, Việt Nam, Việt Nam, Việt Nam, (14 ngày).
