ກປ.ອອນໄລ - ໃນລະຫວ່າງວັນທີ 25 – 26 ມີນາ, ທີ່ນະຄອນຫຼວງ Ottawa, ປະເທດການາດາ, ທ່ານ ຫງວຽນກ໊ວກຢູງ ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ, ຫົວໜ້າ SOM ອາຊຽນ ຂອງ ຫວຽດນາມ ໄດ້ນໍາໜ້າຄະນະຜູ້ແທນຫວຽດນາມ ເຂົ້າຮ່ວມການເຈລະຈາອາຊຽນ-ການາດາ ຄັ້ງທີ 16.	Lion - Trong lần thứ 25 ASEAN, Canada, Canada 16. Bộ trưởng Bộ Ngoại giao 16 năm Việt Nam
ອາຊຽນ ແລະການາດາ ໄດ້ແບ່ງປັນການຕີລາຄາຢ່າງຕັ້ງໜ້າກ່ຽວກັບບັນດາຄວາມຄືບໜ້າທີ່ບັນລຸໄດ້ໃນການພົວພັນອາຊຽນ-ການາດາ, ເປັນຕົ້ນແມ່ນການປະຕິບັດແຜນການເຄື່ອນໄຫວຜັນຂະຫຍາຍຖະແຫຼງການຮ່ວມກ່ຽວກັບການພົວພັນຄູ່ຮ່ວມມືເພີ່ມທະວີອາຊຽນ-ການາດາ ອາຍຸການ 2016-2020 ແລະຖະແຫຼງການຮ່ວມອາຊຽນ-ການາດາ ກ່ຽວກັບການຄ້າ ແລະການລົງທຶນ.	ASEAN và Canada đã chia sẻ các cách giải thích chủ động về ASEAN-Canada-Canada, Canada, Canada, Canada,
ທ່ານ ຫງວຽນກ໊ວກຢູງ ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ, ຫົວໜ້າ SOM ອາຊຽນ.	Việt Nam, Bộ trưởng Ngoại giao Việt Nam Nguyễn Tấn Dũng
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ສອງຝ່າຍເຫັນດີເປັນເອກະສັນສະໜັບສະໜູນລະບົບການຄ້າສາກົນຫຼາຍຝ່າຍເປີດກວ້າງ, ສະເໝີພາບ, ອີງໃສ່ກົດໝາຍ;	Hai bên đồng ý hỗ trợ các hệ thống thương mại quốc tế đa ngành, công bằng, dựa trên luật;
ສືບຕໍ່ປຶກສາຫາລືກ່ຽວກັບຄວາມສາມາດໃນການສ້າງສັນຍາ FTA ອາຊຽນ-ການາດາ.	Tiếp tục thảo luận về khả năng tạo hợp đồng ASEAN - Canada.
ການາດາ ຕີລາຄາສູງບົດບາດທີ່ນັບມື້ນັບສໍາຄັນຂອງ ອາຊຽນ, ເນັ້ນໜັກວ່າ ການາດາ ແມ່ນຄູ່ຮ່ວມມືທີ່ມີຄວາມໄວ້ເນື້ອເຊື່ອໃຈ, ຍາວນານຂອງ ອາຊຽນ, ຍາມໃດກໍຖືເປັນສໍາຄັນ ແລະປາດຖະໜາຢາກຍົກລະດັບການພົວພັນກັບອາຊຽນ;	Canada đánh giá cao tuổi ASEAN, nhấn mạnh Canada, Asean Long, Long,
ສືບຕໍ່ໃຫ້ຄໍາໝັ້ນສັນຍາໜູນຊ່ວຍ ອາຊຽນ ຍູ້ແຮງການສ້າງປະຊາຄົມ;	Tiếp tục hỗ trợ ASEAN để quảng bá hội chúng
ສະໜັບສະໜູນບົດບາດໃຈກາງຂອງ ອາຊຽນ ໃນໂຄງປະກອບພາກພື້ນ;	Hỗ trợ vai trò trung tâm ASEAN trong cấu trúc khu vực;
ສືບຕໍ່ສະແດງຄວາມປາດຖະໜາຢາກເຂົ້າຮ່ວມບັນດາກົນໄກຮ່ວມມືໂດຍອາຊຽນ ລິເລີ່ມ ແລະນໍາໜ້າຢ່າງເລິກເຊິ່ງກວ່າ, ພິເສດແມ່ນປາດຖະໜາຢາກເຂົ້າຮ່ວມຂັ້ນສູງອາຊີຕາເວັນອອກ (EAS) ແລະກອງປະຊຸມລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດອາຊຽນ ເປີດກວ້າງ (ADMM+)ໂດຍໄວ.	Tiếp tục thể hiện một mong muốn tham gia các cơ chế hợp tác của các quốc gia ASEAN, các bộ trưởng quốc phòng và cuộc họp của người ngưỡng mộ ASEAN (ADMM).
ກ່ຽວກັບສະພາບການຢູ່ພາກພື້ນ ແລະສາກົນ, ກອງປະຊຸມໄດ້ແລກປ່ຽນກ່ຽວກັບແງ່ຫວັງພັດທະນາເສດຖະກິດທົ່ວໂລກ ແລະບັນດາສິ່ງທ້າທາຍທີ່ພວມເກີດຂຶ້ນຢູ່ພາກພື້ນຄືການກໍ່ການຮ້າຍ, ການໃຊ້ຄວາມຮຸນແຮງ, ອາດຊະຍາກໍາຂ້າມຊາດ, ການປ່ຽນແປງຂອງດິນຟ້າອາກາດ, ໄພທໍາມະຊາດ.	Về khu vực trong khu vực và quốc tế, hội nghị đã trao đổi trên khu vực, bạo lực, tội truyền máu, thiên tai, thiên tai.
ການາດາ ສະໜັບສະໜູນຫຼັກໝັ້ນ ແລະຫຼັກການຂອງ ອາຊຽນ ກ່ຽວກັບຄວາມສໍາຄັນຂອງການຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບ, ຄວາມເສລີໃນການເດີນທະເລ ແລະການບິນຢູ່ທະເລຕາເວັນອອກ...	Canada hỗ trợ các khóa học và nguyên tắc của ASEAN về tầm quan trọng của việc giữ hòa bình, sự ổn định, sự tự do di chuyển biển và bay ở Biển Đông ...
ແກ້ໄຂການຄັດແຍ້ງກັນໂດຍສັນຕິວິທີບົນພື້ນຖານກົດໝາຍສາກົນ, ໃນນັ້ນ, ມີສົນທິສັນຍາສະຫະປະຊາຊາດກ່ຽວກັບກົດໝາຍວ່າດ້ວຍທະເລປີ 1982, ປະຕິບັດຢ່າງຄົບຖ້ວນ ແລະມີປະສິດທິຜົນຖະແຫຼງການວ່າດ້ວຍການປະພຶດຂອງຝ່າຍຕ່າງໆຢູ່ທະເລຕາເວັນອອກ (DOC) ຢ່າງເຂັ້ມງວດ ແລະຕັ້ງໜ້າສ້າງກົດແຫ່ງການປະພຶດຂອງຝ່າຍຕ່າງໆຢູ່ທະເລຕາເວັນອອກ (COC) ໃຫ້ມີປະສິດທິພາບ, ມີປະສິດທິຜົນ.	Đã sửa lỗi hòa bình trên cơ sở luật pháp quốc tế, ở Biển Đông (COC), hiệu quả của Biển Đông (COC) Tu viện, có hiệu lực.
ໂດຍ: ໄຊນີດາ.	Bởi: NYH.
