ກປ.ອອນໄລ - ໃນການຕອບສຳພາດຕໍ່ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ	KPR Online - Trả lời phỏng vấn của Báo Quân đội Nhân dân Việt Nam
ຫວ່າງແລ້ວນີ້, ທ່ານນາງ Grete Løchen ເອກອັກຄະລັດຖະທູດນອກແວ ປະຈໍາ ຫວຽດນາມ ຢືນຢັນວ່າ, ຫວຽດນາມ ເຂົ້າຮ່ວມການເຄື່ອນໄຫວຮ່ວມມືກັບສາກົນນັບມື້ນັບຕັ້ງໜ້າກວ່າ ແລະນໍາໃຊ້ບັນດາແຫຼ່ງກໍາລັງໜູນຊ່ວຍສາກົນໃຫ້ແກ່ຂົງເຂດແກ້ໄຂລະເບີດບໍ່ທັນແຕກ ຢ່າງມີປະສິດທິຜົນ;	Mới đây, Đại sứ Na Uy tại Việt Nam Grete Løchen khẳng định Việt Nam đã và đang tích cực hợp tác với cộng đồng quốc tế và sử dụng các nguồn lực quốc tế trong lĩnh vực rà phá bom mìn.
ໂດຍແມ່ນໜຶ່ງໃນບັນດາປະເທດມີການປະກອບສ່ວນຫຼາຍຢ່າງເຂົ້າໃນບັນດາຄວາມມານະພະຍາຍາມເກັບກູ້ ແລະແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກລະເບີດບໍ່ທັນແຕກທີ່ຕົກຄ້າງໃນທົ່ວໂລກ, ນອກແວ ຍາມໃດກໍພ້ອມແລ້ວທີ່ຈະຊ່ວຍເຫຼືອຫວຽດນາມ...	Là một trong những quốc gia có đóng góp đáng kể trong nỗ lực rà phá và giải quyết hậu quả bom mìn chưa nổ trên toàn thế giới, Na Uy sẵn sàng giúp đỡ Việt Nam ...
ນັກຂ່າວ: ນອກແວແມ່ນໜຶ່ງໃນບັນດາປະເທດມີການປະກອບສ່ວນຫຼາຍຢ່າງເຂົ້າໃນບັນດາຄວາມມານະພະຍາຍາມເກັບກູ້ ແລະແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກລະເບີດບໍ່ທັນແຕກທີ່ຕົກຄ້າງໃນທົ່ວໂລກ, ໃນນັ້ນມີຫວຽດນາມ.	PV: Na Uy là một trong những quốc gia có đóng góp đáng kể trong nỗ lực rà phá và giải quyết hậu quả bom mìn chưa nổ trên khắp thế giới, trong đó có Việt Nam.
ຂໍທ່ານນາງໃຫ້ຮູ້ບັນດາການປະກອບສ່ວນຂອງນອກແວແມ່ນຫຍັງແດ່?	Làm ơn cho tôi biết, câu chuyện của họ là những chú chó con lớn .....
ທ່ານນາງ Grete Løchen ເອກອັກຄະລັດຖະທູດນອກແວ: ໜູນຊ່ວຍການເຄື່ອນໄຫວແກ້ໄຂລະເບີດບໍ່ທັນແຕກທີ່ຕົກຄ້າງແມ່ນພາກສ່ວນໜຶ່ງທີ່ສໍາຄັນໃນນະໂຍບາຍມະນຸດສະທໍາຂອງພວກຂ້າພະເຈົ້າ, ທັງແມ່ນພັນທະຂອງນອກແວໃນບັນດາສົນທິສັນຍາສາກົນ.	Đại sứ Na Uy Grete Løchen: Hỗ trợ Hành động chống bom mìn là một phần quan trọng trong chính sách nhân đạo của chúng tôi, cũng như cam kết của Na Uy đối với các công ước quốc tế.
ນອກແວ ໜູນຊ່ວຍການເຄື່ອນໄຫວແກ້ໄຂລະເບີດບໍ່ທັນແຕກ ໂດຍຜ່ານແຫຼ່ງກໍາລັງການເງິນ, ມະນຸດ ແລະພາຫະນະເພື່ອກໍານົດບັນດາບໍລິເວນອັນຕະລາຍ, ປະຕິບັດການເກັບກູ້ລະເບີດບໍ່ທັນແຕກ ແລະວັດຖຸແຕກ, ເຜີຍແຜ່ ແລະບໍາລຸງສ້າງປະຊາຊົນທ້ອງຖິ່ນກ່ຽວກັບໄພອັນຕະລາຍຈາກລະເບີດບໍ່ທັນແຕກທີ່ຕົກຄ້າງ ແລະຊ່ວຍໃຫ້ເຂົາເຈົ້າມີການດໍາລົງຊີວິດໃນຄວາມສັນຕິສຸກ.	Na Uy hỗ trợ các nỗ lực xử lý bom mìn thông qua các nguồn lực tài chính, nhân lực và phương tiện để xác định các khu vực nguy hiểm, rà phá bom mìn và vật nổ, phổ biến và giáo dục người dân địa phương về sự nguy hiểm của vật liệu nổ và đảm bảo sinh kế của họ.
ພ້ອມກັບອາເມລິກາ, ເຢຍລະມັນ, ສະຫະພາບເອີລົບ (EU) ແລະຍີ່ປຸ່ນ, ປະຈຸບັນ ນອກແວ ແມ່ນໜຶ່ງໃນ 5 ປະເທດອຸປະຖຳຫຼາຍທີ່ສຸດໃຫ້ແກ່ການເຄື່ອນໄຫວເກັບກູ້ລະເບີດບໍ່ທັນແຕກທີ່ຕົກຄ້າງໃນທົ່ວໂລກ.	Cùng với Hoa Kỳ, Đức, Liên minh châu Âu (EU) và Nhật Bản, Na Uy hiện là một trong năm nhà tài trợ lớn nhất cho hoạt động rà phá bom mìn trên toàn thế giới.
ທ່ານນາງ Grete Løchen ເອກອັກຄະລັດຖະທູດນອກແວ ປະຈໍາ ຫວຽດນາມ.	Đại sứ Na Uy tại Việt Nam Grete Løchen
ພາບໂດຍອົງການຈັດຕັ້ງທຶນຊ່ວຍເຫຼືອປະຊາຊົນນອກແວ (Norwegian People s Aid - NPA) ສະໜອງ.	Ảnh của Viện trợ nhân dân Na Uy (NPA).
ນັກຂ່າວ: ສົງຄາມຢູ່ຫວຽດນາມ ໄດ້ສິ້ນສຸດລົງມາຫຼາຍປີແລ້ວ, ແຕ່ຜົນຮ້າຍຢ້ອນຫຼັງຈາກລະເບີດບໍ່ທັນແຕກທີ່ຕົກຄ້າງຍັງສົ່ງຜົນສະທ້ອນ.	PV: Chiến tranh ở Việt Nam đã kết thúc nhiều năm, nhưng hậu quả của bom mìn còn sót lại vẫn còn để lại.
