ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 8 ເມສາ, ກໍາປັ່ນ BNS PROTTOY (F112) ຂຶ້ນກັບກໍາລັງທະຫານເຮືອ ສປ.	KPR Online - Sáng 8/4, tàu BNS PROTTOY (F112) thuộc Hải quân Lào.
ບັງກະລາເທດ ໄດ້ເຂົ້າທຽບທ່າກຳປັ່ນໄຊງ່ອນ ຢ່າງເປັນທາງການ, ເລີ່ມຕົ້ນການຢ້ຽມຢາມນະຄອນໂຮ່ຈີມີນ.	Bangladesh chính thức cập Cảng Sài Gòn, bắt đầu chuyến thăm Tp.
ກໍາປັ່ນ BNS PROTTOY ລວມມີນາຍທະຫານ 23 ຄົນ ແລະລູກເຮືອ 116 ຄົນ, ໂດຍທ່ານພັນເອກ, ກັບຕັນ Mirza Mohammad Mehedi Hassan ເປັນຫົວໜ້າຄະນະ, ມາຢ້ຽມຢາມນະຄອນໂຮ່ຈີມີນ ໃນລະຫວ່າງວັນທີ 8-11 ເມສາ.	BNS PROTTOY, với 23 sĩ quan và 116 thành viên thủy thủ đoàn, do Đại tá Mirza Mohammad Mehedi Hassan dẫn đầu, đã đến thăm Thành phố Hồ Chí Minh từ ngày 8 đến 11 tháng 4.
ໃນໄລຍະຢູ່ຢ້ຽມຢາມ, ຜູ້ບັນຊາການກໍາປັ່ນ ຈະເຂົ້າຢ້ຽມຂ່ຳນັບການນຳນະຄອນໂຮ່ຈີມີນ, ກອງບັນຊາການທະຫານເຮືອເຂດ 2.	Trong khuôn khổ chuyến thăm, Tổng Tư lệnh sẽ thăm Thành phố Hồ Chí Minh, Bộ Tư lệnh Vùng 2 Hải quân.
ສອງຝ່າຍຈະດໍາເນີນການແລກປ່ຽນບົດຮຽນກ່ຽວກັບບາງຂົງເຂດ ເຊິ່ງຕ່າງຝ່າຍຕ່າງມີຄວາມສົນໃຈ.	Hai bên sẽ trao đổi bài học về một số lĩnh vực mà hai bên cùng quan tâm.
ລູກເຮືອກໍາປັ່ນຈະເຂົ້າຮ່ວມບັນດາການເຄື່ອນໄຫວແຂ່ງຂັນກິລາມິດຕະພາບກັບພະນັກງານ, ນັກຮົບກອງບັນຊາການທະຫານເຮືອເຂດ 2.	Thủy thủ đoàn sẽ tham gia các hoạt động thể thao giao hữu với cán bộ, chiến sĩ Bộ Tư lệnh Vùng 2 Hải quân.
ພ້ອມກັນນັ້ນ, ນາຍທະຫານ ແລະລູກເຮືອກໍາປັ່ນ ກໍ່ຈະໄປຢ້ຽມຢາມເຂດປູຊະນີຍະສະຖານປະຫວັດສາດ, ທັດສະນີຍະພາບບາງແຫ່ງຢູ່ນະຄອນໂຮ່ຈີມີນ.	Các sĩ quan và thủy thủ đoàn cũng sẽ tham quan một số di tích lịch sử và danh lam thắng cảnh tại Thành phố Hồ Chí Minh.
ການຢ້ຽມຢາມຂອງກໍາປັ່ນ BNS PROTTOY ແນໃສ່ປະກອບສ່ວນເພີ່ມທະວີການພົວພັນຮ່ວມມື, ຄວາມເຂົ້າໃຈ ແລະຄວາມໄວ້ເນື້ອເຊື່ອໃຈ ເຊິ່ງກັນ ແລະກັນລະຫວ່າງກອງທັບສອງປະເທດ ຫວຽດນາມ-ບັງກະລາເທດ ເວົ້າລວມ ແລະກໍາລັງທະຫານເຮືອສອງປະເທດເວົ້າສະເພາະ.	Chuyến thăm của BNS PROTTOY nhằm góp phần tăng cường hợp tác, hiểu biết và tin cậy lẫn nhau giữa quân đội hai nước Việt Nam-Bangladesh nói chung và hải quân hai nước nói riêng.
ກໍາປັ່ນ BNS PROTTOY ເຂົ້າທຽບທ່າກຳປັ່ນໄຊງ່ອນ.	BNS PROTTOY cập bến Sài Gòn.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ລູກເຮືອກໍາປັ່ນ BNS PROTTOY ປະຕິບັດພິທີການຂໍ່ານັບທ່າກຳປັ່ນ.	Phi hành đoàn của BNS PROTTOY thực hiện nghi lễ đếm.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ການນໍາກອງບັນຊາການທະຫານເຮືອເຂດ 2 ຕ້ອນຮັບຜູ້ບັນຊາການກໍາປັ່ນ BNS PROTTOY.	Đồng chí Tư lệnh Vùng 2 Hải quân đón đồng chí Tư lệnh BNS PROTTOY.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ທ່ານພັນເອກ Mirza Mohammad Mehedi Hassan, ກັບຕັນກໍາປັ່ນ BNS PROTTOY ຂໍ່ານັບບັນດາຜູ້ແທນທີ່ພິທີຕ້ອນຮັບ.	Đại tá Mirza Mohammad Mehedi Hassan, đội trưởng BNS PROTTOY, chào mừng các đại biểu tại lễ đón.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ບັນດາຜູ້ແທນແລກປ່ຽນຢູ່ກໍາປັ່ນ BNS PROTTOY.	Trao đổi đại diện trên BNS PROTTOY.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ບັນດາຜູ້ແທນຖ່າຍຮູບເປັນທີ່ລະນຶກ.	Các đại biểu chụp ảnh lưu niệm.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần Huyền
