ກປ.ອອນໄລ - ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ແລະພັນລະຍາພ້ອມດ້ວຍຄະນະຜູ້ແທນຂັ້ນສູງຫວຽດນາມ ຫາກໍ່ສິ້ນສຸດການຢ້ຽມຢາມໂຣມາເນຍ ແລະ ສ.ເຊັກ ຢ່າງເປັນທາງການ.	Việt Nam và phái đoàn Việt Nam, và chuyến thăm Việt Nam đến Romania và Hoa Kỳ.
ເນື່ອງໃນໂອກາດນີ້, ທ່ານ ໂຕແອງຢູງ ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ ໄດ້ໃຫ້ສໍາພາດຕໍ່ສື່ມວນຊົນກ່ຽວກັບໝາກຜົນຂອງການຢ້ຽມຢາມດັ່ງກ່າວ.	Nhân dịp này, Bộ trưởng Ngoại giao Việt Nam đã đưa ra một cuộc phỏng vấn với các phương tiện truyền thông về thành quả của chuyến thăm.
ນັກຂ່າວ: ຂໍທ່ານຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ ໃຫ້ຮູ້ໝາກຜົນຕົ້ນຕໍຂອງການຢ້ຽມຢາມໂຣມາເນຍ ແລະ ສ.ເຊັກ ຢ່າງເປັນທາງການຂອງທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ?	Nhà báo: Yêu cầu Phó Bộ trưởng Ngoại giao Nguyễn Nguyên Bộ trưởng Nguyễn Chi
ທ່ານ ໂຕແອງຢູງ ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ: ນີ້ແມ່ນການໄປຢ້ຽມຢາມໂຣມາເນຍ ຄັ້ງທໍາອິດຂອງນາຍົກລັດຖະມົນຕີຫວຽດນາມ ນັບແຕ່ປີ 1977 ແລະຢ້ຽມຢາມ ສ.ເຊັກ ນັບແຕ່ປີ 2007.	Phó Bộ trưởng Ngoại giao Ngoại giao Ngoại giao từ năm 1977 và tham quan Cộng hòa Séc từ năm 2007.
ຜ່ານການຢ້ຽມຢາມໃນຄັ້ງນີ້, ພວກເຮົາໄດ້ຢັ້ງຢືນຄືນໃໝ່ການຖືເປັນສໍາຄັນ ແລະປາດຖະໜາຢາກເພີ່ມທະວີສາຍພົວພັນມິດຕະພາບ ແລະການຮ່ວມມືຫຼາຍດ້ານກັບບັນດາເພື່ອນມິດຢູ່ເອີລົບກາງ ແລະເອີລົບຕາເວັນອອກໃຫ້ຫຼາຍກວ່າອີກ, ໃນນັ້ນມີໂຣມາເນຍ ແລະ ສ.ເຊັກ ແມ່ນສອງຄູ່ຮ່ວມມືບຸລິມະສິດ.	Qua chuyến thăm này, chúng tôi đã xác nhận lại chìa khóa và quan hệ đối tác phía đông và bạn bè Romany là hai.
ຜ່ານການຢ້ຽມຢາມ, ຫວຽດນາມ ແລະໂຣມາເນຍ, ສ.ເຊັກ ບັນລຸໄດ້ບັນດາຄວາມຮັບຮູ້ລວມ, ມີຂໍ້ຕົກລົງສໍາຄັນຫຼາຍສະບັບເພື່ອຊຸກຍູ້ການຮ່ວມມືສອງຝ່າຍໃນຫຼາຍຂົງເຂດ.	Thông qua một chuyến thăm, Việt Nam và Romania, Séc, Israel, với nhiều thỏa thuận quan trọng để thúc đẩy sự hợp tác song phương trong nhiều lĩnh vực.
ການນໍາໂຣມາເນຍ ແລະ ສ.ເຊັກ ລ້ວນແຕ່ຢັ້ງຢືນວ່າ ຫວຽດນາມ ມີທີ່ຕັ້ງສໍາຄັນທີ່ສຸດໃນນະໂຍບາຍຂອງຕົນ, ເປັນຄູ່ຮ່ວມມືສໍາຄັນຢູ່ພາກພື້ນອາຊີຕາເວັນອອກສ່ຽງໃຕ້ ແລະປາດຖະໜາຢາກຊຸກຍູ້ການຮ່ວມມືກັບຫວຽດນາມ ໃນຫຼາຍຂົງເຂດໃຫ້ເລິກເຊິ່ງກວ້າງຂວາງກວ່າອີກ.	Robin và Séc dẫn đến việc xác nhận Việt Nam có bối cảnh quan trọng nhất trong chính sách của mình về Việt Nam trong khu vực.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ແລະທ່ານນາງ Viorica Dancila ນາຍົກລັດຖະມົນຕີໂຣມາເນຍ.	Thủ tướng Nguyễn Vic Vicilator và Thủ tướng Romaini Nguyễn Xua Dancila.
ພາບ: cand.com.vn.	Ảnh: Cand.com.vn.
ເນື້ອໃນໃນບັນດາການຢ້ຽມຢາມແມ່ນເລື່ອງຊຸກຍູ້ການລົງນາມໃນສັນຍາການຄ້າເສລີ ຫວຽດນາມ-ອີຢູ (EVFTA) ແລະສັນຍາປົກປ້ອງການລົງທຶນ ຫວຽດນາມ-ອີຢູ (EVIPA).	Nội dung trong số các chuyến thăm là quảng bá thương mại Việt Nam-emfta (Evpta).
ສ.ເຊັກ ແລະໂຣມາເນຍ, ດ້ວຍຖານະເປັນປະທານໝູນວຽນອີຢູ ລ້ວນແຕ່ຢັ້ງຢືນວ່າ, ແມ່ນປະເທດເພື່ອນມິດທີ່ສະໜິດສະໜົມ ແລະຄູ່ຮ່ວມມືຂອງຫວຽດນາມ, ສະໜັບສະໜູນຢ່າງແຮງການລົງນາມ EVFTA ແລະ EVIPA ຢ່າງເປັນທາງການໂດຍໄວໃນຮອບເວລາ 1 ຫາ 2 ເດືອນຈະມາເຖິງ.	Séc và Romania, khi EU xoay chiều để xác nhận, đó là cách để cơ quan từ 1 đến 2 tháng tới.
