ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 23 ເມສາ, ຢູ່ເຂດນອກຝັ່ງທະເລທີ່ຫ່າງຈາກນະຄອນ Qingdao 35 ໄມທະເລ, ຂຶ້ນກັບແຂວງ Shandong (ຈີນ) ໄດ້ດໍາເນີນພິທີສວນສະໜາມກໍາປັ່ນສາກົນ ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງແຫ່ງວັນສ້າງຕັ້ງທະຫານເຮືອກອງທັບປົດປ່ອຍປະຊາຊົນຈີນ ຄົບຮອບ 70 ປີ (1949-2019).	DPA - Buổi chiều, 23 tháng 4, Xayong, tỉnh Lào) tại tỉnh của PDR Lào (1989-2019).
ທ່ານ ສີຈິ້ນຜິ້ງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຈີນ ເປັນປະທານພິທີສວນສະໜາມ.	Bạn vẽ một tổng thống lớn, Trung Quốc là chủ tịch của sân.
ຝ່າຍທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ມີທ່ານພົນຕີ ຟ້າມຮວ່າຍນາມ, ຜູ້ບັນຊາການທະຫານເຮືອຫວຽດນາມ ພ້ອມດ້ວຍຄະນະເຂົ້າຮ່ວມພິທີ.	Người Việt Nam, Tướng Văn Hồng Khammond, chỉ huy của Ủy ban với buổi lễ.
ຜູ້ບັນຊາຄະນະປະຕິບັດງານທະຫານເຮືອຫວຽດນາມ ປະຕິບັດພິທີການທີ່ພິທີສວນສະໜາມ.	Các đồng chí thực hiện các nghi lễ của các nghi lễ sân.
ພາບ: qdnd.vn	Ảnh: QĐND.VN.
ທ່ານພັນເອກພິເສດ ຫງວຽນດິ່ງຮຸ່ງ, ຮອງຜູ້ບັນຊາການ, ຫົວໜ້າຫ້ອງເສນາທິການທະຫານເຮືອເຂດ 4 ບັນຊາຄະນະປະຕິບັດງານທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ແລະກອງເຮືອ 011-ດິງຕຽນຮວ່າງ ແລະ 015-ເຈິ່ນຮຶງດ້າວ ເຂົ້າຮ່ວມການເດີນຂະບວນຂອງກໍາປັ່ນທະຫານເຮືອສາກົນ.	Ông hoàn thành Nguyễn Giapplin, Ủy ban, Trưởng Ủy ban Quốc tế, Thủ tướng Lào của Hải quân quốc tế.
ພະນັກງານ, ນາຍທະຫານກອງເຮືອ 015-ເຈິ່ນຮຶງດ້າວ ຂໍ່ານັບກໍາປັ່ນຂົນສົ່ງຄະນະຜູ້ແທນຂັ້ນສູງທີ່ພິທີສວນສະໜາມ.	Các nhà khảo cổ học, Cán bộ quân sự Ark 015) Congourgent Pourgers của phái đoàn cao của lĩnh vực lĩnh vực.
ພາບ: qdnd.vn.	Ảnh: QĐND.VN.
ເຂົ້າຮ່ວມພິທີສວນສະໜາມ ມີ 18 ກໍາປັ່ນທີ່ມາຈາກທະຫານເຮືອຂອງ 12 ປະເທດ ເຊັ່ນ: ລັດເຊຍ, ອົດສະຕາລີ, ອິນເດຍ, ບັງກະລາເທດ, ຍີ່ປຸ່ນ, ສ.ເກົາຫຼີ, ມາເລເຊຍ, ອິນໂດເນເຊຍ, ສິງກະໂປ, ໄທ, ບຣູໄນ ແລະຫວຽດນາມ.	Tham gia lễ Garden của 18 viên nang bán hàng từ điều hướng 12 quốc gia, Nhật Bản, Singapore, Thái Lan, Bangaham và Việt Nam.
ປະເທດເຈົ້າພາບຈີນ ຈັດສົ່ງ 32 ກໍາປັ່ນ, 39 ເຮືອບິນ ເຂົ້າຮ່ວມພິທີສວນສະໜາມ.	Hosting Trung Quốc, con tàu, tàu, 39 máy bay đã tham dự lễ làm vườn.
ກອງເຮືອ 011-ດິງຕຽນຮວ່າງ ແລະກໍາປັ່ນທະຫານເຮືອໄທ ທີ່ພິທີສວນສະໜາມ.	Killers 011-Kilki Din Hoàng và chiến dịch cánh đồng Thái Lan.
ພາບ: qdnd.vn.	Ảnh: QĐND.VN.
ນໍາໜ້າພິທີສວນສະໜາມ ແມ່ນກໍາປັ່ນຂັບໄລ່ໝາຍເລກ 544 ຂອງທະຫານເຮືອລັດເຊຍ, ຖັດຈາກນັ້ນແມ່ນກໍາປັ່ນຂັບໄລ່, ກໍາປັ່ນປົກປ້ອງລູກສອນໄຟຂອງທະຫານເຮືອບັນດາປະເທດເຂົ້າຮ່ວມພິທີ.	Việc kết thúc lễ Parcer là một con tàu để tìm ra những người lính Nga, bên cạnh tàu tham dự buổi lễ.
ກອງເຮືອ 011-ດິງຕຽນຮວ່າງ ແລະ 015-ເຈິ່ນຮຶງດ້າວ ຂອງທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ແມ່ນໜຶ່ງໃນ 3 ປະເທດ ນັບທັງ ລັດເຊຍ ແລະໄທ ສົ່ງກໍາປັ່ນກວ່າ 2 ລໍາ ເຂົ້າຮ່ວມພິທີສວນສະໜາມ.	011 - Người bảo vệ thuyền Việt Nam là một trong ba người, cả Nga và Thái Lan gửi một con tàu trong lễ làm vườn.
ໂດຍ: ໄຊຊະນະ.	Bởi: chiến thắng.
