ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 4 ພຶດສະພາ, ທີ່ສໍານັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານ ຫງວຽນຊວນຟຸກ	Sáng 4/5, tại Phủ Thủ tướng Nguyễn Xuân Phúc
ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ Takeshi Iwaya ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຍີ່ປຸ່ນ.	Thủ tướng Nhật Bản tiếp Bộ trưởng Quốc phòng Nhật Bản Takeshi Iwaya.
ກ່າວຄໍາເຫັນທີ່ການຕ້ອນຮັບ, ທ່ານ ຫງວຽນຊວນຟຸກ ຊົມເຊີຍ ແລະຕີລາຄາວ່າການຢ້ຽມຢາມຂອງທ່ານ Takeshi Iwaya ທີ່ມີຄວາມໝາຍສໍາຄັນ, ປະກອບສ່ວນຊຸກຍູ້ການພົວພັນດ້ານປ້ອງກັນຊາດ ຫວຽດນາມ - ຍີ່ປຸ່ນ, ກໍຄືເພີ່ມທະວີການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດເລິກກວ້າງລະຫວ່າງສອງປະເທດກວ່າອີກ.	Phát biểu tại tiệc chiêu đãi, ông Nguyễn Xuân Phúc đánh giá cao chuyến thăm quan trọng của Thủ tướng Takeshi Iway sẽ góp phần thúc đẩy quan hệ quốc phòng Việt Nam - Nhật Bản và làm sâu sắc hơn nữa quan hệ Đối tác chiến lược giữa hai nước.
ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວນຟຸກ ຕ້ອນຮັບທ່ານ Takeshi Iwaya ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຍີ່ປຸ່ນ.	Thủ tướng Nguyễn Xuân Phúc tiếp Bộ trưởng Quốc phòng Nhật Bản Takeshi Iwaya.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ທ່ານ ຫງວຽນຊວນຟຸກ ຕີລາຄາສູງບົດບາດຂອງ ຍີ່ປຸ່ນ ຢູ່ພາກພື້ນ, ພ້ອມທັງຢັ້ງຢືນວ່າ, ຫວຽດນາມ ຍາມໃດກໍຖື ຍີ່ປຸ່ນ ເປັນຄູ່ຮ່ວມມືສໍາຄັນແຖວໜ້າ ແລະຍາວນານ.	Nguyễn Xuân Phúc ca ngợi vai trò của Nhật Bản tại khu vực và khẳng định Việt Nam luôn coi Nhật Bản là đối tác quan trọng và lâu dài.
ທ່ານນາຍົກລັດຖະມົນຕີ ເນັ້ນໜັກວ່າ, ຫວຽດນາມ ພ້ອມແລ້ວທີ່ຈະພ້ອມກັບ ຍີ່ປຸ່ນ ແບ່ງປັນ, ເສີມຂະຫຍາຍບັນດາຈຸດຄ້າຍຄືກັນດ້ານຜົນປະໂຫຍດຍຸດທະສາດໃນການຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບ ແລະການຮ່ວມມືຢູ່ພາກພື້ນ ເພື່ອການພັດທະນາຂອງແຕ່ລະປະເທດ, ກໍຄືພັດທະນາການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດ ໃຫ້ນັບມື້ນັບເຂົ້າສູ່ລວງເລິກ...	Thủ tướng Nguyễn Tấn Dũng nhấn mạnh, Việt Nam sẵn sàng chia sẻ với Nhật Bản, củng cố lợi ích chung của các lợi ích chiến lược trong việc duy trì hòa bình, ổn định và hợp tác khu vực vì sự phát triển của mỗi nước, làm sâu sắc hơn sự phát triển của quan hệ Đối tác chiến lược.
ທ່ານ Takeshi Iwaya ປາດຖະໜາຢາກຊຸກຍູ້ການພົວພັນດ້ານປ້ອງກັນຊາດລະຫວ່າງ ຍີ່ປຸ່ນ ແລະຫວຽດນາມ ຢ່າງແຮງກວ່າອີກ.	Takeshi Iwaya mong muốn tăng cường hơn nữa quan hệ quốc phòng giữa Nhật Bản và Việt Nam.
ທ່ານ Takeshi Iwaya ຕີລາຄາວ່າ, ໃນໄລຍະຜ່ານມາການພົວພັນຮ່ວມມືດ້ານປ້ອງກັນຊາດລະຫວ່າງສອງປະເທດ ໄດ້ມີບາດກ້າວພັດທະນາຢ່າງແຮງ.	Ông Takeshi Iwaya cho biết, trong thời gian qua, quan hệ hợp tác quốc phòng giữa hai nước đã có những bước phát triển vượt bậc.
ຍີ່ປຸ່ນ ຖື ຫວຽດນາມ ແມ່ນໜຶ່ງໃນບັນດາປະເທດສໍາຄັນທີ່ສຸດໃນການຮ່ວມມື, ຍົກສູງກຳລັງຄວາມສາມາດດ້ານປ້ອງກັນຊາດ.	Nhật Bản coi Việt Nam là một trong những quốc gia quan trọng nhất để hợp tác, nâng cao khả năng quốc phòng.
ຍີ່ປຸ່ນ ກໍເອົາໃຈໃສ່, ພ້ອມແລ້ວທີ່ຈະໜູນຊ່ວຍຫວຽດນາມ ແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກລະເບີດບໍ່ທັນແຕກທີ່ຕົກຄ້າງຫຼັງສົງຄາມ.	Nhật Bản sẵn sàng giúp Việt Nam giải quyết hậu quả bom mìn còn sót lại sau chiến tranh.
ໂດຍ: ໄຊຊະນະ.	Bởi: Chiến thắng.
