ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 6 ພຶດສະພາ, ທີ່ນະຄອນບຽນຮວ່າ, ແຂວງດົ່ງນາຍ.	KP Online - Sáng 6/5, tại TP Biên Hòa, tỉnh Đồng Nai.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ເປັນປະທານກອງປະຊຸມພັດທະນາເຂດເສດຖະກິດຈຸດສຸມພາກໃຕ້, ເຂດເສດຖະກິດທີ່ເປັນກຳລັງໜູນນຳໜ້າຂອງທົ່ວປະເທດ.	Thủ tướng Chính phủ Nguyễn Xuân Phúc chủ trì cuộc họp về tình hình phát triển Khu kinh tế trọng điểm phía Nam, khu kinh tế giàu nước của cả nước.
ນີ້ໄດ້ຮັບຖືວ່າແມ່ນການເຮັດວຽກ “ຈຸດສຸມຂັ້ນເຂດ ທີ 2 ຂອງທ່ານນາຍົກລັດຖະມົນຕີ ພາຍຫຼັງການແລກປ່ຽນວຽກງານກັບສະພາເຂດເສດຖະກິດຈຸດສຸມພາກກາງເຊິ່ງທ່ານນາຍົກລັດຖະມົນຕີ ໄດ້ເຂົ້າຮ່ວມກ່ອນນີ້ເກືອບ 3 ເດືອນທີ່ແຂວງເທື່ອທຽນ-ເຫວ້.	Đây được coi là “trọng điểm” thứ hai của Thủ tướng sau cuộc trao đổi làm việc với Hội đồng Kinh tế đầu mối miền Trung mà Thủ tướng đã tham dự gần 3 tháng trước tại tỉnh Thừa Thiên-Huế.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ເປັນປະທານກອງປະຊຸມພັດທະນາເຂດ ເສດຖະກິດຈຸດສຸມພາກໃຕ້.	Thủ tướng Chính phủ Nguyễn Xuân Phúc chủ trì Hội nghị phát triển Khu kinh tế trọng điểm phía Nam.
ພາບ: baochinhphu.vn.	Ảnh: baochinhphu.vn.
ເຂດເສດຖະກິດຈຸດສຸມພາກໃຕ້ແມ່ນເຂດເສດຖະກິດພັດທະນາທີ່ຂະຫຍັນຂັນເຄື່ອນ, ມີລະດັບເຕີບໂຕດ້ານເສດຖະກິດສູງ, ນໍາໜ້າໃນພາລະກິດຫັນປະເທດຊາດເປັນອຸດສາຫະກຳ ແລະທັນສະໄໝ, ນໍາໜ້າໃນການພັດທະນາເສດຖະກິດຂອງທົ່ວປະເທດ (ກວມເອົາ 45,42% GDP ທົ່ວປະເທດ ແລະ 50,9% GDP ຂອງ 4 ເຂດເສດຖະກິດຈຸດສຸມ).	Khu kinh tế trọng điểm phía Nam (SEZ) là khu kinh tế năng động, phát triển, có tốc độ tăng trưởng kinh tế cao, thực hiện sứ mệnh đưa đất nước trở thành một quốc gia công nghiệp và hiện đại.
ນີ້ແມ່ນເຂດນໍາໜ້າໃນການພັດທະນາບາງຂະແໜງຜະລິດ ແລະການບໍລິການທີ່ກ້າວໜ້າ, ເປັນຕົ້ນແມ່ນຂະແໜງຜະລິດເຄື່ອງອາໄຫຼ່ເອເລັກໂຕນິກ, ຜະລິດຊ ອັບແວ, ບັນດາບໍລິການການຄ້າ, logistics, ການເງິນ, ໂທລະຄົມມະນາຄົມ, ການທ່ອງທ່ຽວ.	Đây là lĩnh vực quan trọng để phát triển một số ngành sản xuất và dịch vụ tiên tiến như sản xuất linh kiện điện tử, sản xuất phần mềm, dịch vụ thương mại, hậu cần, tài chính, viễn thông, du lịch.
ໃນໄລຍະຜ່ານມາ, ເຂດເສດຖະກິດຈຸດສຸມພາກໃຕ້ບັນລຸໄດ້ບັນດາຜົນງານສໍາຄັນໃນການພັດທະນາເສດຖະກິດ-ສັງຄົມ, ບາງຄາດໝາຍໄດ້ລື່ນແຜນການທີ່ໄດ້ວາງອອກ, ປີ 2016-2018, ລະດັບເຕີບໂຕ GDP ສະເລ່ຍຂອງເຂດບັນລຸໄດ້ 8,34%.	Trong thời gian qua, Khu kinh tế trọng điểm phía Nam đã đạt được những thành tựu đáng kể trong phát triển kinh tế - xã hội, một số dự kiến hoàn thành vượt mức kế hoạch đề ra, năm 2016 - 2018, tốc độ tăng trưởng GDP bình quân của vùng đạt 8,34%.
ລາຍຮັບສະເລ່ຍຕໍ່ຫົວຄົນປີ 2018 ຂອງເຂດບັນລຸປະມານ 5.474 ໂດລາສະຫະລັດ, ທົບກວ່າ 2 ເທົ່າເມື່ອທຽບໃສ່ລະດັບສະເລ່ຍຂອງທົ່ວປະເທດ.	Thu nhập bình quân đầu người của khu vực năm 2018 đạt 5.474 USD, cao hơn gấp đôi so với mức trung bình của cả nước.
ທີ່ກອງປະຊຸມ, ບັນດາຜູ້ແທນສຸມໃສ່ປຶກສາຫາລືບັນດາບັນຫາ ຄື: ກົນໄກຄຸ້ມຄອງ, ປະສານງານ ແລະນະໂຍບາຍຊຸກຍູ້ການເຕີບໂຕ, ພັດທະນາເຂດ;	Tại buổi làm việc, các đại biểu đã tập trung thảo luận các vấn đề như: cơ chế quản lý, điều phối và các chính sách thúc đẩy tăng trưởng và phát triển của vùng;
ເຊື່ອມຕໍ່ພັດທະນາພື້ນຖານໂຄງລ່າງຄົມມະນາຄົມ, logistics;	Kết nối phát triển hạ tầng viễn thông, logistics;
