ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 11 ພຶດສະພາ, ທີ່ສໍານັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ເປັນປະທານພິທີຕ້ອນຮັບທ່ານ K.	Sáng 11/5, tại Phủ Thủ tướng, Thủ tướng Chính phủ Nguyễn Xuân Phúc đã chủ trì lễ đón cháu K.
P.	P.
Sharma Oli ນາຍົກລັດຖະມົນຕີເນປານ ຢ່າງເປັນທາງການ.	Thủ tướng Nepal Sharma Oli chính thức.
ພາຍຫຼັງພິທີຕ້ອນຮັບ, ນາຍົກລັດຖະມົນຕີສອງທ່ານໄດ້ດໍາເນີນການເຈລະຈາ.	Sau lễ đón, hai Thủ tướng đã hội đàm.
ທ່ານ ຫງວຽນຊວນຟຸກ ຊົມເຊີຍທ່ານ K.	Ông Nguyễn Xuân Phúc chúc mừng cháu K.
P.	P.
Sharma Oli ໄດ້ມີການຢ້ຽມຢາມປະຫວັດສາດຄັ້ງທໍາອິດຂອງການນໍາຂັ້ນສູງເນປານ ມາ ຫວຽດນາມ ນັບແຕ່ເມື່ອສອງປະເທດສ້າງຕັ້ງການພົວພັນທາງການທູດປີ 1975, ເນັ້ນໜັກວ່ານີ້ແມ່ນປະກົດການທີ່ມີຊີວິດຊີວາໃຫ້ແກ່ການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອ ແລະພວມພັດທະນາທີ່ດີງາມລະຫວ່າງສອງປະເທດ.	Bà Sharma Oli đã có chuyến thăm lịch sử đầu tiên của lãnh đạo cấp cao Nepal tới Việt Nam kể từ khi hai nước thiết lập quan hệ ngoại giao năm 1975, nhấn mạnh đây là hiện tượng sôi động cho quan hệ hữu nghị truyền thống và phát triển giữa hai nước.
ສ່ວນທ່ານ K.	Về phần anh K.
P.	P.
Sharma Oli ກໍ່ສະແດງຄວາມປິຕິຊົມຊື່ນເມື່ອໄດ້ມາຢ້ຽມຢາມຫວຽດນາມເປັນປະເທດທໍາອິດຢູ່ອາຊີຕາເວັນອອກສ່ຽງໃຕ້ນັບແຕ່ເມື່ອທ່ານໄດ້ຮັບດໍາລົງຕໍາແໜ່ງເປັນນາຍົກລັດຖະມົນຕີໃນເດືອນ ກຸມພາ 2018, ພ້ອມທັງສະແດງຄວາມນິຍົມນັບຖື, ຕີລາຄາສູງຕໍ່ບັນດາຜົນງານອັນໃຫຍ່ຫຼວງດ້ານເສດຖະກິດ, ສັງຄົມ ແລະການຕ່າງປະເທດເຊິ່ງ ຫວຽດນາມ ບັນລຸໄດ້;	Ông Sharma Oli vui mừng đến thăm Việt Nam với tư cách là quốc gia đầu tiên ở Đông Nam Á kể từ khi ông nhậm chức Thủ tướng Chính phủ vào tháng 2 năm 2018, và bày tỏ sự trân trọng đối với những thành tựu to lớn về kinh tế, xã hội và đối ngoại của Việt Nam;
ທ່ານກໍ່ໄດ້ເຊື້ອເຊີນທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີ ມາຢ້ຽມຢາມ ເນປານ ໂດຍໄວ.	Ông cũng mời Thủ tướng Nguyễn Xuân Phúc sớm thăm Nepal.
ທ່ານ ຫງວຽນຊວນຟຸກ ແລະທ່ານ K.	Anh Nguyễn Xuân Phúc và anh K.
P.	P.
Sharma Oli ທີ່ພິທີຕ້ອນຮັບ.	Sharma Oli tại lễ đón.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ນາຍົກລັດຖະມົນຕີສອງທ່ານເຫັນດີເປັນເອກະສັນເພີ່ມທະວີການແລກປ່ຽນ, ພົບປະຂັ້ນສູງ ແລະຂັ້ນຕ່າງໆລະຫວ່າງລັດ, ລັດຖະບານ, ພັກການເມືອງ, ອົງການນິຕິບັນຍັດ, ທ້ອງຖິ່ນຂອງສອງປະເທດ ແລະຈັດງານພົບປະແລກປ່ຽນປະຊາຊົນ, ພ້ອມທັງເຫັນດີເປັນເອກະພາບໃນການສົມທົບກັນຈັດຕັ້ງບັນດາການເຄື່ອນໄຫວທີ່ມີຄວາມໝາຍ, ແທດຈິງ ເພື່ອແນໃສ່ສະເຫຼີມສະຫຼອງ 45 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດລະຫວ່າງສອງປະເທດໃນປີ 2020.	Hai Thủ tướng nhất trí tăng cường trao đổi, gặp gỡ cấp cao giữa các nhà nước, chính phủ, chính đảng, cơ quan lập pháp, địa phương của hai nước và tổ chức giao lưu nhân dân, đồng thời nhất trí cùng tổ chức các hoạt động kỷ niệm 45 năm Ngày thiết lập quan hệ ngoại giao.
ສອງຝ່າຍກໍ່ເຫັນດີເປັນເອກະພາບຊຸກຍູ້ການຮ່ວມມື ເພື່ອເປີດກວ້າງການພົວພັນລະຫວ່າງພັກກອມມູນິດຫວຽດນາມ ແລະພັກກອມມູນິດເນປານ ໃນໄລຍະຈະມາເຖິງ.	Hai bên nhất trí đẩy mạnh hợp tác nhằm mở rộng quan hệ giữa Đảng Cộng sản Việt Nam và Đảng Cộng sản Nepal trong thời gian tới.
ທ່ານ ຫງວຽນຊວນຟຸກ ແລະທ່ານ K.	Anh Nguyễn Xuân Phúc và anh K.
P.	P.
Sharma Oli ກວດແຖວກຽດຕິຍົດກອງທັບປະຊາຊົນຫວຽດນາມ.	Sharma Oli kiểm tra Đội danh dự Quân đội Nhân dân Việt Nam
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ທ່ານ ຫງວຽນຊວນຟຸກ ຕີລາຄາສູງຜົນງານຂອງເວທີປາໄສວິສາຫະກິດຫວຽດນາມ-ເນປານ ທີ່ຫາກໍ່ໄດ້ຈັດຕັ້ງໃນວັນທີ 10 ພຶດສະພາ ດ້ວຍການເຂົ້າຮ່ວມຂອງທ່ານ ນາຍົກລັດຖະມົນຕີເນປານ.	Nguyễn Xuân Phúc biểu dương những kết quả đạt được của Diễn đàn Doanh nghiệp Việt Nam - Nepal vừa được tổ chức ngày 10/5 với sự tham dự của Thủ tướng Nepal.
ສອງຝ່າຍຕີລາຄາວ່າການພົວພັນດ້ານເສດຖະກິດ-ການຄ້າສອງຝ່າຍແມ່ນຍັງບໍ່ທັນສົມກັບຄວາມສາມາດບົ່ມຊ້ອນ, ທ່າແຮງຂອງແຕ່ລະປະເທດ, ມອບໃຫ້ບັນດາກະຊວງ, ຂະແໜງການທີ່ກ່ຽວຂ້ອງຄົ້ນຄວ້າສ້າງຕັ້ງບັນດາກົນໄກຮ່ວມມືໃໝ່, ແທດຈິງກ່ຽວກັບເສດຖະກິດ, ການຄ້າ ແລະການລົງທຶນ, ສົ່ງເສີມວິສາຫະກິດສໍາຫຼວດຕະຫຼາດຂອງກັນ, ຜັນຂະຫຍາຍບັນດາການເຄື່ອນໄຫວເຊື່ອມຕໍ່, ພົວພັນແລກປ່ຽນການຄ້າ.	Hai bên cho rằng quan hệ kinh tế thương mại của hai nước chưa tương xứng với tiềm năng của mỗi nước.
ນາຍົກລັດຖະມົນຕີ ແລະພັນລະຍາສອງປະເທດຖ່າຍຮູບເປັນທີ່ລະນຶກ.	Thủ tướng và Phu nhân hai nước chụp ảnh lưu niệm.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ທ່ານ ຫງວຽນຊວນຟຸກ ສະເໜີ ເນປານ ໜູນຊ່ວຍວິສາຫະກິດຫວຽດນາມ ຊອກຮູ້ກາລະໂອກາດລົງທຶນໃນທຸກຂົງເຂດ, ພິເສດແມ່ນດ້ານພະລັງງານ, ພື້ນຖານໂຄງລ່າງ ແລະໂທລະຄົມມະນາຄົມ.	Nguyễn Xuân Phúc giúp các doanh nghiệp Nepal tìm kiếm cơ hội đầu tư trên mọi lĩnh vực, đặc biệt là lĩnh vực năng lượng, cơ sở hạ tầng và viễn thông.
ທ່ານນາຍົກລັດຖະມົນຕີເນປານ ກໍ່ສະເໜີ ຫວຽດນາມ ສ້າງເງື່ອນໄຂສະດວກເພື່ອໃຫ້ສິນຄ້າຂອງ ເນປານ ໄດ້ສົ່ງເຂົ້າຕະຫຼາດຫວຽດນາມ.	Thủ tướng Nepal cũng đề nghị Việt Nam tạo điều kiện thuận lợi để hàng hóa của Nepal vào thị trường Việt Nam.
ເນື່ອງໃນໂອກາດນີ້ທ່ານ ຫງວຽນຊວນຟຸກ ໄດ້ຂອບອົກຂອບໃຈ ເນປານ ທີ່ສະໜັບສະໜູນ ຫວຽດນາມ ອອກສະໝັກຮັບເລືອກຕັ້ງເປັນກໍາມະການບໍ່ປະຈໍາການຂອງສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດອະຍຸການ 2020-2021.	Nhân dịp này, ông Nguyễn Xuân Phúc cảm ơn Nepal đã cho phép Việt Nam ứng cử làm Ủy viên không thường trực Hội đồng Bảo an Liên hợp quốc nhiệm kỳ 2020-2021.
ໂດຍ: ໄຊນີດາ.	Bởi: Xay Nida.
