ປັກກິ່ງ ຢາກບັນລຸໄດ້ຂໍ້ຕົກລົງກັບ ວໍຊີງຕັນ.	Bắc Kinh muốn đạt được thỏa thuận với Washington
ທ່ານປະທານາທິບໍດີອາເມລິກາ Donald Trump.	Tổng thống Mỹ Donald Trump.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ວັນທີ 30 ພຶດສະພາ, ທ່ານປະທານາທິບໍດີອາເມລິກາ Donald Trump ໄດ້ຕີລາຄາວ່າປະເທດນີ້ພວມປະຕິບັດວຽກງານການເຈລະຈາດ້ານການຄ້າກັບ ຈີນ ເປັນຢ່າງດີ, ພ້ອມທັງຖືວ່າ ປັກກິ່ງ ຢາກບັນລຸໄດ້ຂໍ້ຕົກລົງກັບ ວໍຊີງຕັນ.	Ngày 30/5, Tổng thống Mỹ Donald Trump mô tả nước này đang làm tốt các cuộc đàm phán thương mại với Trung Quốc, đồng thời cho biết Bắc Kinh muốn đạt được thỏa thuận với Washington.
ກ່າວຄໍາເຫັນຕໍ່ວົງການນັກຂ່າວເມື່ອອອກຈາກທໍານຽບຂາວ ທ່ານປະທານາທິບໍດີ Donald Trump ຊີ້ແຈ້ງວ່າ: “ຈີນ ຢາກບັນລຸໄດ້ຂໍ້ຕົກລົງດ້ານການຄ້າກັບພວກເຮົາ.	"Trung Quốc muốn đạt được một thỏa thuận thương mại với chúng tôi", Tổng thống Donald Trump nói với các phóng viên khi rời Nhà Trắng.
ພວກເຮົາເຄີຍມີຂໍ້ຕົກລົງສະບັບໜຶ່ງແລ້ວ ແລະເຂົາເຈົ້າກໍ່ໄດ້ທໍາລາຍມັນ.	Chúng tôi đã có một thỏa thuận và họ đã phá vỡ nó.
ຂ້າພະເຈົ້າຄິດວ່າຖ້າຫາກໄດ້ເຮັດຄືນນັ້ນເຂົາເຈົ້າຈະບໍ່ທໍາລາຍຄືເກົ່າອີກບໍ?	Không biết họ có làm đi làm lại không?
.	.
ກໍ່ຕາມການນໍາ ອາເມລິກາ ແລ້ວ, ນະໂຍບາຍຈັດວາງອັດຕາພາສີຂອງປະເທດນີ້ສໍາລັບສິນຄ້າຂອງ ຈີນ ພວມເຮັດໃຫ້ບັນດາບໍລິສັດຜະລິດຂອງ ຈີນ ຕ້ອງຍ້າຍອອກຈາກປະເທດຂອງຕົນ ເພື່ອໄປຕັ້ງຮາກຖານການຜະລິດແຫ່ງໃໝ່ຢູ່ບັນດາປະເທດອື່ນ.	Dưới sự lãnh đạo của Mỹ, chính sách thuế quan của nước này đối với hàng hóa Trung Quốc đang buộc các nhà sản xuất Trung Quốc phải rời khỏi đất nước của họ để thành lập các cơ sở sản xuất mới ở các nước khác.
ທ່ານກໍ່ຖືວ່າ ຈີນ ພວມໜູນຊ່ວຍລາຄາສໍາລັບບັນດາຜະລິດຕະພັນຂອງຕົນ ແລະເນື່ອງມາຈາກອັນນັ້ນປະຊາຊົນ ອາເມລິກາ ຈຶ່ງຈ່າຍພຽງແຕ່ໜ້ອຍໜຶ່່ງເທົ່ານັ້ນ , ພ້ອມທັງຢ້ັງຢືນວ່າການຈັດວາງອັດຕາພາສີສໍາລັບສິນຄ້າຂອງ ຈີນ ບໍ່ໄດ້ສົ່ງຜົນກະທົບເຖິງໄພເງິນເຟີ້ຫຼາຍພໍປານໃດ.	Ông cho biết Trung Quốc đang giúp hạ giá các sản phẩm của mình và do đó người dân Mỹ chỉ trả một phần tư mía, nhấn mạnh rằng việc tăng thuế đối với hàng hóa Trung Quốc không có tác động đáng kể đến lạm phát.
ແຫຼ່ງຄັດຈາກ: vovworld.vn.	Nguồn: vovworld.vn.
