ກປ.ອອນໄລ - ວັນທີ 7 ມິຖຸນາ, ຢູ່ຮ່າໂນ້ຍ, ຄະນະໂຄສະນາສຶກສາສູນກາງພັກກອມມູນິດຫວຽດນາມ, ຄະນະຊີ້ນໍາວຽກງານຖະແຫຼງຂ່າວການຕ່າງປະເທດສູນກາງພັກ ໄດ້ສົມທົບກັບສໍານັກຂ່າວສານຫວຽດນາມ ແລະບັນດາອົງການທີ່ກ່ຽວຂ້ອງຈັດຕັ້ງພິທີມອບລາງວັນການແຂ່ງຂັນທົ່ວປະເທດກ່ຽວກັບການຖະແຫຼງຂ່າວການຕ່າງປະເທດ ປີ 2018.	LINE, tháng 6, tại Hà Nội, Tuyên bố tin tức trung ương Đảng Cộng sản với Ủy ban Ngoại giao 2018
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ເຂົ້າຮ່ວມ ແລະກ່າວຄໍາເຫັນທີ່ພິທີມອບລາງວັນດັ່ງກ່າວ.	Thủ tướng Việt Nam Nguyễn Xuân Nguyễn Xukham đã tham dự Thủ tướng Việt Nam
ກ່າວຄໍາເຫັນທີ່ພິທີມອບລາງວັນ, ທ່ານ ຫງວຽນຊວນຟຸກ ຢືນຢັນວ່າ ການຖະແຫຼງຂ່າວການຕ່າງປະເທດ ແມ່ນພາກສ່ວນໜຶ່ງສໍາຄັນທີ່ສຸດໃນວຽກງານຖະແຫຼງຂ່າວສື່ມວນຊົນ ກໍ່ຄືໃນວຽກງານຖະແຫຼງຂ່າວການຕ່າງປະເທດຂອງພັກ ແລະລັດແນໃສ່ລະດົມກໍາລັງແຮງສັງລວມຂອງທັງລະບົບການເມືອງໃຫ້ແກ່ພາລະກິດພັດທະນາປະເທດຊາດ, ພ້ອມທັງເນັ້ນໜັກວ່າ ປີ 2019 ແມ່ນປີ ປະຕິບັດສຳເລັດແຜນການ 5 ປີ ໄລຍະ 2016-2020, ກໍ່ແມ່ນປີທົ່ວພັກ, ທົ່ວກອງທັບ ແລະທົ່ວປວງຊົນ ສະເຫຼີມສະຫຼອງຫຼາຍເຫດການສໍາຄັນ.	Dành riêng cho lễ trao giải, Nguyễn Xuân Phúc khẳng định Nhà nước năm 2019, Nhà nước năm 2019, Nhà nước 2019, Nhà nước năm 2019, Nhà nước năm 2019, Nhà nước năm 2019, Nhà nước 2019, Nhà nước năm 2019, tiểu bang năm 2019, tiểu bang năm 2019, tiểu bang năm 2019, tiểu bang năm 2019, tiểu bang năm 2019, tiểu bang năm 2019, tiểu bang năm 2019, tiểu bang năm 2019, Nhà nước năm 2019, Nhà nước 2019, Bang năm 2019, tiểu bang năm 2019, tiểu bang năm 2019, tiểu bang năm 2019, tiểu bang năm 2019, tiểu bang năm 2019, tiểu bang năm 2019, tiểu bang năm 2019, Nhà nước năm 2019
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ກ່າວຄໍາເຫັນທີ່ພິທີມອບລາງວັນ.	Thủ tướng Nguyễn Xuân Nguyên Xuân cho biết lễ trao giải.
ພາບ: ຈ້ອງຫາຍ.	Ảnh: Chăm sóc.
ທ່ານ ຫງວຽນຊວນຟຸກ ສະເໜີບັນດາກໍາລັງເຮັດວຽກງານຖະແຫຼງຂ່າວການຕ່າງປະເທດ ຄວນສຸມໃສ່ຍົກສູງຄວາມຮັບຮູ້ກ່ຽວກັບບົດບາດ, ຄວາມສໍາຄັນຂອງວຽກງານຖະແຫຼງຂ່າວການຕ່າງປະເທດ;	Thủ tướng Nguyễn Xuân cung cấp cho các tin tức nước ngoài, tầm quan trọng của việc nâng cao vai trò của tin tức nước ngoài;
ເປັນເຈົ້າການເພີ່ມທະວີການຕິດພັນລະຫວ່າງການພົວພັນຕ່າງປະເທດຂອງພັກ, ການທູດແຫ່ງລັດ ແລະການພົວພັນຕ່າງປະເທດປະຊາຊົນ, ລະຫວ່າງຖະແຫຼງຂ່າວພາຍໃນ ແລະຖະແຫຼງຂ່າວການຕ່າງປະເທດ, ເສີມຂະຫຍາຍກໍາລັງແຮງສັງລວມຂອງປະເທດຊາດໃນວິວັດການເປີດກວ້າງການຮ່ວມມື ແລະເຊື່ອມໂຍງເຂົ້າກັບສາກົນ.	Bạn tăng cơ sở giữa các quan hệ đối ngoại, các nhà ngoại giao nước ngoài và quan hệ đối ngoại, hợp chất quốc tế và hội nhập quốc tế.
ທ່ານ ຫງວຽນຊວນຟຸກ ແລະທ່ານ ຫວໍວັນເຖືອງ ຖ່າຍຮູບເປັນທີ່ລະນຶກກັບບັນດານັກປະພັນ, ຜູ້ຕາງໜ້າກຸ່ມນັກປະພັນຍາດໄດ້ລາງວັນທີ 1.	Thủ tướng Nguyễn Xuân Phúc và bạn nhớ các tác giả, đại diện, chính quyền đã được khen thưởng.
ພາບ: ຈ້ອງຫາຍ.	Ảnh: Chăm sóc.
ມີປະມານ 1000 ບົດປະພັນສົ່ງມາເຂົ້າຮ່ວມການແຂ່ງຂັນທົ່ວປະເທດກ່ຽວກັບການຖະແຫຼງຂ່າວການຕ່າງປະເທດ ປີ 2018.	Có khoảng 1000 regsion để tham gia các cuộc thi quốc gia vào năm 2018 báo cáo tin tức nước ngoài.
ຄະນະຈັດຕັ້ງໄດ້ເລືອກເຟັ້ນເອົາ 90 ບົດປະພັນດີເດັ່ນທີ່ສຸດ ເພື່ອເຊີດຊູ, ທີ່ພິທີມອບລາງວັນ, ລວມມີລາງວັນທີ 1 ມີ 8 ລາງວັນ, ລາງວັນທີ 2 ມີ 17 ລາງວັນ, ລາງວັນທີ 3 ມີ 25 ລາງວັນ ແລະລາງວັນຊົມເຊີຍມີ 40 ລາງວັນ.	Tổ chức đã chọn tổng số 90 bảng nổi bật để nâng, đó là giải thưởng, giải thưởng thứ 2 và chúc mừng và giải thưởng
ກຸ່ມນັກປະພັນໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ຍາດໄດ້ລາງວັນຊົມເຊີຍດ້ວຍບົດປະພັນ: ການພົບປະແລກປ່ຽນມິດຕະພາບດ້ານປ້ອງກັນຊາດຊາຍແດນ ຫວຽດນາມ-ຈີນ ຄັ້ງທີ 5.	Quân đội nhân dân Việt Nam đã được khen thưởng với Đại hội hỗ trợ: Cuộc họp bảo vệ biên giới Trung Quốc Trung Quốc lần thứ 5.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần thông minh.
