ກປ.ອອນໄລ - ວັນທີ 7 ມິຖຸນາ ກາຍເປັນຂີດໝາຍສໍາຄັນໃນການເຄື່ອນໄຫວພົວພັນຕ່າງປະເທດຂອງຫວຽດນາມເວົ້າລວມ ແລະການພົວພັນລະຫວ່າງຫວຽດນາມ ແລະສະຫະປະຊາຊາດ (ສປຊ) ເວົ້າສະເພາະ.	Proudio, tháng 6, Việt Nam, Liên Hợp Quốc đàm phán và quan hệ Liên Hợp Quốc (Liên Hợp Quốc).
ດ້ວຍຈໍານວນບັດສະໜັບສະໜູນ 192/193, ຫວຽດນາມ ໄດ້ຮັບການເລືອກຕັ້ງຈາກສະມັດຊາໃຫຍ່ ສປຊ ເປັນກໍາມະການບໍ່ປະຈໍາການ ສະພາຄວາມໝັ້ນຄົງ ສປຊ ອາຍຸການ 2020-2021.	Với số lượng hỗ trợ năm 192/193, Việt Nam đã được UN chung chung của Liên Hợp Quốc tăng cao như UN 2020-2021.
ນີ້ແມ່ນເທື່ອທີ 2 ຫວຽດນາມ ໄດ້ຮັບຄວາມໄວ້ວາງໄຈຈາກບັນດາສະມາຊິກ ສປຊ ເພື່ອຮັບດໍາລົງຕໍາແໜ່ງນີ້, ດ້້ວຍຄວາມຫວັງ ຫວຽດນາມ ຈະສືບຕໍ່ມີການປະກອບສ່ວນຫຼາຍຢ່າງກວ່າອີກເຂົ້າບັນດາຄວາມມານະພະຍາຍາມລວມຂອງ ສປຊ ແລະປະຊາຄົມສາກົນເພື່ອສັນຕິພາບ, ຄວາມໝັ້ນຄົງ ແລະການພັດທະນາ.	Đây là lần thứ hai, các thành viên của United Ninh sẽ tiếp tục được tổ chức tại vị trí này, sự đóng góp quốc tế cho hòa bình, ổn định và phát triển.
ການສະໜັບສະໜູນເກືອບຄືວ່າຂາດຂັ້ນຈາກປະຊາຄົມສາກົນ ແມ່ນພະຍານຫຼັກຖານຢ່າງຈະແຈ້ງພິສູດໃຫ້ເຫັນວ່າບັນດາການປະກອບສ່ວນຢ່າງຕັ້ງໜ້າ, ແທດຈິງ, ມີຄວາມຮັບຜິດຊອບຂອງຫວຽດນາມ ຕໍ່ສປຊ ເວົ້າລວມ ແລະສະພາຄວາມໝັ້ນຄົງ ສປຊ ເວົ້າສະເພາະໄດ້ຮັບການຮັບຮູ້.	Hỗ trợ gần như thiếu từ cộng đồng quốc tế rõ ràng là bằng chứng, sự đóng góp và hậu quả của người Việt Nam của Liên Hợp Quốc.
ເຫດການດັ່ງກ່າວກໍ່ສະແດງໃຫ້ເຫັນອິດທິພົນຊື່ສຽງ ແລະຖານະບົດບາດຂອງຫວຽດນາມ ນັບມື້ນັບໄດ້ຮັບການຍົກສູງຕໍ່ກັບເພື່ອນມິດສາກົນ.	Sự kiện này cũng cho thấy ảnh hưởng uy tín và vai trò của Việt Nam đã đạt được trong những người bạn quốc tế.
ພາຍຫຼັງສະມັດຊາໃຫຍ່ ສປຊ ປະກາດຜົນຂອງການເລືອກຕັ້ງ, ບັນດາສໍານັກຂ່າວສານໃນໂລກໄດ້ໃຫ້ຂ່າວກ່ຽວກັບເລື່ອງຫວຽດນາມ ໄດ້ຮັບການເລືອກຕັ້ງເປັນກໍາມະການບໍ່ປະຈໍາການຂອງສະພາຄວາມໝັ້ນຄົງ ສປຊ ອາຍຸການ 2020-2021 ດ້ວຍຈຳນວນບັດສູງສຸດ.	Sau khi kết quả bầu cử chung của Liên Hợp Quốc, các cơ quan tin tức trên thế giới đã được Liên Hợp Quốc 2020-2021 phát hành.
ໜັງສືພິມ Washington Times ມີບົດຂຽນໃຫ້ຂໍ້ສັງເກດວ່າ: “ຄວາມສໍາຄັນຂອງຫວຽດນາມ ສໍາລັບຄວາມໝັ້ນຄົງສາກົນໄດ້ເພີ່ມຂຶ້ນພໍສົມຄວນພາຍຫຼັງສັບປະດາຂັ້ນສູງເວທີປາໄສເສດຖະກິດ ອາຊີ-ປາຊີຟິກ (APEC) 2017 ທີ່ດໍາເນີນຢູ່ນະຄອນດ່ານັ້ງ ແລະກອງປະຊຸມສຸດຍອດລະຫວ່າງ ອາເມລິກາ-ສປປ ເກົາຫຼີ ຄັ້ງທີ 2.	The Washington Times có thể đáng chú ý: "Diễn đàn an ninh quốc tế về sự thông số chéo của Hoa Kỳ - Bắc Triều Tiên - Bắc Triều Tiên.
ຜູ້ຕາງໜ້າປະເທດຕ່າງໆອວຍພອນ, ແບ່ງປັນຄວາມເບີກບານມ່ວນຊື່ນກັບຄະນະປະຕິບັດງານຫວຽດນາມ ຢູ່ ສປຊ ພາຍຫຼັງມີຜົນການປ່ອນບັດ.	Các đại diện quốc gia là ban phước lành, chia tách các hoạt động của Việt Nam trong Liên Hợp Quốc sau khi bỏ phiếu.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ວັນທີ 8 ມິຖຸນາ, ທ່ານ Norikazu Suzuki ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຍີ່ປຸ່ນ ສະແດງຄວາມປິຕິຊົມຊື່ນເມື່ອຫວຽດນາມ ໄດ້ຮັບການເລືອກຕັ້ງເປັນກໍາມະການບໍ່ປະຈໍາການສະພາຄວາມໝັ້ນຄົງ ສປຊ ອາຍຸການ 2020-2021, ພ້ອມທັງຫວັງວ່າຫວຽດນາມ ຈະເສີມຂະຫຍາຍບົດບາດເປັນການນໍາຕໍ່ກັບປະຊາຄົມສາກົນໃນການຮັກສາພື້ນຖານສັນຕິພາບໂລກໃຫ້ໝັ້ນຄົງ.	Ngày 8 tháng 6, Thứ trưởng Nhật Bản Norikazu Suzuki, Hoa Kỳ đã được củng cố chống lại cộng đồng quốc tế.
ທ່ານນາງ Gillian Bird ເອກອັກຄະລັດຖະທູດອົດສະຕາລີ ປະຈໍາ ສປຊ ສະແດງຄວາມປິຕິຊົມຊື່ນເມື່ອມີສະມາຊິກ ສະມາຄົມປະຊາຊາດອາຊີຕາເວັນອອກສ່ຽງໃຕ້ (ອາຊຽນ) ຕື່ມອີກຖັດຈາກອິນໂດເນເຊຍ ມີໜ້າໃນສະພາຄວາມໝ້ັນຄົງ ສປຊ.	Chim Chim Chim có một cơ quan liên quan khi Hiệp hội mạng của Indonesia có sẵn bên cạnh Indonesia.
ບໍ່ພຽງແຕ່ຝາກຄໍາອວຍພອນມາຍັງຫວຽດນາມ ເທົ່ານັ້ນ, ເພື່ອນມິດສາກົນກໍ່ຕັ້ງຄວາມຫວັງຕໍ່ການປະກອບຂອງຫວຽດນາມ ໃຫ້ປະຊາຄົມສາກົນໃນອາຍຸການຈະມາເຖິງ.	Không chỉ gửi tiền chào hỏi, Việt Nam, bạn bè quốc tế cũng thiết lập hy vọng các thành phần quốc tế cho cộng đồng quốc tế trong độ tuổi tới.
ທ່ານ Kamal Malhotra ຜູ້ປະສານງານ ສປຊ ປະຈໍາຫວຽດນາມ ໃຫ້ຄໍາໝັ້ນສັນຍາວ່າຈະສືບຕໍ່ຮ່ວມເດີນທາງພ້ອມກັບຫວຽດນາມ ໃນບົດບາດໃໝ່ຢູ່ສະພາຄວາມໝັ້ນຄົງ ສປຊ.	Điều phối viên Kamal Malhotra Liên Hợp Quốc tại Việt Nam, vai trò mới tại Việt Nam trong Hội đồng Bảo an Liên Hợp Quốc.
ທ່ານ Kamal Malhotra ເນັ້ນໜັກວ່າ, ເມື່ອເປັນສະມາຊິກສະພາຄວາມໝັ້ນຄົງ ສປຊ, ຫວຽດນາມ ຈະມີກາລະໂອກາດຕື່ມອີກເພື່ອພິສູດໃຫ້ເຫັນຄວາມສາມາດຂອງຕົນ, ສວມບົດບາດສໍາຄັນໃນບັນດາເຫດການພາກພື້ນ ແລະທົ່ວໂລກ.	Kamal Malhtra nhấn mạnh, khi Hội đồng Bảo an Liên Hợp Quốc, Việt Nam sẽ chứng minh khả năng của mình, đóng vai trò quan trọng trong các sự kiện khu vực và trên toàn thế giới.
ທ່ານ Hunter Marston, ອະດີດຜູ້ຊ່ວຍຄົ້ນຄວ້າຂັ້ນສູງຂອງສະຖາບັນ Brookings ຢູ່ອາເມລິກາ ໃຫ້ຂໍ້ສັງເກດ, ຫວຽດນາມ ໄດ້ພິສູດໃຫ້ເຫັນວ່າສາມາດຊຸກຍູ້ການທູດພາກພື້ນຢູ່ຂັ້ນສູງສຸດ ແລະສິ່ງດັ່ງກ່າວໄດ້ສະແດງອອກຜ່ານບົດບາດເປັນກາງຂອງຫວຽດນາມ ເມື່ອຈັດຕັ້ງກອງປະຊຸມສຸດຍອດລະຫວ່າງທ່ານ Donald Trump ປະທານາທິບໍດີອາເມລິກາ ແລະທ່ານ Kim Jong Un ການນໍາ ສປປ ເກົາຫຼີ ໃນເດືອນກຸມພາ ທີ່ຜ່ານມາຢູ່ຮ່າໂນ້ຍ.	Ông Hunter Marston, cựu hỗ trợ của người Việt Nam, Việt Nam đã được thông báo qua Hoa Kỳ.
ທ່ານ Hunter Marston ເຊື່ອໝັ້ນວ່າ, ຫວຽດນາມ ສາມາດດຳລົງຕໍາແໜ່ງເປັນກໍາມະການບໍ່ປະຈໍາການສະພາຄວາມໝັ້ນຄົງ ສປຊ ເປັນຢ່າງດີ ແລະຈະມີການປະກອບສ່ວນສໍາຄັນຕໍ່ບັນດາບັນຫາ ຄື: ກົດໝາຍສາກົນ, ຄວາມໝ້ັນຄົງໃນການເດີນທະເລ, ການຄ້າທົ່ວໂລກ, ການປົກປັກຮັກສາສິ່ງແວດລ້ອມ ແລະບັນດາສິ່ງທ້າທາຍລວມໃນພາກພື້ນ.	Ông Hunter Marson tin rằng, Việt Nam có thể được tổ chức trên biển, luật pháp quốc tế, môi trường, luật môi trường và những thách thức bao gồm trong khu vực.
ຕາມທ່ານ Hunter Marston ແລ້ວ, ປີ 2020, ພ້ອມກັບການດໍາລົງຕຳແໜ່ງເປັນປະທານອາຊຽນ, ເລື່ອງຮັບດໍາລົງສອງຕຳແໜ່ງທີ່ສໍາຄັນໃນພາບດຽວນັ້ນຈະນໍາມາເຊິ່ງບັນດາກາລະໂອກາດໃຫຍ່ເພື່ອໃຫ້ຫວຽດນາມ ມີການປະກອບຢ່າງແທດຈິງໃນບັນດາບັນຫາສາກົນ, ພ້ອມກັນນັ້ນສາມາດໂຄສະນາເຜີຍແຜ່ຮູບພາບກ່ຽວກັບປະເທດຊາດ ແລະຊາວຫວຽດນາມ ອອກສູ່ໂລກໃຫ້ຫຼາຍກວ່າອີກ.	Theo Hunter Marson, 2020, cùng với Chủ tịch Việt Nam, các vấn đề quan trọng hơn, bao gồm cả hình ảnh trên thế giới.
