ກປ.ອອນໄລ - ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງເຫດການທ່ານນາຍົກລັດຖະມົນຕີກໍາປູເຈຍ ສົມເດັດ ອັກຄະມະຫາ ເສນາບໍດີ ເຕໂຈ ຮຸນແຊນ ພ້ອມດ້ວຍເພື່ອນຮ່ວມກົມກອງ ມາຫວຽດນາມ ຊອກຫາ “ເສັ້ນທາງມຸ່ງໄປເຖິງການໂຄ່ນລົ້ມລະບອບດັບສູນເຊື້ອຊາດ Pol Pot ຄົບຮອບ 42 ປີ, ວັນທີ 20 ມິຖຸນາ, ທ່ານພົນເອກ Tea Banh ຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດກໍາປູເຈຍ ນໍາໜ້າຄະນະປະຕິບັດງານ ມາຢ້ຽມຢາມ ແລະເຮັດວຽກຢູ່ແຂວງບິ່ງເຟືອກ.	Bộ trưởng Libert của Thủ tướng Campuchia Pol Januau, số lượng Bộ trưởng Quốc phòng Thủ tướng Nice
ທ່ານພົນຕີ ເຈິ່ນກວາງເຟືອງ ຕ້ອນຮັບຄະນະຜູ້ແທນກະຊວງປ້ອງກັນປະເທດກໍາປູເຈຍ.	Nhân viên Quang Guard General Quang nhận được đoàn phòng thủ Campuchia.
ພາບ: ມິງເງິນ.	Ảnh: Tiền minnery.
ພາຍຫຼັງພິທີຕ້ອນຮັບ, ຄະນະຜູ້ແທນກະຊວງປ້ອງກັນປະເທດກໍາປູເຈຍ ໄດ້ໄປຢ້ຽມຢາມເຂດປູຊະນີຍະສະຖານປະຫວັດສາດບົນເສັ້ນທາງ ເຊິ່ງທ່ານນາຍົກລັດຖະມົນຕີ ກໍາປູເຈຍ ຮຸນແຊນ ພ້ອມດ້ວຍເພື່ອນຮ່ວມກົມກອງ ໄດ້ເຄື່ອນຍ້າຍກ່ອນນີ້ 42 ປີ.	Sau lễ chào đón, phái đoàn Campuchia đã đến thăm Nam Karamph Parame và Lịch sử.
ທ່ານພົນເອກ Tea Banh ໂອ້ລົມກັບປະຊາຊົນ, ກໍາລັງປະກອບອາວຸດຕາແສງໂລກເຕິ໋ນ ແລະໂລກແທກ.	Trà trà nói chung nói chuyện với mọi người, được trang bị vũ trang đến thế giới ánh sáng và những người Berms.
ພາບ: ມິງເງິນ.	Ảnh: Tiền minnery.
ພາຍຫຼັງໄປຢ້ຽມຢາມບັນດາສະຖານທີ່, ທ່ານພົນເອກ Tea Banh ໄດ້ມີການໂອ້ລົມກັບປະຊາຊົນ, ກໍາລັງປະກອບອາວຸດຕາແສງໂລກເຕິ໋ນ ແລະຕາແສງໂລກແທກ ຂອງເມືອງໂລກນິງ.	Sau những nơi đến thăm, Tướng Trà Banh đã nói chuyện với mọi người, với sự vũ trang đến thế giới artion của khu vực thế giới.
ທ່ານພົນເອກ Tea Banh ຢັ້ງຢືນວ່າ: ໃນເມື່ອປະຊາຊົນ ແລະປະເທດກໍາປູເຈຍ ປະສົບຄວາມຫຍຸ້ງຍາກທີ່ສຸດ, ພັກ, ປະຊາຊົນ ແລະກອງທັບຫວຽດນາມ ໄດ້ຊ່ວຍເຫຼືອກໍາປູເຈຍ.	Tướng Trà Taanh xác nhận: Khi mọi người và Campuchia trải nghiệm những người khó khăn, kỳ nghỉ, người dân và người dân khó khăn nhất giúp Campuchia.
ທະຫານອາສາສະໝັກຫວຽດນາມ ໄດ້ໄປຊ່ວຍເຫຼືອປະເທດ ແລະປະຊາຊົນກໍາປູເຈຍ ແຕ່ຫາກບໍ່ແມ່ນມາຮຸກຮານຄືບັນດາຖ້ອຍທໍານອງເສກສັນປັ້ນແຕ່ງບິດເບືອນຄວາມຈິງ;	Người Việt Nam tình nguyện và những người lính Campuchia nhưng không hung dữ, không xâm lược, như nhân khẩu học;
ທະຫານອາສາສະໝັກຫວຽດນາມ ໄດ້ປະຕິບັດສໍາເລັດພັນທະສາກົນອັນສູງສົ່ງໃນດິນແດນປະເທດກໍາປູເຈຍ;	Tình nguyện viên tình nguyện đã hoàn thành mệnh giá quốc tế xuất chúng ở Campuchia;
ຂໍສະແດງຄວາມຂອບໃຈ ຕໍ່ການຊ່ວຍເຫຼືອຂອງພັກ, ກອງທັບ ແລະປະຊາຊົນຫວຽດນາມ, ທ່ານພົນເອກ Tea Banh ປາດຖະໜາວ່າ ຄົນຮຸ່ນໜຸ່ມຈະເຂົ້າໃຈແຈ້ງກວ່າກ່ຽວກັບປະຫວັດສາດຂອງສອງຊາດ, ສ້າງສາ ແລະເພີ່ມພູນຄູນສ້າງນໍ້າໃຈມິດຕະພາບລະຫວ່າງສອງປະເທດ ຫວຽດນາມ - ກໍາປູເຈຍ.	Nhờ sự giúp đỡ của Đảng, Tổng hợp, Tổng hợp, Tổng hợp, Tổng hợp, Tổng hợp, Tổng hợp, Tổng hợp, Tổng hợp), Chung
ທ່ານ ຫງວຽນວັນຈໍາ ມອບຂອງຂວັນໃຫ້ທ່ານພົນເອກ Tea Banh.	Nguyễn Thị Trọng trục xuất quà tặng trà.
ພາບ: ມິງເງິນ.	Ảnh: Tiền minnery.
ກ່າວຄໍາເຫັນທີ່ການໂອ້ລົມ, ທ່ານ ຫງວຽນວັນຈໍາ, ປະທານຄະນະກໍາມະການປະຊາຊົນແຂວງບິ່ງເຟືອກ ໄດ້ເນັ້ນໜັກວ່າ: ການຢ້ຽມຢາມຂອງທ່ານພົນເອກ Tea Banh ຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດກໍາປູເຈຍ ແລະຄະນະຜູ້ແທນກະຊວງປ້ອງກັນປະເທດກໍາປູເຈຍ ແມ່ນສັນຍະລັກທີ່ມີຊີວິດຊີວາກ່ຽວກັບຄວາມສາມັກຄີມິດຕະພາບລະຫວ່າງກອງທັບ ແລະປະຊາຊົນສອງປະເທດ, ຢັ້ງຢືນລັກສະນະເປັນທໍາຂອງລັດກໍາປູເຈຍ ແລະການຊ່ວຍເຫຼືອບໍ່ເຫັນແກ່ຕົວ, ບໍລິສຸດຜຸດຜ່ອງ ແລະສຸດຈິດສຸດໃຈຂອງພັກ, ລັດ, ປະຊາຊົນ ແລະກອງທັບປະຊາຊົນຫວຽດນາມ ເວົ້າລວມ, ຂອງທະຫານເຂດ 7, ກອງທັບ ແລະປະຊາຊົນແຂວງບິ່ງເຟືອກ ເວົົ້າສະເພາະຕໍ່ກັບປະເທດກໍາປູເຈຍ ໃນ 40 ກວ່າປີຜ່ານມາ, ພ້ອມທັງສືບຕໍ່ເພີ່ມທະວີ, ປັບປຸງການພົວພັນສາມັກຄີມິດຕະພາບ, ການຮ່ວມມືພິເສດລະຫວ່າງ ຫວຽດນາມ ແລະກໍາປູເຈຍ.	Tại các cuộc đàm phán, Nguyễn đồng Chủ tịch Hội đồng quản trị người dân ở Bình Phước nhấn mạnh rằng chuyến thăm của Tướng Tea Banh, Phó Thủ tướng, Bộ trưởng Bộ Quốc phòng, Bộ Quốc phòng Campuchia là biểu tượng của cuộc sống và tình bạn giữa quân đội và nhân dân của hai nước, đã xác nhận bản chất của đất nước và giúp ích cho sự không ích kỷ, tinh khiết và linh hồn của Đảng, Chính phủ, Nhân dân và Quân đội Việt Nam, Quân đội 7, quân đội và người dân ở Bình Phước khi Dầu đặc biệt với Campuchia 40 năm trước, và tiếp tục tăng, cải thiện quan hệ Đoàn kết, tình bạn và hợp tác đặc biệt giữa Việt Nam và Campuchia.
ໂດຍ: ໄຊຊະນະ.	Bởi: chiến thắng.
