ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 30 ມິຖຸນາ, ສັນຍາການຄ້າເສລີ ຫວຽດນາມ-ສະຫະພາບເອີລົບ (EVFTA) ແລະສັນຍາປົກປ້ອງການລົງທຶນລະຫວ່າງຫວຽດນາມ ແລະສະຫະພາບເອີລົບ (EVIPA) ໄດ້ຮັບການລົງນາມຢ່າງເປັນທາງການ ຢູ່ຮ່າໂນ້ຍ.	Inf. Ngày 30 tháng 6, thỏa thuận theo dõi và EVFTA) tại Việt Nam và EVFTA).
ເນື່ອງໃນໂອກາດນີ້, ທ່ານ ບຸ່ຍແທັງເຊີນ, ຮອງລັດຖະມົນຕີຜູ້ປະຈໍາການກະຊວງການຕ່າງປະເທດຫວຽດນາມ ໄດ້ຕອບສໍາພາດຕໍ່ສື່ມວນຊົນກ່ຽວກັບຄວາມໝາຍຂອງສັນຍາ 2 ສະບັບດັ່ງກ່າວສໍາລັບແງ່ຫວັງໃນການພົວພັນຫວຽດນາມ-ອີຢູ.	Nhân dịp này, Thứ trưởng Bộ Ngoại giao của Bộ trưởng Bộ Thỏa thuận Thỏa thuận cho cuộc thi Việt Nam - EU.
ຕາມທ່ານ ບຸ່ຍແທັງເຊີນ ແລ້ວ, ການພົວພັນ ຫວຽດນາມ-ອີຢູ ໄດ້ພັດທະນາຢ່າງວ່ອງໄວພາຍຫຼັງ 30 ປີ ນັບແຕ່ເມື່ອສ້າງຕັ້ງການພົວພັນທາງການທູດໃນເດືອນພະຈິກ 1990.	Như bạn đã mời tab, Việt Nam, EU đã phát triển nhanh chóng sau 30 năm kể từ Quan hệ Ngoại giao vào tháng 11 năm 1990.
ປີ 2012, ສອງຝ່າຍໄດ້ລົງນາມໃນສັນຍາແມ່ຄູ່ຮ່ວມມື ແລະການຮ່ວມມືຮອບດ້ານ (PCA), ສ້າງກອບນິຕິກໍາສໍາຄັນເພື່ອເປີດກວ້າງການພົວພັນ ຫວຽດນາມ-ອີຢູ ຕາມທິດຄູ່ຮ່ວມມືທີ່ສະເໝີພາບ, ຮ່ວມມືຮອບດ້ານ ແລະຍາວນານ.	Năm 2012, hai bên đã ký một sự hợp tác toàn diện (PCA), EU gồm Việt Nam, hợp tác và hợp tác lâu dài.
ເລື່ອງລົງນາມໃນສັນຍາ EVFTA ແລະ EVIPA ພາຍຫຼັງ 7 ປີແຫ່ງການເຈລະຈາຈະສ້າງກໍາລັງໜູນໃໝ່ຍົກລະດັບການພົວພັນ ຫວຽດນາມ-ອີຢູ ໃນທົດສະວັດທີ IV ຂອງໄລຍະທາງພັດທະນາການພົວພັນສອງຝ່າຍ.	Đăng nhập vào Hợp đồng EVFTA và EVIPA sau 7 năm đàm phán sẽ phát triển quan hệ Việt Nam.
ທ່ານ ບຸ່ຍແທັງເຊີນ ໃຫ້ຮູ້ວ່າ, EVFTA ແລະ EVIPA ແມ່ນບັນດາສັນຍາທີ່ໄດ້ໃຫ້ຄໍາໝັ້ນສັນຍາຢ່າງເລິກເຊິ່ງ, ກວ້າງຂວາງ ແລະຮອບດ້ານ.	Bạn biết đấy, Evfta và Evpta được trình diễn, rộng rãi, rộng rãi và xung quanh.
ສະນັ້ນ, ບັນດາອົງການທີ່ກ່ຽວຂ້ອງຂອງຫວຽດນາມ ແລະອີຢູ ໄດ້ມານະພະຍາຍາມຈົນສຸດຄວາມສາມາດຂອງຕົນໃນວິວັດການເຈລະຈາ, ເຫັນດີເປັນເອກະພາບເນື້ອໃນສັນຍາ.	Do đó, các cơ quan liên quan của Việt Nam và EU đã đến với những nỗ lực tốt nhất của mình trong việc thương lượng, đồng ý như một nội dung hợp đồng.
ຕາມທ່ານ ບຸ່ຍແທັງເຊີນ ແລ້ວ, ເນື້ອໃນກ່ຽວກັບ EVFTA ແລະ EVIPA ໄດ້ຮັບການຍົກອອກມາໃນຂອບເຂດບັນດາການພົບປະ, ແລກປ່ຽນ, ການເຮັດວຽກຂອງການນໍາຂັ້ນສູງຫວຽດນາມກັບການນໍາບັນດາປະເທດ ແລະບັນດາອົງການຂອງອີຢູ ນັບແຕ່ທ້າຍປີ 2018 ມາຮອດປັດຈຸບັນ.	Theo xe tăng, nội dung của Evfta và Evipa đã được nâng lên trong cuộc họp và lãnh đạo của Việt Nam từ cuối năm 2012
ທ່ານ ບຸ່ຍແທັງເຊີນ ເນັ້ນໜັກວ່າ “ເລື່ອງບັນດາສະມາຊິກຂອງອີຢູ ຮັບຮອງເອົາຂໍ້ຕົກລົງເຊັນສັນຍາ EVFTA ແລະ EVIPA ໂດຍໄວ ເປັນການຢັ້ງຢືນວ່າ: ອີຢູ ຕີລາຄາສູງບົດບາດ ແລະຖານະບົດບາດຂອງຫວຽດນາມ, ຖືເປັນສໍາຄັນການພົວພັນຄູ່ຮ່ວມມື ແລະການຮ່ວມມືຮອບດ້ານສອງຝ່າຍ, ທັງແມ່ນໝາກຜົນແຫ່ງວິວັດການສົມທົບກັນຢ່າງແໜ້ນແຟ້ນ, ມີປະສິດທິຜົນລະຫວ່າງບັນດາອົງການຂອງສອງຝ່າຍ.	Nói chuyện lời mời để tăng cường thỏa thuận thành viên EVFTA và EVPIPA, với hiệu quả của sự kiện, cả hai cộng đồng song phương.
ນີ້ແມ່ນພື້ນຖານເພື່ອໃຫ້ສອງຝ່າຍສືບຕໍ່ປະຕິບັດສໍາເລັດວິວັດການໃຫ້ສັດຕະຍາບັນເພື່ອໃຫ້ບັນດາສັນຍາດັ່ງກ່າວມີຜົນສັກສິດ ໂດຍໄວໃນໄລຍະຈະມາເຖິງ.	Về cơ bản, điều này là để cung cấp cho hai bên tiếp tục hoàn thành việc phê chuẩn để hoàn thành những lời hứa sẽ có hiệu quả hiệu quả trong việc sắp tới.
ພິທີລົງນາມໃນສັນຍາປົກປ້ອງການລົງທຶນລະຫວ່າງຫວຽດນາມ ແລະສະຫະພາບເອີລົບ.	Việt Nam và Thỏa thuận dự kiến của Liên minh Châu Âu về Việt Nam và Liên minh châu Âu.
ພາບ:ຈ້ອງຫາຍ.	Ảnh: Chăm sóc.
