ກປ.ອອນໄລ - ວັນທີ 30 ມິຖຸນາ, “ກຳປັ່ນ ຂົນສົ່ງສັນຍາການຄ້າເສລີ (EVFTA) ແລະສັນຍາປົກປ້ອງການລົງທຶນ (EVIPA) ລະຫວ່າງຫວຽດນາມ ແລະສະຫະພາບເອີລົບ (ອີຢູ) ໄດ້ກັບມາຮອດຮ່າໂນ້ຍ, ສະຖານີລົດໄຟສຸດທ້າຍໃນວິວັດແຫ່ງການເຈລະຈາທີ່ແກ່ຍາວເປັນເວລາ 7 ປີຜ່ານມາ.	Miễn phí - 30 tháng 6, "Thỏa thuận giao dịch và giao dịch đầu cuối" Evpta trong bảy năm qua.
ຂີດໝາຍປະຫວັດສາດ ເຊິ່ງໄດ້ຮັບການສ້າງຕັ້ງໃນປະຫວັດສາດການພົວພັນ ຫວຽດນາມ - ອີຢູ, ເປີດກາລະໂອກາດຮ່ວມມືຢ່າງກວ້າງໃຫຍ່, ຮອບດ້ານ ແລະພັດທະນາຢ່າງແຮງ, ຕອບສະໜອງຄວາມຕ້ອງການຂອງປະຊາຊົນ, ວິສາຫະກິດຂອງສອງຝ່າຍ.	Milestone lịch sử được thành lập trong lịch sử hợp tác Việt Nam, và phát triển mạnh người, doanh nghiệp của hai bên.
EVFTA ແມ່ນຄວາມປາດຖະໜາຂອງຫວຽດນາມ ແລະອີຢູ ເມື່ອເຫັນວ່າໂຄງປະກອບເສດຖະກິດສອງຝ່າຍສາມາດປັບປຸງ, ໜູນຊ່ວຍໃຫ້ກັນ.	Evfta là một sự mong muốn của Việt Nam và Asice EU trong trường hợp các hợp chất song phương có thể cải thiện, hỗ trợ cùng nhau.
ໂດຍເລີ່ມຈາກຄວາມປາດຖະໜາເຫຼົ່ານັ້ນ, ເດືອນ ມິຖຸນາ 2012, ທ່ານລັດຖະມົນຕີກະຊວງອຸດສາຫະກຳ ແລະການຄ້າຫວຽດນາມ ແລະຂ້າຫຼວງໃຫຍ່ຮັບຜິດຊອບດ້ານການຄ້າຂອງອີຢູ ຖະແຫຼງເລີ່ມດຳເນີນການເຈລະຈາສັນຍາ EVFTA.	Từ đầu những mong muốn đó, tháng 6 năm 2012, thương mại và thương mại của EVFA trong thương mại Việt Nam, Evfta Trade.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ພ້ອມກັບບັນດາຜູ້ແທນຖ່າຍຮູບເປັນທີ່ລະນຶກ.	Thủ tướng Việt Nam Nguyễn Xuân Nguyễn Xukhammouane Bộ trưởng Việt Nam với đại diện tuyển dụng.
ພາບ: ຈ້ອງຫາຍ.	Ảnh: Chăm sóc.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ວິວັດການເຈລະຈາ EVFTA ໄດ້ປະສົບກັບອຸປະສັກບໍ່ແມ່ນໜ້ອຍໂດຍເລີ່ມຈາກຄວາມຮຽກຮ້ອງຕ້ອງການຂອງແຕ່ລະຝ່າຍ.	Tuy nhiên, sự tiến hóa đàm phán các chướng ngại vật không ít hơn bằng cách bắt đầu với các yêu cầu của mỗi bên.
ບັນດາຮົ້ວກີດຂວາງທີ່ເຮັດໃຫ້ລະດັບຄວາມໄວຂອງ “ກຳປັ່ນ EVFTA ຊ້າລົງ ຄື: ການປົກປັກຮັກສາສິ່ງແວດລ້ອມ, ສິດຜົນປະໂຫຍດຂອງຜູ້ອອກແຮງງານ...	Hàng rào gây ra mức độ tốc độ của "tàu EVFTA: bảo vệ môi trường, quyền của công nhân ...
ແຕ່ສຸດທ້າຍກໍ່ບໍ່ສາມາດກີດຂວາງເຈດຈຳນົງຂອງບັນດາການນຳຫວຽດນາມ ແລະ ອີຢູ ໄດ້.	Nhưng sự kết thúc không thể được xác định là tích hợp của Việt Nam và EU.
ເລື່ອງ ຫວຽດນາມ ແລະ ອີຢູ ເຫັນດີເປັນເອກະພາບແຍກ EVFTA ເປັນສັນຍາ 2 ສະບັບໃໝ່, ລວມມີ EVFTA ແລະ EVIPA ໃນເດືອນ ມິຖຸນາ 2018 ສະແດງໃຫ້ເຫັນສອງຝ່າຍຕັດສິນໃຈນຳ “ກຳປັ່ນ ສັນຍາໄປຖືກຕາມເສັ້ນທາງ.	Việt Nam, Eccatities đồng ý tách các phiên bản EVFTA 2, bao gồm cả hai hình.
ຫຼັກການພື້ນຖານເຫຼົ່ານັ້ນໂດຍບັນດານັກເຈລະຈາຫວຽດນາມ ແລະ ອີຢູ ປະຕິບັດໃນວິວັດການເຈລະຈາກໍ່ຄືກວດການິຕິກຳ-ນັ້ນແມ່ນປັດໄຈເພື່ອໃຫ້ “ກຳປັ່ນ ສັນຍາ EVFTA ແລະ EVIPA ກັບມາຮອດສະຖານີລົດໄຟ “ເຊັນສັນຍາ ໃນຕອນບ່າຍວັນທີ 30 ມິຖຸນາ.	Những nguyên tắc của Việt Nam và các cuộc đàm phán châu Âu trong quá trình tiến hóa và EVFIPA và EVPIPA.
ເລື່ອງເຊັນສັນຍາ EVFTA ແລະ EVIPA ກັບອີຢູ ສະແດງໃຫ້ເຫັນຖານະບົດບາດຂອງຫວຽດນາມ ໃນພື້ນຖານເສດຖະກິດທົ່ວໂລກໄດ້ເພີ່ມຂຶ້ນ.	EVFTA Ký hiệu và Hiệp định EVPIPA với EU cho thấy vai trò của Việt Nam trong cơ sở kinh tế toàn cầu.
ນີ້ແມ່ນສັນຍາຮອບດ້ານທີ່ສຸດ ເຊິ່ງ ອີຢູ ເຄີຍເຊັນກັບປະເທດທີ່ນອນໃນກຸ່ມທີ່ມີລາຍຮັບປານກາງ, ສ້າງມາດຕະຖານໃໝ່ໃຫ້ການພົວພັນແລກປ່ຽນຕ່າງໆຂອງ ອີຢູ ກັບບັນດາປະເທດມີພື້ນຖານເສດຖະກິດຫາກໍ່ພົ້ນເດັ່ນອື່ນ.	Đây là hợp đồng phổ biến nhất với EU bao giờ đã ký vào thu nhập trung bình và tiêu chuẩn doanh thu với các quốc gia khác.
ມາຮອດປະຈຸບັນ, ຫວຽດນາມ ແມ່ນປະເທດທີ 4 ໃນພາກພື້ນອາຊີ - ປາຊີຟິກ ແລະແມ່ນປະເທດທີ 2 ໃນພາກພື້ນ ອາຊຽນ ເຊັນ FTA ກັບ ອີຢູ.	Cho đến nay, Việt Nam là quốc gia thứ tư ở Châu Á-Thái Bình Dương và là quốc gia thứ 2 trong khu vực của khu vực.
ສັນຍາ 2 ສະບັບກັບ ອີຢູ ໄດ້ເຮັດໃຫ້ທີ່ຕັ້ງຂອງ ຫວຽດນາມ ເທົ່າທຽມກັບບັນດາຄູ່ຮ່ວມມືໃຫຍ່ຂອງ ອີຢູ ຢູ່ ອາຊີ ຄື: ຍີ່ປຸ່ນ ແລະ ສ.	Thỏa thuận 2 đối với EU đã khiến Việt Nam nằm trong quan hệ đối tác lớn của châu Á: Nhật Bản và Nhật Bản và Lào.
ເກົາຫຼີ.	Korea.
ຍິ່ງມີຄວາມໝາຍກວ່າອີກເມື່ອສັນຍາ 2 ສະບັບ EVFTA ແລະ EVIPA ບໍ່ພຽງແຕ່ນໍາມາເຊິ່ງຜົນປະໂຫຍດສໍາຄັນໃຫ້ທັງຫວຽດນາມ ແລະ ອີຢູ ເທົ່ານັ້ນ ຫາກຍັງມີຄວາມໝາຍໃຫຍ່ຕໍ່ການຮ່ວມມືດ້ານການຄ້າຢູ່ ເອີລົບ ແລະ ອາຊີ ອີກດ້ວຍ.	Nhiều hơn bất kỳ hợp đồng của Evfta và Evipa không chỉ để có một lợi ích lớn cho Việt Nam và Châu Á.
ເພື່ອນຳ “ກຳປັ່ນ EVFTA ແລະ EVIPA ໃຫ້ໄປຖືກຕາມເສັ້ນທາງແມ່ນຄວາມມານະພະຍາຍາມອັນໃຫຍ່ຫຼວງຂອງຫວຽດນາມ ແລະ ອີຢູ, ທັງສະແດງໃຫ້ເຫັນທ່າອ່ຽງຮ່ວມມືໃໝ່ໃນສະພາບການພື້ນຖານເສດຖະກິດໂລກພວມມີການປ່ຽນແປງຫຼາຍຢ່າງ ເຊິ່ງຄາດຄະເນໄດ້ຍາກຍ້ອນຜົນກະທົບຈາກສົງຄາມການຄ້າ ອາເມລິກາ - ຈີນ.	Để mang "tàu Evfta và Evipa, vinh quang bị tổn hại trong nền kinh tế toàn cầu, Trung Quốc, Trung Quốc.
ພຽງແຕ່ສັງເກດບັນດາຂໍ້ຕົກລົງໃນສັນຍາ EVFTA ກໍ່ສາມາດເຫັນໄດ້ກາລະໂອກາດຮ່ວມມືດ້ານການຄ້າລະຫວ່າງ ອີຢູ ແລະຫວຽດນາມ ໃຫຍ່ຄືແນວໃດແລ້ວເມື່ອບັນດາກະແສພາສີຈາກລະດັບ 99% ຈະຫຼຸດລົງ 0% ໃນຮອບເວລາ 7 ຫາ 10 ປີຈະມາເຖິງ.	Chỉ cần lưu ý Thỏa thuận về Thỏa thuận EVFTA, khi các luồng thuế có thể được nhìn thấy ở mức 99% thuế và Việt Nam sẽ đến.
