ກປ.ອອນໄລ - ໂດຍໄດ້ຮັບຄໍາເຊີນຂອງທ່ານ Li Zhanshu ປະທານສະພາຜູ້ແທນປະຊາຊົນທົ່ວປະເທດຈີນ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ນໍາໜ້າຄະນະຜູ້ແທນຂັ້ນສູງສະພາແຫ່ງຊາດຫວຽດນາມ ເດີນທາງໄປຢ້ຽມຢາມ ສປ.ຈີນ ຢ່າງເປັນທາງການໃນລະຫວ່າງວັນທີ 8 -12 ກໍລະກົດ 2019.	Lời mời Li Zhanshu đến Đại hội Cộng hòa Việt Nam, Nguyễn Nguyễn Nguyên Nguyễn X Bí thư Quốc hội
ຫວຽດນາມ ແລະຈີນ ມີການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອ ເຊິ່ງປະທານ ໂຮ່ຈີ໊ມິນ ແລະປະທານ ເມົາເຈີຕຸງ ເປັນຜູ້ກໍ່ຕັ້ງ, ບັນດາການນຳພັກ, ລັດ ລຸ້ນຕ່າງໆພ້ອມກັບປະຊາຊົນສອງປະເທດໄດ້ຮັກສາ ແລະພັດທະນາ.	Việt Nam, Trung Quốc, Tổng thống Vijung Hữu nghị và Chủ tịch, Tiệc tùng, Phiên bản, với hai tiểu bang và phát triển.
ສອງຝ່າຍໄດ້ຮັກສາບັນດາການຢ້ຽມຢາມ ແລະພົບປະຂັ້ນສູງ;	Hai bên đã duy trì du khách và cao cấp;
ພົບປະ ແລະແລກປ່ຽນເນື່ອງໃນໂອກາດການນຳຂັ້ນສູງສອງປະເທດພ້ອມກັນເຂົ້າຮ່ວມບັນດາກອງປະຊຸມຫຼາຍຝ່າຍຢ່າງເປັນປະຈຳ.	Tìm thấy và trao đổi do hai cơ hội lãnh đạo lớn, tham gia một số phiên.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ.	Nguyễn Nguyễn Nguyên Nguyễn Nguyễn Nguyên Nguyễn Nguyễn Thập Nguyễn Nguyên Trong Quốc hội Nguyễn Thánh Đại hội nhỏ
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ພ້ອມກັບການພົວພັນດ້ານການເມືອງອັນດີງາມ, ການຮ່ວມມືດ້ານເສດຖະກິດ, ການຄ້າກໍ່ໄດ້ຮັບການຕີລາຄາວ່າແມ່ນຈຸດພົ້ນເດັ່ນໃນການພົວພັນຫວຽດນາມ-ຈີນ.	Cùng, kinh tế, hợp tác kinh tế, hợp tác thương mại cũng được đánh giá cao ở Việt Nam-Trung Quốc.
ປະຈຸບັນ ຈີນ ແມ່ນຄູ່ຮ່ວມມືການຄ້າໃຫຍ່ທີ່ສຸດ, ຕະຫຼາດນຳເຂົ້າໃຫຍ່ທີ່ສຸດ ແລະຕະຫຼາດສົ່ງອອກໃຫຍ່ທີສອງຂອງຫວຽດນາມ ຢູ່ໃນໂລກ.	Trung Quốc hiện là đối tác thương mại lớn nhất, thị trường lớn nhất Việt Nam và thị trường xuất khẩu lớn thứ hai trên thế giới.
ຫວຽດນາມ ແລະຈີນ ກໍໍ່ຍູ້ແຮງການຮ່ວມມືໃນບັນດາຂົງເຂດການປ້ອງກັນຊາດ, ວັດທະນະທຳ, ການສຶກສາ-ກໍ່ສ້າງ, ກະສິກຳ, ຄົມມະນາຄົມຂົນສົ່ງ, ວິທະຍາສາດເຕັກໂນໂລຢີ, ຊັບພະຍາກອນສິ່ງແວດລ້ອມ.	Việt Nam và Trung Quốc cũng đã thúc đẩy sự hợp tác tại các khu vực, giáo dục, giáo dục, nông nghiệp, công nghệ, tài nguyên môi trường, tài nguyên môi trường.
ການພົບປະແລກປ່ຽນປະຊາຊົນ ແລະການຮ່ວມມືລະຫວ່າງບັນດາທ້ອງຖິ່ນຂອງສອງປະເທດກໍ່ໄດ້ຮັບການຜັນຂະຫຍາຍຢ່າງມີປະສິດທິຜົນດ້ວຍຫຼາຍຮູບການ, ຫຼາຍຮູບຫຼາຍແບບ ແລະອຸດົມສົມບູນ.	Cuộc họp và sự hợp tác của mọi người giữa hai nước cũng cạn kiệt hiệu quả với một số hình dạng, nhiều hình dạng và giàu có.
ເພື່ອຍາດໄດ້ຜົນສຳເລັດອັນດີງາມເຫຼ່ົານັ້ນສ່ວນໜຶ່ງແມ່ນຍ້ອນມີການປະກອບສ່ວນບໍ່ແມ່ນໜ້ອຍໃນການຮ່ວມມືລະຫວ່າງສະພາແຫ່ງຊາດຫວຽດນາມ ແລະສະພາຜູ້ແທນປະຊາຊົນທົ່ວປະເທດຈີນ.	Để có được thành tựu tốt, một phần của Quốc hội Việt Nam và Cộng hòa Trung Quốc.
ສອງຝ່າຍໄດ້ເຊັນຂໍ້ຕົກລົງຮ່ວມມື, ແລກປ່ຽນຄະນະຜູ້ແທນຂັ້ນສູງຢ່າງເປັນປະຈຳ;	Hai bên đã ký thỏa thuận hợp tác, trao đổi đại biểu cao;
ພົບປະກັນທີ່ກອງປະຊຸມ, ເວທີປາໄສພາກພື້ນ ແລະສາກົນຕ່າງໆ;	Cuộc họp tại các diễn đàn cuộc họp, khu vực và quốc tế;
ບັນດາອົງການວິຊາສະເພາະ, ສອງກຸ່ມລັດຖະສະພາມິດຕະພາບ, ບັນດາສະມາຊິກສະພາແຫ່ງຊາດຫວຽດນາມ ແລະບັນດາສະມາຊິກສະພາຜູ້ແທນປະຊາຊົນທົ່ວປະເທດຈີນ ໄດ້ພົບປະແລກປ່ຽນ, ເພີ່ມທະວີຄວາມເຂົ້າອົກເຂົ້າໃຈເຊິ່ງກັນ ແລະກັນ, ພ້ອມກັນແລກປ່ຽນບົດຮຽນເຄື່ອນໄຫວຢ່າງເປັນປະຈຳ ແລະເຫັນດີເປັນເອກະພາບຮ່ວມມືຕາມທິດນັບມື້ນັບແທດຈິງ, ເຂົ້າສູ່ລວງເລິກ ແລະມີປະສິດທິຜົນ.	Khóa học nước ngoài, tình bạn và hội đồng liên bang, và đồng ý với một phái đoàn, và đồng ý với phái đoàn
ຜ່ານການເຄື່ອນໄຫວຮ່ວມມືຕ່າງໆ, ສະພາແຫ່ງຊາດຫວຽດນາມ ແລະສະພາຜູ້ແທນປະຊາຊົນທົ່ວປະເທດຈີນ ໄດ້ສ້າງສະພາບແວດລ້ອມ, ນະໂຍບາຍ ແລະກົດໝາຍ ເພື່ອຊຸກຍູ້ການພັດທະນາໃນການພົວພັນຮ່ວມມື, ປະຕິບັດຂໍ້ຕົກລົງລະຫວ່າງການນຳຂັ້ນສູງສອງປະເທດເປັນຢ່າງດີ.	Thông qua sự hợp tác, Quốc hội Việt Nam, Cộng hòa Trung Quốc, đại diện, Trung Quốc đã thiết lập sự phát triển của các hợp tác hai quốc gia.
ໂດຍສືບທອດທ່າພັດທະນາໃນການພົວພັນລະຫວ່າງສອງປະເທດ, ການຢ້ຽມຢາມ ສປ ຈີນ ຢ່າງເປັນທາງການຂອງທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ແມ່ນກາລະໂອກາດເພື່ອໃຫ້ສອງປະເທດພ້ອມກັນຮັບຮູ້, ຕີລາຄາຄືນບັນດາໝາກຜົນໃນການພົວພັນລະຫວ່າງສອງປະເທດເວົ້າລວມ, ລະຫວ່າງສະພາແຫ່ງຊາດຫວຽດນາມ ແລະສະພາຜູ້ແທນປະຊາຊົນທົ່ວປະເທດຈີນ ເວົ້າສະເພາະ;	Bằng cách thừa kế, mối quan hệ chính thức của Chủ tịch Việt Nam của Quốc hội và Cộng hòa Trung Quốc, Cộng hòa Trung Quốc và Hàn Quốc
ປັບປຸງ ແລະເພີ່ມທະວີຄວາມໄວ້ເນື້ອເຊື່ອໃຈດ້ານການເມືອງ, ຊຸກຍູ້ການປະຕິບັດບັນດາຄວາມຮັບຮູ້ລວມໃນຂໍ້ຕົກລົງ ເຊິ່ງການນຳຂັ້ນສູງຂອງສອງປະເທດບັນລຸໄດ້;	Cải thiện và tăng niềm tin chính trị, thúc đẩy thực hiện thỏa thuận trong đó lãnh đạo của hai nước đạt được càng cao;
ແລກປ່ຽນມາດຕະການເພີ່ມທະວີການຮ່ວມມືຮອບດ້ານລະຫວ່າງຫວຽດນາມ ກັບ ຈີນ ໃນບັນດາຂົງເຂດລະອຽດ, ການຮ່ວມມືໃນບັນດາເວທີປາໄສຫຼາຍຝ່າຍກໍ່ຄືການແລກປ່ຽນກ່ຽວກັບບັນດາບັນຫາສາກົນ ເຊິ່ງຕ່າງຝ່າຍຕ່າງມີຄວາມສົນໃຈ...	Trung Quốc, hợp tác của Trung Quốc tại Việt Nam, hợp tác, hợp tác, trao đổi các vấn đề quốc tế, Trung Quốc
ພວກເຮົາເຊື່ອໝັ້ນວ່າ, ການຢ້ຽມຢາມ ສປ.ຈີນ ຢ່າງເປັນທາງການຂອງທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຈະປະສົບຜົນສຳເລັດຢ່າງຈົບງາມ ແລະປະກອບສ່ວນຢ່າງຕັ້ງໜ້າໃຫ້ແກ່ການເພີ່ມພູນຄູນສ້າງສາຍ ພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອ, ຄູ່ຮ່ວມມືຍຸດທະສາດຮອບດ້ານລະຫວ່າງສອງປະເທດ, ນຳການພົວພັນຮ່ວມມືລະຫວ່າງສະພາແຫ່ງຊາດຫວຽດນາມ ແລະສະພາຜູ້ແທນປະຊາຊົນທົ່ວປະເທດຈີນ ຂຶ້ນສູ່ລະດັບສູງໃໝ່.	Chúng tôi tin rằng, đến thăm Tổng thống Trung Quốc Nguyễn Phú, Việt Nam, Cộng hòa Việt Nam, đại diện của Quốc hội và đại diện
ໂດຍ: ແສງເດືອນ.	Đăng bởi: Tháng ánh sáng.
