ກປ.ອອນໄລ - ໃນຂອບເຂດການຢ້ຽມຢາມ ສປ.ຈີນ ຢ່າງເປັນທາງການ, ຕອນບ່າຍວັນທີ 8 ກໍລະກົດ, ຢູ່ແຂວງຈ່ຽງຊູ, ຈີນ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ, ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ຕ້ອນຮັບທ່ານ Lou Qinjian, ເລຂາພັກແຂວງ, ປະທານສະພາປະຊາຊົນແຂວງຈ່ຽງຊູ.	Trung Quốc chính thức, Nguyễn Nguyễn Tấn Sang, Nguyễn Thị Xukham, Chủ tịch Nguyễn Tấn Tây.
ທີ່ການຕ້ອນຮັບ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ຕີລາຄາສູງຜົນການຮ່ວມມືດ້ານເສດຖະກິດລະຫວ່າງແຂວງຈ່ຽງຊູ ແລະຫວຽດນາມ, ຍ້ອນວ່າໃນວົງເງິນການຄ້າລະຫວ່າງຫວຽດນາມ-ຈີນ ກວ່າ 100 ຕື້ໂດລາສະຫະລັດ, ແຂວງຈ່ຽງຊູປະກອບສ່ວນກວ່າ 15 ຕື້ໂດລາສະຫະລັດ.	Lễ tân, Nguyễn Minh Minh và Đầu tư tài chính Việt Nam, vì thương mại tại Việt Nam, US $ 15 tỷ.
ເນື່ອງໃນໂອກາດນີ້, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ແຈ້ງໃຫ້ຊາບວ່າ, ຫວຽດນາມ ໄດ້ເຂົ້າຮ່ວມສັນຍາການຄ້າເສລີສອງຝ່າຍ, ຫຼາຍຝ່າຍຫຼາຍສະບັບກັບຫຼາຍປະເທດ, ພາກພື້ນໃນໂລກ.	Nhân dịp này, Việt Nam đã gia nhập Hiệp định thương mại tự do hai bên với nhiều quốc gia, khu vực khu vực.
ຫວ່າງມໍ່ໆມານີ້, ຫວຽດນາມ ແລະສະຫະພາບເອີລົບ (ອີຢູ) ໄດ້ລົງນາມໃນສັນຍາການຄ້າເສລີຫວຽດນາມ-ອີຢູ (EVFTA).	Gần đây, Việt Nam và Liên minh châu Âu (EVFTA).
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ແລະທ່ານ Lou Qinjian, ເລຂາພັກແຂວງ, ປະທານສະພາປະຊາຊົນແຂວງຈ່ຽງຊູ ທີ່ການຕ້ອນຮັບ.	Nguyễn Minh Nguyên Giangons, Bí thư Tỉnh, Chủ tịch nhân dân để chào đón người dân.
ພາບ: ຈ໊ຽນຖັ໊ງ.	Ảnh: VNA AGENDUM
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ເນັ້ນໜັກວ່າ, ຈີນ ເປັນຄູ່ຮ່ວມມືດ້ານການຄ້າໃຫຍ່ທີ່ສຸດຂອງຫວຽດນາມໃນປັດຈຸບັນ ແລະຫວຽດນາມ ເປັນຄູ່ຮ່ວມມືດ້ານການຄ້າໃຫຍ່ທີ່ສຸດຂອງຈີນຢູ່ອາຊຽນ.	Thêm quan hệ đối tác thương mại lớn nhất của Việt Nam, Trung Quốc là đối tác thương mại lớn nhất trên ASEAN.
ໃນນະໂຍບາຍພົວພັນຕ່າງປະເທດຂອງຫວຽດນາມ, ຈີນ ເປັນຄູ່ຮ່ວມມືສໍາຄັນແຖວໜ້າດ້ວຍການພົວພັນຮ່ວມມືໃນຂົງເຂດການເມືອງ, ການທູດ, ເສດຖະກິດ, ວິທະຍາສາດເຕັກໂນໂລຢີ ແລະການພົບປະແລກປ່ຽນປະຊາຊົນ.	Tại Việt Nam, Trung Quốc, hợp tác nước ngoài của Trung Quốc với sự hợp tác chính trị, hợp tác ngoại giao, công nghệ, công nghệ và người dân.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ຖືວ່າ, ດ້ວຍຄວາມມານະພະຍາຍາມລວມ, ສອງຝ່າຍຈະສືບຕໍ່ຮັກສາສາຍພົວພັນຮ່ວມມືຢ່າງມີປະສິດທິຜົນ ແລະດີງາມລະຫວ່າງສອງປະເທດ ກໍ່ຄືລະຫວ່າງບັນດາທ້ອງຖິ່ນຂອງສອງປະເທດ.	Nguyễn Minh của Nguyễn Giangons được xem xét, hai bên sẽ tiếp tục duy trì sự hợp tác và sự tốt lành giữa hai nước.
ບັນຍາກາດທີ່ການຕ້ອນຮັບ.	Bầu không khí chào đón.
ພາບ: ຈ໊ຽນຖັ໊ງ.	Ảnh: VNA AGENDUM
ທ່ານ Lou Qinjian ຢັ້ງຢືນວ່າ, ການພົວພັນດ້ານການຄ້າລະຫວ່າງແຂວງຈ່ຽງຊູ ແລະຫວຽດນາມ ສືບຕໍ່ໄດ້ຮັກສາໄວ້.	Lou Qinjian xác nhận, quan hệ thương mại và Việt Nam tiếp tục được duy trì.
ມີຫຼາຍວິສາຫະກິດຢູ່ແຂວງຈ່ຽງຊູ ປາດຖະໜາຢາກລົງທຶນເຂົ້າຫວຽດນາມ.	Có rất nhiều doanh nghiệp trong tỉnh đầu tư vào Việt Nam.
ຄຽງຂ້າງນັ້ນ, ການເຄື່ອນໄຫວພົບປະແລກປ່ຽນປະຊາຊົນລະຫວ່າງແຂວງຈ່ຽງຊູ ແລະຫວຽດນາມ ກໍ່ຟົດຟື້ນທີ່ສຸດ.	Bên cạnh nhau, các hoạt động tìm thấy người dân và người Việt Nam.
ແຂວງຈ່ຽງຊູ ປາດຖະໜາຢາກສືບຕໍ່ຊຸກຍູ້ການຮ່ວມມືກັບຫວຽດນາມ ໃນການພັດທະນາເສດຖະກິດ, ພັດທະນາເຂດອຸດສາຫະກໍາ, ການພົບປະແລກປ່ຽນປະຊາຊົນ, ວັດທະນະທໍາ ແລະການທ່ອງທ່ຽວ.	Tỉnh Latino muốn tiếp tục thúc đẩy hợp tác với Việt Nam trong phát triển kinh tế, sự phát triển của con người, văn hóa, văn hóa và du lịch.
ໂດຍ: ທູຈາງ.	Bởi: mẫu.
