ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 11 ກໍລະກົດ, ພິທີຕ້ອນຮັບທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ດໍາເນີນຢ່າງສົມກຽດຢູ່ນະຄອນຫຼວງປັກກິ່ງ (ຈີນ).	Chiều 11/7, tại Bắc Kinh đã diễn ra Lễ đón Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng.
ທ່ານ Li Zhanshu ປະທານສະພາຜູ້ແທນປະຊາຊົນທົ່ວປະເທດຈີນ ເປັນປະທານພິທີຕ້ອນຮັບ.	Li Zhanshu, Chủ tịch Đại hội Đại biểu Nhân dân Toàn quốc (NPC), chủ trì lễ đón.
ພາຍຫຼັງພິທີຕ້ອນຮັບ, ສອງຝ່າຍໄດ້ດໍາເນີນການພົບປະເຈລະຈາ.	Sau lễ đón, hai bên đã tiến hành hội đàm.
ທີ່ການພົບປະເຈລະຈາ, ສອງຝ່າຍເຫັນດີເປັນເອກະພາບເພີ່ມທະວີການຮ່ວມມືສອງປະເທດເພື່ອແນໃສ່ເປົ້າໝາຍນໍາມາເຊິ່ງຄວາມຜາສຸກໃຫ້ແກ່ປະຊາຊົນ.	Tại cuộc hội đàm, hai bên nhất trí tăng cường hợp tác giữa hai nước với mục tiêu mang lại hạnh phúc cho người dân.
ສອງຝ່າຍສືບຕໍ່ເສີມຂະຫຍາຍບັນດາກົນໄກຮ່ວມມືທີ່ມີຢູ່ແລ້ວ, ເຮັດໃຫ້ເນື້ອໃນການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດຮອບດ້ານໃຫ້ອຸດົມສົມບູນຂຶ້ນຕື່ມ.	Hai bên tiếp tục củng cố các cơ chế hợp tác hiện có, làm phong phú thêm nội dung của quan hệ Đối tác chiến lược toàn diện.
ທ່ານ Li Zhanshu ປະທານສະພາຜູ້ແທນປະຊາຊົນທົ່ວປະເທດຈີນ ຕ້ອນຮັບທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ.	Li Zhanshu, Chủ tịch Đại hội Đại biểu Nhân dân Toàn quốc (NPC), tiếp Chủ tịch Quốc hội Nguyễn Thị Kim Ngen.
ພາບ:ຈ໊ຽນຖັ໊ງ.	Ảnh: Chiến Thắng
ກ່ຽວກັບການຮ່ວມມືດ້ານເສດຖະກິດ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ຖືວ່າ, ການຮ່ວມມື ແລະການລົງທຶນລະຫວ່າງສອງປະເທດໃນໄລຍະຜ່ານມາແມ່ນມີການຂະຫຍາຍຕົວຢ່າງຕັ້ງໜ້າ;	Về hợp tác kinh tế, bà Nguyễn Thị Kim Ngên cho biết, hợp tác và đầu tư giữa hai nước thời gian qua ngày càng phát triển bền vững;
ວົງເງິນການຄ້າສອງຝ່າຍປີ 2018 ບັນລຸ 106,3 ຕື້ໂດລາສະຫະລັດ.	Kim ngạch thương mại song phương năm 2018 đạt 106,3 tỷ đô la Mỹ.
ຈີນ ສືບຕໍ່ແມ່ນຄູ່ຮ່ວມມືດ້ານການຄ້າ, ການທ່ອງທ່ຽວໃຫຍ່ທີ່ສຸດຂອງຫວຽດນາມ, ພ້ອມທັງ, ຫວຽດນາມ ກໍ່ຮັກສາຕຳແໜ່ງຄູ່ຮ່ວມມືການຄ້າໃຫຍ່ທີ່ສຸດຂອງຈີນຢູ່ອາຊຽນ.	Trung Quốc tiếp tục là đối tác thương mại và du lịch lớn nhất của Việt Nam, và Việt Nam duy trì vị thế là đối tác thương mại lớn nhất của Trung Quốc trong ASEAN.
ກ່ຽວກັບການຮ່ວມມືລະຫວ່າງບັນດາທ້ອງຖິ່ນ ແລະການພົບປະແລກປ່ຽນປະຊາຊົນ, ສອງຝ່າຍເຫັນດີເປັນເອກະພາບພ້ອມກັນມານະພະຍາຍາມຊຸກຍູ້, ໜູນຊ່ວຍ, ສົ່ງເສີມບັນດາທ້ອງຖິ່ນສອງປະເທດ, ເປັນຕົ້ນແມ່ນບັນດາທ້ອງຖິ່ນຢູ່ເຂດຊາຍແດນເສີມຂະຫຍາຍບົດບາດຂອງບັນດາກົນໄກທີ່ມີຢູ່ແລ້ວ, ເພີ່ມທະວີການພົບປະແລກປ່ຽນປະຊາຊົນ, ການຮ່ວມມືດ້ານເສດຖະກິດ, ການຄ້າ, ການທ່ອງທ່ຽວ;	Về hợp tác giữa các địa phương và giao lưu nhân dân, hai bên nhất trí nỗ lực chung để khuyến khích, hỗ trợ, thúc đẩy các địa phương hai nước, nhất là các địa phương khu vực biên giới, tăng cường vai trò của các cơ chế hiện có, nâng cao nhân dân- giao lưu nhân dân, thương mại và hợp tác;
