ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 16 ກໍລະກົດ, ກະຊວງປ້ອງກັນປະເທດ ໄດ້ຈັດຕັ້ງ	KPR Online - Sáng 16/7, Bộ Quốc phòng tổ chức
ກອງປະຊຸມປະເມີນຜົນວຽກງານເຊື່ອມໂຍງເຂົ້າກັບສາກົນ ແລະການພົວພັນຕ່າງປະເທດດ້ານປ້ອງກັນຊາດ ໃນໄລຍະ 6 ເດືອນຕົ້ນປີ 2019, ພາຍໃຕ້ການເປັນປະທານຂອງທ່ານພົນໂທ ຫງວຽນຈີ໊ວິ້ງ ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ.	Hội nghị được tổ chức dưới sự chủ trì của Trung tướng Nguyễn Chí Vịnh, Thứ trưởng Bộ Quốc phòng, trong 6 tháng đầu năm 2019.
ບົດລາຍງານໂດຍກົມພົວພັນຕ່າງປະເທດ-ກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ສະເໜີ ແລະບັນດາຄຳເຫັນປະກອບທີ່ກອງປະຊຸມລ້ວນແຕ່ເຫັນດີເປັນເອກະພາບວ່າ: ໃນໄລຍະ 6 ເດືອນຕົ້ນປີ 2019, ພາຍໃຕ້ການຊີ້ນໍາ, ນໍາພາຂອງຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດ ແລະດ້ວຍຄວາມມານະພະຍາຍາມຂອງທົ່ວກອງທັບ, ວຽກງານເຊື່ອມໂຍງເຂົ້າກັບສາກົນ ແລະການພົວພັນຕ່າງປະເທດດ້ານປ້ອງກັນຊາດ ໄດ້ຮັບການຜັນຂະຫຍາຍຢ່າງມີໄຫວພິບ, ມີຫົວຄິດປະດິດສ້າງ, ຄົບຊຸດ, ບັນລຸໄດ້ຜົນງານສໍາຄັນຫຼາຍຢ່າງ.	Báo cáo của Cục Đối ngoại - Bộ Quốc phòng Việt Nam trình bày và các ý kiến thảo luận thống nhất cho rằng: Sáu tháng đầu năm 2019, dưới sự chỉ đạo, lãnh đạo của Quân ủy Trung ương, Bộ Quốc phòng, toàn quân
ທ່ານພົນໂທ ຫງວຽນຈີ໊ວິ້ງ ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Trung tướng Nguyễn Chí Vịnh, Thứ trưởng Bộ Quốc phòng phát biểu chỉ đạo buổi gặp mặt.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ກ່ຽວກັບທິດທາງໃນໄລຍະ 6 ເດືອນທ້າຍປີ 2019, ກອງປະຊຸມເຫັນດີເປັນເອກະພາບວ່າ, ວຽກງານເຊື່ອມໂຍງເຂົ້າກັບສາກົນ ແລະການພົວພັນຕ່າງປະເທດດ້ານປ້ອງກັນຊາດ ສືບຕໍ່ຜັນຂະຫຍາຍຕາມເນື້ອໃນຈິດໃຈມະຕິກອງປະຊຸມໃຫຍ່ທົ່ວປະເທດ ຄັ້ງທີ XII ຂອງພັກ, ມະຕິສູນກາງຄັ້ງທີ 8 (ຊຸດທີ XI) ກ່ຽວກັບ “ຍຸດທະສາດປົກປັກຮັກສາປະເທດຊາດໃນສະພາບການໃໝ່ , ມະຕິຕ່າງໆຂອງກົມການເມືອງ, ຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດ...	Về phương hướng nhiệm vụ sáu tháng cuối năm 2019, đại hội nhất trí tiếp tục công tác hội nhập quốc tế và đối ngoại trong lĩnh vực quốc phòng theo tinh thần Nghị quyết Đại hội đại biểu toàn quốc lần thứ XII của Đảng, lần thứ VIII. Nghị quyết Ban Chấp hành Trung ương (Khoá XI) về
ບັນຍາກາດທີ່ກອງປະຊຸມ.	Không khí cuộc họp.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ກ່າວຄໍາເຫັນສະຫຼຸບ, ທ່ານພົນໂທ ຫງວຽນຈີ໊ວິ້ງ ໄດ້ຍ້ອງຍໍຊົມເຊີຍ ແລະຕີລາຄາສູງຄວາມມານະພະຍາຍາມຂອງບັນດາອົງການ, ກົມກອງໃນທົ່ວກອງທັບໃນການຜັນຂະຫຍາຍວຽກງານເຊື່ອມໂຍງເຂົ້າກັບສາກົນ ແລະການພົວພັນຕ່າງປະເທດດ້ານປ້ອງກັນຊາດ ໄລຍະ 6 ເດືອນຕົ້ນປີ 2019, ພ້ອມທັງຮຽກຮ້ອງໃຫ້ບັນດາອົງການ, ກົມກອງກວດກາຄືນ, ກໍານົດ ແລະຊຸກຍູ້ການຜັນຂະຫຍາຍວຽກງານຈຸດສຸມໃນການພົວພັນຕ່າງປະເທດດ້ານປ້ອງກັນຊາດໃນຊຸມເດືອນທ້າຍປີ 2019;	Phát biểu kết luận, Trung tướng Nguyễn Chí Vịnh biểu dương những nỗ lực của các tổ chức, ban ngành LLVT trong thực hiện công tác hội nhập quốc tế và đối ngoại 6 tháng đầu năm 2019;
ຕັ້ງໜ້າ, ເປັນເຈົ້າການກະກຽມໃຫ້ປີ 2020 ເມື່ອຫວຽດນາມ ດໍາລົງຕໍາແໜ່ງເປັນປະທານອາຊຽນເປັນຢ່າງດີ;	Chuẩn bị cho năm 2020 khi Việt Nam giữ tốt cương vị chủ tịch ASEAN;
ເອົາໃຈໃສ່ເປັນພິເສດເຖິງການຍົກສູງວຽກງານຖະແຫຼງຂ່າວ, ໂຄສະນາການພົວພັນຕ່າງປະເທດ ແລະການເຄື່ອນໄຫວພົບປະແລກປ່ຽນຢູ່ເຂດຊາຍແດນ...	Đặc biệt chú trọng tăng cường các hoạt động thông tin, tuyên truyền, đối ngoại, giao lưu ở biên giới ...
