ກປ.ອອນໄລ - ຕອນຄໍ່າວັນທີ 20 ກໍລະກົດ, ທີ່ແຂວງກວາງຈິ ໄດ້ດໍາເນີນພິທີໄຂງານມະໂຫລານສຽງເພງທາງເລກ 9 ຂຽວປີ 2019.	Tối 20/7, lễ khai mạc Đại nhạc hội Con đường xanh 2019 đã được tổ chức tại tỉnh Quảng Tây.
ກ່າວຄໍາເຫັນທີ່ພິທີໄຂ, ນັກສິລະປິນປະຊາຊົນ ຫງວຽນກວາງວີງ ຫົວໜ້າຄະນະຈັດຕັ້ງໃຫ້ຮູ້ວ່າ, ງານມະໂຫລານກໍ່ແມ່ນໂອກາດເພື່ອຜູ້ຊົມໜຸ່ມທີ່ໄດ້ເກີດມາ ແລະເຕີບໃຫຍ່ໃນສະພາບແວດລ້ອມສັນຕິພາບໄດ້ຫວນຄືນອະດີດທີ່ອົງອາດກ້າຫານຂອງປະເທດຊາດຜ່ານບັນດາຜະລິດຕະພັນສິລະປະ, ສ້າງຄວາມເອກອ້າງທະນົງໃຈຕໍ່ອະດີດຂອງຮຸ້ນພໍ່ຮຸ້ນອ້າຍ ຕື່ມອີກ, ຈາກນັ້ນຮ່ວມແຮງຮ່ວມໃຈ, ອຸທິດໃຫ້ພາລະກິດສ້າງສາ ແລະປົກປັກຮັກສາປະເທດຊາດໃຫ້ຫຼາຍກວ່າອີກ.	Phát biểu tại lễ khai mạc, ông Nguyễn Quang Vinh, trưởng ban tổ chức cho biết, liên hoan là dịp để những khán giả sinh ra và lớn lên trong môi trường hòa bình làm sống lại quá khứ hào hùng của đất nước thông qua các sản phẩm nghệ thuật.
ລາຍການສະແດງທີ່ງານມະໂຫລານ.	Các chương trình tại lễ hội.
ພາບ: baodansinh.vn.	Ảnh: baodansinh.vn.
ຕາງໜ້າການນໍາແຂວງ, ທ່ານ ຮວ່າງນາມ ຮອງປະທານຄະນະກໍາມະການປະຊາຊົນແຂວງກວາງຈິ ໄດ້ເນັ້ນໜັກເຖິງຄວາມໝາຍຂອງງານມະໂຫລານວ່າ: “ການເຂົ້າຮ່ວມຂອງບັນດາຄະນະສິລະປະມາຈາກສາກົນ ແລະພາຍໃນປະເທດໃນມື້ນີ້ແມ່ນແຫຼ່ງລະດົມກໍາລັງໃຈອັນໃຫຍ່ຫຼວງຕໍ່ແຂວງກວາງຈິ ທີ່ຮັກແພງບົນເສັ້ນທາງພັດທະນາ ແລະເຊື່ອມໂຍງ.	Thay mặt lãnh đạo tỉnh, ông Hoàng Nam, Phó Chủ tịch UBND tỉnh Quảng Chí cho biết: “Sự góp mặt của các đoàn nghệ thuật trong nước và quốc tế hôm nay là nguồn động viên to lớn đối với tỉnh Quảng Chí thân yêu trên con đường phát triển. và tích hợp.
ບັນດາລາຍການເຂົ້າຮ່ວມງານມະໂຫລານ.	Các vật phẩm tham dự lễ hội.
ພາບ: baodansinh.vn.	Ảnh: baodansinh.vn.
ພາຍຫຼັງພິທີໄຂແມ່ນລາຍການສະແດງສິລະປະຂອງໂຮງລະຄອນຟ້ອນລໍາທຳເພງກອງທັບດ້ວຍຫົວຂໍ້ “ບົດເພງໄຊຮັກສາປະເທດຊາດ.	Sau lễ khai mạc là chương trình nghệ thuật của Nhà hát Ca múa Quân đội mang tên Bài ca cứu nước.
ຖັດມາແມ່ນການສະແດງສິລະປະຂອງບັນດາຫົວໜ່ວຍຄື: ຄະນະສິລະປະບັນດາເຜົ່າແຂວງຮວ່າບິ່ງ, ໂຮງລະຄອນສິລະປະແຂວງຫວິງຟຸກ, ຄະນະສິລະປະແຂວງຮ່າຢາງ...	Tiếp đó là các tiết mục của các đoàn: Đoàn Nghệ thuật Dân tộc tỉnh Hòa Bình, Nhà hát Nghệ thuật tỉnh Vĩnh Phúc, Đoàn Nghệ thuật tỉnh Hà Giang ...
ໃນຕອນເຊົ້າ ແລະຕອນຄໍ່າແຕ່ວັນທີ 21 ກໍລະກົດ ຈົນຮອດວັນອັດງານມະໂຫລານໃນວັນທີ 25 ກໍລະກົດ.	Buổi sáng và tối từ ngày 21/7 cho đến hết ngày bế mạc lễ hội vào ngày 25/7.
ພິທີອັດງານມະໂຫລານຈະມີການເຂົ້າຮ່ວມພົບປະແລກປ່ຽນດ້ວຍຖານະແມ່ນແຂກຖືກເຊີນຂອງບັນດາຄະນະສິລະປະທີ່ມາຈາກປະເທດ ສປປ ລາວ ແລະລາຊະອານາຈັກກໍາປູເຈຍ.	Lễ bế mạc sẽ có sự tham gia của các nghệ sĩ khách mời đến từ CHDCND Lào và Vương quốc Campuchia.
ໂດຍ: ທະນາພອນ.	Theo: Thanaphone.
