ກປ.ອອນໄລ - ເຫຼົ່າທັບເຮືອໄດ້ຮັບການສ້າງຕັ້ງເມື່ອວັນທີ 7 ພຶດສະພາ 1955.	KPR Online - Hải quân được thành lập vào ngày 7 tháng 5 năm 1955.
ສ້າງຕັ້ງມາຍັງບໍ່ທັນຮອດ 10 ປີ, ທະຫານເຮືອໄດ້ອອກທັບບຸກຕີເອົາຊະນະບັ້ນຮົບທຳອິດໃນວັນທີ 2 ແລະວັນທີ 5 ສິງຫາ 1964, ເປີດອອກໄລຍະການຕໍ່ສູ້, ໄຊຊະນະ, ເຕີບໃຫຍ່ຢ່າງຕໍ່ເນື່ອງ, ສ້າງວິລະກຳດີເດັ່ນຫຼາຍຢ່າງ ແລະໄດ້ຮັບການຍ້ອງຍໍຊົມເຊີຍດ້ວຍນາມມະຍົດກົມກອງວິລະຊົນກໍາລັງປະກອບອາວຸດປະຊາຊົນ 2 ຄັ້ງຈາກພັກ ແລະລັດ.	Được thành lập cách đây chưa đầy 10 năm, Quân chủng Hải quân đã ra quân đánh trận đầu tiên vào ngày 2 và 5 tháng 8 năm 1964, ra quân đánh trận, lập chiến công, không ngừng trưởng thành, lập nên nhiều anh hùng kiệt xuất, được LLVT nhân dân và nhân dân ca ngợi. Bộ đội vũ trang hai lần.
ກ່ອນໜ້ານີ້ 55 ປີ, ວັນທີ 2 ສິງຫາ 1964, ເຖິງວ່າກໍາລັງຍັງອ່ອນນ້ອຍ ແລະອາວຸດຍຸດທະພັນຍັງຫຼ້າຫຼັງກໍ່ຕາມ, ແຕ່ເຫຼົ່າທັບເຮືອໄດ້ຂັບໄລ່ກໍາປັ່ນຂັບໄລ່ມາດົກ (Maddox) ຂອງຈັກກະພັດອາເມລິກາ ທີ່ລະເມີດເຂດນ່ານທະເລທາງພາກເໜືອຂອງຫວຽດນາມ ຢ່າງພິລະອາດຫານ.	Cách đây 55 năm, vào ngày 2 tháng 8 năm 1964, mặc dù quân số yếu và thiếu vũ khí trang bị, hải quân đã đánh tàu khu trục Maddox của Mỹ xâm phạm lãnh hải miền Bắc Việt Nam.
ຫຼັງຈາກນັ້ນ, ວັນທີ 5 ສິງຫາ, ເຫຼົ່າທັບເຮືອໄດ້ປະສານສົມທົບກັບກໍາລັງປ້ອງກັນອາກາດ ແລະປະຊາຊົນທ້ອງຖິ່ນເຂດແຄມທະເລຈາກແຂວງກວ໋າງນີງ ເຖິງແຂວງກວ໋າງບິ່ງ ໄດ້ມ້າງເພທຳລາຍບັ້ນບຸກໂຈມຕີຂອງຈັກກະພັດອາເມລິກາ, ປົກປັກຮັກສາເຂດນ່ານທະເລ, ນ່ານຟ້າທາງພາກເໜືອ.	Tiếp đó, ngày 5/8, bộ đội hải quân cùng với lực lượng Phòng không và nhân dân các địa phương ven biển từ Quảng Ninh đến Quảng Bình đánh tan âm mưu xâm lược của đế quốc Mỹ, bảo vệ vùng biển, vùng trời.
ໃນການຕໍ່ສູ້ຕ້ານອາເມລິກາ, ກູ້ຊາດ, ເຫຼົ່າທັບເຮືອໄດ້ຕໍ່ສູ້ນັບຫຼາຍຮ້ອຍບັ້ນຮົບ, ບຸກຕີ, ທໍາລາຍ, ຍິງເຮືອບິນສູ້ຮົບ ແລະເຮືອບິນອາເມລິກາ-ຫຸ່ນ ຈົມນ້ຳ ແລະເກີດໄຟໄໝ້ນັບຫຼາຍຮ້ອຍລໍາ, ດັບສູນກໍາລັງແຮງຂອງສັດຕູ, ທໍາລາຍ ແລະປິດລ້ອມທາງທະເລ, ເປີດເສັ້ນທາງໂຮ່ຈີມິນ ຢູ່ທະເລໜູນຊ່ວຍໃຫ້ແກ່ສະໜາມຮົບທາງພາກໃຕ້, ບຸກໂຈມຕີປົດປ່ອຍໝູ່ເກາະເຈື່ອງຊາ, ປະກອບສ່ວນອັນໃຫຍ່ຫຼວງເຂົ້າໃນໄຊຊະນະທີ່ຍິ່ງໃຫຍ່ຂອງປະເທດຊາດ.	Trong cuộc chiến đấu chống Mỹ, cứu nước, bộ đội hải quân đã đánh hàng trăm trận, tiến công, tiêu diệt, bắn rơi máy bay chiến đấu của Mỹ và hàng trăm máy bay chiến đấu, hỏa lực, dập tắt sinh lực địch, tiêu diệt và bao vây vùng biển, mở đường Hồ Chí Minh. ở Vạn Lý Trường Thành, giải phóng Vạn Lý Trường Thành.
ປະທານໂຮ່ຈີມິນ ຢ້ຽມຢາມຖາມຂ່າວພະນັກງານ, ນັກຮົບກົມກອງທະຫານເຮືອປະຕິບັດໜ້າທີ່ຢູ່ເຂດທະເລຕາເວັນອອກສ່ຽງເໜືອ, ເດືອນມີນາ 1959.	Chủ tịch Hồ Chí Minh đến chào xã giao bộ đội hải quân ở Biển Đông tháng 3/1959.
ພາບເອກະສານ.	Hình ảnh tệp.
ກໍາລັງແຮງຕໍ່ສູ້ຂອງເຫຼົ່າທັບເຮືອແມ່ນການສັງລວມຂອງຫຼາຍປັດໄຈ ຄື: ມະນຸດ, ອາວຸດຍຸດທະພັນ...	Lực lượng chiến đấu của bộ đội hải quân là sự tổng hợp của nhiều yếu tố: con người, vũ khí ...
ຍ້ອນເຫດນັ້ນ, ໃນສະພາບການທີ່ສັບສົນໃນປະຈຸບັນ, ຍິ່ງຕ້ອງເອົາໃຈໃສ່ກໍ່ສ້າງເຫຼົ່າທັບເຮືອໃຫ້ມີຄວາມໝັ້ນຄົງດ້ານການເມືອງ ເພື່ອເປັນພື້ນຖານຍົກສູງຄຸນນະພາບສັງລວມ ແລະກໍາລັງແຮງຕໍ່ສູ້, ຕອບສະໜອງຄວາມຮຽກຮ້ອງຕ້ອງການປົກປັກຮັກສາອະທິປະໄຕເຂດທະເລ, ໝູ່ເກາະໃນສະພາບການໃໝ່.	Do đó, trong tình hình phức tạp hiện nay, càng phải chú trọng xây dựng lực lượng hải quân vững vàng về chính trị, làm cơ sở nâng cao chất lượng tổng hợp và sức mạnh chiến đấu, đáp ứng yêu cầu bảo vệ chủ quyền vùng biển. biển đảo trong tình hình mới.
ກ່ອນອື່ນໝົດ, ເຫຼົ່າທັບເຮືອຈົ່ງສືບຕໍ່ປ່ຽນແປງໃໝ່, ຍົກສູງຄຸນນະພາບ, ປະສິດທິຜົນໃນການສຶກສາອົບຮົມດ້ານການເມືອງ, ແນວຄິດ, ເພື່ອແນໃສ່ກໍ່ສ້າງທະຫານໃຫ້ມີຄຸນນະທາດອຸ່ນອ່ຽນທຸ່ນທ່ຽງ;	Trước hết, lực lượng hải quân cần tiếp tục đổi mới, nâng cao chất lượng, hiệu quả công tác giáo dục chính trị, tư tưởng, hướng tới mục tiêu xây dựng Quân đội có chất lượng ngày càng vững mạnh;
ມີຄວາມສັດຊື່ຕໍ່ພັກ, ຕໍ່ປະເທດຊາດ ແລະປະຊາຊົນ;	Trung thành với đảng, với dân tộc và nhân dân;
