ກປ.ອອນໄລ - ພາຍຫຼັງພິທີຍື່ນສານຕາຕັ້ງ, ທ່ານ ຫງວຽນຝູຈ້ອງ ໄດ້ໃຫ້ການຕ້ອນຮັບບັນດາເອກອັກຄະລັດຖະທູດ...	Sau lễ nhậm chức, Nguyễn Phú Trọng đã đón tiếp các đại sứ ...
ຕອນເຊົ້າວັນທີ 7 ສິງຫາ, ທີ່ສໍານັກງານປະທານປະເທດ, ທ່ານ Tanee Sangrat, ເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອໍານາດເຕັມແຫ່ງລາຊະອານາຈັກໄທ;	Sáng 7/8, tại Văn phòng Chủ tịch nước, Ngài Tanee Sangrat, Đại sứ đặc mệnh toàn quyền Vương quốc Thái Lan;
ທ່ານ Saud F.M.	Ông Saud F.M.
Alsuwelim, ເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອໍານາດເຕັມແຫ່ງລາຊະອານາຈັກອາຣັບບີ ຊາອູດິດ;	Alsuwelim, Đại sứ đặc mệnh toàn quyền Vương quốc Ả Rập Xê Út;
ທ່ານ Rodriguez Melo, ເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອໍານາດເຕັມແຫ່ງລາຊະອານາຈັກໂກໂລມບີ;	Rodriguez Melo, Đại sứ đặc mệnh toàn quyền Vương quốc Colombia;
ທ່ານ Yerlan Baizhanov, ເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອໍານາດເຕັມແຫ່ງສາທາລະນະລັດ ກາຢັກສະຖານ;	Yerlan Baizhanov, Đại sứ đặc mệnh toàn quyền Cộng hòa Kazakhstan;
ທ່ານນາງ Robyn Louise Mudie, ເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອໍານາດເຕັມແຫ່ງອົດສະຕາລີ;	Robyn Louise Mudie, Đại sứ đặc mệnh toàn quyền Australia;
ທ່ານ Vahram Kazhoyan, ເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອໍານາດເຕັມແຫ່ງອາກເມນີ;	Vahram Kazhoyan, Đại sứ đặc mệnh toàn quyền Armenia;
ທ່ານ Jamale Chouaibi, ເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອໍານາດເຕັມແຫ່ງລາຊະອານາຈັກມາຣົກ;	Jamale Chouaibi, Đại sứ đặc mệnh toàn quyền Vương quốc Maroc;
ທ່ານ Pranay Kumar Verma, ເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອໍານາດເຕັມແຫ່ງສາທາລະນະລັດອິນເດຍ;	Pranay Kumar Verma, Đại sứ đặc mệnh toàn quyền nước Cộng hòa Ấn Độ;
ທ່ານ Guido Hildner, ເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອໍານາດເຕັມແຫ່ງສະຫະພັນເຢຍລະມັນ;	Guido Hildner, Đại sứ đặc mệnh toàn quyền Cộng hòa Liên bang Đức;
ທ່ານນາງ Shariffah Norhana Syed Mustaffa, ເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອໍານາດເຕັມແຫ່ງມາເລເຊຍ ໄດ້ເຂົ້າຍື່ນສານຕາຕັ້ງຕໍ່ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ.	Bà Shariffah Norhana Syed Mustaffa, Đại sứ đặc mệnh toàn quyền Malaysia, đã trình Thư tín nhiệm lên Tổng Bí thư Nguyễn Phú Trọng, Chủ tịch nước Việt Nam.
ທ່ານ Tanee Sangrat, ເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອໍານາດເຕັມແຫ່ງລາຊະອານາຈັກໄທ ປະຈໍາຫວຽດນາມ ຍື່ນສານຕາຕັ້ງຕໍ່ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ.	Tanee Sangrat, Đại sứ đặc mệnh toàn quyền Vương quốc Thái Lan tại Việt Nam trình Tổng Bí thư Nguyễn Phú Trọng.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ພາຍຫຼັງພິທີຍື່ນສານຕາຕັ້ງ, ທ່ານ ຫງວຽນຝູຈ້ອງ ໄດ້ໃຫ້ການຕ້ອນຮັບບັນດາເອກອັກຄະລັດຖະທູດ.	Sau lễ nhậm chức, Nguyễn Phú Trọng đã tiếp các đại sứ.
ເນື່ອງໃນໂອກາດນີ້, ທ່ານ ຫງວຽນຝູຈ້ອງ ສະແດງຄວາມຂອບໃຈຕໍ່ການຮ່ວມມື, ການສະໜັບສະໜູນຈາກປະເທດຕ່າງໆເຊິ່ງບັນດາທ່ານເອກອັກຄະລັດຖະທູດເປັນຜູ້ຕາງໜ້າທີ່ໄດ້ຊ່ວຍຫວຽດນາມ ປະຕິບັດສໍາເລັດໜ້າທີ່ຂອງຕົນສໍາລັບພາກພື້ນ ແລະໂລກ;	Nhân dịp này, ông Nguyễn Phú Trọng bày tỏ cảm ơn sự hợp tác, hỗ trợ từ các nước mà các đại sứ đại diện đã giúp Việt Nam hoàn thành tốt vai trò của mình đối với khu vực và thế giới;
