ກປ.ອອນໄລ - ເຂດສະຫງວນທໍາມະຊາດ ກອນຈືຣັງ ຕັ້ງຢູ່ເຂດປ່າດົງດິບລະຫວ່າງສາຍພູຫຼວງຕາເວັນອອກ ແລະສາຍພູຫຼວງຕາເວັນຕົກ ດ້ວຍເນື້ອທີ່ກວ່າ 200.000 ແຮັກຕາທີ່ຂຶ້ນກັບສີ່ແຂວງ, ຄື: ຢາລາຍ, ກອນຕູມ, ກວ໋າງຫງາຍ, ບີ່ງດີ້ງ.	KPR Online - Khu bảo tồn thiên nhiên Konchurang nằm trong khu rừng thường xanh giữa Tây Nguyên Đông và Tây Nguyên với diện tích hơn 200.000 ha thuộc 4 tỉnh: Yalai, Kon Tum, Quảng Ngãi và Bình Định.
ພ້ອມກັບລັກສະນະຫຼາຍຮູບຫຼາຍແບບຂອງລະບົບຊີວະພາບເຂດຮ້ອນ, ກອນຈືຣັງ ຍັງມີທັດສະນີຍະພາບທີ່ໃຫຍ່ໂຕມະໂຫຖານ ແລະສວຍງາມ.	Cùng với nhiều đặc điểm của hệ sinh thái nhiệt đới, Gonjuran còn có một cảnh quan rộng lớn và tuyệt đẹp.
ລະບົບນ້ຳຕົກຕາດຢູ່ທີ່ນີ້ແມ່ນງາມທີ່ສຸດຢູ່ຫວຽດນາມ, ໃນນັ້ນມີ 12 ຈຸດສູງກວ່າ 10 ແມັດ.	Hệ thống thác ở đây đẹp nhất Việt Nam với 12 điểm cao hơn 10 mét.
ພາບ: ຫງວຽນເຟື໊ອກຮວ່າຍ-ບີ່ງດີ້ງ.	Ảnh: Nguyễn Phước Hoài - Bình Định
ພາບ: ຫງວຽນເຟື໊ອກຮວ່າຍ-ບີ່ງດີ້ງ.	Ảnh: Nguyễn Phước Hoài - Bình Định
ພາບ: ຫງວຽນເຟື໊ອກຮວ່າຍ-ບີ່ງດີ້ງ.	Ảnh: Nguyễn Phước Hoài - Bình Định
ພາບ: ຫງວຽນເຟື໊ອກຮວ່າຍ-ບີ່ງດີ້ງ.	Ảnh: Nguyễn Phước Hoài - Bình Định
ພາບ: ຫງວຽນເຟື໊ອກຮວ່າຍ-ບີ່ງດີ້ງ.	Ảnh: Nguyễn Phước Hoài - Bình Định
ພາບ: ຫງວຽນເຟື໊ອກຮວ່າຍ-ບີ່ງດີ້ງ.	Ảnh: Nguyễn Phước Hoài - Bình Định
ພາບ: ຫງວຽນເຟື໊ອກຮວ່າຍ-ບີ່ງດີ້ງ.	Ảnh: Nguyễn Phước Hoài - Bình Định
ພາບ: ຫງວຽນເຟື໊ອກຮວ່າຍ-ບີ່ງດີ້ງ.	Ảnh: Nguyễn Phước Hoài - Bình Định
ພາບ: ຫງວຽນເຟື໊ອກຮວ່າຍ-ບີ່ງດີ້ງ.	Ảnh: Nguyễn Phước Hoài - Bình Định
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần Huyền
