ກປ.ອອນໄລ - ໄລ່ມາຮອດເດືອນ ມິຖຸນາ 2019 ໄດ້ມີ 455 ສື່ສັງຄົມອອນໄລຫວຽດນາມ ໄດ້ຮັບອະນຸຍາດໃຫ້ເຄື່ອນໄຫວ.	Miễn phí - Phí tháng 6 năm 2019 đã được 455 phương tiện truyền thông xã hội Việt Nam đã được phép.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ຈໍານວນຜູ້ຊົມໃຊ້ສື່ສັງຄົມອອນໄລ “ພາຍໃນ ທີ່ຍັງບໍ່ທັນຫຼາຍ.	Tuy nhiên, số lượng người dùng truyền thông xã hội "bên trong chưa nhiều.
ເພື່ອໃຫ້ສື່ສັງຄົມອອນໄລຫວຽດນາມ ມີທີ່ຕັ້ງ, ຢືດເອົາໄດ້ສ່ວນແບ່ງທາງການໃນຕະຫຼາດຈາກສື່ສັງຄົມອອນໄລຕ່າງປະເທດ, ບັນດານັກຊ່ຽວຊານ ຖືວ່າ, ສື່ສັງຄົມອອນໄລຫວຽດນາມ ຕ້ອງເລີ່ມຕົ້ນດ້ວຍວິ ທີການຂຸດຄົ້ນບັນດາພາກສ່ວນຕະຫຼາດ, ພິເສດສະເພາະເພື່ອອາດສາມາດສ້າງຄວາມແຕກຕ່າງກັນ.	Để cung cấp một cộng đồng theo chiều dọc, thị phần từ thị trường trực tuyến Việt Nam, chuyên về có thể tạo ra sự khác biệt.
ວິສາຫະກິດຕ່າງປະເທດກວມເອົາສ່ວນໃຫຍ່ໃນທ້ອງຕະຫຼາດ	Doanh nghiệp nước ngoài bao gồm chủ yếu trên thị trường
ເຖິງວ່າສື່ສັງຄົມອອນໄລຫວຽດນາມ ມີຫຼາຍຢູ່, ແຕ່ວ່າຜູ້ຊົມໃຊ້ຫວຽດນາມ ຍັງນິຍົມຊົມໃຊ້ບັນດາສື່ສັງຄົມອອນໄລຕ່າງປະເທດຢ່າງເປັນປະຈໍາ, ຄື: Facebook, Instagram, YouTube, Twitter.	Mặc dù phương tiện truyền thông xã hội trực tuyến Việt Nam, nhưng người dùng tiếng Việt và United, Facebook, Instagram, Twitter.
ໃນນັ້ນ, Facebook ແລະ YouTube ໄດ້ຄົນຫວຽດນາມ ຊົມໃຊ້ຫຼາຍທີ່ສຸດ, ດ້ວຍອັດຕາສ່ວນຕາມລໍາດັບແມ່ນ 61% ແລະ 59%.	Trong số này, Facebook và YouTube của tiếng Việt sử dụng nhiều nhất, với tỷ lệ phần trăm là 61% và 59%.
Google ແລະ Facebook ກວມເອົາ 70% ໃນຂົງເຂດໂຄສະນາໃນທ້ອງຕະຫຼາດຫວຽດນາມ.	Google và Facebook bao gồm 70% trong chiến dịch thị trường của Việt Nam.
ປະຈຸບັນ, ສື່ສັງຄົມອອນໄລແມ່ນຊ່ອງສື່ສານທີ່ມີຜົນສະທ້ອນຢ່າງໃຫຍ່ທີ່ມີຕໍ່ສັງຄົມ.	Hiện tại, phương tiện truyền thông xã hội trực tuyến là một lĩnh vực truyền thông với hậu quả lớn.
ຖ້າຫາກ ຫວຽດນາມ ບໍ່ມີສື່ສັງຄົມອອນໄລ ໂດຍຄົນຫວຽດນາມກຳມະສິດຈະພາໃຫ້ເກີດສະພາບການຂຶ້ນກັບ, ຖືກຄວບຄຸມຈາກສື່ສັງຄົມອອນໄລຕ່າງປະເທດກໍ່ຄືພົບປະກັບຄວາມຫຍຸ້ງຍາກໃນວຽກງານຄຸ້ມຄອງ.	Nếu Việt Nam không có phương tiện truyền thông xã hội trực tuyến của chính quyền Việt Nam sẽ gây ra bối cảnh, được kiểm soát bởi các phương tiện truyền thông nước ngoài, thì đó là với sự khó khăn trong quản lý.
ທ່ານ ຫງວຽນແມ້ງຮຸ່ງ ລັດຖະມົນຕີກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານຫວຽດນາມ ຢັ້ງຢືນວ່າ: “ຮອດເວລາແລ້ວທີ່ພວກເຮົາຕ້ອງສ້າງສື່ສັງຄົມອອນໄລໜຶ່ງ, ພາຫະນະຊອກຫາໃໝ່, ມີລັກສະນະມະນຸດສະທໍາກວ່າ, ຖືລູກຄ້າເປັນສໍາຄັນກວ່າ ແລະຖືຜູ້ຊົມໃຊ້ເປັນເຈົ້າການ.	Nguyễn Bộ trưởng Nguyễn Tấn Sang Bộ trưởng Thông tin và Times của Việt Nam, với một cuộc tìm kiếm mới, với khách hàng quan trọng hơn và giữ khách hàng
ທ່ານ ຫງວຽນແມ້ງຮຸ່ງ ລັດຖະມົນຕີກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານຫວຽດນາມ.	Nguyễn Bộ trưởng Nguyễn Tann, Bộ trưởng Bộ Thông tin và Việt Nam.
ພາບ: plo.vn	Ảnh: Plo.vn.
ຕ້ອງກໍານົດຕະຫຼາດແກ່ງແຍ້ງຢ່າງຈະແຈ້ງ	Phải xác định thị trường mâu thuẫn
ໃຫ້ຂໍ້ສັງເກດກ່ຽວກັບໂອກາດແກ່ງແຍ້ງກັນກັບສື່ສັງຄົມອອນໄລຕ່າງປະເທດ, ທ່ານ ຫວູແທງຫາຍ, ຜູ້ອໍານວຍການ Viettel Media (Viettel) ໃຫ້ຮູ້ວ່າ: “ຖ້າຫາກບັນດາສື່ສັງຄົມອອນໄລຫວຽດນາມ ເຮັດຄືແບບ facebook, Youtube ແລ້ວແຕ່ຢາກຜາບແພ້ເຂົາເຈົ້າແມ່ນສິ່ງບໍ່ໄດ້.	Lưu ý cơ hội cạnh tranh với trò chơi trực tuyến Social Social Media, nếu bạn muốn nâng cao chúng.
ເຖິງວ່າ, ພວກເຮົາມີທ່າໄດ້ປຽບດ້ານເນື້ອໃນກໍ່ຕາມ, ແຕ່ພັດປະລາໄຊເຂົາທາງດ້ານເຕັກໂນໂລຢີ ແລະພື້ນຖານ.	Mặc dù, chúng tôi có nội dung, nhưng công nghệ là công nghệ và cơ bản.
ສື່ສັງຄົມອອນໄລຫວຽດນາມ ຢາກແກ່ງແຍ້ງກັນກັບຕ່າງປະເທດແມ່ນຕ້ອງເລີ່ມຕົ້ນດ້ວຍວິທີການຂຸດຄົ້ນບັນດາພາກສ່ວນຕະຫຼາດ, ພິເສດສະເພາະ ເພື່ອອາດສາມາດສ້າງຄວາມແຕກຕ່າງກັນ.	Cần có phương tiện truyền thông xã hội quốc tế Việt Nam để bắt đầu làm thế nào để khám phá các bữa tiệc thị trường, chuyên về có thể tạo ra sự khác biệt.
ໃນການພົບປະແລກປ່ຽນກັບບັນດາ start-up ໃນຂົງເຂດເຕັກໂນໂລຢີ ຫວ່າງແລ້ວນີ້, ທ່ານ ຫງວຽນແມ້ງຮຸ່ງ ລັດຖະມົນຕີກະຊວງ ຖະແຫຼງຂ່າວ ແລະສື່ສານ ໄດ້ເຈາະຈີ້ມວ່າ, ເມື່ອສ້າງສື່ສັງຄົມອອນໄລໃໝ່, ສິ່ງສໍາຄັນທີ່ສຸດສຳລັບຜູ້ນໍາແມ່ນບັນຫາແນວຄິດ.	Trong cuộc khởi nghiệp sau khi khởi động, Nguyễn Bộ trưởng Nguyễn Tấn Sang, khi quan trọng nhất đối với lãnh đạo là ý tưởng.
ບັນດາສື່ສັງຄົມອອນໄລໃໝ່ຈະບໍ່ສາມາດສໍາເລັດຜົນໄດ້ເມື່ອຮຽນແບບ facebook.	Phương tiện truyền thông xã hội trực tuyến mới sẽ không thành công khi bắt chước Facebook.
ຖ້າສື່ສັງຄົມອອນໄລຄົງຕົວ, ສ້າງຄວາມແຕກຕ່າງກັນໄດ້ ຫຼື ກົງກັນຂ້າມກັບ facebook, ດ້ວຍຈີນຕະນາການແບ່ງປັນລາຍຮັບ, ພ້ອມກັນສ້າງການລະຫຼີ້ນ, ເຄົາລົບກົດໝາຍປະເທດປະຈຳຖິ່ນ, ມີປັດໃຈທ້ອງຖິ່ນ, ສື່ສັງຄົມອອນໄລນີ້ອາດສາມາດສໍາເລັດໄດ້, ເຮັດໃຫ້ສັງຄົມມີຄວາມສີວິໄລກວ່າ.	Nếu phương tiện truyền thông xã hội không đổi, hãy tạo sự khác biệt hoặc trái ngược với Facebook, với Trung Quốc, các quy định, với truyền thông xã hội có thể được hoàn thành, làm cho xã hội.
ເມື່ອເຕື້ອງເຖິງບົດບາດຂອງບັນດາວິສາຫະກິດເຕັກໂນໂລຢີໃຫຍ່ໃນການພັດທະນາຕະຫຼາດສື່ສັງຄົມອອນໄລຫວຽດນາມ, ທ່ານ ຫວໍແທງຫາຍ ຖືວ່າ: “ໃນການແຂ່ງຂັນຍາດສ່ວນແບ່ງທາງການໃນທ້ອງຕະຫຼາດສື່ສັງຄົມອອນໄລ, ບັນດາວິສາຫະກິດເຕັກໂນໂລຢີໃຫຍ່ຄວນເຂົ້າຮ່ວມສອງຂັ້ນຕອນ ຄື: ສ້າງສື່ສັງຄົມອອນໄລ ແລະລົງທຶນດ້ວຍຕົນເອງ, ໜູນຊ່ວຍໃຫ້ບັນດາສື່ສັງຄົມອອນໄລ ມີບັນດາແນວຄວາມຄິດໃໝ່ທີ່ແຕກຕ່າງກັນກັບບັນດາບໍລິສັດ, ກຸ່ມໜ້ອຍ.	Là vai trò của các dấu vết công nghệ lớn trong phát triển thị trường truyền thông trực tuyến, hỗ trợ khác, một nhóm công nghệ mới, hỗ trợ công ty, các nhóm nhỏ.
