ກປ.ອອນໄລ - ວັນທີ 28 ສິງຫາ, ທີ່ສໍານັກງານຫ້ອງວ່າການນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ດໍາເນີນພິທີລົງນາມໃນບົດບັນທຶກຊ່ວຍຈຳກ່ຽວກັບການປະຕິຮູບລະບຽບການບໍລິຫານລະຫວ່າງຫ້ອງວ່າການນາຍົກລັດຖະມົນຕີຫວຽດນາມ ແລະກະຊວງການຕ່າງປະເທດ, ກະຊວງທຸລະກິດ, ພະລັງງານ ແລະຍຸດທະສາດອຸດສາຫະກຳສະຫະພັນລາຊະອານາຈັກອັງກິດ ແລະອຽກລັງເໜືອ.	DPA, ngày 28 tháng 8, Ủy ban Thủ tướng, Bộ Kinh doanh, Quyền lực và Liên bang Bắc Mỹ
ບົດບັນທຶກຊ່ວຍຈຳມີຜົນສັກສິດຮອດເດືອນມີນາ 2021 ແລະສາມາດຕໍ່ກຳນົດເວລາໄດ້ຕື່ມອີກ.	Bản ghi nhớ phải có hiệu lực đến tháng 3 năm 2021 và giới hạn thời gian tiếp theo.
ທ່ານ Gareth Ward ແລະທ່ານ ມາຍຕ໊ຽນຢຸງ ລົງນາມໃນບົດບັນທຶກຊ່ວຍຈຳການຮ່ວມມື.	Gareth Ward và ông Sichung ký vào Bản ghi nhớ giúp đỡ.
ພາບ: baochinhphu.vn.	Ảnh: Baochinhu.vn.
ກ່າວຄໍາເຫັນທີ່ພິທີລົງນາມ, ທ່ານ ມາຍຕ໊ຽນຢຸງ, ລັດຖະມົນຕີ, ຫົວໜ້າຫ້ອງວ່າການນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຢືນຢັນວ່າ, ບົດບັນທຶກຊ່ວຍຈຳການຮ່ວມມືວ່າດ້ວຍການປະຕິຮູບລະບຽບການບໍລິຫານລະຫວ່າງຫ້ອງວ່າການນາຍົກລັດຖະມົນຕີຫວຽດນາມ ແລະກະຊວງການຕ່າງປະເທດ, ກະຊວງທຸລະກິດ, ພະລັງງານ ແລະຍຸດທະສາດອຸດສາຫະກຳສະຫະພັນລາຊະອານາຈັກອັງກິດ ແລະອຽກລັງເໜືອ ສະແດງໃຫ້ເຫັນຄວາມມານະພະຍາຍາມໃນການຮ່ວມມືຂອງສອງຝ່າຍໃນການຜັນຂະຫຍາຍການປະຕິຮູບລະບຽບການບໍລິຫານຢູ່ຫວຽດນາມ.	Nói về các nghi lễ đã ký, Bộ trưởng Bộ Ngoại giao, Bộ trưởng Bộ trưởng Bộ Quản lý Quốc gia
ທ່ານ ມາຍຕ໊ຽນຢຸງ ເນັ້ນໜັກວ່າ, ຫວຽດນາມ ຖືເປັນສໍາຄັນການຮ່ວມມືກັບສະຫະພັນລາຊະອານາຈັກອັງກິດ ແລະອຽກລັງເໜືອ, ເຊິ່ງແມ່ນປະເທດທີ່ມີບົດບາດສໍາຄັນຢູ່ເອີລົບ ແລະໃນໂລກ.	Nhiệm vụ của Việt Nam, Việt Nam rất quan trọng với Liên minh Vương quốc Anh và miền Bắc, là một quốc gia đóng một vai trò quan trọng ở châu Âu và thế giới.
ທ່ານ ມາຍຕ໊ຽນຢຸງ ແລະທ່ານ Gareth Ward ທີ່ພິທີລົງນາມໃນບົດບັນທຶກຊ່ວຍຈຳການຮ່ວມມື.	Giath Siath và ông Gileth Ward, đã ký một buổi lễ của Bản ghi nhớ.
ພາບ: baochinhphu.vn.	Ảnh: Baochinhu.vn.
ສ່ວນທ່ານ Gareth Ward ເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອໍານາດເຕັມແຫ່ງສະຫະພັນລາຊະອານາຈັກອັງກິດ ແລະອຽກລັງເໜືອ ປະຈໍາຫວຽດນາມ ໃຫ້ຂໍ້ສັງເກດວ່າ, ຫວຽດນາມ ແມ່ນໜຶ່ງໃນບັນດາປະເທດມີລະດັບການເຕີບໂຕດ້ານເສດຖະກິດໄວທີ່ສຸດໃນໂລກ ແລະເປັນຄູ່ຮ່ວມມືສໍາຄັນຂອງສະຫະພັນລາຊະອານາຈັກອັງກິດ ແລະອຽກລັງເໜືອ.	Đại sứ cho Đại sứ Vương quốc Liên hiệp Anh và Hoa Kỳ đã ghi nhận trên thế giới và Hoa Kỳ của Liên minh Vương quốc Anh.
ເລື່ອງລົງນາມໃນບົດບັນທຶກຊ່ວຍຈຳນີ້ແມ່ນເພື່ອແນໃສ່ຈຸດປະສົງເພີ່ມທະວີການປະຕິຮູບ, ຊຸກຍູ້ການພັດທະນາເສດຖະກິດຢູ່ບັນດາຕະຫຼາດອາຊຽນ ແລະຫວຽດນາມ.	Câu chuyện ký tên này nhằm mục đích cải cách tăng lên, thúc đẩy phát triển kinh tế trong thị trường ASEAN và Việt Nam.
ພາຍຫຼັງພິທີລົງນາມ, ທ່ານ ມາຍຕ໊ຽນຢຸງ ແລະທ່ານ Gareth Ward ພ້ອມກັນເຂົ້າຮ່ວມກອງປະຊຸມສໍາມະນາແບ່ງປັນບົດຮຽນກ່ຽວກັບການປະຕິຮູບຂໍ້ກຳນົດຂອງລາຊະອານາຈັກອັງກິດ.	Sau buổi lễ ký kết, ông Garethh Surab và ông Garethh Ward đã tham dự bài học chia sẻ bài học về cải cách của Vương quốc Anh.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần thông minh.
