ກປ.ອອນໄລ - ໃນຂອບເຂດການຢ້ຽມຢາມລາຊະອານາຈັກໄທ, ວັນທີ 28 ສິງຫາ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ, ປະທານສະພາແຫ່ງຊາດ ພ້ອມດ້ວຍຄະນະຜູ້ແທນຂັ້ນສູງສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ໄປຮອດແຂວງອຸດອນທານີ, ໄທ.	Lớn - Vào ngày 28 tháng 8, Bộ trưởng Nguyễn Minh Minh, Thái Lan.
ທີ່ສໍານັກງານປົກຄອງແຂວງອຸດອນທານີ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ໄດ້ສະແດງຄວາມຂອບໃຈທ່ານ Wattana Puttichat, ເຈົ້າແຂວງໆອຸດອນທານີ ແລະປະຊາຊົນທີ່ໄດ້ເອົາໃຈໃສ່, ສ້າງເງື່ອນໄຂໃຫ້ແກ່ປະຊາຄົມຊາວໄທ ເຊື້ອຊາດຫວຽດນາມ ກໍ່ຄືສ້າງກາລະໂອກາດໃຫ້ແກ່ການອະນຸລັກຮັກສາ, ປະຕິສັງຂອນເຂດປູຊະນີຍະສະຖານປະທານໂຮ່ຈີມິນ.	Tại văn phòng hành chính tỉnh Udon Thani, Nguyễn Xay Minh nói cảm ơn bạn, Khuyến mãi Udon Thanh
ເຈົ້າແຂວງໆອຸດອນທານີ ໃຫ້ຮູ້ວ່າ, ປະຊາຄົມຊາວໄທເຊື້ອຊາດຫວຽດນາມ ອາໄສຢູ່ແຂວງອຸດອນທານີ ມີການພັດທະນາຢ່າງແຮງ ແລະມີບັນດາການປະກອບສ່ວນສໍາຄັນເຂົ້າໃນການພັດທະນາເສດຖະກິດສັງຄົມຢູ່ທ້ອງຖິ່ນ.	Thống đốc Udon Thani biết, trong cộng đồng Udon Thani Gueen ở tỉnh phát triển kinh tế xã hội địa phương.
ແຂວງອຸດອນທານີ ປາດຖະໜາຢາກແຮກສ່ຽວກັບບາງທ້ອງຖິ່ນຂອງຫວຽດນາມ ແລະພວມມຸ່ງໄປເຖິງເລື່ອງເປີດສາຍການບິນລະຫວ່າງແຂວງອຸດອນທານີ ແລະຫວຽດນາມ.	Udon Thani Wars để đi Myanmark và đi quá nhiều trên các hãng hàng không giữa Udon Thani và Việt Nam.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ, ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ແລະທ່ານ Wattana Puttichat, ເຈົ້າແຂວງໆອຸດອນທານີ.	Nguyễn Minh Bộ Nguyễn Minh Minh, Chủ tịch Quốc hội, Chủ tịch Watta Dũng, Chủ tịch Udon Thani
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ຢູ່ເຂດປູຊະນີຍະສະຖານປະທານໂຮ່ຈີມິນ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ, ສະແດງຄວາມປິຕິຊົມຊື່ນເມື່ອໄດ້ພົບປະກັບຜູ້ຕາງໜ້າຂອງສະມາຄົມຈໍານວນໜຶ່ງ ແລະຊາວຫວຽດນາມ ອາໄສຢູ່ແຂວງອຸດອນທານີ.	Trong giai đoạn Hồ Chí Minh Nguyễn Trọng, Bộ trưởng Nguyễn Minh Minh Nguyễn Minh, chương trình tại Udon Thani.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ສະແດງຄວາມດີໃຈຕໍ່ບັນດາໝາກຜົນທາງດ້ານເສດຖະກິດ, ສັງຄົມ ເຊິ່ງປະຊາຄົມຊາວຫວຽດນາມ ອາໄສຢູ່ແຂວງອຸດອນທານີ ບັນລຸໄດ້;	Nguyễn Minh Nguyên Minh Minh cho thấy hạnh phúc cho kinh tế, cộng đồng người Việt ở Udon Thani đạt được;
ຕີລາຄາສູງຕໍ່ບັນດາການເຄື່ອນໄຫວຂອງພໍ່ແມ່ປະຊາຊົນ, ຄື: ອ່ວາຍໜ້າເມືອຫາບ້ານເກີດເມືອງນອນ, ເຊື່ອມຕໍ່ກັບປະຊາຄົມ, ຍາມໃດກໍ່ສາມັກຄີ, ຮັກແພງຊ່ວຍເຫຼືອກັນ, ປະຕິບັດຕາມກົດໝາຍຂອງປະເທດປະຈໍາຖິ່ນ, ເຊື່ອມໂຍງເຂົ້າກັບປະຊາຊົນທ້ອງຖິ່ນເພື່ອແນໃສ່ກໍ່ສ້າງ ແລະພັດທະນາທຸກດ້ານຂອງຊີວິດສັງຄົມ, ປະກອບສ່ວນສໍາຄັນເຂົ້າໃນການເພີ່ມພູນຄູນສ້າງສາຍພົວພັນມິດຕະພາບ ຫວຽດນາມ-ໄທ.	Đánh giá cao các hoạt động của người dân, thích đi đến làng, truyền nhiễm, bị nhiễm cộng đồng tình bạn và John.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ, ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ມອບຂອງຂວັນໃຫ້ແກ່ນັກຮຽນ ແລະພໍ່ແມ່ປະຊາຊົນຊາວຫວຽດນາມ ອາໄສຢູ່ແຂວງອຸດອນທານີ.	Nguyễn Minh Bộ trưởng Nguyễn Minh Minh, Chủ tịch Nguyễn Thị, Chủ tịch Trương Tấn Sang và Chủ tịch Trương Tấn Sang trên Udon Thani.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
