ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 10 ກັນຍາ, ຢູ່ສໍານັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ Rodrigo Malmierca Diaz ລັດຖະມົນຕີກະຊວງການຄ້າຕ່າງປະເທດ ແລະການລົງທຶນຕ່າງປະເທດກູບາ ທີ່ພວມມີການຢ້ຽມຢາມຫວຽດນາມ.	Nước ngoài 10. Chiều, tại Thủ tướng Nguyễn Xi Juiz nhận chuyến thăm Việt Nam của Việt Nam.
ກ່າວຄໍາເຫັນທີ່ການຕ້ອນຮັບ, ທ່ານ ຫງວຽນຊວນຟຸກ ສະເໜີບັນດາກະຊວງ, ຂະແໜງການສອງຝ່າຍຄວນສືບຕໍ່ຄົ້ນຄວ້າວິທີການແກ້ໄຂເພື່ອຊຸກຍູ້ການພົວພັນສອງປະເທດໃຫ້ພັດທະນາເຂົ້າສູ່ລວງເລິກ ແລະແທດຈິງ;	Nói những ý kiến, Nguyễn Xuân Phúc cung cấp một bộ, hai lĩnh vực nên đạt được trong tương lai, phát triển hai nước;
ຢືນຢັນວ່າ ຫວຽດນາມ ຍາມໃດກໍ່ສະໜັບສະໜູນພາລະກິດຕໍ່ສູ້ອັນເປັນທຳຂອງປະຊາຊົນກູບາ, ສະໜັບສະໜູນຫຼັກໝັ້ນຂອງ ກູບາ ຢູ່ເວທີປາໄສສະຫະປະຊາຊາດຢ່າງສະເໝີຕົ້ນສະເໝີປາຍ.	Xác nhận rằng Việt Nam hỗ trợ sứ mệnh chiến đấu hợp pháp của Cuba đến diễn đàn Liên Hợp Quốc.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຕ້ອນຮັບທ່ານ Rodrigo Malmierca Diaz ລັດຖະມົນຕີກະຊວງການຄ້າຕ່າງປະເທດ ແລະການລົງທຶນຕ່າງປະເທດກູບາ.	Thủ tướng Nguyễn Phú Tấn Phúc nhận Bộ trưởng Ngoại giao Rodrigo Malmierca Diaz Hoa Kỳ và Cuba.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ຄຽງຂ້າງນັ້ນ, ທ່ານ ຫງວຽນຊວນຟຸກ ຢືນຢັນວ່າ ຫວຽດນາມ ຈະສືບຕໍ່ຮ່ວມມືຢ່າງແໜ້ນແຟ້ນກັບ ກູບາ ເພື່ອຮັບປະກັນສະໜອງເຂົ້າສານໃຫ້ປະເທດນີ້;	Về phía, Nguyễn Xuân Phúc khẳng định sự hợp tác mạnh mẽ với Cuba để đảm bảo tán tỉnh đất nước này;
ຊຸກຍູ້ບັນດາວິສາຫະກິດຫວຽດນາມ ລົງທຶນເຂົ້າກູບາ.	Khuyến khích các doanh nghiệp Việt Nam đầu tư vào Cuba.
ກ່ຽວກັບບັນຫາຮ່ວມມືກະສິກໍາ, ຄື: ປູກສາລີ, ລ້ຽງກຸ້ງ, ປູກເຂົ້ານາທາມ, ພ້ອມທັງສະແດງໃຫ້ເຫັນວ່າ ຫວຽດນາມ ພ້ອມແລ້ວທີ່ຈະໜູນຊ່ວຍ ກູບາ ບົນພື້ນຖານນໍາໃຊ້ຄວາມສາມາດບົ່ມຊ້ອນ, ທ່າໄດ້ປຽບຂອງ ກູບາ ເປັນຢ່າງດີ.	Về các vấn đề nông nghiệp, cụ thể là, cụ thể là lời bài hát, nhiệt đới, cũng như những lợi thế của Cuba là tốt.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ແລະທ່ານ Rodrigo Malmierca Diaz ລັດຖະມົນຕີກະຊວງການຄ້າຕ່າງປະເທດ ແລະການລົງທຶນຕ່າງປະເທດກູບາ.	Thủ tướng Việt Nam Nguyễn Phú Malmierca Malmierca Diaz Ngoại trưởng và Cuba.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ສ່ວນທ່ານ Rodrigo Malmierca Diaz ຢືນຢັນວ່າ ກູບາ ນັບຖືຢ່າງສູງ ແລະຕີລາຄາສູງເລື່ອງຫວຽດນາມ ສະໜອງເຂົ້າສານໃຫ້ກູບາ ໃນໄລຍະຜ່ານມາ;	Rodrigo Malmierca Diaz xác nhận rằng người Việt Nam rất tôn trọng và đánh giá cao người Việt Nam;
