ກປ.ອອນໄລ - ກອງປະຊຸມສາມຝ່າຍ ແລະສອງຝ່າຍຂັ້ນລັດຖະມົນຕີລະຫວ່າງ 3 ຫວຽດນາມ-ລາວ-ກໍາປູເຈຍ ກ່ຽວກັບການຕ້ານ ແລະສະກັດກັ້ນຢາເສບຕິດ ຄັ້ງທີ 18 ໄດ້ໄຂຂຶ້ນໃນຕອນເຊົ້າວັນທີ 11 ກັນຍາ, ຢູ່ ຮ່າໂນ້ຍ.	Cuộc gặp gỡ ba bên và hai bên giữa Chống Việt Nam chống lại Anti-Stember 11, tại Hà Nội.
ທ່ານພົນເອກ ໂຕເລິມ, ລັດຖະມົນຕີກະຊວງຕໍາຫຼວດ ແລະຫົວໜ້າຄະນະຜູ້ແທນຫວຽດນາມ, ລາວ ແລະກໍາປູເຈຍ ເຂົ້າຮ່ວມກອງປະຊຸມ.	Tổng thư ký, Bộ trưởng Bộ Cảnh sát và Trưởng phái đoàn Việt Nam, Lào và Campuchia đã tham dự cuộc họp.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ທ່ານພົນເອກ ໂຕເລິມ, ລັດຖະມົນຕີກະຊວງຕໍາຫຼວດຫວຽດນາມ ໃຫ້ຮູ້ວ່າ, ໃນປະຈຸບັນບັນດາອົງການອາດຊະຍາກໍາຢາເສບຕິດຂ້າມຊາດໄດ້ຂຸດຄົ້ນ, ສວຍໂອກາດບັນດາຈຸດພິເສດກ່ຽວກັບພູມມີປະເທດ, ການເມືອງ, ຮີດຄອງປະເພນີ, ການດໍາລົງຊີວິດ, ການພົວພັນໃນຕະກຸນດຽວກັນ, ການເຄື່ອນໄຫວພົບປະແລກປ່ຽນດ້ານເສດຖະກິດລະຫວ່າງສາມປະເທດ ແລະບັນດາຄວາມຫຍຸ້ງຍາກ, ການລະເຫຼີງໃຈໃນການກວດກາ, ຄຸ້ມຄອງຊາຍແດນເພື່ອຊື້ຂາຍຢາເສບຕິດ, ຂົນສົ່ງຢາເສບຕິດທີ່ຜິດກົດໝາຍໄປແຕ່ລະປະເທດດ້ວຍຈໍານວນຫຼວງຫຼາຍ.	Bộ phận cảnh sát Việt Nam Nguyễn Phú Minh Minh cho biết, chính trị chéo, định giá,).
ບັນຍາກາດທີ່ກອງປະຊຸມ.	Không khí tại cuộc họp.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ທີ່ກອງປະຊຸມ, ສາມປະເທດໄດ້ເຫັນດີເປັນເອກະພາບສຸມໃສ່ທຸກຄວາມມານະພະຍາຍາມເພື່ອແນໃສ່ປະຕິບັດເປົ້າໝາຍປົກປັກຮັກສາປະຊາຄົມອາຊຽນ ກ່ຽວກັບການຕ້ານ ແລະສະກັດກັ້ນຢາເສບຕິດທີ່ຜິດກົດໝາຍໃນໄລຍະ 2016-2025;	Tại cuộc họp, ba quốc gia đã đồng ý tập trung vào bảo vệ cộng đồng ASEAN về chống Hội đồng năm 2010-2025;
ບໍ່ຜ່ອນຜັນກັບຢາເສບຕິດ, ບໍ່ຍອມຮັບຕໍ່ທ່າອ່ຽງຫັນການນໍາໃຊ້ຢາເສບຕິດໃຫ້ຖືກຕ້ອງຕາມກົດໝາຍ, ມີຫຼັກໝັ້ນຕໍ່ວິໄສທັດອາຊຽນພາຍຫຼັງປີ 2015 ແລະຖືນີ້ແມ່ນເປົ້າໝາຍຂອງທັງສາມປະເທດຫວຽດນາມ, ລາວ ແລະກໍາປູເຈຍ.	Có quan hệ thuốc, không chấp nhận sử dụng ma túy, luật pháp, Lào, Lào, Lào và Campuchia.
ທ່ານພົນເອກ ໂຕເລິມ ແລະບັນດາຫົວໜ້າຄະນະຜູ້ແທນຫວຽດນາມ-ລາວ-ກໍາປູເຈຍ ຖ່າຍຮູບເປັນທີ່ລະນຶກ.	Tổng thư ký và người đứng đầu phái đoàn tiếng Việt, Lào - Ảnh Campuchia.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ພ້ອມກັນນັ້ນ, ເພີ່ມທະວີ ແລະໜູນຊ່ວຍຍົກສູງການເຄື່ອນໄຫວຂອງບັນດາຫ້ອງການຕິດຕໍ່ຂ້າມຊາຍແດນ (BLO), ສໍາຫຼວດ, ພິຈາລະນາເປີດບັນດາຫ້ອງການຕິດຕໍ່ຂ້າມຊາຍແດນແຫ່ງໃໝ່ຢູ່ບັນດາບໍລິເວນທີ່ມີໄພອັນຕະລາຍສູງກ່ຽວກັບອາດຊະຍາກໍາ ແລະຢາເສບຕິດ.	Ngoài ra, tăng và hỗ trợ sự di chuyển của các văn phòng chéo biên giới (blo), các cuộc thăm dò, thuốc, tội phạm và thuốc.
ພ້ອມທັງ, ສືບຕໍ່ຜັນຂະຫຍາຍບັນດາການໂຄສະນາ, ບຸກໂຈມຕີ, ປາບປາມອາດຊະຍາກໍາຢາເສບຕິດຢູ່ຕາມເສັ້ນຊາຍແດນລະຫວ່າງຫວຽດນາມ, ລາວ ແລະກໍາປູເຈຍ...	Đồng thời, tiếp tục quảng cáo, tấn công, tội phạm ma túy ở biên giới giữa Việt Nam, Lào và Campuchia ...
ໂດຍ: ໄຊນີດາ.	Bởi: NYH.
