ກປ.ອອນໄລ - ວັນທີ 12 ກັນຍາ, ທີ່ ຮ່າໂນ້ຍ, ກອງປະຊຸມຄັ້ງທີ 37 ຄະນະກໍາມະການລະຫວ່າງລັດຖະບານ ຫວຽດນາມ - ກູບາ ໄດ້ປິດລົງ.	Lớn - 12 tháng 9, tại Hà Nội, cuộc gặp thứ 3 giữa Việt Nam - Cuba đã đóng cửa.
ປະທານຮ່ວມຄະນະກຳມະການລະຫວ່າງລັດຖະບານຫວຽດນາມ - ກູບາ, ທ່ານ ຟ້າມຮົ່ງຮ່າ ລັດຖະມົນຕີກະຊວງກໍ່ສ້າງຫວຽດນາມ ແລະທ່ານ Rodrigo Malmierca Diaz, ລັດຖະມົນຕີກະຊວງການຄ້າຕ່າງປະເທດ ແລະການລົງທຶນຕ່າງປະເທດ ກູບາ ເປັນປະທານກອງປະຊຸມ.	Chủ tịch Bộ Chính phủ Việt Nam-Lào và Bộ Ngoại thương và Bộ trưởng Bộ Ngoại giao Cuba và Bộ trưởng Cuba
ສອງຝ່າຍໄດ້ຕີລາຄາສະພາບການປະຕິບັດບົດບັນທຶກກອງປະຊຸມຄັ້ງທີ 36.	Hai bên đã giải thích cuộc họp cuộc họp lần thứ 36 của cuộc họp
ຕາມນັ້ນແລ້ວ, ບັນດາຂໍ້ຕົກລົງຮ່ວມມືສ່ວນຫຼາຍໄດ້ຮັບການປະຕິບັດ, ວົງເງິນການຄ້າລະຫວ່າງສອງປະເທດໃນປີ 2018 ໄດ້ມີລະດັບເຕີບໂຕ 25% ເມື່ອທຽບໃສ່ກັບປີ 2017.	Theo, hầu hết các thỏa thuận hợp tác được thực hiện, tiền tệ thương mại giữa hai nước năm 2018 đã tăng lên vào năm 2017.
ຫວຽດນາມ ໄດ້ກາຍເປັນຄູ່ຮ່ວມມືການຄ້າອາຊີໃຫຍ່ທີ 2 ຢູ່ ກູບາ.	Việt Nam đã trở thành quan hệ đối tác thương mại châu Á lần thứ 2 tại Cuba.
ສອງຝ່າຍກໍ່ກຳນົດເນື້ອໃນການຮ່ວມມືຂອງກອງປະຊຸມຄັ້ງທີ 37, ໃນນັ້ນບູລິມະສິດຈຸດສຸມແມ່ນຍົກສູງວົງເງິນການຄ້າ;	Hai bên xác định nội dung hợp tác của phiên thứ 37, trong đó các ưu tiên trọng tâm được đưa ra thương mại ra khỏi tiền thương mại;
ຍູ້ແຮງການຜັນຂະຫຍາຍບັນດາໂຄງການລົງທຶນຂອງບັນດາວິສາຫະກິດຫວຽດນາມ ຢູ່ ກູບາ, ເຫັນດີເປັນເອກະພາບຕໍ່ແຜນນະໂຍບາຍບາງໂຄງການໃໝ່;	Đẩy quảng bá các doanh nghiệp Việt Nam tại Cuba, thỏa thuận về một số chính sách mới;
ປະຕິບັດບັນດາໂຄງການຮ່ວມມືທີ່ໄດ້ລົງນາມຢ່າງມີປະສິດທິຜົນ, ສືບຕໍ່ເປີດກວ້າງການຮ່ວມມືໃນບັນດາຂົງເຂດອື່ນໆ.	Thực hiện dự án hợp tác tình cảm, tiếp tục mở hợp tác trong các lĩnh vực khác.
ພິທີເຊັນບົດບັນທຶກຊ່ວຍຈຳການຮ່ວມມື ຫວຽດນາມ-ກູບາ ໄລຍະ 2019-2020.	Lễ ký kết Giai đoạn Việt Nam-Cuba, 2019-2020.
ພາບ: ວີວີ.	Ảnh: VV.
ທີ່ພິທີປິດກອງປະຊຸມ, ສອງຝ່າຍໄດ້ລົງນາມໃນບົດບັນທຶກຊ່ວຍຈຳການຮ່ວມມື ຫວຽດນາມ-ກູບາ ໄລຍະ 2019-2020, ເປັນຂີດໝາຍນໍ້າໃຈມິດຕະພາບສາມັກຄີແບບພິເສດ ແລະການຮ່ວມມືຮອບດ້ານຫວຽດນາມ-ກູບາ ນັບມື້ນັບຍືນຍົງ, ພັດທະນາຢ່າງດີງາມ.	Lễ bế mạc, hai bên đã ký tưởng niệm Đài tưởng niệm, 2019-2020, tình bạn Việt Nam-Cuba và Cuba.
ໂດຍ: ສົມເພັດ.	Đăng bởi: Kim cương trộn.
