ກປ.ອອນໄລ - ວັນທີ 13 ກັນຍາ, ຢູ່ສໍານັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານ ຫວູດຶກດາມ ຮອງນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານນາງ Margarita M.Gonzalez Fernandez ລັດຖະມົນຕີກະຊວງແຮງງານ ແລະສະຫວັດດີການສັງຄົມກູບາ ທີ່ພວມມີການຢ້ຽມຢາມ ແລະເຮັດວຽກຢູ່ຫວຽດນາມ.	Khởi hành - Ngày 13 tháng 9, tại Thủ tướng và Bộ trưởng Bộ phận Lao động của CBA, du khách
ທີ່ການຕ້ອນຮັບ, ທ່ານ ຫວູດຶກດາມ ຢືນຢັນວ່າ, ສາຍພົວພັນຮ່ວມມືມິດຕະພາບລະຫວ່າງຫວຽດນາມ ແລະກູບາ ແມ່ນສາຍພົວພັນແບບພິເສດ, ເລິກເຊິ່ງ, ສັດຊື່ບໍລິສຸດ ແລະນັບມື້ນັບຮັດແໜ້ນ.	Điều đó chào đón, Vũ Du Duami khẳng định, hợp tác hữu nghị giữa Việt Nam và Cuba là một mối quan hệ sâu sắc sâu sắc, trung thực sâu sắc và thắt chặt.
ຫວຽດນາມ ຍາມໃດກໍ່ສະໜັບສະໜູນພາລະກິດຕໍ່ສູ້ອັນເປັນທຳຂອງປະຊາຊົນກູບາ ວິລະຊົນ.	Việt Nam tiếp tục hỗ trợ sứ mệnh chiến đấu truyền giáo của anh hùng Cuba.
ທ່ານ ຫວູດຶກດາມ ຮອງນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຕ້ອນຮັບທ່ານນາງ Margarita M.Gonzalez Fernandez ລັດຖະມົນຕີກະຊວງແຮງງານ ແລະສະຫວັດດີການສັງຄົມກູບາ.	Người Đức Đức Đức Phó Thủ tướng M.Gonzalez Fernandz Fernandz Bộ trưởng Lao động và Cuba.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ຜ່ານໝາກຜົນການເຮັດວຽກລະຫວ່າງກະຊວງແຮງງານ, ທະຫານເສຍອົງຄະ ແລະສັງຄົມຫວຽດນາມ ກັບລັດຖະມົນຕີກະຊວງແຮງງານ ແລະສະຫວັດດີການສັງຄົມກູບາ, ທ່ານ ຫວູດຶກດາມ ສະເໜີໃຫ້ສອງຝ່າຍຕັ້ງໜ້າຊຸກຍູ້ການຮ່ວມມື, ແບ່ງປັນບົດຮຽນ ເພື່ອສ້າງນະໂຍບາຍໃຫ້ສົມບູນແບບ, ສ້າງບັນດາຮູບແບບກ່ຽວກັບສະຫວັດດີການສັງຄົມຕິດພັນກັບການພັດທະນາແບບຍືນຍົງ.	Thông qua kết quả làm việc giữa Bộ Lao động, rối loạn quân sự Lào và phúc lợi Cuba cho sự phát triển của phúc lợi xã hội.
ທ່ານຮອງນາຍົກລັດຖະມົນຕີ ປາດຖະໜາວ່າ, ກະຊວງແຮງງານ ແລະສະຫວັດດີການສັງຄົມກູບາ ຈະເອົາໃຈໃສ່, ສ້າງເງື່ອນໄຂສະດວກໃຫ້ບັນດາວິສາຫະກິດຫວຽດນາມ ທີ່ພວມເຄື່ອນໄຫວຢູ່ກູບາ ແກ້ໄຂບັນດາບັນຫາແຮງງານ, ເງິນເດືອນ...	Phó Thủ tướng ước muốn, Bộ Lao động và Phúc lợi Cuba để chú ý, tạo điều kiện cho các doanh nghiệp Việt Nam, tiền lương ...
ຢ່າງສະດວກກວ່າ.	Thuận tiện hơn.
ຕາມທ່ານ ຫວູດຶກດາມ ແລ້ວ, ປະຈຸບັນໃນກິດຈະການປ່ຽນແປງໃໝ່ໄດ້ດໍາເນີນຢ່າງແຮງຢູ່ທັງຫວຽດນາມ ແລະກູບາ.	Theo sự sang trọng, bây giờ, những thay đổi mới được thực hiện mạnh mẽ tại Việt Nam và Cuba.
ຫວຽດນາມ ຍາມໃດກໍ່ສະໜັບສະໜູນ ແລະຄຽງບ່າຄຽງໄຫຼ່ພ້ອມກັບປະຊາຊົນກູບາ ໃນວິວັດການປ່ຽນແປງໃໝ່ກ່ຽວກັບເສດຖະກິດ, ສັງຄົມໄປຄຽງຄູ່ກັບການພັດທະນາແບບຍືນຍົງ.	Việt Nam tiếp tục hỗ trợ và đối phó với những người ở Cuba, các xã hội đi cùng với sự phát triển bền vững.
ສ່ວນທ່ານນາງ Margarita M.Gonzalez Fernandez ໃຫ້ຮູ້ວ່າ, ກູບາ ປາດຖະໜາຢາກຮ່ວມມື ແລະແລກປ່ຽນບົດຮຽນກັບຫວຽດນາມ ກ່ຽວກັບແຮງງານ, ວຽກເຮັດງານທຳ, ເງິນເດືອນ, ໜູນຊ່ວຍບັນດາເປົ້າໝາຍນະໂຍບາຍ, ນຳຄົນງານໄປເຮັດວຽກຢູ່ຕ່າງປະເທດ.	Bà Margarita M.Gonzalez Fernandz biết, Cuba muốn hợp tác và chia sẻ chính sách, trả tiền cho một công việc để làm việc ở nước ngoài.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần thông minh.
