ກປ.ອອນໄລ - ວັນທີ 16 ກັນຍາ, ທີ່ແຂວງກວາງຈີ໋, ທ່ານ ຫງວຽນຊວນຝຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ເຂົ້າຮ່ວມ ແລະອອກຄໍາສັ່ງເລີ່ມລົງມືກໍ່ສ້າງທາງດ່ວນກາມໂລ້-ລາເຊີນ, ເຊິ່ງແມ່ນໂຄງການທໍາອິດໃນ 11 ໂຄງການຍ່ອຍຂອງເສັ້ນທາງດ່ວນເໜືອ-ໃຕ້ທິດຕາເວັນອອກ.	Dia, ngày 16 tháng 9, Nguyễn Thị, Nguyễn Thị, Nguyễn Tấn Duẩn Nguyễn Tấn
ໂຄງການທາງດ່ວນເໜືອ-ໃຕ້, ຕອນກາມໂລ້-ລາເຊີນ ຜ່ານສອງແຂວງກວາງຈີ໋ ແລະເທື່ອທຽນເຫວ້ ມີລວງຍາວເກືອບ 100 ກິໂລແມັດ, ລວມມູນຄ່າລົງທຶນ 7.669 ຕື້ດົ່ງ.	Đường cao tốc phía Bắc - Nam Subs - Lời mời qua hai tỉnh Kangngang là gần 100 km, đầu tư 7,669 tỷ đồng.
ຄາດຄະເນວ່າ, ໂຄງການຈະກໍ່ສ້າງສໍາເລັດໃນປີ 2021.	Ước tính, dự án sẽ được hoàn thành vào năm 2021.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີ ແລະບັນດາຜູ້ແທນປະຕິບັດພິທີເລີ່ມລົງມືກໍ່ສ້າງໂຄງການ.	Thủ tướng Nguyễn Xuân Nguyên Xuân, và các đại biểu thực hiện dự án.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ກ່າວຄໍາເຫັນທີ່ພິທີ, ທ່ານ ຫງວຽນຊວນຟຸກ ເນັ້ນໜັກວ່າ, ທາງດ່ວນແຫ່ງຊາດມີບົດບາດສໍາຄັນໃນການເຊື່ອມຕໍ່ບັນດາແຂວງ, ນະຄອນ, ເຂດເສດຖະກິດຈຸດສຸມ, ປະກອບສ່ວນເຂົ້າໃນການພັດທະນາປະເທດ, ຍົກສູງຊີວິດການເປັນຢູ່ຂອງປະຊາຊົນ.	Nói buổi lễ, Nguyễn Xuân Phúc là một vai trò quan trọng trong thành phố, góp phần phát triển của người dân.
ບັນດາເສັ້ນທາງດ່ວນຈະຊ່ວຍຫຼຸດຄ່າໃຊ້ຈ່າຍ, ໂດຍສະເພາະແມ່ນຄ່າໃຊ້ຈ່າຍແຮງງານ, ຜະລິດຕະພັນ, ສ້າງເງື່ອນໄຂໃຫ້ແກ່ການແກ່ງແຍ້ງກັນໃນສະພາບເຊື່ອມໂຍງເຂົ້າກັບສາກົນຢ່າງເລິກເຊິ່ງກວ້າງຂວາງ.	Đường cao tốc sẽ giúp giảm giá chi phí, đặc biệt là chi phí lực lượng lao động, sản phẩm, phát sóng trong tích hợp quốc tế sâu sắc.
ທ່ານ ຫງວຽນຊວນຟຸກ ໃຫ້ຮູ້ວ່າ, ທາງດ່ວນກາມໂລ້-ລາເຊີນ, ແມ່ນກຳລັງໜູນສໍາຄັນສຳລັບແຂວງກວາງຈີີ້ ແລະແຂວງເທື່ອທຽນເຫວ້, ສ້າງຄວາມສະດວກ, ຫຼຸດຜ່ອນໄລຍະທາງໄປມາລະຫວ່າງສອງແຂວງ.	Nguyễn Xuân Phúc biết rằng, hàng tồn kho - lời mời, nến, giảm khoảng cách giữa hai tỉnh.
ທ່ານ ຫງວຽນຊວນຟຸກ ຕີລາຄາວ່າພິທີເລີ່ມລົງມືກໍ່ສ້າງໂຄງການແມ່ນສໍາຄັນທີ່ສຸດ, ທ່ານນາຍົກລັດຖະມົນຕີ ຮຽກຮ້ອງກະຊວງຄົມມະນາຄົມ ແລະຂົນສົ່ງ, ຄະນະຄຸ້ມຄອງໂຄງການທາງໂຮ່ຈີມິນ, ບັນດານັກລົງທຶນຄວນຮັບຮູ້ຄວາມຮັບຜິດຊອບຕໍ່ກັບໂຄງການຢ່າງຄົບຖ້ວນ, ປະຕິບັດໃຫ້ຖືກຄວາມຄືບໜ້າ, ຮັບປະກັນຄຸນນະພາບກິດຈະການ, ຕ້ານສິ່ງຫຍໍ້ທໍ້, ການສໍ້ລາດບັງຫຼວງໃນການລົງທຶນກໍ່ສ້າງພື້ນຖານໂຄງລ່າງ.	Nguyễn Xuân Nguyễn Xay là những nhà đầu tư quan trọng nhất, nhà đầu tư, nhà đầu tư nên nhận ra trách nhiệm, nhà đầu tư, nhà đầu tư.
ທ່ານນາຍົກລັດຖະມົນຕີ ຮຽກຮ້ອງຕ້ອງຮັບປະກັນຄວາມຄືບໜ້າ, ຄຸນນະພາບກິດຈະການສໍາຄັນດັ່ງກ່າວກໍ່ຄືທັງເສັ້ນທາງດ່ວນເໜືອ-ໃຕ້ກໍ່ຄືຄຸ້ມຄອງໂຄງການໃຫ້ຖືກຕາມກຳນົດ.	Thủ tướng Nguyễn Trime Bộ trưởng yêu cầu đảm bảo tiến bộ, các hoạt động chính như quản lý Bắc-Nam.
“ຖ້າພາກສ່ວນໃດເຮັດຜິດ, ຄຸ້ມຄອງຜິດ, ສົມຮູ້ຮ່ວມຄິດຈະຖືກລົງໂທດຢ່າງເຂັ້ມງວດທີ່ສຸດຕາມກຳນົດ ແລະຕ້ອງໄດ້ຮັບການກວດກາ, ເລັ່ງລັດຢ່າງເປັນປະຈໍາ.	Nếu bất kỳ phần nào bị xúc phạm, âm mưu, âm mưu sẽ bị trừng phạt cực kỳ nghiêm ngặt và phải được kiểm tra, thường xuyên nhanh chóng.
ໂດຍ: ໄຊນີດາ.	Bởi: NYH.
