ກປ.ອອນໄລ - ຕອນຄໍ່າວັນທີ 17 ຕຸລາ, ຢູ່ນະຄອນຫຼວງ ເບລເກຣດ, ສາທາລະນະລັດ ແຊັກບີ.	Sở lãnh đạo quân đội Mỹ đến quân đội châu Âu, Brussen, Bussels
ຄະນະຜູ້ແທນຂັ້ນສູງສະພາແຫ່ງຊາດຫວຽດນາມ ນໍາໂດຍທ່ານນາງ ຕ່ອງທິຟ໊ອງ ຮອງປະທານຜູ້ປະຈໍາການສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ເຂົ້າຮ່ວມພິທີປິດກອງປະຊຸມສະມັດຊາໃຫຍ່ສະຫະພັນລັດຖະສະພາສາກົນ ຄັ້ງທີ 141.	Việt Nam và EU trong việc thành lập sự tham gia của Việt Nam vào cuộc khủng hoảng EU (FPA).
ທ່ານນາງ ຕ່ອງທິຟ໊ອງ ຮອງປະທານຜູ້ປະຈໍາການສະພາແຫ່ງຊາດຫວຽດນາມ ເຂົ້າຮ່ວມພິທີປິດກອງປະຊຸມສະມັດຊາໃຫຍ່ IPU-141.	Sau khi tiến hành đàm phán theo thời gian và hoàn thành các thủ tục nội bộ của cả hai, tuân theo Tướng Ngô Xuân Austin, Bộ trưởng Bộ Quốc phòng Việt Nam, bà Federica Mogherini, Phó Chủ tịch Hội đồng châu Âu, đại diện của EU về hợp tác chính sách và thỏa thuận an ninh FPA là một bước quan trọng để phát triển sự bảo vệ mối quan hệ chính giữa Việt Nam và EU, đóng góp hợp tác có động lực và cam kết và hợp tác toàn diện giữa Việt Nam - EU (PCA) sâu hơn.
ພາບ: vov.vn.	Tổng trưởng Việt Nam và Federica Mogherini Phó chủ tịch của Ủy ban Châu Âu ký FPA.
ກອງປະຊຸມສະມັດຊາໃຫຍ່ໄດ້ຮັບຮອງເອົາຖະແຫຼງການ Belgrade “ເພີ່ມທະວີກົດໝາຍສາກົນ: ບົດບາດ ແລະກົນໄກຈັດຕັ້ງຂອງລັດຖະສະພາ, ການປະກອບສ່ວນຂອງການຮ່ວມມືໃນພາກພື້ນ.	Ảnh: Thắt lưng rất nhiều.
ຖະແຫຼງການດັ່ງກ່າວໄດ້ຍົກໃຫ້ເຫັນຄວາມສໍາຄັນຂອງຄວາມເປັນລະບຽບຮຽບຮ້ອຍໃນໂລກສັນຕິພາບໂດຍອີງໃສ່ກົດໝາຍ ແລະເນັ້ນໜັກວ່າບົດບາດຂອງບັນດາລະບອບລະບຽບການຫຼາຍຝ່າຍກັບສະຫະປະຊາຊາດ ແມ່ນພື້ນຖານເພື່ອແກ້ໄຂບັນດາສິ່ງທ້າທາຍລວມ ກໍ່ຄືການຂັດແຍ້ງກັນລະຫວ່າງປະເທດຕ່າງໆ.	Hợp đồng FPA là một hợp đồng mẹ để thiết lập sự hợp tác, cam kết thông thường đối với bối cảnh trong đó hai bên đồng ý.
ຖະແຫຼງການເນັ້ນໜັກວ່າ ການຮ່ວມມືພາກພື້ນແມ່ນປັດໄຈທີ່ຈຳເປັນໃນການເພີ່ມທະວີຄວາມເປັນລະບຽບຮຽບຮ້ອຍໃນໂລກໂດຍອີງໃສ່ກົດໝາຍ, ປະກອບສ່ວນແກ້ໄຂບັນດາການຂັດແຍ້ງກັນໂດຍສັນຕິວິທີ ແລະຊຸກຍູ້ສັນຕິພາບແບບຍືນຍົງ.	Sau khi đăng ký FPA, Tướng Austich đã gặp bà Federica Mogherini.
ທ່ານນາງ ຕ່ອງທິຟ໊ອງ ຮອງປະທານຜູ້ປະຈໍາການສະພາແຫ່ງຊາດຫວຽດນາມ ພົບປະກັບທ່ານ Ivica Dačić ຮອງນາຍົກລັດຖະມົນຕີຜູ້ທີໜຶ່ງແຊັກບີ.	Thứ hai, sự hợp tác trong khu vực quốc phòng, ngăn chặn khu vực, trong khu vực của cấu trúc khu vực và ASEAN).
ພາບ: vov.vn.	Tướng Úc xác nhận, Bộ Quốc phòng Việt Nam hỗ trợ EU muốn tham gia vào Confida châu Á-Thái Bình Dương.
ກ່ອນໜ້ານັ້ນໃນວັນດຽວກັນ, ທີ່ການພົບປະກັບທ່ານ Ivica Dačić ຮອງນາຍົກລັດຖະມົນຕີຜູ້ທີໜຶ່ງທັງເປັນລັດຖະມົນຕີການຕ່າງປະເທດແຊັກບີ, ທ່ານນາງ ຕ່ອງທິຟ໊ອງ ຢັ້ງຢືນວ່າ, ຫວຽດນາມ ຖືເປັນສໍາຄັນການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອກັບແຊັກບີ ແລະສອງປະເທດຄວນຮັກສາ, ພັດທະນາການພົວພັນໃຫ້ນັບມື້ນັບເລິກເຊິ່ງກວ່າອີກ.	Bà Federica Mozherini biết, EU đồng ý rằng Việt Nam sẽ tiếp tục hòa bình trong hòa bình và phát triển vào năm 2020 tổng thống.
ບົນພື້ນຖານຄວາມສາມາດບົ່ມຊ້ອນ ແລະທ່າແຮງຂອງແຕ່ລະປະເທດ, ທ່ານນາງ ຕ່ອງທິຟ໊ອງ ປາດຖະໜາວ່າສອງປະເທດຄວນຊຸກຍູ້ການຮ່ວມມືໃນບັນດາຂົງເຂດເສດຖະກິດ-ການຄ້າ, ວັດທະນະທໍາ, ການສຶກສາ-ກໍ່ສ້າງ, ກິລາກາຍຍະກໍາ.	Bộ trưởng Quốc hội Việt Nam nói chung gặp Phó chủ tịch Federica Mogherini của Ủy ban Châu Âu.
ການເຮັດວຽກລະຫວ່າງສອງຄະນະຂັ້ນສູງຂອງຫວຽດນາມ ແລະແຊັກບີ.	Ảnh: Thắt lưng rất nhiều.
ພາບ: vov.vn.	Hai bên nâng cao hợp tác hợp tác với những thách thức kích động, bao gồm cả quân đội, chống cứu hộ
ສ່ວນທ່ານ Ivica Dačić, ສະແດງຄວາມປາດຖະໜາຢາກເພີ່ມທະວີການຮ່ວມມືກັບຫວຽດນາມ ຜ່ານການແລກປ່ຽນຄະນະຜູ້ແທນທຸກຂັ້ນ.	Bà Federica Mozherini nói, EU, các quốc gia thành viên quan tâm đến luật quốc tế, vào năm 1982 (UNCLOS).
ພ້ອມທັງໃຫ້ຮູ້ວ່າ ທ່ານຈະມາຢ້ຽມຢາມຫວຽດນາມ ໃນໄລຍະໃກ້ຈະມາເຖິງແນໃສ່ແລກປ່ຽນບັນດາມາດຕະການຊຸກຍູ້ການພົວພັນຮ່ວມມືລະຫວ່າງສອງຝ່າຍ.	EU hỗ trợ các cuộc đàm phán Biển Đông (COC) rõ ràng, đáp ứng với lợi ích của các quốc gia trong khu vực và các quốc gia đối tác.
ຕອນເຊົ້າວັນທີ 18 ຕຸລາ (ຕາມເວລາຫວຽດນາມ), ຄະນະໄດ້ເດີນທາງກັບເມືອປະເທດ, ສິ້ນສຸດການເຂົ້າຮ່ວມກອງປະຊຸມສະມັດຊາໃຫຍ່ສະຫະພັນລັດຖະສະພາສາກົນ ຄັ້ງທີ 141.	Đăng bởi: Tháng ánh sáng.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	 ...
