ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 25 ຕຸລາ 2019, ທີ່ຮ່າໂນ້ຍ, ອົງການໄອຍະການປະຊາຊົນສູງສຸດໄດ້ສົມທົບກັບບັນດາອົງການກ່ຽວຂ້ອງດໍາເນີນການເຈລະຈາຮອບທີ 2 ສັນຍາວ່າດ້ວຍການຮ່ວມມືທາງດ້ານຍຸຕິທໍາໃນບັນຫາທາງອາຍາລະຫວ່າງ ສສ ຫວຽດນາມ ແລະ ສປປ ລາວ.	Công tố - ngày 25 tháng 10 năm 2019, tại Hà Nội, Tiến sĩ Tối cao tại Hà Nội và CHDCND Lào.
ບັນຍາກາດທີ່ການເຈລະຈາຮອບທີ 2 ວ່າດ້ວຍການຮ່ວມມືທາງດ້ານຍຸຕິທໍາໃນບັນຫາທາງອາຍາລະຫວ່າງຫວຽດນາມ ແລະລາວ.	Bầu không khí tại vòng đàm phán thứ hai trong sự hợp tác công bằng giữa Việt Nam và Lào.
ພາບ: ຈີ໊ງກວຽດ.	Ảnh: Chianel.
ການເຈລະຈາຮອບທີ 2 ໄດ້ດໍາເນີນໃນບັນຍາກາດຮ່ວມມື, ມິດຕະພາບ ແລະຄວາມເຂົ້າໃຈເຊິ່ງກັນ ແລະກັນ.	Các cuộc đàm phán thứ 2 được tiến hành trong một bầu không khí hợp tác, tình bạn và sự hiểu biết lẫn nhau.
ບົນພື້ນຖານໝາກຜົນການເຈລະຈາຮອບທີ 1 ທີ່ດໍາເນີນຢູ່ນະຄອນຫຼວງພະບາງ, ສປປ ລາວ, ສອງຝ່າຍໄດ້ດໍາເນີນການເຈລະຈາບັນດາຂໍ້, ມາດຕາທີ່ຍັງເຫຼືອຂອງສັນຍາ, ກວດກາຄືນສ່ວນທີ່ຍັງມີທັດສະນະແຕກຕ່າງກັນຈາກການເຈລະຈາຮອບກ່ອນນັ້ນ, ແລກປ່ຽນກ່ຽວກັບກົດໝາຍທີ່ກ່ຽວຂ້ອງຂອງແຕ່ລະປະເທດ, ຈາກນັ້ນ, ເຫັນດີເປັນເອກະພາບວິທີການແກ້ໄຂ.	Trên cơ sở vòng 1 Tổng thống, CHDCND Lào, tầm nhìn còn lại của pháp luật, từ nước này, sau đó, do đó đồng ý với sự điều chỉnh.
ຕາງໜ້າຄະນະເຈລະຈາຫວຽດນາມ, ທ່ານ ເຈິ່ນກົງຟ່ານ, ຮອງຫົວໜ້າອົງການໄອຍະການປະຊາຊົນສູງສຸດຫວຽດນາມ ອວຍພອນຜົນສໍາເລັດຂອງການເຈລະຈາຮອບທີ 2, ພ້ອມທັງສະເໜີບັນດາອົງການທີ່ກ່ຽວຂ້ອງຂອງສອງປະເທດດຳເນີນບັນດາລະບຽບການທີ່ຈໍາເປັນ, ເພື່ອລົງນາມໃນສັນຍາດັ່ງກ່າວຢ່າງເປັນທາງການໃນໄລຍະໄວທີ່ສຸດ.	Thay mặt cuộc đàm phán, tham gia, phó giám đốc của Đảng Cộng sản thứ hai, cũng như cơ quan chính thức của thủ tục.
ສອງຝ່າຍໄດ້ເຫັນດີເປັນເອກະພາບບັນດາຂໍ້, ມາດຕາຂອງຮ່າງສັນຍາ.	Hai bên đồng ý thống nhất, bài báo của dự thảo.
ພາບ: ຈີ໊ງກວຽດ.	Ảnh: Chianel.
ຕາງໜ້າຄະນະເຈລະຈາລາວ, ທ່ານ ໄຊຊະນະ ໂຄດພູທອນ ຮອງຫົວໜ້າອົງການໄອຍະການປະຊາຊົນສູງສຸດລາວ ໄດ້ຂອບອົບຂອບໃຈຄະນະເຈລະຈາຫວຽດນາມ ທີ່ໄດ້ຕ້ອນຮັບຄະນະຢ່າງສົມກຽດ, ພ້ອມທັງອວຍພອນຜົນສຳເລັດຂອງການເຈລະຈາຮອບທີ 2 ລະຫວ່າງສອງປະເທດ ແລະຢັ້ງຢືນວ່າຝ່າຍລາວ, ບັນດາອົງການທີ່ກ່ຽວຂ້ອງກໍ່ຈະຕັ້ງໜ້າດຳເນີນບັນດາລະບຽບການເພື່ອເຊັນສັນຍາ.	Thay mặt cuộc đàm phán Lào, Hải quân, Bộ trưởng của Đảng Quốc gia, Bộ Nhân dân Lào
ສິ້ນສຸດການເຈລະຈາ, ຫົວໜ້າຄະນະສອງຝ່າຍໄດ້ເຊັນກວດຮ່າງສັນຍາ, ເຊິ່ງລວມມີຄໍາແນະນໍາ ແລະ 24 ມາດຕາ;	Đàm phán Ternds, hai người đứng đầu đã ký một cuộc đối thoại, bao gồm lời khuyên và 24 bài viết;
ລົງນາມໃນບົດບັນທຶກຊ່ວຍຈໍາກ່ຽວກັບໝາກຜົນການເຈລະຈາຮອບທີ 2.	Đăng nhập trong Bản ghi nhớ của vòng đàm phán thứ 2.
ຄາດຄະເນວ່າສັນຍາວ່າດ້ວຍການຮ່ວມມືທາງດ້ານຍຸຕິທໍາໃນບັນຫາທາງອາຍາລະຫວ່າງສອງປະເທດຈະໄດ້ລົງນາມຢ່າງເປັນທາງການໃນຕ້ົນປີ 2020 ຢູ່ສປປ ລາວ.	Dự đoán liên quan đến trường hợp của một vấn đề chung giữa hai20S trong CHDCND Lào.
ໂດຍ: ເກື່ອງດັ້ງ.	Bởi: Trương.
