ກປ.ອອນໄລ - ພາຍຫຼັງກອງປະຊຸມສຸດຍອດອາຊຽນ ຄັ້ງທີ 35 ແລະບັນດາກອງປະຊຸມທີ່ກ່ຽວຂ້ອງຢູ່ບາງກອກ, ປະເທດໄທ.	Hội nghị thượng đỉnh ASEAN lần thứ 5 và các cuộc họp liên quan đến Bangkok, Thái Lan.
ກອງປະຊຸມໄດ້ຈັດພິທີມອບ-ຮັບໜ້າທີ່ປະທານອາຊຽນ ໃຫ້ແກ່ຫວຽດນາມ.	Cuộc họp đã sắp xếp một chủ tịch thủ công của Tổng thống đến Việt Nam.
ການເປັນປະທານໝູນວຽນອາຊຽນປີ 2020 ແມ່ນໂອກາດເພື່ອໃຫ້ຫວຽດນາມ ສະແດງບົດບາດໜ້າທີ່ສຳຄັນອັນໃຫຍ່ຫຼວງຂອງຕົນຕໍ່ສະມາຄົມປະຊາຊາດອາຊີຕາເວັນອອກສ່ຽງໃຕ້ (ASEAN).	Revleversion 2020 ASEAN là cơ hội để Việt Nam thể hiện vai trò lớn nhất của mình với Đông Nam Á (ASEAN).
ນີ້ກໍ່ແມ່ນກາລະໂອກາດທີ່ດີ ເພື່ອໃຫ້ຫວຽດນາມ ກໍາແໜ້ນ, ເສີມຂະຫຍາຍການຮ່ວມມື ເພື່ອພັດທະນາປະເທດຊາດໃນວິວັດທະນາການເຊື່ອມໂຍງ.	Đây cũng là một cơ hội tốt để Việt Nam thắt chặt, nâng cao hợp tác để phát triển các quốc gia trong sự tiến hóa tích hợp.
ຫວຽດນາມ ດໍາລົງຕຳແໜ່ງເປັນປະທານໝູນວຽນອາຊຽນປີ 2020 ໃນສະພາບການປະຊາຄົມອາຊຽນ ໄດ້ເພີ່ມພູນຄູນສ້າງຈາກຜົນງານຂອງ 50 ປີແຫ່ງການຮ່ວມມື, ແຕ່ຍັງຢູ່ໄລຍະເບື້ອງຕົ້ນໃນວິວັດທະນາການພັດທະນາກາຍເປັນປະຊາຄົມມີຄວາມ “ສະໜິດຕິດແທດດ້ານການເມືອງ, ຮ່ວມສໍາພັນດ້ານເສດຖະກິດ, ມີຄວາມຮັບຜິດຊອບທາງສັງຄົມ;	Văn phòng Việt Nam, năm 2020, trong Chủ tịch Cộng đồng ASEAN, nhưng trong tình trạng ban đầu của sự phát triển, với nền kinh tế, với quan hệ kinh tế;
ເຄື່ອນໄຫວໂດຍອີງຕາມລະບຽບກົດໝາຍ;	Chủ động dựa trên luật pháp;
ມຸ່ງໄປເຖິງປະຊາຊົນ ແລະຖືປະຊາຊົນເປັນໃຈກາງ.	Đi đến mọi người và giữ người ở trung tâm.
ຄຽງຂ້າງນັ້ນ, ປີ 2020 ຖືເປັນປີບານພັບໃນການຜັນຂະຫຍາຍແຜນການຫັນວິໄສທັດປະຊາຄົມອາຊຽນ 2025 ໃຫ້ປະກົດຜົນເປັນຈິງ.	Bên cạnh này, năm 2020 là một năm gấp của sự chuyển đổi tầm nhìn lây truyền cộng đồng ASEAN 2025 sang thực tế.
ແຕ່ວ່າ, ອາຊຽນ ພວມປະເຊີນໜ້າກັບຄວາມຫຍຸ້ງຍາກ ແລະສິ່ງທ້າທາຍຕ່າງໆ, ທັງມີປັດໄຈອັດຕະວິໄສ ແລະພາວະວິໄສ.	Nhưng, ASEAN phải đối mặt với những khó khăn và thách thức, cả hai trường đại học đều phải chịu đựng.
ກະແຈໄຂຄວາມສໍາເລັດກໍ່ຄືກໍາລັງແຮງຂອງອາຊຽນ ແມ່ນຄວາມສາມັກຄີ.	Key thành công cũng là sức mạnh của ASEAN là sự thống nhất.
ເວົ້າຄືແບບນັ້ນແມ່ນເພື່ອໃຫ້ເຫັນວ່າ, ຢາກຢືນໝັ້ນ ແລະປັບຕົວຢ່າງມີປະສິດທິຜົນຕໍ່ບັນດາການຜັນແປທີ່ສັບສົນຂອງສະພາບແວດລ້ອມຢູ່ພາກພື້ນ ແລະໃນໂລກ, ອາຊຽນ ຄວນຮັກສາກຸ່ມກ້ອນສາມັກຄີເປັນປຶກແຜ່ນ, ມີຄວາມເປັນເອກະພາບ, ຍົກສູງກໍາລັງຄວາມສາມາດສ້າງຄວາມເຂັ້ມແຂງດ້ານເສດຖະກິດດ້ວຍຕົນເອງ...	Nói theo cách đó, muốn chống lại sự chuyển đổi phức tạp, nền kinh tế, nền kinh tế là tự kinh tế,
ຍ້ອນເຫດນັ້ນ, ຫວຽດນາມ ເປັນປະເທດປະທານໝູນວຽນອາຊຽນປີ 2020 ຈະຕ້ອງແບກຫາບຄວາມຮັບຜິດຊອບອັນໃຫຍ່ຫຼວງ.	Do đó, Việt Nam là quốc gia sửa đổi ASEAN, 2020 sẽ cần chịu trách nhiệm lớn.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຮັບຄ້ອນປະທານອາຊຽນ ຈາກທ່ານ ປຣະຢຸດ ຈັນ ໂອຊາ ນາຍົກລັດຖະມົນຕີໄທ.	Chủ tịch Trương Tấn Dũng nhận Chủ tịch ASEAN Nguyễn Xuân
ພາບ: baochinhphu.vn.	Ảnh: Baochinhu.vn.
ປີ 2020 ກໍ່ແມ່ນປີພິເສດຍ້ອນວ່າເປັນປີທີ່ຫວຽດນາມ ເຂົ້າຮ່ວມ “ຊາຍຄາລວມ ອາຊຽນ ຄົບຮອບ 25 ປີ.	Năm 2020 là một năm đặc biệt, sự tham gia của Việt Nam đã tham gia vào năm nay, Việt Nam, kỷ niệm 25 năm của Việt Nam.
ການຕັດສິນເຂົ້າຮ່ວມອາຊຽນໃນປີ 1995 ແມ່ນບາດກ້າວເດີນຍຸດທະສາດຢ່າງຖືກຕ້ອງ ແລະສະຫຼາດສ່ອງໃສຂອງພັກ, ລັດຫວຽດນາມ, ຂີດໝາຍເສົາຄໍ້າສໍາຄັນໃນວິວັດທະນາການເຊື່ອມໂຍງເຂົ້າກັບສາກົນຂອງປະເທດຊາດ.	Sự tham gia của ASEAN vào năm 1995, chiến lược tiêu biểu chiến lược và kỳ nghỉ, Việt Nam, Nhà nước hội nhập hội nhập quốc tế.
ອາຊຽນ ແມ່ນໜຶ່ງໃນບັນດາຂອດບຸກທະລຸທໍາອິດ ເພື່ອໃຫ້ພວກເຮົາຜັນຂະຫຍາຍທິດນໍາຫັນການພົວພັນຕ່າງປະເທດເປັນຫຼາຍຝ່າຍ, ຫຼາຍຮູບຫຼາຍແບບ.	ASEAN là một trong những bằng chứng đầu tiên đối với chúng tôi để thực hiện một mối quan hệ đa phương
ເຂົ້າຮ່ວມ ອາຊຽນ ໄດ້ນໍາມາເຊິ່ງຜົນປະໂຫຍດ ແລະກາລະໂອກາດຫຼາຍຢ່າງ ເພື່ອໃຫ້ຫວຽດນາມ ເຊື່ອມໂຍງເຂົ້າກັບພາກພື້ນ ແລະສາກົນເທື່ອລະກ້າວ, ຍົກສູງກຳລັງແຮງແທ້ຈິງ ແລະປະຕິຮູບພາຍໃນປະເທດ, ເສີມຂະຫຍາຍບົດບາດ ແລະຖານະທີ່ຕັ້ງຂອງປະເທດທີ່ມີຄວາມຮັບຜິດຊອບໃນປະຊາຄົມສາກົນ.	ASEAN đã có lợi ích và cơ hội cho Việt Nam kết nối trong khu vực và cải cách quốc tế của đất nước trong cộng đồng quốc tế.
