ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 14 ພະຈິກ, ທີ່ຫໍສະພາແຫ່ງຊາດ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ເປັນປະທານພິທີຕ້ອນຮັບທ່ານ ເນີລານ ນິກມາຕູລິນ ປະທານສະພາຕໍ່າ ກາຊັກສະຖານ ຢ່າງເປັນທາງການ.	Lời mời của ngày 14 tháng 6, tại Quốc hội Bộ trưởng Nguyễn Trò gốc Nguyễn Thị Tháng 1
ພາຍຫຼັງພິທີຕ້ອນຮັບ, ສອງຝ່າຍໄດ້ດໍາເນີນການພົບປະເຈລະຈາ.	Sau lễ tiếp nhận, hai bên được thực hiện để đáp ứng các cuộc đàm phán.
ທີ່ການພົບປະເຈລະຈາ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ແລະທ່ານ ເນີລານ ນິກມາຕູລິນ ໄດ້ສະແດງຄວາມປິຕິຊົມຊື່ນເມື່ອເຫັນວ່າການພົວພັນດ້ານການເມືອງ-ການທູດ ພັດທະນາຢ່າງດີງາມ, ການພົວພັນດ້ານເສດຖະກິດ-ການຄ້າລະຫວ່າງສອງປະເທດນັບມື້ນັບໄດ້ຮັບການຍູ້ແຮງ.	Khi gặp các cuộc đàm phán, Nguyễn Xay Mini Kong, mùa xuân, ngoại giao, thương mại giữa hai nước đang ngày càng tăng.
ທ່ານນາງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຢັ້ງຢືນວ່າ ສະພາແຫ່ງຊາດຫວຽດນາມ ສະໜັບສະໜູນ ແລະພ້ອມແລ້ວທີ່ຈະຮ່ວມກັບລັດຖະບານ ແລະບັນດາອົງການທີ່ກ່ຽວຂ້ອງສ້າງເງື່ອນໄຂສະດວກເພື່ອໃຫ້ບັນດາວິສາຫະກິດ ກາຊັກສະຖານ ມາເຄື່ອນໄຫວ ແລະພັດທະນາຢູ່ຫວຽດນາມ.	Chủ tịch Quốc hội xác nhận Quốc hội hỗ trợ rằng Quốc hội đã hỗ trợ và sẵn sàng hợp tác với Chính phủ và sự phát triển của Kazakhnesses tại Việt Nam.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ເປັນປະທານພິທີຕ້ອນຮັບທ່ານ ເນີລານ ນິກມາຕູລິນ ປະທານສະພາຕໍ່າ ກາຊັກສະຖານ ຢ່າງເປັນທາງການ.	Đại diện Nguyễn Nguyên Thin Nguyễn Trion của Chủ tịch Quốc hội Quốc hội
ພາບ: ຈ໊ຽນຖັ໊ງ.	Ảnh: VNA AGENDUM
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ສະເໜີໃຫ້ສອງຝ່າຍພິຈາລະນາການເຊັນຂໍ້ຕົກລົງຮ່ວມມືລະຫວ່າງສອງອົງການນິຕິບັນຍັດ, ສ້າງພື້ນຖານດ້ານນິຕິກໍາສໍາຄັນເພື່ອຜັນຂະຫຍາຍການຮ່ວມມືທີ່ນັບມື້ນັບມີຄວາມຍືນຍົງ ແລະມີປະສິດທິຜົນ;	Nguyễn Minh Nguyên Minh, xem xét hợp tác giữa hai thỏa thuận lập pháp, thiết lập hợp tác pháp lý và hiệu quả;
ສະເໜີໃຫ້ສອງຝ່າຍສືບຕໍ່ຮັກສາ ແລະເພີ່ມທະວີການແລກປ່ຽນຄະນະຜູ້ແທນຂັ້ນສູງ, ຂັ້ນກຳມາທິການ ແລະອົງການຮັບໃຊ້ສະພາແຫ່ງຊາດ;	Cung cấp hai bên tiếp tục duy trì và tăng các sàn giao dịch, General League và Thủ tướng
ສົມທົບກັນຕິດຕາມກວດກາການປະຕິບັດບັນດາຂໍ້ຕົກລົງຮ່ວມມື ເຊິ່ງ ລັດຖະບານ ສອງປະເທດ ໄດ້ລົງນາມ.	Kết hợp việc thực hiện hợp tác, mà hai nước đã ký.
ສອງຝ່າຍຈົ່ງຮັກສາ ແລະເສີມຂະຫຍາຍກົນໄກປຶກສາຫາລື, ສົມທົບກັນຢ່າງແໜ້ນແຟ້ນຢູ່ບັນດາເວທີປາໄສຫຼາຍຝ່າຍ ຄື: ສະຫະພັນລັດຖະສະພາສາກົນ (IPU), ເວທີປາໄສລັດຖະສະພາອາຊີ-ປາຊີຟິກ (APPF)...	Hai bên, điều trị và củng cố cơ chế tư vấn, bao gồm Diễn đàn đa phương: IPU), Nghị viện Thái Bình Dương (APPF) ...
ບັນຍາກາດທີ່ການເຈລະຈາ.	Khí quyển đàm phán.
