ກປ.ອອນໄລ - ກອງປະຊຸມວົງແຄບລັດຖະມົນປ້ອງກັນປະເທດບັນດາປະເທດອາຊຽນ ໄດ້ໄຂຂຶ້ນໃນຕອນເຊົ້າວັນທີ 17 ພະຈິກ, ທີ່ບາງກອກ, ປະເທດໄທ.	Hội nghị Bộ trưởng Quốc phòng ASEAN được tổ chức sáng 17/11 tại Bangkok, Thái Lan.
ທ່ານພົນເອກ ປຣະວິດ ວົງສຸວັນ, ຮອງນາຍົກລັດຖະມົນຕີ ໄທ ເປັນປະທານກອງປະຊຸມ.	Cuộc họp do Đại tướng Prawit Vongsuvan, Phó Thủ tướng Thái Lan chủ trì.
ເຂົ້າຮ່ວມກອງປະຊຸມມີລັດຖະມົນຕີປ້ອງກັນປະເທດບັນດາປະເທດອາຊຽນ ແລະທ່ານ Lim Jock Hoi ເລຂາທິການໃຫຍ່ອາຊຽນ.	Cuộc họp có sự tham dự của các Bộ trưởng Quốc phòng ASEAN và Tổng thư ký ASEAN Lim Jock Hoi.
ຄະນະຜູ້ແທນການທະຫານຂັ້ນສູງຫວຽດນາມ ນໍາໂດຍທ່ານພົນເອກ ໂງຊວນລິກ, ກໍາມະການກົມການເມືອງ, ຮອງເລຂາຄະນະພັກການທະຫານສູນກາງ, ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ເຂົ້າຮ່ວມກອງປະຊຸມ.	Đoàn đại biểu quân sự cấp cao Việt Nam do Thượng tướng Ngô Xuân Lik, Ủy viên Tổng cục Chính trị, Phó Bí thư Quân ủy Trung ương, Bộ trưởng Bộ Quốc phòng Việt Nam làm trưởng đoàn đã đến dự.
ກ່າວຄໍາເຫັນໄຂກອງປະຊຸມ, ທ່ານພົນເອກ ປຣະວິດ ວົງສຸວັນ ໃຫ້ຮູ້ວ່າ, ໃນຊຸມປີຜ່ານມາ, ການຮ່ວມມືໃນຂອບເຂດກອງປະຊຸມລັດຖະມົນຕີປ້ອງກັນປະເທດອາຊຽນ (ADMM) ສືບຕໍ່ບັນລຸໄດ້ຄວາມຄືບໜ້າຫຼາຍຢ່າງ, ດ້ວຍການສ້າງຕັ້ງບັນດາກົນໄກຮ່ວມມືໃໝ່ ແລະບັນດາການເຄື່ອນໄຫວທີ່ກ່ຽວຂ້ອງອື່ນໆ.	Nhận xét về cuộc họp, Đại tướng Prawit Vongsuwan cho rằng, trong thời gian qua, hợp tác trong khuôn khổ Hội nghị Bộ trưởng Quốc phòng ASEAN (ADMM) tiếp tục có nhiều tiến bộ, với việc thiết lập các cơ chế hợp tác mới và các hoạt động liên quan khác.
ນັ້ນແມ່ນບັນດາພະຍານຫຼັກຖານໃຫ້ແກ່ຄໍາໝັ້ນສັນຍາຂອງບັນດາປະເທດໃນການເພີ່ມທະວີຄວາມໝັ້ນຄົງ, ຄວາມສາມັກຄີ ແລະບົດບາດໃຈກາງຂອງອາຊຽນເພື່ອແນໃສ່ກໍ່ສ້າງອາຊຽນ ໃຫ້ກາຍເປັນພາກພື້ນສັນຕິພາບ, ສະຖຽນລະພາບ, ໝັ້ນຄົງ ແລະພັດທະນາຕາມວິໄສທັດອາຊຽນ 2025...	Đây là những minh chứng cho cam kết của các nước trong việc tăng cường an ninh, thống nhất và vai trò trung tâm của ASEAN trong việc xây dựng ASEAN trở thành một khu vực hòa bình, ổn định, vững chắc và phát triển theo Tầm nhìn ASEAN 2025 ...
ທ່ານພົນເອກ ໂງຊວນລິກ ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ທີ່ ADMM ວົງແຄບ.	Đại tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng Việt Nam tại ADMM
ພາບ: ທູຈາງ.	Ảnh: Thu Zhang
ທີ່ກອງປະຊຸມ ADMM ວົງແຄບ, ບັນດາລັດຖະມົນຕີປ້ອງກັນປະເທດອາຊຽນ ໄດ້ແລກປ່ຽນທັດສະນະກ່ຽວກັບສະພາບແວດລ້ອມຄວາມໝັ້ນຄົງສາກົນ ແລະພາກພື້ນ.	Tại ADMM, các Bộ trưởng Quốc phòng ASEAN đã trao đổi quan điểm về môi trường an ninh quốc tế và khu vực.
ບັນດາລັດຖະມົນຕີປ້ອງກັນປະເທດ ລ້ວນແຕ່ຢັ້ງຢືນວ່າ ອາຊຽນ ຄວນສາມັກຄີ, ຮັກສາບົດບາດໃຈກາງ ແລະຊັກນໍາໃນບັນດາກົນໄກຮ່ວມມືຢູ່ພາກພື້ນເພື່ອຮັບມືຢ່າງທັນການກັບບັນດາສິ່ງທ້າທາຍຄວາມໝັ້ນຄົງທີ່ກ່ຽວຂ້ອງກັບການທະຫານ ແລະຄວາມໝັ້ນຄົງບໍ່ແມ່ນການທະຫານທີ່ກໍາລັງເກີດຂຶ້ນ, ຄື: ບັນຫາການກໍ່ການຮ້າຍ, ສິ່ງທີ່ກົງກັນຂ້າມກັບການພັດທະນາຂອງເຕັກໂນໂລຢີ, ຄວາມໝັ້ນຄົງທາງອິນເຕີແນັດ.	Các Bộ trưởng Quốc phòng tái khẳng định ASEAN cần đoàn kết, duy trì vai trò trung tâm và dẫn dắt các cơ chế hợp tác khu vực để giải quyết kịp thời các thách thức an ninh quân sự và phi quân sự đang nổi lên, như khủng bố, chống khủng bố và chống khủng bố.
ບັນດາລັດຖະມົນຕີ ກໍແລກປ່ຽນຢ່າງເລິກເຊິ່ງກ່ຽວກັບບັນດາສິ່ງທ້າທາຍຕໍ່ຄວາມໝັ້ນຄົງທາງທະເລ, ໃນນັ້ນມີທະເລຕາເວັນອອກ, ພ້ອມທັງເນັ້ນໜັກເຖິງຄວາມສໍາຄັນຂອງການຮັກສາສັນຕິພາບ ແລະສະຖຽນລະພາບຢູ່ທະເລຕາເວັນອອກ ສໍາລັບຄວາມໝັ້ນຄົງຢູ່ພາກພື້ນ ແລະໃນໂລກ.	Các Bộ trưởng đã trao đổi sâu sắc về những thách thức đối với an ninh hàng hải, bao gồm cả ở Biển Đông và nhấn mạnh tầm quan trọng của việc duy trì hòa bình và ổn định ở Biển Đông đối với an ninh khu vực và toàn cầu.
