ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 19 ພະຈິກ, ທີ່ສໍານັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ Jorge Rondon Uzcategui ເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອໍານາດເຕັມແຫ່ງ ສ.	Jund miễn phí, Nguyễn Xex Xeng, Thủ tướng Nguyễn Tấn Phúc đã chào đón Đại sứ.
ເວເນຊູເອລາ ເຂົ້າຢ້ຽມອໍາລາເນື່ອງໃນໂອກາດສິ້ນສຸດການປະຕິບັດໜ້າທີ່ການທູດຢູ່ຫວຽດນາມ.	Venezuela Furet Farens trên cơ hội kết thúc mua các mặt nhiệm vụ tại Việt Nam.
ທີ່ການຕ້ອນຮັບ, ທ່ານ ຫງວຽນຊວນຟຸກ ສະແດງຄວາມຂອບໃຈຕໍ່ທ່ານ Jorge Rondon Uzcategui ທີ່ໄດ້ປະກອບສ່ວນຢ່າງຕັ້ງໜ້າເຂົ້າໃນການພັດທະນາການພົວພັນມິດຕະພາບ ແລະການຮ່ວມມືຮອບດ້ານລະຫວ່າງສອງປະເທດ ໃນເກືອບ 14 ປີຜ່ານມາ.	Lễ tân, Nguyễn Unilatence cho ông Jorge Rondon Uzcategui đã đóng góp cho sự phát triển của tình bạn và hợp tác toàn diện trong 14 năm qua.
ທ່ານນາຍົກລັດຖະມົນຕີ ຢັ້ງຢືນວ່າ, ຫວຽດນາມ ຍາມໃດກໍຖືເປັນສໍາຄັນການຊຸກຍູ້ການພົວພັນກັບເວເນຊູເອລາ.	Thủ tướng xác nhận, Việt Nam rất quan trọng để tăng đối thủ với Venezuela.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຕ້ອນຮັບທ່ານ Jorge Rondon Uzcategui ເອກອັກຄະລັດຖະທູດ ເວເນຊູເອລາ ປະຈໍາຫວຽດນາມ.	Thủ tướng Việt Nam Nguyễn Phú nhận được Thủ tướng Nguyễn Tấn Phúc nhận Thủ tướng Jorge Rondon, Đại sứ của Venezuela Uzcateguise Việt Nam.
ພາບ: ກວາງຮ໊ຽວ.	Ảnh: Deer Guang.
ສະແດງຄວາມປະທັບໃຈ, ຄວາມເຊື່ອໝັ້ນກ່ຽວກັບແງ່ຫວັງພັດທະນາຂອງຫວຽດນາມ, ທ່ານ Jorge Rondon Uzcategui ສົ່ງຄໍາຂອບໃຈຕໍ່ການສະໜັບສະໜູນຂອງຫວຽດນາມ ສໍາລັບ ເວເນຊູເອລາ.	Express Vietnam, Jorge Rondon Uzcategui gặp nhau nhờ sự hỗ trợ của Việt Nam cho Venezuela.
ທ່ານ Jorge Rondon Uzcategui ແບ່ງປັນວ່າ, ທ່ານ ຖືຕົນເອງຄື “ເອກອັກຄະລັດຖະທູດຫວຽດນາມ ປະຈໍາ ເວເນຊູເອລາ ກໍ່ຄືຢູ່ບັນດາສະຖານທີ່ອື່ນໃນໂລກ...	Jorge Rondon Uzcategui chia sẻ rằng, bạn giữ mình như một Venezuela, Đại sứ 'Thế giới khác
ທ່ານ ໃຫ້ຮູ້ວ່າ, ມີສອງຂົງເຂດຮ່ວມມື ເຊິ່ງ ທັງສອງຝ່າຍສົນໃຈ ນັ້ນແມ່ນການຮ່ວມມືດ້ານນໍ້າມັນອາຍແກັດ ແລະກະສິກໍາ.	Bạn biết đấy, có hai lĩnh vực hợp tác đều quan tâm nhiều hơn đến hợp tác dầu khí và nông nghiệp.
ຝ່າຍເວເນຊູເອລາ ຈະສືບຕໍ່ຊຸກຍູ້ບັນດາໂຄງການຮ່ວມມືກັບຫວຽດນາມ ໃນຂົງເຂດນີ້.	Beezuela sẽ tiếp tục thúc đẩy hợp tác với Việt Nam trong lĩnh vực này.
ຂອບໃຈຕໍ່ອາລົມຈິດຂອງທ່ານເອກອັກຄະລັດຖະທູດ, ທ່ານ ຫງວຽນຊວນຟຸກ ເຊື່ອໝັ້ນວ່າ, ເຖິງວ່າຈະດໍາລົງຕໍາແໜ່ງໃດກໍ່ຕາມ, ທ່ານ Jorge Rondon Uzcategui ກໍຈະສືບຕໍ່ເປັນຂົວຕໍ່ລະຫວ່າງສອງຊາດ ແລະມີບັນດາການປະກອບສ່ວນທີ່ຕັ້ງໜ້າເຂົ້າໃນການພັດທະນາການພົວພັນອັນດີງາມລະຫວ່າງ ຫວຽດນາມ ແລະ ເວເນຊູເອລາ.	Cảm ơn trái tim của bạn, Phương Phú bị kết án, và được cho là rất nhiều giao tiếp giữa Việt Nam và Venezuela.
ໂດຍ: ໄຊຊະນະ.	Bởi: chiến thắng.
