ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 26 ພະຈິກ, ທີ່ Busan, ສ.ເກົາຫຼີ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ພ້ອມກັບບັນດາການນຳສະມາຄົມປະຊາຊາດອາຊີຕາເວັນອອກສ່ຽງໃຕ້ (ອາຊຽນ) ແລະປະທານາທິບໍດີ ສ.ເກົາຫຼີ ເຂົ້າຮ່ວມວາລະປະຊຸມຄັ້ງທີ 1 ຂອງກອງປະຊຸມສຸດຍອດສະເຫຼີມສະຫຼອງ 30 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນຄູ່ຮ່ວມມື ອາຊຽນ- ສ.ເກົາຫຼີ ດ້ວຍຫົວຂໍ້ “ການພົວພັນ ອາຊຽນ - ສ.ເກົາຫຼີ: 30 ປີຜ່ານມາ ແລະ 30 ປີຈະມາເຖິງ.	<br> <br> <br> Khung Hàn Quốc, ASEAN, ASEAN với chủ đề của năm 2010, khung ASEAN với chủ đề này.
ບັນດາປະເທດອາຊຽນ ປາດຖະໜາວ່າ ສ.ເກົາຫຼີ ຈະສືບຕໍ່ຕັ້ງໜ້າໜູນຊ່ວຍ ອາຊຽນ ຍູ້ແຮງການຮ່ວມສຳພັນ, ກໍ່ສ້າງປະຊາຄົມ, ສະໜັບສະໜູນບົດບາດໃຈກາງຂອງອາຊຽນ ແລະຕັ້ງໜ້າເຂົ້າຮ່ວມບັນດາກົນໄກຊຸກຍູ້ການເຈລະຈາ, ສ້າງຄວາມໄວ້ເນື້ອເຊື່ອໃຈໂດຍອາຊຽນ ເປັນເຈົ້າພາບ, ຮ່ວມມືກັນຮັບມຶືກັບບັນດາສິ່ງທ້າທາຍບໍ່ແມ່ນການທະຫານຢ່າງມີປະສິດທິຜົນ, ປະກອບສ່ວນຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບ ແລະຄວາມໝັ້ນຄົງຢູ່ພາກພື້ນ.	Mong muốn ASEAN, ASEAN sẽ tiếp tục thúc đẩy ASEAN, xây dựng một cuộc họp, việc xây dựng hòa bình và an ninh.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ, ປະທານາທິບໍດີປະເທດເຈົ້າພາບ ສ.ເກົາຫຼີ ແລະບັນດາຫົວໜ້າຄະນະເຂົ້າຮ່ວມກອງປະຊຸມສຸດຍອດ ອາຊຽນ - ສ.ເກົາຫຼີ ຖ່າຍຮູບລວມ.	Thủ tướng Nguyễn Xuân Phúc, Chủ tịch nước Cộng hòa Hàn Quốc và Trưởng phòng Hội nghị thượng đỉnh ASEAN-ASEAN cho các bức ảnh.
ພາບ: ສຳນັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ສອງຝ່າຍໄດ້ເຫັນດີເປັນເອກະພາບສືບຕໍ່ຍູ້ແຮງການແລກປ່ຽນການຄ້າ-ການລົງທຶນ, ສູ້ຊົນນຳວົງເງິນການຄ້າສອງສົ້ນໃຫ້ບັນລຸ 200 ຕື້ໂດລາສະຫະລັດໃນປີ 2020;	Hai bên đã đồng ý thúc đẩy thương mại - đầu tư, phấn đấu đạt hai đô la Mỹ 2000 đô la Mỹ vào năm 2020;
ສົມທົບກັນຍົກສູງການຫັນເປັນເສລີ ແລະການຮ່ວມສຳພັນດ້ານເສດຖະກິດ, ມານະພະຍາຍາມໃຫ້ໄດ້ເຊັນສັນຍາຄູ່ຮ່ວມມືເສດຖະກິດຮອບດ້ານພາກພື້ນ (RCEP) ໃນປີ 2020.	Kết hợp để nâng cao sự biến đổi và kinh tế miễn phí, cố gắng ký hợp tác kinh tế khu vực (RCEP) vào năm 2020.
ສອງຝ່າຍຢັ້ງຢືນຍູ້ແຮງການແລກປ່ຽນວັດທະນະທຳ, ພົບປະແລກປ່ຽນປະຊາຊົນ, ການທ່ອງທ່ຽວ, ນຳວັດທະນະທຳບັນດາປະເທດອາຊຽນ ມາສູ່ປະຊາຊົນ ສ.ເກົາຫຼີ ຄື ວັດທະນະທຳ ສ.ເກົາຫຼີ ພວມໄດ້ຮັບຕ້ອນຢ່າງກວ້າງຂວາງຢູ່ບັນດາປະເທດອາຊຽນ.	Hai bên xác nhận trao đổi văn hóa, con người, du lịch Hàn Quốc đang chào đón ở các nước ASEAN.
ການຮ່ວມມືໃນບັນດາຂົງເຂດອາຊຽນ ມີຄວາມຮຽກຮ້ອງຕ້ອງການ ແລະ ສ.ເກົາຫຼີ ມີທ່າແຮງ, ຄື: ການປ່ຽນແປງໃໝ່, ຫົວຄິດປະດິດສ້າງ, ພັດທະນາຕົວເມືອງອັດສະລິຍະ, ຮັບມືກັບໄພພິບັດ, ການປ່ຽນແປງຂອງດິນຟ້າອາກາດ, ພັດທະນາປ່າໃຫ້ມີຄວາມຍືນຍົງ...	Sự hợp tác của ASEAN và yêu cầu nước ngoài, như: sáng tạo, kết án của rừng, bền vững,
ກໍ່ໄດ້ຮັບຄວາມເຫັນດີເປັນເອກະພາບຍູ້ແຮງໃນໄລຍະຈະມາເຖິງຈາກການນຳອາຊຽນ ແລະ ສ.ເກົາຫຼີ.	Nó cũng đã được đồng ý với sự trỗi dậy từ ASEAN và Hàn Quốc.
ທ່ານ Moon Jae-in ປະທານາທິບໍດີິ ສ.ເກົາຫຼີ ຕີລາຄາສູງບົດບາດຂອງອາຊຽນ ຢູ່ພາກພື້ນ, ຢັ້ງຢືນວ່າ ຈະຍູ້ແຮງການຮ່ວມມືພ້ອມກັບບັນດາປະເທດກວ່າອີກ ບົນເນື້ອໃນຈິດໃຈນະໂຍບາຍມຸ່ງໄປສູ່ທິດໃຕ້ໃໝ່.	Ông Moon Jae-in Chủ tịch Hàn Quốc trong khu vực, xác nhận hợp tác với một phần mười mới.
ທ່ານ Moon Jae-in ໄດ້ປະກາດບາງຂໍ້ລິເລີ່ມຮ່ວມມືກັບອາຊຽນ ກ່່ຽວກັບການປັບປຸງລະບົບວີຊາໃຫ້ພົນລະເມືອງບັນດາປະເທດອາຊຽນທີ່ເດີນທາງມາຍັງ ສ.ເກົາຫຼີ;	Ông Moon Jae-in đã được rao giảng cho các cập nhật công dân ASEAN đến ASEAN nước ngoài ASEAN để đi du lịch.
