ກປ.ອອນໄລ - ສິ້ນສຸດບັນດາການເຄື່ອນໄຫວໃນຂອບກອງປະຊຸມສຸດຍອດສະເຫຼີມສະຫຼອງການພົວພັນ ອາຊຽນ - ສ.ເກົາຫຼີ ຄົບຮອບ 30 ປີ ແລະກອງປະຊຸມສຸດຍອດແມ່ນໍ້າຂອງ - ສ.ເກົາຫຼີ ຄັ້ງທີ 1 ຢູ່ນະຄອນບູຊານ, ຕອນບ່າຍວັນທີ 27 ພະຈິກ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີ ພ້ອມດ້ວຍພັນລະຍາ ແລະຄະນະຜູ້ແທນຂັ້ນສູງຫວຽດນາມ ໄດ້ໄປເຖິງນະຄອນຫຼວງເຊອຸນ, ເລີ່ມຕົ້ນການຢ້ຽມຢາມ ສ.ເກົາຫຼີ ຢ່າງເປັນທາງການ ຕາມຄໍາເຊີນຂອງທ່ານ Moon Jae-in ປະທານາທິບໍດີ ສ.ເກົາຫຼີ.	Bộ trưởng Bộ Tiến bộ của phái đoàn ASEAN-Hàn Quốc, Quan hệ ASEAN của Việt Nam
ພິທີຕ້ອນຮັບທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ພ້ອມດ້ວຍພັນລະຍາ ແລະຄະນະຜູ້ແທນຂັ້ນສູງຫວຽດນາມ ໄດ້ຈັດຂຶ້ນຢ່າງສົມກຽດຢູ່ສະໜາມບິນການທະຫານເຊອຸນ.	Thủ tướng Nguyễn Xuân Phúc với phái đoàn Việt Nam và phái đoàn đã tổ chức một kho báu tại sân bay Seoul.
ຕອນບ່າຍວັນດຽວກັນ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ໄດ້ດໍາເນີນການເຈລະຈາກັບທ່ານ Moon Jae-in ປະທານາທິບໍດີ ສ.ເກົາຫຼີ.	Thủ tướng Nguyễn Xuân Phúc đã thực hiện các cuộc đàm phán với Chủ tịch Hàn Quốc Jae-in Hàn Quốc.
ພິທີຕ້ອນຮັບທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວັນຟຸກ ຢ່າງເປັນທາງການ ໄດ້ຈັດຂຶ້ນຢ່າງສົມກຽດຢູ່ສະໜາມບິນການທະຫານເຊອຸນ.	Thủ tướng Nguyễn Thitani chính thức được tổ chức tại sân bay Seoul.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ທີ່ການເຈລະຈາ, ທ່ານປະທານາທິບໍດີ Moon Jae-in ອວຍພອນບັນດາຜົນງານອັນໃຫຍ່ຫຼວງໃນການພັດທະນາເສດຖະກິດ ແລະສ້າງສາປະເທດຊາດ ເຊິ່ງປະຊາຊົນຫວຽດນາມ ບັນລຸໄດ້ໃນໄລຍະຜ່ານມາ.	Tại cuộc đàm phán, Tổng thống Mặt trăng Jae-in greet những thành tựu hào phóng trong nền kinh tế và quốc gia, người dân Việt Nam đã đạt được trong quá khứ.
ຕີລາຄາສູງການພັດທະນາຂອງການພົວພັນສອງປະເທດໃນທຸກຂົງເຂດ, ທ່ານປະທານາທິບໍດີ Moon Jae-in ເນັ້ນໜັກວ່າ, ຫວຽດນາມ ແມ່ນຄູ່ຮ່ວມມືຈຸດສຸມໃນນະໂຍບາຍມຸ່ງໄປສູ່ທິດໃຕ້ໃໝ່ຂອງ ສ.ເກົາຫຼີ, ປາດຖະໜາວ່າ ສອງປະເທດສືບຕໍ່ຍູ້ແຮງການພົວພັນຮ່ວມມືຂຶ້ນສູ່ລະດັບສູງໃໝ່...	Giải thích cao về hai quốc gia trong tất cả các khu vực, Việt Nam, Giặt, Việt Nam là một chính sách cao cấp mới, Việt Nam là một cộng đồng mới.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ແລະທ່ານ Moon Jae-in ປະທານາທິບໍດີ ສ.ເກົາຫຼີ.	Thủ tướng Nguyễn Xuân Phúc và Moon Jae-trong Chủ tịch Hàn Quốc.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ອວຍພອນ ສ.ເກົາຫຼີ ຈັດຕັ້ງສໍາເລັດກອງປະຊຸມສຸດຍອດສະເຫຼີມສະຫຼອງການພົວພັນ ອາຊຽນ - ສ.ເກົາຫຼີ ຄົບຮອບ 30 ປີ ແລະກອງປະຊຸມສຸດຍອດແມ່ນໍ້າຂອງ - ສ.ເກົາຫຼີ ຄັ້ງທີ 1.	Thủ tướng Nguyễn Xuân Nguyễn Xuân Nguyễn Xuân Phúc Chảy máu Hội nghị thượng đỉnh kỷ niệm 30 năm của ASEAN-Korea và Hội nghị thượng đỉnh Hàn Quốc của Hoa Kỳ.
ສະແດງຄວາມເພິ່ງພໍໃຈ ແລະຄວາມປິຕິຊົມຊື່ນຕໍ່ການພັດທະນາອັນດີງາມຂອງການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດຫວຽດນາມ - ສ.ເກົາຫຼີ, ທ່ານ ຫງວຽນຊວນຟຸກ ຢັ້ງຢືນວ່າ, ຫວຽດນາມ ຖືເປັນສໍາຄັນການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດລະຫວ່າງສອງປະເທດ, ຈະຮ່ວມມືຢ່າງແໜ້ນແຟ້ນກັບ ສ.ເກົາຫຼີ ໃນເລື່ອງນໍາການພົວພັນນັ້ນສືບຕໍ່ພັດທະນາຢ່າງແຮງ, ເລິກເຊິ່ງ ແລະມີປະສິດທິຜົນກວ່າອີກໃນຊຸມປີຈະມາເຖິງ.	Việt Nam, Việt Nam, Cộng hòa, Việt Nam, Hàn Quốc, Việt Nam, Việt Nam, Việt Nam, Việt Nam, Việt Nam, Việt Nam, Việt Nam tiếp tục, Việt Nam tiếp tục, Việt Nam tiếp tục, Việt Nam tiếp tục, Việt Nam tiếp tục, Việt Nam tiếp tục, Nguyễn Xay
ສອງຝ່າຍເຫັນດີສືບຕໍ່ປັບປຸງ, ເພີ່ມທະວີຄວາມເຂົ້າໃຈ ແລະໄວ້ເນື້ອເຊື່ອໃຈເຊິ່ງກັນແລະກັນ, ປະຕິບັດການແລກປ່ຽນຄະນະຜູ້ແທນ ແລະພົບປະລະຫວ່າງການນໍາຂັ້ນສູງ, ທຸກຂັ້ນ, ທຸກຂະແໜງການ, ທ້ອງຖິ່ນລະຫວ່າງສອງປະເທດເປັນປະຈຳ;	Hai bên đồng ý cải thiện, tăng cường lên cuộc nổi dậy và xác nhận của một phái đoàn, tất cả các ngành, địa phương;
ຮັກສາບັນດາກົນໄກເຈລະຈາຂັ້ນຮອງລັດຖະມົນຕີໃນຂົງເຂດການທູດ, ການປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບຢ່າງມີປະສິດທິຜົນ...	Giữ cho Thứ trưởng Cơ chế phát triển ngoại giao tại các khu vực ngoại giao, quốc phòng, phòng ngừa ...
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ເຈລະຈາກັບທ່ານ Moon Jae-in ປະທານາທິບໍດີ ສ.ເກົາຫຼີ.	Thủ tướng Nguyễn Xuân Nguyễn Xuân giữ với Moon Jae-trong Chủ tịch Hàn Quốc.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ການນໍາສອງປະເທດ ໄດ້ແລກປ່ຽນສະພາບການສາກົນ ແລະພາກພື້ນຢ່າງເລິກເຊິ່ງກວ້າງຂວາງ, ເຫັນດີເພີ່ມທະວີການແບ່ງປັນຂໍ້ມູນຂ່າວສານ, ການຮ່ວມມື ແລະສະໜັບສະໜູນເຊິ່ງກັນແລະກັນທີ່ບັນດາເວທີປາໄສສາກົນ ຄື: ສະຫະປະຊາຊາດ, ອາຊຽນ...	Hai nước đã trao đổi điều kiện quốc tế và khu vực, nâng cao, Liên Hợp Quốc, Asean ...
ເນັ້ນໜັກຄວາມສໍາຄັນຂອງການຮັບປະກັນສັນຕິພາບ, ຄວາມໝັ້ນຄົງ, ຄວາມປອດໄພ ແລະຄວາມເສລີໃນການເດີນທະເລ, ການບິນ, ແກ້ໄຂບັນດາຄວາມບໍ່ລົງລອຍກັນ, ການຂັດແຍ່ງກັນຢູ່ທະເລຕາເວັນອອກ ໂດຍສັນຕິວິທີ, ສອດຄ່ອງກັບກົດໝາຍສາກົນ.	Nhấn mạnh tầm quan trọng của hòa bình, an ninh, an ninh và tự do của vũ trụ, theo luật quốc tế.
ພາຍຫຼັງການເຈລະຈາ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ແລະທ່ານປະທານາທິບໍດີ Moon Jae-in ໄດ້ເປັນສັກຂີພິຍານພິທີລົງນາມບັນດາເອກະສານຮ່ວມມືລະຫວ່າງສອງປະເທດ.	Sau khi nói chuyện, Thủ tướng Nguyễn Xuân Phúc và Tổng thống Mặt trăng Jae-in đã chứng kiến sự hợp tác giữa hai nước.
ໂດຍ: ໄຊຊະນະ.	Bởi: chiến thắng.
