ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 3 ທັນວາ, ທີ່ສໍານັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານນາງ Monica Juma, ລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ ສ.	Distand - ngày 3, tại Thủ tướng Nguyễn Phú Tân Phúc, Bộ trưởng Bộ Ngoại giao
ເຄນຢາ.	Kenya.
ກ່າວຄໍາເຫັນທີ່ການຕ້ອນຮັບ, ທ່ານ ຫງວຽນຊວນຟຸກ ຊົມເຊີຍທ່ານນາງ Monica Juma ມາຢ້ຽມຢາມຫວຽດນາມ ຄັ້ງທໍາອິດ, ພ້ອມທັງຊີ້ແຈ້ງວ່າ ການຢ້ຽມຢາມຄັ້ງນີ້ມີຄວາມໝາຍສໍາຄັນພິເສດ, ເປີດໜ້າປະຫວັດສາດໃໝ່ໃຫ້ແກ່ການພົວພັນສອງປະເທດ.	Nói những ý kiến, Nguyễn Xuân Phúc rõ ràng liên quan đến chuyến thăm Việt Nam của Việt Nam, mở một lịch sử mới.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຕ້ອນຮັບທ່ານນາງ Monica Juma, ລັດຖະມົນຕີການຕ່າງປະເທດ ສ.	Thủ tướng Nguyễn Xuân Phúc nhận Monica Juma, Bộ trưởng Ngoại giao.
ເຄນຢາ.	Kenya.
ພາບ: ກວາງຮ໊ຽວ.	Ảnh: Deer Guang.
ທ່ານນາງລັດຖະມົນຕີການຕ່າງປະເທດ ສ.	Bà Bộ trưởng Bộ Ngoại giao
ເຄນຢາ ໄດ້ສະແດງຄວາມປະທັບໃຈຕໍ່ຜົນແຫ່ງການພັດທະນາດ້ານເສດຖະກິດ-ສັງຄົມຂອງຫວຽດນາມ.	Kenya đã bày tỏ ấn tượng về kết quả phát triển kinh tế xã hội của Việt Nam.
ຍ້ອນແນວນັ້ນ, ທ່ານນາງປາດຖະໜາຢາກຊຸກຍູ້ການພົວພັນສອງປະເທດໃຫ້ຂຶ້ນສູ່ລະດັບສູງໃໝ່.	Kết quả là, cô muốn khuyến khích hai quốc gia với mức độ cao mới.
ທ່ານນາງ Monica Juma ຊົມເຊີຍຫວຽດນາມ ດໍາລົງຕໍາແໜ່ງເປັນກໍາມະການບໍ່ປະຈໍາການສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ ອາຍຸການ 2020-2021;	Monica Juma kỷ niệm Ủy ban Việt Nam không đứng trên Hội đồng Bảo an Liên Hợp Quốc 2020-2021;
ໃຫ້ຄໍາໝັ້ນສັນຍາໜູນຊ່ວຍ ແລະຮ່ວມມືຢ່າງແໜ້ນແຟ້ນເພື່ອໃຫ້ ຫວຽດນາມ ສໍາເລັດໜ້າທີ່ນີ້, ຜ່ານນັ້ນຫວັງວ່າ ສອງປະເທດສາມາດປະກອບສ່ວນໃຫ້ສັນຕິພາບ, ສະຖຽນລະພາບຢູ່ພາກພື້ນ ແລະໃນໂລກ.	Cung cấp một sự hỗ trợ và hợp tác mạnh mẽ cho Việt Nam, qua hai nước có thể góp phần vào hòa bình, sự ổn định và trên thế giới.
ທ່ານນາງ ຖືວ່າ, ປີ 2020, ເລື່ອງ ຫວຽດນາມ ດໍາລົງຕໍາແໜ່ງເປັນປະທານອາຊຽນ ແມ່ນເງື່ອນໄຂສະດວກເພື່ອຊຸກຍູ້ການຮ່ວມມືລະຫວ່າງປະຊາຄົມບັນດາປະເທດອາຟະລິກາຕາເວັນອອກ (EAC) ກັບ ອາຊຽນ.	Cô coi, 2020, chủ tịch Việt Nam thuận tiện để thúc đẩy sự hợp tác giữa Châu Phi (EAC) đến ASEAN.
ທ່ານ ຫງວຽນຊວນຟຸກ ສະເໜີບັນດາກະຊວງ, ຂະແໜງການສອງຝ່າຍຕັ້ງໜ້າໃນການເຈລະຈາ, ກ້າວໄປເຖິງການລົງນາມໃນເອກະສານຮ່ວມມືຕ່າງໆເພື່ອສ້າງກອບນິຕິກໍາສະດວກໃຫ້ການເປີດກວ້າງການຮ່ວມມືໃນທຸກຂົງເຂດກວ່າອີກ.	Nguyễn Xuân Phúc cung cấp một bộ, hai phần đang tích cực trong sự hợp tác, thực thi để hợp tác trong tất cả các lĩnh vực.
ທ່ານ ຫງວຽນຊວນຟຸກ ສະແດງຄວາມເຊື່ອໝັ້ນວ່າພາຍຫຼັງການຢ້ຽມຢາມຂອງທ່ານນາງລັດຖະມົນຕີ, ການພົວພັນສອງປະເທດຈະມີບັນດາບາດກ້າວໃໝ່, ພັດທະນາຢ່າງແຮງດ້ວຍບັນດາໂຄງການລະອຽດ.	Thủ tướng Nguyễn Phú cho thấy sự tin tưởng rằng sau chuyến thăm Bộ trưởng Bộ trưởng sẽ có một bước mới với các chương trình chi tiết.
ໂດຍ: ໄຊນີດາ.	Bởi: NYH.
