ທີ່ມີມູນຄ່ານັບຕື້ດົ່ງໃນແຕ່ລະປີ.	Trị giá hàng tỷ đồng mỗi năm.
ສະຫາຍພັນເອກ ຄໍາສາວ ແກ້ວວິເສດ ກ່າວຄໍາເຫັນທີ່ການເຮັດວຽກ.	Đồng chí Đại tá Khamsao Keoviseth nhận xét về tác phẩm.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ສະຫາຍພົນຈັດຕະວາ ຟ້າມວັນຮ໊ວນ ມອບຂອງຂວັນເປັນທີ່ລະນຶກໃຫ້ແກ່ສະຫາຍພັນເອກ ຄໍາສາວ ແກ້ວວິເສດ.	Đồng chí Chuẩn tướng Phạm Văn Huấn tặng quà lưu niệm cho đồng chí Đại tá Khamsao Keoviseth.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ສະຫາຍພົນຈັດຕະວາ ຟ້າມວັນຮ໊ວນ ມອບໜັງສືພິມພິເສດ 33 ສະບັບໄດ້ພິມຈຳໜ່າຍຢູ່ສະໜາມຮົບດ້ຽນບຽນຟູ ໃຫ້ແກ່ໜັງສືພິມກອງທັບປະຊາຊົນລາວ.	Đồng chí Chuẩn tướng Phạm Văn Huấn đã tặng cho Quân đội nhân dân Lào 33 tờ báo đặc biệt để in tại chiến trường Điện Biên Phủ.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ສະຫາຍພັນເອກ ຄໍາສາວ ແກ້ວວິເສດ ມອບຂອງຂວັນເປັນທີ່ລະນຶກໃຫ້ສະຫາຍພົນຈັດຕະວາ ຟ້າມວັນຮ໊ວນ.	Đồng chí Đại tá Khamsao Keoviseth tặng quà lưu niệm cho đồng chí Chuẩn tướng Phạm Văn Huấn.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ກ່າວຄໍາເຫັນທີ່ການເຮັດວຽກ, ສະຫາຍພັນເອກ ຄໍາສາວ ແກ້ວວິເສດ ສະແດງຄວາມຂອບອົກຂອບໃຈຕໍ່ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽເນາມ ໄດ້ຕ້ອນຮັບ ແລະສ້າງເງື່ອນໄຂໃຫ້ແກ່ຄະນະໜັງສືພິມກອງທັບປະຊາຊົນລາວ ຊອກຮູ້, ແລກປ່ຽນບັນດາການເຄື່ອນໄຫວວິຊາສະເພາະ;	Phát biểu ý kiến về cuộc làm việc, Đại tá Khamsao Keoviseth bày tỏ cảm ơn Quân đội nhân dân Việt Nam đã đón tiếp và tạo điều kiện để Quân đội nhân dân Lào học hỏi, trao đổi nghiệp vụ;
ພ້ອມທັງຢັ້ງຢືນວ່າ, ຜ່ານການຢ້ຽມຢາມ ແລະເຮັດວຽກຢູ່ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ, ໄດ້ປະກອບສ່ວນເພີ່ມທະວີຄວາມສາມັກຄີ ແລະການແບ່ງປັນ, ແລກປ່ຽນວິຊາສະເພາະເຮັດຂ່າວລະຫວ່າງໜັງສືພິມກອງທັບ ສອງປະເທດ, ເປັນພື້ນຖານເພື່ອສະເໜີເຖິງການນໍາກະຊວງປ້ອງກັນປະເທດ, ກົມໃຫຍ່ການເມືອງສອງປະເທດມາດຕະການແກ້ໄຂຕ່າງໆເພື່ອຊຸກຍູ້ການຮ່ວມມືດ້ານວິຊາສະເພາະສື່ມວນຊົນໃນຊຸມປີຕໍ່ໜ້າ.	Đồng chí cũng khẳng định, qua chuyến thăm và làm việc tại Báo Quân đội nhân dân Việt Nam đã góp phần tăng cường tình đoàn kết, chia sẻ, trao đổi thông tin nghiệp vụ giữa Báo Quân đội hai nước, là cơ sở để Bộ Quốc phòng hai nước và Bộ Chính trị hai nước.
