ກປ.ອອນໄລ - ໂດຍຕອບສະໜອງຕາມຄໍາເຊີນຂອງທ່ານນາງ V.	KPR Online - Đáp lại lời mời của chị V.
Matvienko ປະທານສະພາສະຫະພັນລັດເຊຍ, ທ່ານ V.	Matvienko, Tổng thống Liên bang Nga, V.
Volodin ປະທານສະພາຕໍ່າ (Duma) ສະພາແຫ່ງຊາດສະຫະພັນລັດເຊຍ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ນໍາໜ້າຄະນະຜູ້ແທນຂັ້ນສູງຫວຽດນາມ ໄປຢ້ຽມຢາມສະຫະພັນລັດເຊຍ ຢ່າງເປັນາງການ ແຕ່ວັນທີ 8-11 ທັນວາ 2019.	Chủ tịch Duma Quốc hội Nga Volodin, Chủ tịch Quốc hội Việt Nam Nguyễn Thị Kim Ngen dẫn đầu Đoàn đại biểu cấp cao Việt Nam thăm cấp nhà nước tại Liên bang Nga từ ngày 8-11 / 12/2019.
ເນື່ອງໃນໂອກາດນີ້, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ໄດ້ຕອບສໍາພາດຕໍ່ໜັງສືພິມລັດຖະສະພາຂອງສະພາແຫ່ງຊາດສະຫະພັນລັດເຊຍ ກ່ຽວກັບເປົ້າໝາຍການຢ້ຽມຢາມ ແລະການພົວພັນລະຫວ່າງສອງປະເທດ.	Nhân dịp này, bà Nguyễn Thị Kim Ngen đã trả lời phỏng vấn của Quốc hội Nga về mục đích chuyến thăm và mối quan hệ giữa hai nước.
ນັກຂ່າວ: ຮຽນທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ, ຂໍທ່ານນາງໃຫ້ຮູ້ ເປົ້າໝາຍການຢ້ຽມຢາມສະຫະພັນລັດເຊຍ ຄັ້ງນີ້ຂອງຄະນະຜູ້ແທນຂັ້ນສູງສະພາແຫ່ງຊາດຫວຽດນາມ ແມ່ນຫຍັງແດ່?	PV: Thưa Chủ tịch Quốc hội Việt Nam Nguyễn Thị Kim Ngên, Mục đích chuyến thăm Liên bang Nga của Đoàn đại biểu cấp cao là gì?
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ: ການຢ້ຽມຢາມສະຫະພັນລັດເຊຍ ຢ່າງເປັນທາງການໃນຄັ້ງນີ້ຂອງຄະນະຜູ້ແທນຂັ້ນສູງສະພາແຫ່ງຊາດຫວຽດນາມ ມີຄວາມໝາຍສໍາຄັນ, ສືບຕໍ່ບັນດາການເຄື່ອນໄຫວແລກປ່ຽນຄະນະຜູ້ແທນລະຫວ່າງການນໍາຂັ້ນສູງສອງປະເທດ, ເພື່ອແນໃສ່ຊຸກຍູ້ການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດຮອບດ້ານລະຫວ່າງຫວຽດນາມ ແລະສະຫະພັນລັດເຊຍ ກວ່າອີກ, ພ້ອມທັງເພີ່ມທະວີການພົວພັນຮ່ວມມືລະຫວ່າງອົງການນິຕິບັນຍັດສອງປະເທດ.	Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng: Chuyến thăm chính thức Liên bang Nga của Đoàn đại biểu cấp cao Quốc hội Việt Nam có ý nghĩa quan trọng nhằm tiếp tục trao đổi đoàn giữa lãnh đạo cấp cao hai nước, nhằm thúc đẩy quan hệ Đối tác chiến lược toàn diện giữa Việt Nam và Hoa Kỳ.
ໃນການຢ້ຽມຢາມຄັ້ງນີ້, ຂ້າພະເຈົ້າ ແລະບັນດາການນໍາຂັ້ນສູງຂອງສະຫະພັນລັດເຊຍ ມີບັນດາການພົບປະເຈລະຈາ, ການພົບປະ, ແລກປ່ຽນຢ່າງເລິກເຊິ່ງ ກວ້າງຂວາງກ່ຽວກັບການພົວພັນລະຫວ່າງສອງປະເທດໃນທຸກໆຂົງເຂດຮ່ວມມືຄື: ການເມືອງ-ການທູດ, ເສດຖະກິດ-ການຄ້າ...	Trong chuyến thăm này, tôi và các nhà lãnh đạo cấp cao của Liên bang Nga đã có nhiều cuộc hội đàm, gặp gỡ và trao đổi sâu rộng về quan hệ song phương trên tất cả các lĩnh vực hợp tác: chính trị, ngoại giao, kinh tế, thương mại.
ຂ້າພະເຈົ້າມີຄວາມເຊື່ອໝັ້ນວ່າ ດ້ວຍບັນດາເນື້ອໃນແລກປ່ຽນຢ່າງເລິກເຊິ່ງ ກວ້າງຂວາງ, ຮອບດ້ານ, ການຢ້ຽມຢາມຈະປະກອບສ່ວນຊຸກຍູ້ການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດຮອບດ້ານຫວຽດນາມ-ສະຫະພັນລັດເຊຍ ຢ່າງແຮງ, ແທດຈິງກວ່າອີກ, ປະກອບສ່ວນເຂົ້າໃນການພັດທະນາ ແລະຄວາມວັດທະນາຖາວອນຂອງສອງປະເທດ.	Tôi tin tưởng rằng việc trao đổi sâu rộng và toàn diện sẽ làm cho quan hệ Đối tác chiến lược toàn diện Việt-Nga ngày càng mạnh mẽ, thực chất hơn, đóng góp vào sự phát triển và phát triển bền vững của hai nước.
ນັກຂ່າວ: ຮຽນທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດ ຫວຽດນາມ, ທ່ານນາງຕີລາຄາຄືແນວໃດກ່ຽວກັບການພົວພັນຮ່ວມມືຫວຽດນາມ-ສະຫະພັນລັດເຊຍ?	PV: Thưa bà Nguyễn Thị Kim Ngưng, Chủ tịch Quốc hội Việt Nam, bà có nhận định gì về quan hệ Việt - Nga?
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ: ອາດເວົ້າໄດ້ວ່າ, ສາຍພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດຮອບດ້ານຫວຽດນາມ ແລະສະຫະພັນລັດເຊຍ ພວມຢູ່ໃນໄລຍະພັດທະນາອັນດີງາມໃນທຸກໆຂົງເຂດການເມືອງ, ການທູດ, ເສດຖະກິດ, ການຄ້າ, ການລົງທຶນ....	Bà Nguyễn Thị Kim Ngưng, Chủ tịch Quốc hội Việt Nam: Có thể nói, quan hệ Đối tác chiến lược toàn diện Việt Nam - Liên bang Nga đang trong giai đoạn phát triển tốt đẹp trên tất cả các lĩnh vực chính trị, ngoại giao, kinh tế, thương mại và đầu tư.
ກ່ຽວກັບດ້ານການເມືອງ-ການທູດ, ສອງປະເທດມີຄວາມໄວ້ເນື້ອເຊື່ອໃຈດ້ານການເມືອງສູງທີ່ສຸດ.	Về chính trị và ngoại giao, hai nước có mức độ tin cậy chính trị cao nhất.
