ກປ.ອອນໄລ - ໂດຍໄດ້ຮັບຄໍາເຊີນຂອງທ່ານ ບຸນທອງ ຈິດມະນີ ຮອງນາຍົກລັດຖະມົນຕີແຫ່ງ ສປປ.ລາວ ແລະທ່ານນາງ Men Sam On ຮອງນາຍົກລັດຖະມົນຕີລາຊະອານາຈັກກໍາປູເຈຍ, ທ່ານ ເຈືອງຮວ່າບີ່ງ ຮອງນາຍົກລັດຖະມົນຕີຜູ້ປະຈໍາການລັດຖະບານຫວຽດນາມ ໄປຢ້ຽມຢາມ ສປປ.	Phó Phó Thủ tướng Chính phủ đến Lào PDR đã đến thăm The Lào PDR thăm Thủ tướng Lào
ລາວ ໃນລະຫວ່າງວັນທີ 10-11 ທັນວາ 2019 ແລະລາຊະອານາຈັກກໍາປູເຈຍ ໃນລະຫວ່າງວັນທີ 12-13 ທັນວາ 2019.	Ông đã từ 10-11 tháng 12 năm 2019 và Vương quốc Campuchia trong suốt 12-13 tháng 12 năm 2019.
ການຢ້ຽມຢາມໄດ້ດໍາເນີນໃນສະພາບການສາຍພົວພັນມິດຕະພາບອັນຍິ່ງໃຫຍ່, ຄວາມສາມັກຄີແບບພິເສດ ແລະການຮ່ວມມືຮອບດ້ານຫວຽດນາມ-ລາວ ພວມພັດທະນາຢ່າງດີງາມ.	Du khách đã được tiến hành trong điều kiện hữu nghị lớn, sự tự do tiên tiến và hợp tác và hợp tác của Việt Nam.
ສອງຝ່າຍຜັນຂະຫຍາຍການເຄື່ອນໄຫວພົວພັນຕ່າງປະເທດທີ່ສໍາຄັນຫຼາຍຢ່າງ, ຮັກສາການຢ້ຽມຢາມຂັ້ນສູງ ກໍ່ຄືບັນດາກົນໄກຮ່ວມມືຕ່າງໆຢ່າງເປັນປະຈໍາ.	Hai bên thực hiện mối quan hệ nước ngoài đa quan trọng, chuyến lưu diễn tiên tiến thường xuyên.
ວົງເງິນການຄ້າສອງຝ່າຍໃນ 9 ເດືອນຕົ້ນປີ 2019 ບັນລຸ 828,43 ລ້ານໂດລາສະຫະລັດ, ເພີ່ມຂຶ້ນ 12,7% ເມື່ອທຽບໃສ່ໄລຍະດຽວກັນຂອງປີ 2018.	Thương mại song phương trong 9 tháng năm 2019 đạt 828,43 triệu USD, tăng 12,7% so với cùng kỳ năm 2018.
ສອງຝ່າຍສືບຕໍ່ການຮ່ວມມືຢ່າງແໜ້ນແຟ້ນໃນຂົງເຂດຕ່າງໆ, ຄື: ການປ້ອງກັນຊາດ-ປ້ອງກັນຄວາມສະຫງົບ, ການສຶກສາ-ກໍ່ສ້າງ, ກະສິກໍາ...	Hai bên tiếp tục hợp tác ở các khu vực khác nhau, cụ thể là, phòng thủ - phòng chống, giáo dục - xây dựng, trang trại ...
ທ່ານ ເຈືອງຮວ່າບີ່ງ ຮອງນາຍົກລັດຖະມົນຕີຜູ້ປະຈໍາການລັດຖະບານຫວຽດນາມ.	Phó Thủ tướng Nam Hoa Hoàng Thủ tướng.
ພາບ: ແມ້ງຮຸ່ງ.	Ảnh: Duwar.
ການພົວພັນມິດຕະພາບ, ການຮ່ວມມືຮອບດ້ານຫວຽດນາມ-ກໍາປູເຈຍ ສືບຕໍ່ພັດທະນາຢ່າງຕັ້ງໜ້າ.	Quan hệ tình bạn, hợp tác Việt Nam - Campuchia tiếp tục phát triển trước.
ສອງຝ່າຍແລກປ່ຽນຫຼາຍຄະນະຜູ້ແທນຂັ້ນສູງ.	Hai bên chia sẻ các đại biểu tiên tiến hơn.
ວົງເງິນການຄ້າສອງສົ້ນໃນ 10 ເດືອນຕົ້ນປີ 2019 ບັນລຸ 4,41 ຕື້ໂດລາສະຫະລັດ.	Giao dịch hai tháng đầu 10 tháng đầu năm 2019 đạt 4,41 tỷ USD.
ສອງຝ່າຍກໍ່ຮ່ວມມືຢ່າງຕັ້ງໜ້າໃນບັນດາຂົງເຂດຂີດເສັ້ນຊາຍແດນ, ປັກຫຼັກໝາຍຊາຍແດນ, ການສຶກສາກໍ່ສ້າງ, ການຕ້ານ ແລະສະກັດກັ້ນອາດຊະຍາກໍາ, ວຽກງານຊົນເຜົ່າ, ສາສະໜາ...	Hai bên được tích cực hợp tác trong biên giới, phá hủy xây dựng, xây dựng, dân tộc, công việc tôn giáo, tôn giáo ...
ໂດຍ: ເກື່ອງດັ້ງ.	Bởi: Trương.
