ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 10 ທັນວາ (ຕາມເວລາທ້ອງຖິ່ນ), ເນື່ອງໃນໂອກາດໄປຢ້ຽມຢາມສະຫະພັນລັດເຊຍ ຢ່າງເປັນທາງການ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ແລະຄະນະຜູ້ແທນຂັ້ນສູງສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ວາງພວງມາລາຢູ່ສະໜາມຫຼວງໂຮ່ຈີມິນ, ນະຄອນຫຼວງມົດສະກູ.	Tự hào - ngày 10 tháng 12 (chính quyền địa phương), Nguyễn Đàm phân phối chủ tịch Nga
ຕອນບ່າຍວັນດຽວກັນ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ໄດ້ໄປຢ້ຽມຢາມສະຖານທູດຫວຽດນາມ ປະຈໍາສະຫະພັນລັດເຊຍ.	Chiều cũng vậy, Nguyễn xay Minh đã đến thăm Đại sứ quán Liên minh Nga.
ໂອ້ລົມກັບພະນັກງານ, ພາລະກອນສະຖານທູດ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ຖືວ່າ, ສະຫະພັນລັດເຊຍ ແມ່ນບໍລິເວນຍຸດທະສາດຂອງຫວຽດນາມ;	Nói chuyện với nhân viên, Đại sứ quán, K. Nguyễn Jermin, Kham Dũng, Liên bang Nga là chiến lược của Việt Nam;
ການພົວພັນກັບສະຫະພັນລັດເຊຍ ແມ່ນຈຸດສຸມໃນນະໂຍບາຍພົວພັນຕ່າງປະເທດຂອງພັກ ແລະລັດຫວຽດນາມ.	Liên bang Nga là trọng tâm trong chính sách của Tổ chức và Tiểu bang nước ngoài.
ຕາງໜ້າການນໍາພັກ, ລັດ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ຍ້ອງຍໍຊົມເຊີຍບັນດາຄວາມມານະພະຍາຍາມຂອງການນໍາ ແລະພະນັກງານ, ພາລະກອນອົງການຜູ້ຕາງໜ້າທີ່ໄດ້ແກ້ໄຂບັນດາຄວາມຫຍຸ້ງຍາກ, ລໍາບາກໃນວຽກງານ ແລະການດຳລົງຊີວິດ ເພື່ອສໍາເລັດໜ້າທີ່ ເຊິ່ງພັກ, ລັດ ແລະປະຊາຊົນມອບໝາຍໃຫ້, ປະກອບສ່ວນຊຸກຍູ້ການພົວພັນທາງການເມືອງ, ການທູດ, ເສດຖະກິດ, ການລົງທຶນ...	Đại diện cho bên, tiểu bang Nguyễn Thị Bộ Nguyễn Minh Minh, Lãnh đạo, Nhà nước
ລະຫວ່າງຫວຽດນາມ ແລະສະຫະພັນລັດເຊຍ.	Tại Việt Nam và Liên bang Nga.
ພະນັກງານ, ພາລະກອນສະຖານທູດຫວຽດນາມ ປະຈໍາສະຫະພັນລັດເຊຍ ແລະຜູ້ຕາງໜ້າປະຊາຄົມຊາວຫວຽດນາມ ອາໄສຢູ່ສະຫະພັນລັດເຊຍ ຕ້ອນຮັບທ່ານນາງ ຫງວຽນທິກິມເງິນ.	Chính thức, Đại sứ quán Việt Nam và Công đoàn Việt Nam được chào đón tại Liên bang Nga Nguyễn Gianon.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ກ່ອນໜ້ານັ້ນ, ວັນທີ 9 ທັນວາ (ຕາມເວລາທ້ອງຖິ່ນ), ທ່ານນາງ ຫງວຽນທິກິມເງິນ ແລະຄະນະຜູ້ແທນຂັ້ນສູງສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ອອກຈາກນະຄອນ Kazan, ສ.Tatarstan, ໄປນະຄອນຫຼວງມົດສະກູ, ສະຫະພັນລັດເຊຍ.	Trước đó, ngày 9 tháng 12, giờ địa phương, Nguyễn Thin và phái đoàn từ thành phố Kazan, thành phố của Nga.
ພາຍຫຼັງໄປຮອດນະຄອນຫຼວງມົດສະກູ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ແລະຄະນະຜູ້ແທນຂັ້ນສູງສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ຢ້ຽມຢາມສູນຮ່າໂນ້ຍ-ມົດສະກູ ພົບປະກັບປະຊາຄົມຊາວຫວຽດນາມ ອາໄສຢູ່ສະຫະພັນລັດເຊຍ.	Sau khi đạt thủ đô, bà Nguyễn Xboim và Quốc hội đã đến thăm Quốc hội Việt Nam tại Liên bang Nga.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ແລະພະນັກງານ, ພາລະກອນສະຖານທູດຫວຽດນາມ ປະຈໍາສະຫະພັນລັດເຊຍ.	Nguyễn Giamons Next và nhân viên, thuật ngữ nghệ thuật lao động của Liên minh Nga.
