ກປ.ອອນໄລ - ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 75 ປີແຫ່ງວັນສ້າງຕັ້ງກອງທັບປະຊາຊົນຫວຽດນາມ.	Nhân kỷ niệm 75 năm Ngày thành lập Quân đội nhân dân Việt Nam.
ທ່ານ ໂງດຶກແມ້ງ ເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອຳນາດເຕັມແຫ່ງ ສສ.	Ông Ngô Đức Mạnh, Đại sứ đặc mệnh toàn quyền nước CHDCND Lào
ຫວຽດນາມ ປະຈຳ ສະຫະພັນລັດເຊຍ ໄດ້ມີບົດຂຽນລົງພິມໃນໜັງສືພິມ Nezavisimaja Gazeta ຂອງລັດເຊຍ.	Bài báo Việt-Nga đăng trên tờ Nezavisimaja Gazeta của Nga.
ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ຂໍແນະນໍາເຖິງເພື່ອນຜູ້ອ່ານບົດຂຽນນີ້.	Báo Quân đội nhân dân Việt Nam giới thiệu bài viết này với bạn đọc.
ປີ 2019 ນີ້ເປັນຂີດໝາຍເຫດການສຳຄັນທີ່ສຸດ, ນັ້ນແມ່ນສະເຫຼີມສະຫຼອງ 75 ປີແຫ່ງວັນສ້າງຕັ້ງກອງທັບປະຊາຊົນຫວຽດນາມ.	Năm 2019 đánh dấu kỷ niệm 75 năm Ngày thành lập Quân đội nhân dân Việt Nam.
ວັນທີ 22 ທັນວາ 1944, ຕາມຄຳສັ່ງຂອງຜູ້ນຳ ໂຮ່ຈີມິນ, ກອງໂຄສະນາທະຫານປົດປ່ອຍຫວຽດນາມ ລວມມີນັກຮົບ 34 ຄົນ, ຕົ້ນກຳເນີດຂອງກອງທັບປະຊາຊົນຫວຽດນາມ ໄດ້ຮັບການສ້າງຕັ້ງ.	Ngày 22 tháng 12 năm 1944, theo lệnh của Đại tướng Hồ Chí Minh, Đội Việt Nam Tuyên truyền Giải phóng quân gồm 34 chiến sĩ, tiền thân của Quân đội Nhân dân Việt Nam.
ຜ່ານໄລຍະທາງ 75 ປີພາຍໃຕ້ການນຳພາຂອງພັກກອມມູນິດຫວຽດນາມ, ກອງທັບປະຊາຊົນຫວຽດນາມ ໄດ້ເຕີບໃຫຍ່ເຂັ້ມແຂງ ແລະຂະຫຍາຍຕົວຢ່າງບໍ່ຢຸດຢັ້ງ.	75 năm qua, dưới sự lãnh đạo của Đảng Cộng sản Việt Nam, Quân đội nhân dân Việt Nam đã lớn mạnh không ngừng.
ທ່ານພົນໂທ ຟານວັນຢາງ, ຫົວໜ້າກົມໃຫຍ່ເສນາທິການກອງທັບປະຊາຊົນຫວຽດນາມ ຕ້ອນຮັບທ່ານ Sergey Shoigu ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດສະຫະພັນລັດເຊຍ ຢ້ຽມຢາມຮ້ານວາງສະແດງຂອງຫວຽດນາມ ຢູ່ງານແຂ່ງຂັນກິລາການທະຫານສາກົນ 2019 (Army Games 2019).	Trung tướng Phan Văn Giang, Tổng Tham mưu trưởng Quân đội nhân dân Việt Nam tiếp Bộ trưởng Quốc phòng Nga Sergey Shoigu tại triển lãm Việt Nam tại Đại hội Thể thao Quốc tế 2019 (Army Games 2019).
ພາບ: ໝີແຮ້ງ.	Ảnh: Fa Hang.
ໂດຍກຳເນີດໃນຄວັນໄຟແຫ່ງການຕໍ່ສູ້ປົດປ່ອຍຊາດ ເພື່ອຫຼຸດພົ້ນອອກຈາກແອກປົກຄອງຂອງລັດທິລ່າເມືອງຂຶ້ນ, ຈັກກະພັດ, ກອງທັບປະຊາຊົນຫວຽດນາມ ແມ່ນກອງທັບ “ຂອງປະຊາຊົນ, ໂດຍປະຊາຊົນ ແລະເພື່ອປະຊາຊົນ ແລະຍາມໃດກໍ່ສົມກັບຄຳຍ້ອງຍໍຂອງລຸງໂຮ່ ທີ່ແສນເຄົາລົບຮັກ: “ກອງທັບປະຊາຊົນຫວຽດນາມ ຈົ່ງຮັກພັກດີຕໍ່ພັກ, ຮັກແພງປະຊາຊົນ, ກຽມພ້ອມສູ້ຮົບເສຍສະຫຼະຊີວິດເພື່ອເອກະລາດ, ເສລີພາບຂອງປະເທດຊາດ, ເພື່ອສັງຄົມນິຍົມ, ໜ້າທີ່ໃດກໍ່ສຳເລັດ, ຄວາມຫຍຸ້ງຍາກໃດກໍ່ຜ່ານຜ່າ, ສັດຕູໂຕໃດກໍ່ຕີເອົາຊະນະ.	Cội nguồn trong khói lửa của sự nghiệp giải phóng ách đô hộ của thực dân, đế quốc, Quân đội Việt Nam "của dân, do dân, vì dân và luôn ca ngợi Bác Hồ kính yêu hết mực" Quân đội Việt Nam trung thành với Đảng, kính yêu nhân dân, chiến đấu hy sinh tính mạng vì độc lập, tự do của dân tộc, đi lên chủ nghĩa xã hội, khó khăn nào cũng vượt qua, kẻ thù nào thất bại.
ໃນຕະຫຼອດ 75 ປີແຫ່ງການກຳເນີດ, ສູ້ຮົບ ແລະເຕີບໃຫຍ່ຂະຫຍາຍຕົວ, ກອງທັບປະຊາຊົນຫວຽດນາມ ໄດ້ສ້າງບັນດາວິລະກຳເລີດລ້ຳລືຊາໃນການຕໍ່ສູ້ຕ້ານພວກລ່າເມືອງຂຶ້ນຝະລັ່ງຜູ້ຮຸກຮານ (1945-1954) ເຊິ່ງພົ້ນເດັ່ນທີ່ສຸດແມ່ນໄຊຊະນະດ້ຽນບຽນຝູ ບັງຄັບຝະລັ່ງຕ້ອງເຊັນສັນຍາເຊີແນວຢຸດຕິສົງຄາມຢູ່ຫວຽດນາມ, ສ້າງສັນຕິພາບຄືນໃໝ່ຢູ່ແຫຼມອິນດູຈີນ, ປົກປ້ອງ ແລະຂະຫຍາຍຜົນງານຂອງການປະຕິວັດເດືອນສິງຫາ.	Trong 75 năm ra đời, đấu tranh và trưởng thành, Quân đội nhân dân Việt Nam đã sản sinh ra những anh hùng nổi tiếng trong cuộc chiến đấu chống giặc Pháp xâm lược (1945-1954), tiêu biểu nhất là chiến thắng Điện Biên Phủ.
