ເພີ່ມທະວີການຮ່ວມມືສະກັດກັ້ນ ແລະຕ້ານອາດຊະຍາກຳຂ້າມຊາດປະເພດຕ່າງໆ, ໃນນ້ັນມີການຄ້າຂາຍຢາເສບຕິດ;	Tăng cường hợp tác phòng, chống các loại tội phạm xuyên quốc gia, bao gồm cả buôn bán ma túy;
ເຈລະຈາ ແລະລົງນາມໃນບັນດາຂໍ້ຕົກລົງວ່າດ້ວຍການສົ່ງຜູ້ຕ້ອງໂທດຂ້າມແດນ...	Đàm phán và ký kết các thỏa thuận về dẫn độ ...
ທີສີ່, ກ່ຽວກັບບັນຫາພາກພື້ນ ແລະສາກົນ, ມຽນມາ ຊົມເຊີຍຫວຽດນາມ ທີ່ໄດ້ເລືອກຕັ້ງເປັນກຳມະການບໍ່ປະຈຳການສະພາຄວາມໝ້ັນຄົງສະຫະປະຊາຊາດ ອາຍຸການ 2020-2021;	Thứ tư, về các vấn đề khu vực và quốc tế, Myanmar chúc mừng Việt Nam được bầu làm Ủy viên không thường trực Hội đồng Bảo an Liên hợp quốc nhiệm kỳ 2020-2021;
ຢັ້ງຢືນວ່າ ຈະຮ່ວມມືກັນຢ່າງແໜ້ນແຟ້ນ, ສະໜັບສະໜູນເຊິ່ງກັນ ແລະກັນຢູ່ບັນດາເວທີປາໄສສາກົນ, ໂດຍສະເພາະເມື່ອຫວຽດນາມ ດຳລົງຕຳແໜ່ງເປັນປະທານ ອາຊຽນ 2020, ເພື່ອຮັກສາຄວາມສາມັກຄີ, ເປັນເອກະພາບ ແລະບົດບາດໃຈກາງຂອງອາຊຽນ.	Chúng tôi tái khẳng định cam kết hợp tác chặt chẽ tại các diễn đàn quốc tế, nhất là khi Việt Nam giữ chức Chủ tịch ASEAN vào năm 2020, nhằm duy trì sự thống nhất, đoàn kết và vai trò trung tâm của ASEAN.
ກ່ຽວກັບບັນຫາທະເລຕາເວັນອອກ, ສອງຝ່າຍຢັ້ງຢືນວ່າຈະສະໜັບສະໜູນຫຼັກໝັ້ນລວມຂອງອາຊຽນ, ເນັ້ນໜັກເຖິງການແກ້ໄຂການຂັດແຍ້ງກັນໂດຍສັນຕິວິທີ, ບົນພື້ນຖານກົດໝາຍສາກົນ, ໃນນັ້ນມີສົນທິສັນຍາສະຫະປະຊາຊາດກ່ຽວກັບກົດໝາຍວ່າດ້ວຍທະເລປີ 1982 (UNCLOS);	Về vấn đề Biển Đông, hai bên tái khẳng định cam kết thực hiện các Nguyên tắc chung ASEAN, nhấn mạnh giải quyết hòa bình các tranh chấp trên cơ sở luật pháp quốc tế, trong đó có Công ước Liên hợp quốc về Luật Biển (UNCLOS) năm 1982;
ຮັກສາຄວາມເສລີ, ຮັບປະກັນຄວາມໝັ້ນຄົງ ແລະຄວາມປອດໄພໃນການເດີນທະເລ ແລະການບິນຢູ່ທະເລຕາເວັນອອກ.	Duy trì tự do, an ninh, an toàn hàng hải và hàng không ở Biển Đông.
ທີຫ້າ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ພ້ອມດ້ວຍຄະນະຜູ້ແທນຂັ້ນສູງໄດ້ໄປຢ້ຽມຢາມ ແລະລະດົມກຳລັງໃຈບັນດາວິສາຫະກິດຫວຽດນາມ ທີ່ພວມລົງທຶນຢູ່ມຽນມາ, ຄື: ບໍລິສັດໂທລະຄົມ Mytel, ກຸ່ມບໍລິສັດ Thaco, ທະນາຄານ BIDV ແລະເຂົ້າຮ່ວມພິທີເປີດສະຫຼອງຫ້ອງການທະນາຄານ HDBank ຢູ່ Yangon.	Thứ năm, Thủ tướng Nguyễn Xuân Phúc và Đoàn đại biểu cấp cao đã đến thăm, động viên các doanh nghiệp Việt Nam đầu tư tại Myanmar như Mytel, Thaco Group, BIDV và lễ khai trương HDBank tại Yangon.
ສິ່ງເຫຼົ່ານີ້, ຊ່ວຍລະດົມສົ່ງເສີມບັນດາວິສາຫະກິດຫວຽດນາມ ສືບຕໍ່ພັດທະນາ, ສ້າງວຽກເຮັດງານທຳ, ປະກອບສ່ວນຊຸກຍູ້ການພົວພັນລະຫວ່າງສອງປະເທດ, ເພື່ອຜົນປະໂຫຍດຂອງປະຊາຊົນສອງປະເທດ.	Những điều này sẽ góp phần thúc đẩy các doanh nghiệp Việt Nam tiếp tục phát triển, tạo việc làm, góp phần phát triển quan hệ song phương vì lợi ích của nhân dân hai nước.
ນັກຂ່າວ: ຂໍຮຽນທ່ານຮອງລັດຖະມົນຕີ ທ່ານຈົ່ງໃຫ້ຮູ້ທິດທາງພັດທະນາການພົວພັນໃນໄລຍະຈະມາເຖິງເມື່ອສອງປະເທດກະກຽມສະເຫຼີມສະຫຼອງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດ ຄົບຮອບ 45 ປີ?	PV: Thưa Thứ trưởng, cho biết phương hướng phát triển quan hệ trong thời gian tới khi hai nước chuẩn bị kỷ niệm 45 năm thiết lập quan hệ ngoại giao?
ທ່ານ ດັ້ງມິງຄາຍ ຮອງລັດຖະມົນຕີການຕ່າງປະເທດຫວຽດນາມ: ໃນປີ 2020, ສອງຝ່າຍຈະສະເຫຼີມສະຫຼອງ 45 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດ (28-5-1975 / 28-5-2020).	Thứ trưởng Ngoại giao Đặng Minh Khai: Năm 2020, hai bên sẽ kỷ niệm 45 năm Ngày thiết lập quan hệ ngoại giao (28-5-1975 / 28-5-2020).
ເຖິງຢ່າງໃດກໍ່ຕາມ, ການພົວພັນລະຫວ່າງສອງປະເທດໄດ້ມີມາແຕ່ເຫິງນານມາແລ້ວ.	Tuy nhiên, quan hệ giữa hai nước đã có từ lâu đời.
