ພົນເອກ ໂງຊວນລິກ ກ່າວຄໍາເຫັນທີ່ພິທີສະເຫຼີມສະຫຼອງ.	Đại tướng Ngô Xuân Lik phát biểu tại buổi lễ.
ພາບ: ທູຈາງ.	Ảnh: Thu Zhang
ໃນບົດກ່າວປາໄສທີ່ພິທີສະເຫຼີມສະຫຼອງ, ທ່ານພົນເອກ ໂງຊວນລິກ ເນັ້ນໜັກວ່ານີ້ແມ່ນເຫດການທີ່ມີຄວາມໝາຍອັນເລິກເຊິ່ງ, ອີກເທື່ອໜຶ່ງໄດ້ຢັ້ງຢືນນໍ້າໃຈສາມັກຄີແບບພິເສດ, ສັດຊື່ບໍລິສຸດຜຸດຜ່ອງລະຫວ່າງສອງພັກ, ສອງລັດ, ປະຊາຊົນ ແລະກອງທັບສອງປະເທດ ສືບຕໍ່ໄດ້ຮັບການເພີ່ມພູນຄູນສ້າງ, ທະວີຄູນໃນໄລຍະໃໝ່ຂອງການປະຕິວັດສອງປະເທດ.	Phát biểu tại buổi lễ, Thượng tướng Ngô Xuân Lỵ nhấn mạnh, đây là sự kiện có ý nghĩa sâu sắc, khẳng định lại tình đoàn kết, chân tình đặc biệt giữa hai Đảng, hai Nhà nước, hai dân tộc và hai Quân đội.
ທ່ານພົນເອກ ໂງຊວນລິກ ແບ່ງປັນວ່າ: “ໃນປະຫວັດສາດອັນສະຫງ່າອົງອາດຂອງສອງຊາດຫວຽດນາມ - ລາວ, ພວກເຮົາມີຄວາມເອກອ້າງທະນົງໃຈຕໍ່ຊຸມປີເດືອນທີ່ທະຫານ ແລະປະຊາຊົນສອງປະເທດ ໄດ້ຄຽງບ່າຄຽງໄຫຼ່ນຳກັນ, ຮ່ວມສຸກຮ່ວມທຸກ, ຮ່ວມເປັນຮ່ວມຕາຍນຳກັນ , “ເຂົ້າເມັດຫັກຜັກເສັ້ນໜຶ່ງກໍບິແບ່ງປັນກັນກິນ , ຮ່ວມຂຸມຄອງອັນດຽວກັນ, ຮ່ວມກັນສູ້ຮົບ, ເສຍສະຫຼະຊີວິດຮ່ວມກັນເພື່ອຍາດໄດ້ໄຊຊະນະຢ່າງສົມບູນ.	Thượng tướng Ngô Xuân Lik chia sẻ: “Trong lịch sử vẻ vang của hai dân tộc Việt Nam - Lào, chúng ta tự hào về những năm tháng quân và dân hai nước kề vai sát cánh, cùng tang, cùng tang, cùng chết, đã không chết cùng nhau, đã không chết cùng nhau.
ນັ້ນແມ່ນໜ້າປະຫວັດສາດແຫ່ງຄວາມສາມັກຄີ, ການຮ່ວມສໍາພັນສູ້ຮົບຫວຽດນາມ - ລາວ, ເຊິ່ງຢູ່ທີ່ນັ້ນວິລະກໍາຂອງບັນດາຄະນະທະຫານອາສາສະໝັກ ແລະຊ່ຽວຊານຫວຽດນາມ ພ້ອມກັບກອງທັບ ແລະປະຊາຊົນລາວບັນດາເຜົ່າແມ່ນຂີດໝາຍອັນຮຸ່ງເຮືອງເຫຼືອງເຫຼື້ອມ.	Đó là mốc son lịch sử của cuộc Chiến tranh đoàn kết và hợp tác Việt Nam - Lào, nơi đánh dấu tài trí của quân tình nguyện, chuyên gia Việt Nam cùng với quân và dân đa dân tộc Lào là một mốc son chói lọi.
ຊຸມປີເດືອນຜ່ານພົ້ນໄປແຕ່ໄຊຊະນະອັນໃຫຍ່ຫຼວງຂອງນໍ້າໃຈສາມັກຄີ, ການຮ່ວມສໍາພັນສູ້ຮົບແບບພິເສດຂອງກອງທັບ ແລະປະຊາຊົນສອງປະເທດຫວຽດນາມ - ລາວ ແມ່ນບົດເພງອະມະຕະຕະຫຼອດໄປ, ເປັນສັນຍະລັກອັນໃສແຈ້ງຂອງລັດທິວິລະຊົນປະຕິວັດ ແລະກາຍເປັນສັດຈະທໍາຂອງກໍາລັງແຮງສາມັກຄີສາກົນ.	Đã nhiều tháng trôi qua kể từ ngày chiến thắng vĩ đại của tinh thần đoàn kết, liên minh chiến đấu đặc biệt giữa hai quân đội và hai dân tộc Việt Nam - Lào.
ນັ້ນແມ່ນພື້ນຖານອັນໜັກແໜ້ນເພື່ອໃຫ້ສອງປະເທດຫວຽດນາມ-ລາວ ສືບຕໍ່ຄຽງບ່າຄຽງໄຫຼ່ນຳກັນ, ຮ່ວມເດີນທາງພັດທະນາ ແລະກ້າວເດີນໄປບົນເສັ້ນທາງສັງຄົມນິຍົມ.	Đó chính là nền tảng vững chắc để Việt Nam và Lào tiếp tục kề vai, sát cánh cùng phát triển và tiến lên trên con đường chủ nghĩa xã hội.
ພົນຈັດຕະວາ ຮວິ່ງດັກເຮືອງ ກ່າວຄໍາເຫັນທີ່ພິທີສະເຫຼີມສະຫຼອງ.	Chuẩn tướng Hồ Vinh Đắk Hương phát biểu tại buổi lễ.
ພາບ: ທູຈາງ.	Ảnh: Thu Zhang
ເສີມຂະຫຍາຍມູນເຊື້ອສາມັກຄີ, ການຮ່ວມສໍາພັນສູ້ຮົບແບບພິເສດທີ່ໄດ້ຮັບການກໍ່ສ້າງ ແລະເພີ່ມພູນຄູນສ້າງໃນການຕໍ່ສູ້ອັນຍືດເຍື້ອຍາວນານ, ທຸກຍາກລໍາບາກ 2 ຄັ້ງຂອງສອງຊາດ;	Tăng cường di sản đoàn kết, liên minh chiến đấu đặc biệt đã được hun đúc và nhân lên trong cuộc đấu tranh lâu dài, khó khăn của nhân dân hai nước;
ກ້າວເຂົ້າສູ່ໄລຍະສ້າງສາ ແລະປົກປັກຮັກສາປະເທດຊາດ, ການພົວພັນມິດຕະພາບອັນຍິ່ງໃຫຍ່, ຄວາມສາມັກຄີແບບພິເສດ, ການຮ່ວມມືຮອບດ້ານລະຫວ່າງຫວຽດນາມ - ລາວ ນັບມື້ນັບໄດ້ຮັບການເພີ່ມພູນຄູນສ້າງ, ບັນລຸໄດ້ບັນດາຜົນງານສໍາຄັນ, ຮອບດ້ານໃນທຸກຂົງເຂດ: ເສດຖະກິດ, ການເມືອງ, ວັດທະນະທໍາ, ສັງຄົມ, ວິທະຍາສາດ-ເຕັກນິກ, ການປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບ, ການພົບປະແລກປ່ຽນປະຊາຊົນ...	Bước vào thời kỳ dựng nước và giữ nước, tình hữu nghị vĩ đại, đoàn kết đặc biệt và hợp tác toàn diện Việt Nam - Lào ngày càng phong phú, đạt được những thành tựu quan trọng, toàn diện trên các lĩnh vực: kinh tế, chính trị, văn hóa, xã hội, quốc phòng, khoa học và công nghệ. ..
