ກປ.ອອນໄລ - ນັບແຕ່ວັນທີ 1 ມັງກອນ 2020, ຫວຽດນາມ ດໍາລົງຕໍາແໜ່ງເປັນປະທານອາຊຽນ.	Từ ngày 1 tháng 1 năm 2020, Việt Nam sẽ giữ chức chủ tịch ASEAN.
ເນື່ອງໃນໂອກາດນີ້, ທ່ານ ຫງວຽນກວກຢູງ, ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ, ເລຂາທິການໃຫຍ່ຄະນະກໍາມະການແຫ່ງຊາດອາຊຽນ 2020 ໄດ້ຕອບສໍາພາດຕໍ່ສື່ມວນຊົນກ່ຽວກັບວຽກງານກະກຽມ ແລະບັນດາບຸລິມະສິດ ເຊິ່ງຫວຽດນາມ ຈະຊຸກຍູ້ໃນອາຍຸການເປັນປະທານອາຊຽນ 2020.	Nhân dịp này, ông Nguyễn Quốc Dũng, Thứ trưởng Bộ Ngoại giao Việt Nam, Tổng Thư ký Ủy ban Quốc gia ASEAN 2020 đã trả lời phỏng vấn báo chí về những chuẩn bị và ưu tiên để Việt Nam thúc đẩy vai trò Chủ tịch ASEAN vào năm 2020.
ນັກຂ່າວ: ຂໍຮຽນທ່ານ ຫງວຽນກວກຢູງ ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ, ເດືອນມັງກອນ 2020 ເຊິ່ງແມ່ນປີທີ່ ຫວຽດນາມ ເລີ່ມຕົ້ນເປັນປະທານອາຊຽນ.	PV: Thưa ông Nguyễn Quốc Dũng, Thứ trưởng Bộ Ngoại giao, tháng 1/2020, năm Việt Nam bắt đầu giữ cương vị Chủ tịch ASEAN.
ຫວຽດນາມ ໄດ້ກະກຽມບົດບາດເປັນປະທານອາຊຽນຄືແນວໃດ?	Việt Nam chuẩn bị như thế nào cho vai trò chủ tịch ASEAN?
ທ່ານ ຫງວຽນກວກຢູງ, ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ: ກ່ຽວກັບການຈັດຕັ້ງກົງຈັກ, ນັບແຕ່ທ້າຍປີ 2018, ຄະນະກໍາມະການແຫ່ງຊາດອາຊຽນ 2020 ໂດຍຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ ເປັນປະທານສ້າງຕັ້ງ.	Ông Nguyễn Quốc Dũng, Thứ trưởng Bộ Ngoại giao Việt Nam: Về việc tổ chức Ủy ban Quốc gia ASEAN 2020 vào cuối năm 2018 do Phó Thủ tướng, Bộ trưởng Bộ Ngoại giao làm Chủ tịch.
ຄະນະກໍາມະການ ກໍ່ໄດ້ວາງອອກວິວັດທະນາການ ກໍ່ຄືແຜນການວຽກງານໃນທັງປີ.	Ủy ban cũng đề ra diễn biến cũng như kế hoạch hoạt động cho cả năm.
ກ່ຽວກັບເນື້ອໃນ, ຫວຽດນາມ ໄດ້ສໍາເລັດແຜນຮ່າງສັງລວມ ແລະໄດ້ຍື່ນສະເໜີຕໍ່ກົມການເມືອງ, ນາຍົກລັດຖະມົນຕີ ອະນຸມັດຜ່ານ.	Về nội dung, Việt Nam đã hoàn thiện dự thảo quy hoạch tổng thể và trình Ban Chính trị, được Thủ tướng Chính phủ phê duyệt.
ຫວຽດນາມ ໄດ້ກໍານົດຫົວຂໍ້: “ສະໜິດຕິດພັນ ແລະເປັນເຈົ້າການໃນການປັບຕົວ ກໍ່ຄືບັນດາຈຸດສຸມ, ບຸລິມະສິດ, ຂໍ້ລິເລີ່ມໃຫ້ປີເປັນປະທານ.	Việt Nam đã đặt ra chủ đề: “Quan hệ chặt chẽ và đi đầu trong việc thích ứng cũng như trọng tâm, ưu tiên, sáng kiến cho nhiệm kỳ tổng thống.
ຫົວຂໍ້ທັງມີລັກສະນະສືບຕໍ່ກັບຫົວຂໍ້ຂອງປີອາຊຽນຕ່າງໆກ່ອນໜ້ານັ້ນ ແລະໄດ້ຮັບການສະໜັບສະໜູນຈາກບັນດາປະເທດສະມາຊິກອາຊຽນ ແລະໄດ້ຮັບຄວາມເຫັນດີເຫັນພ້ອມ, ການສະໜັບສະໜູນຈາກບັນດາປະເທດຄູ່ຮ່ວມມືຂອງອາຊຽນ.	Chủ đề này là sự tiếp nối chủ đề của các năm trước ASEAN và đã được các nước thành viên ASEAN đồng bảo trợ và các nước đối tác ASEAN đồng tác giả đồng thuận.
ກ່ຽວກັບການໂຄສະນາເຜີຍແຜ່-ວັດທະນະທໍາ, ພວກເຮົາໄດ້ສ້າງແຜນການໂຄສະນາແບບສັງລວມ ແລະລະອຽດ, ລວມມີບັນດາກິດຈະກໍາວັດທະນະທໍາ, ສິລະປະ ແລະການທ່ອງທ່ຽວ, ເພື່ອແນໃສ່ໂຄສະນາເຜີຍແຜ່ຮູບພາບກ່ຽວກັບປະເທດຊາດ ແລະຊາວຫວຽດນາມ ຕໍ່ເພື່ອນມິດອາຊຽນ ແລະສາກົນ.	Đối với hoạt động tiếp cận văn hóa, chúng tôi đã xây dựng một kế hoạch quảng cáo tổng thể và chi tiết, bao gồm các hoạt động văn hóa, nghệ thuật và du lịch nhằm phổ biến hình ảnh về đất nước và con người Việt Nam đến với bạn bè ASEAN và quốc tế.
ວຽກງານພິທີການ, ພະລາທິການ, ຮັບປະກັນຄວາມສະຫງົບ-ສາທາລະນະສຸກ ໄດ້ຮັບການຜັນຂະຫຍາຍຢ່າງຮອບດ້ານ, ລອບຄອບຖີ່ຖ້ວນ.	Công tác lễ tân, công tác hành chính, an ninh, y tế được thực hiện toàn diện, chu đáo.
