ກປ.ອອນໄລ - ໂດຍໄດ້ຮັບຄໍາເຊີນຂອງທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີແຫ່ງ ສສ.	Nhận lời mời của Thủ tướng Chính phủ nước Cộng hòa Nhân dân Trung Hoa Nguyễn Xuân Phúc
ຫວຽດນາມ, ທ່ານ ທອງລຸນ ສີສຸລິດ ນາຍົກລັດຖະມົນຕີແຫ່ງ ສປປ ລາວ ນຳໜ້າຄະນະຜູ້ແທນຂັ້ນສູງລັດຖະບານລາວ ມາຢ້ຽມຢາມ ແລະເປັນປະທານຮ່ວມກອງປະຊຸມ ຄັ້ງທີ 42 ຄະນະກຳມະການລະຫວ່າງລັດຖະບານຫວຽດນາມ-ລາວ ຢູ່ຮ່າໂນ້ຍ, ໃນລະຫວ່າງວັນທີ 2-4 ມັງກອນ 2020.	Thủ tướng Chính phủ CHDCND Lào Thongloun Sisoulit dẫn đầu Đoàn đại biểu cấp cao Chính phủ Lào thăm và đồng chủ trì Kỳ họp lần thứ 42 Ủy ban liên Chính phủ Việt Nam - Lào tại Hà Nội ngày 2-4 / 1/2020.
ການຈັດຕັ້ງກອງປະຊຸມຄັ້ງທີ 42 ຄະນະກຳມະການລະຫວ່າງລັດຖະບານຫວຽດນາມ-ລາວ ເພື່ອແນໃສ່ສືບຕໍ່ຢັ້ງຢືນບຸລິມະສິດແກ່ການພົວພັນຕ່າງປະເທດຂອງທັງສອງປະເທດແມ່ນພັດທະນາການພົວພັນມິດຕະພາບອັນຍິງໃຫຍ່, ຄວາມສາມັກຄີແບບພິເສດ ແລະການຮ່ວມມືຮອບດ້ານຫວຽດນາມ-ລາວ ຢ່າງບໍ່ຢຸດຢັ້ງ;	Kỳ họp lần thứ 42 của Ủy ban liên Chính phủ Việt Nam - Lào nhằm tiếp tục khẳng định những ưu tiên trong quan hệ đối ngoại của hai nước: phát triển quan hệ hữu nghị vĩ đại, đoàn kết đặc biệt và hợp tác toàn diện Việt Nam - Lào;
ເພີ່ມທະວີຄວາມໄວ້ເນື້ອເຊື່ອໃຈດ້ານການເມືອງລະຫວ່າງສອງປະເທດ;	Tăng cường tin cậy chính trị giữa hai nước;
ຊີ້ນຳຊຸກຍູ້ການຜັນຂະຫຍາຍບັນດາຂໍ້ຕົກລົງຂັ້ນສູງ, ເພີ່ມທະວີການພົວພັນຮ່ວມມືລະຫວ່າງສອງປະເທດໃນໄລຍະຈະມາເຖິງ.	Khuyến khích triển khai các thỏa thuận cấp cao, tăng cường hợp tác giữa hai nước trong thời gian tới.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີແຫ່ງ ສສ.	Thủ tướng Chính phủ nước CHXHCN Việt Nam Nguyễn Xuân Phúc
ຫວຽດນາມ ແລະທ່ານ ທອງລຸນ ສີສຸລິດ ນາຍົກລັດຖະມົນຕີແຫ່ງ ສປປ ລາວ.	Việt Nam và Ngài Thongloun Sisoulit, Thủ tướng Chính phủ CHDCND Lào.
ພາບ: ສຳນັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ເຖິງວ່າ ຫວຽດນາມ ແລະລາວ ສ້າງຕັ້ງການພົວພັນທາງການທູດຢ່່າງເປັນທາງການໃນວັນທີ 5 ກັນຍາ 1962 ກໍ່ຕາມ, ແຕ່ປະຊາຊົນສອງປະເທດໄດ້ມີການພົວພັນທີ່ເປັນມູນເຊື້ອ, ບໍລິສຸດຜຸດຜ່ອງ, ຄວາມສະໜິດຕິດພັນມາແຕ່ເຫິງນານ.	Mặc dù Việt Nam và Lào chính thức thiết lập quan hệ ngoại giao vào ngày 5 tháng 9 năm 1962, nhưng nhân dân hai nước đã có một lịch sử lâu đời trong sáng, đoàn kết và thân ái.
ພິເສດ, ນັບແຕ່ເມື່ອພັກກອມມູນິດອິນດູຈີນ ຮັບການສ້າງຕັ້ງຂຶ້ນ, ປັດຈຸບັນແມ່ນພັກກອມມູນິດຫວຽດນາມ ແລະພັກປະຊາຊົນປະຕິວັດລາວ, ສາຍພົວພັນນັ້ນນັບມື້ນັບໄດ້ຮັບການເປີດກວ້າງ, ພັດທະນາ ແລະຍົກສູງຂຶ້ນ.	Đặc biệt, kể từ ngày thành lập Đảng Cộng sản Đông Dương, nay là Đảng Cộng sản Việt Nam và Đảng Nhân dân Cách mạng Lào, mối quan hệ đó ngày càng rộng mở, phát triển và nâng cao.
ສອງຊາດຫວຽດນາມ ແລະລາວ ຍາມໃດກໍ່ຄຽງບ່າຄຽງໄຫຼ່ນຳກັນ, ຮ່ວມທຸກຮ່ວມສຸກ, ເສີມສ້າງນ້ຳໃຈມິດຕະພາບອັນຍິ່ງໃຫຍ່, ຄວາມສາມັກຄີແບບພິເສດ ແລະການຮ່ວມມືຮອບດ້ານ, ກາຍເປັນຊັບສົມບັດອັນລ້ຳຄ່າ, ແຫຼ່ງກຳລັງອັນລ້ຳຄ່າ ແລະແມ່ນປັດໄຈສຳຄັນຮັບປະກັນຜົນສຳເລັດຂອງການປະຕິວັດຢູ່ແຕ່ລະປະເທດ.	Hai dân tộc Việt Nam - Lào luôn kề vai, sát cánh, chia sẻ nỗi buồn, củng cố tinh thần hữu nghị cao cả, đoàn kết đặc biệt và hợp tác toàn diện.
ທວນຄືນໄລຍະທາງປະຫວັດສາດນັ້ນ, ພວກເຮົາສາມາດມີຄວາມເອກອ້າງທະນົງໃຈຕໍ່ວິວັດການກຳເນີດ ແລະພັດທະນາຂອງສາຍພົວພັນແບບພິເສດທີ່ຫາຍາກລະຫວ່າງສອງຊາດ.	Nhìn lại giai đoạn lịch sử đó, chúng ta có thể tự hào về sự tiến hóa, ra đời và phát triển của mối quan hệ đặc biệt hiếm có giữa hai dân tộc.
ນັ້ນແມ່ນສາຍພົວພັນພັດທະນາແບບຍືນຍົງ, ຈາກການພົວພັນທີ່ເປັນມູນເຊື້ອອັນສະໜິດສະໜົມກາຍເປັນການພົວພັນແບບພິເສດໂດຍປະທານ ໂຮ່ຈິມິນ, ປະທານ ໄກສອນ ພົມວິຫານ, ປະທານ ສຸພານຸວົງ ສ້າງພື້ນຖານ ແລະການນຳ ແລະປະຊາຊົນຮຸ່ນຕ່າງໆເພີ່ມພູນຄູນສ້າງ.	Đó là quan hệ phát triển bền vững, từ quan hệ truyền thống trở thành quan hệ đặc biệt của Chủ tịch Hồ Chí Minh, Chủ tịch Kay Sone Phomvihanh, Chủ tịch Suphanuvong.
ນັ້ນແມ່ນສາຍພົວພັນສະແດງໃຫ້ເຫັນບັນດາຄວາມໃຝ່ຝັນຂອງປະຊາຊົນສອງປະເທດແມ່ນສາມັກຄີ, ຊ່ວຍເຫຼືອກັນຕ້ານສັດຕູໂຕດຽວ, ກໍ່ສ້າງການພົວພັນແບບສະເໝີພາບ, ເປັນເຈົ້າຕົນເອງ, ມິດຕະພາບ, ການຮ່ວມມືຕ່າງຝ່າຍຕ່າງມີຜົນປະໂຫຍດລະຫວ່າງສອງປະເທດ.	Mối quan hệ đó thể hiện nguyện vọng của nhân dân hai nước là đoàn kết, giúp nhau chống kẻ thù riêng, xây dựng mối quan hệ hai nước ổn định, tự cường, hữu nghị và cùng có lợi.
ກອງປະຊຸມ ຄັ້ງທີ 42 ຄະນະກຳມະການລະຫວ່າງລັດຖະບານ ຫວຽດນາມ-ລາວ ດໍາເນີນໃນສະພາບການສາຍພົວພັນມິດຕະພາບອັນຍິ່ງໃຫຍ່, ຄວາມສາມັກຄີແບບພິເສດ ແລະການຮ່ວມມືຮອບດ້ານລະຫວ່າງສອງປະເທດພວມສືບຕໍ່ໄດ້ຮັບການປັບປຸງຢ່າງໝັ້ນຄົງເຂັ້ມແຂງ, ນັບມື້ນັບເຂົ້າສູ່ລວງເລິກໃນທຸກຂົງເຂດ.	Kỳ họp lần thứ 42 Ủy ban liên Chính phủ Việt Nam - Lào được tổ chức trong bối cảnh quan hệ hữu nghị, đoàn kết đặc biệt và hợp tác toàn diện giữa hai nước ngày càng phát triển.
ການນຳຂັ້ນສູງສອງປະເທດພົບປະກັນເປັນປະຈຳພາຍໃຕ້ຫຼາຍຮູບການ;	Lãnh đạo cấp cao hai nước gặp nhau thường xuyên về nhiều vấn đề;
ການແລກປ່ຽນຄະນະຂັ້ນຕ່າງໆໄດ້ຮັກສາໄວ້ເປັນປະຈຳ, ໃນໄລຍະມໍ່ໆມານີ້ແມ່ນມີການຢ້ຽມຢາມລາວ ຢ່າງເປັນທາງຂອງທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ (ເດືອນກຸມພາ 2019) ແລະການຢ້ຽມຢາມຫວຽດນາມ ຢ່າງເປັນທາງການຂອງທ່ານ ທອງລຸນ ສີສຸລິດ ນາຍົກລັດຖະມົນຕີລາວ (ເດືອນຕຸລາ 2019).	Việc trao đổi đoàn diễn ra thường xuyên, với các chuyến thăm chính thức Lào của Tổng Bí thư Nguyễn Phú Trọng, Chủ tịch nước Việt Nam (tháng 2/2019) và chuyến thăm chính thức Việt Nam của Thủ tướng Lào Thongloun Sisoulith (tháng 10/2019).
ເລື່ອງຜັນຂະຫຍາຍການປະຕິບັດບັນດາຂໍ້ຕົກລົງຂັ້ນສູງໃນປີ 2019 ກໍ່ໄດ້ຮັບຄວາມເອົາໃຈໃສ່ຊີ້ນຳຢ່າງຂ້ຽວຂາດຈາກການນຳສອງປະເທດ.	Việc triển khai các thỏa thuận cấp cao trong năm 2019 cũng được hai nước quan tâm mạnh mẽ.
ພ້ອມກັນນັ້ນ, ການຮ່ວມມືດ້ານປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບ ແລະການພົວພັນຕ່າງປະເທດ ຫວຽດນາມ-ລາວ ນັບມື້ນັບແໜ້ນແຟ້ນ, ບັນລຸປະສິດທິຜົນຢ່າງຕັ້ງໜ້າ, ປະກອບສ່ວນຮັບປະກັນຄວາມໝັ້ນຄົງດ້ານການເມືຶອງ, ສະຖຽນລະພາບ, ຄວາມເປັນລະບຽບຮຽບຮ້ອຍທາງສັງຄົມຢູ່ແຕ່ລະປະເທດ.	Đồng thời, hợp tác quốc phòng, an ninh, đối ngoại Việt Nam - Lào ngày càng bền chặt, đạt hiệu quả thiết thực, góp phần bảo đảm ổn định chính trị, xã hội và trật tự an toàn xã hội ở mỗi nước.
ການຮ່ວມມືດ້ານເສດຖະກິດ, ການຄ້າ ແລະການລົງທຶນ ສືບຕໍ່ໄດ້ຮັບຄວາມເອົາໃຈໃສ່ຊຸກຍູ້ຈາກສອງປະເທດ.	Hợp tác kinh tế, thương mại và đầu tư tiếp tục được hai nước khuyến khích.
