ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 6 ມັງກອນ, ຢູ່ຮ່າໂນ້ຍ, ຄະນະກໍາມະການແຫ່ງຊາດອາຊຽນ 2020 ໄດ້ຈັດຕັ້ງພິທີເປີດສາກປີປະທານອາຊຽນ 2020.	Chiều 6/1, tại Hà Nội, Ủy ban Quốc gia ASEAN 2020 tổ chức lễ khai mạc Chủ tịch ASEAN 2020.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ເຂົ້າຮ່ວມ ແລະເປັນປະທານພິທີ.	Dự lễ có Thủ tướng Chính phủ Nguyễn Xuân Phúc.
ທີ່ກອງປະຊຸມສຸດຍອດອາຊຽນ ຄັ້ງທີ 35 ແລະບັນດາກອງປະຊຸມທີ່ກ່ຽວຂ້ອງເຊິ່ງຈັດຕັ້ງຢູ່ນະຄອນຫຼວງບາງກອກ (ປະເທດໄທ) ໃນຕົ້ນເດືອນ ພະຈິກ 2019, ຫວຽດນາມ ໄດ້ຮັບດຳລົງຕຳແໜ່ງເປັນປະທານອາຊຽນ ຈາກໄທ.	Tại Hội nghị Cấp cao ASEAN lần thứ 35 và các cuộc họp liên quan diễn ra tại Bangkok (Thái Lan) vào đầu tháng 11/2019, Việt Nam đã nhận chức Chủ tịch ASEAN từ Thái Lan.
ຕາມນັ້ນແລ້ວ, ຫວຽດນາມ ຮັບພາລະໜ້າທີ່ເປັນປະທານອາຊຽນ 2020 ແຕ່ວັນທີ 1 ມັງກອນ 2020 ຫາວັນທີ 31 ທັນວາ 2020 ຢ່າງເປັນທາງການ.	Theo đó, Việt Nam sẽ chính thức đảm nhận cương vị chủ tịch ASEAN 2020 từ ngày 1/1/2020 đến ngày 31/12/2020.
ພິທີເປັນຂີດໝາຍເລື່ອງຫວຽດນາມ ຜັນຂະຫຍາຍບັນດາກິດຈະກໍາຂອງປີປະທານອາຊຽນ 2020, ສະແດງໃຫ້ເຫັນການກຽມພ້ອມ ແລະຄວາມຕັດສິນໃຈຂອງບັນດາກະຊວງ, ຄະນະ, ຂະແໜງການສູນກາງ ແລະທ້ອງຖິ່ນກໍ່ຄືປະຊາຊົນຫວຽດນາມ ທີ່ມານະພະຍາຍາມສູ້ຊົນເພື່ອຜົນສໍາເລັດລວມຂອງອາຍຸການເປັນປະທານອາຊຽນ 2020.	Buổi lễ đánh dấu việc triển khai các hoạt động của Năm Chủ tịch ASEAN 2020, thể hiện sự sẵn sàng và quyết tâm của các bộ, ban, ngành trung ương và địa phương cũng như nhân dân Việt Nam phấn đấu vì thành tích chung của Năm Chủ tịch ASEAN 2020.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ແລະບັນດາຜູ້ແທນກົດປຸ່ມເປີດນຳໃຊ້ເວັບໄຊອາຊຽນ 2020.	Thủ tướng Nguyễn Xuân Phúc và các đại biểu khai trương Trang thông tin điện tử ASEAN 2020.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ກ່າວຄໍາເຫັນທີ່ພິທີ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ເນັ້ນໜັກວ່າ: ປີ 2020, ຫວຽດນາມ ເປັນກຽດຮັບພາລະໜ້າທີ່ໃຫຍ່ໃນພາກພື້ນ ແລະສາກົນ, ໃນນັ້ນພົ້ນເດັ່ນແມ່ນບົດບາດເປັນປະທານອາຊຽນ.	Phát biểu tại buổi lễ, Thủ tướng Chính phủ Nguyễn Xuân Phúc nhấn mạnh, đến năm 2020, Việt Nam có khả năng đóng vai trò lớn ở khu vực và quốc tế, trong đó có vai trò chủ tịch ASEAN.
ນີ້ແມ່ນກາລະໂອກາດເພື່ອໃຫ້ຫວຽດນາມ ປະກອບສ່ວນເຂົ້າໃນການພັດທະນາຂອງປະຊາຄົມອາຊຽນ ຢ່າງມີເນື້ອແທ້ ແລະຫຼາຍກວ່າອີກ.	Đây là cơ hội để Việt Nam ngày càng đóng góp nhiều hơn vào sự phát triển của Cộng đồng ASEAN.
ທ່ານ ຫງວຽນຊວນຟຸກ ຢັ້ງຢືນວ່າຫົວຂໍ້ ແລະບຸລິມະສິດຂອງປີເປັນປະທານອາຊຽນ 2020 ບໍ່ພຽງແຕ່ຮັບໃຊ້ໃຫ້ອາຊຽນ ໃນປີ 2020 ເທົ່ານັ້ນ, ຫາກຍັງມຸ່ງໄປເຖິງບັນດາເປົ້າໝາຍໄລຍະຍາວກວ່າຂອງປະຊາຄົມອາຊຽນ ອີກດ້ວຍ.	Nguyễn Xuân Phúc khẳng định, chủ đề và các ưu tiên của nhiệm kỳ Chủ tịch ASEAN 2020 không chỉ là phục vụ ASEAN vào năm 2020, mà còn nhằm đạt được các mục tiêu dài hạn của Cộng đồng ASEAN.
ປະຕິບັດບັນດາບຸລິມະສິດ, ເປົ້າໝາຍ ແລະຄວາມຮຽກຮ້ອງທີ່ໄດ້ວາງອອກໃນບົດບາດເປັນປະທານອາຊຽນ 2020 ສໍາເລັດຜົນກໍ່ແມ່ນການປະກອບສ່ວນຂອງຫວຽດນາມ ໃຫ້ແກ່ການພັດທະນາແບບຍືນຍົງ ແລະສະໜິດຕິດພັນຂອງອາຊຽນ.	Việc thực hiện thành công các ưu tiên, mục tiêu và nguyện vọng đề ra trong nhiệm kỳ Chủ tịch ASEAN 2020 là đóng góp của Việt Nam vào sự phát triển bền vững và chặt chẽ của ASEAN.
