ກປ.ອອນໄລ - ວັນທີ 1 ມັງກອນ 2020 ຫວຽດນາມ ກາຍເປັນປະທານອາຊຽນ 2020 ຢ່າງເປັນທາງການ.	Ngày 1/1/2020, Việt Nam chính thức trở thành nước chủ tịch ASEAN 2020.
ທັງແມ່ນປະທານອາຊຽນ 2020 ທັງແມ່ນກຳມະການບໍ່ປະຈຳການ ສະພາຄວາມໝັ້ນຄົງ ສະຫະປະຊາຊາດ (ສປຊ) ອາຍຸການ 2020-2021, ຫວຽດນາມ ມີກາລະໂອກາດຫຼາຍຢ່າງເພື່ອສະແດງໃຫ້ເຫັນຖານະບົດບາດໃນພາກພື້ນ ແລະເວທີສາກົນ.	Với tư cách là Chủ tịch ASEAN 2020 và là Ủy viên không thường trực Hội đồng Bảo an Liên hợp quốc nhiệm kỳ 2020-2021, Việt Nam có nhiều cơ hội để thể hiện vai trò của mình ở khu vực và trên trường quốc tế.
ກ່ອນທີ່ຮັບດຳລົງຕຳແໜ່ງປະທານອາຊຽນ ຄັ້ງນ້ີ, ປີ 1998 ຫວຽດນາມ ໄດ້ຈັດຕັ້ງກອງປະຊຸມສຸດຍອດ ອາຊຽນ ຄັ້ງທີ 6 ຢູ່ ຮ່າໂນ້ຍ ປະສົບຜົນສຳເລັດ, ສຳເລັດບົດບາດປະທານຄະນະກຳມະການປະຈຳການອາຊຽນ (ASC) ຊຸດທີ 34 (ເດືອນ ກໍລະກົດ 2000/ເດືອນ ກໍລະກົດ 2001) ແລະແມ່ນປະທານອາຊຽນ 2010.	Trước khi đảm nhận vai trò Chủ tịch ASEAN, năm 1998 Việt Nam đã đăng cai tổ chức thành công Hội nghị Cấp cao ASEAN lần thứ 6 tại Hà Nội, hoàn thành nhiệm vụ Chủ tịch Ủy ban Thường vụ ASEAN lần thứ 34 (ASC) (tháng 7 năm 2000 / tháng 7 năm 2001) và chủ trì ASEAN 2010.
ນັບແຕ່ທ້າຍປີ 2018, ຫວຽດນາມ ໄດ້ຕັ້ງໜ້າກະກຽມໃຫ້ບົດບາດປະທານອາຊຽນ ດ້ວຍຄວາມປາດຖະໜາຢາກຕັ້ງພື້ນຖານຕໍ່ໄປເພື່ອກໍ່ສ້າງປະຊາຄົມອາຊຽນ ໃຫ້ໝັ້ນຄົງເຂັ້ມແຂງຂຶ້ນຕື່ມ, ສົມທົບບົດບາດປະທານອາຊຽນ ດ້ວຍຕຳແໜ່ງກຳມະການບໍ່ປະຈຳການສະພາຄວາມໝັ້ນຄົງ ສປຊ ເປັນຢ່າງດີ, ເພື່ອຈາກນັ້ນຜັນຂະຫຍາຍມະຕິເລກທີ 22-NQ/TW ລົງວັນທີ 10 ເມສາ 2013 ຂອງກົມການເມືອງວ່າດ້ວຍການເຊື່ອມໂຍງເຂົ້າກັບສາກົນ ແລະຄຳສັ່ງເລກທີ 25-CT/TW ລົງວັນທີ 8 ສິງຫາ ຂອງຄະນະເລຂາທິການສູນກາງພັກວ່າດ້ວຍການຍູ້ແຮງ ແລະຍົກລະດັບການພົວພັນຕ່າງປະເທດຫຼາຍຝ່າຍເຖິງປີ 2030.	Từ cuối năm 2018, Việt Nam đã chuẩn bị cho vai trò của ASEAN với mong muốn đặt nền tảng để xây dựng một ASEAN mạnh hơn nữa, kết hợp vai trò của vị thế ASEAN không nằm trong Hội đồng Bảo an Liên hợp quốc, để từ đó thực hiện Nghị quyết số 22-NQ / TW ngày 10 tháng 4 năm 2013 của Bộ Chính trị liên kết với trật tự quốc tế số 25-CT / TW ngày 8 tháng 8, Ban Bí thư trung tâm về thúc đẩy và nâng cấp quan hệ đa phương ở nước ngoài đến năm 2030.
ທ່ານ ຟ້າມບິ່ງມິນ, ກຳມະການກົມການເມືອງ, ຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ.	Đồng chí Phạm Bình Minh, Ủy viên Ban Chính trị, Phó Thủ tướng Chính phủ, Bộ trưởng Bộ Ngoại giao Việt Nam.
ພາບ: ສຳນັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ໂດຍໄດ້ຮັບການສ້າງຕັ້ງຂຶ້ນໃນວັນທີ 8 ສິງຫາ 1967, ອາຊຽນ ອອກຖະແຫຼງການບາງກອກ ສະແດງຄວາມຝັກໃຝ່ກ່ຽວກັບສະມາຄົມປະຊາຊາດເຕົ້າໂຮມທຸກປະເທດອາຊີຕາເວັນອອກສ່ຽງໃຕ້ມຸ່ງໄປເຖິງພາກພື້ນສັນຕິພາບ-ເສລີພາບ-ວັດທະນາຖາວອນ.	Được thành lập vào ngày 8 tháng 8 năm 1967, ASEAN ra Tuyên bố Bangkok bày tỏ nguyện vọng của Hiệp hội các quốc gia Đông Nam Á (ASEAN) nhằm đạt được một nền hòa bình, tự do và văn hóa lâu dài.
ຜ່ານຊຸມປີເດືອນ, ຄວາມຝັນກ່ຽວກັບອາຊຽນດ້ວຍ 10 ປະເທດອາຊີຕາເວັນອອກສ່ຽງໃຕ້ ໄດ້ກາຍເປັນຕົວຈິງ.	Trong những năm qua, giấc mơ ASEAN với 10 nước Đông Nam Á đã thành hiện thực.
ປະຊາຄົມອາຊຽນ ໄດ້ຮັບການສ້າງຕັ້ງຂຶ້ນໃນວັນທີ 31 ທັນວາ 2015, ຄ່ອຍໆກາຍເປັນຮູບແບບກ່ຽວກັບປະຊາຄົມມີຄວາມສະໜິດຕິດພັນດ້ານການເມືອງ, ຮ່ວມສຳພັນດ້ານເສດຖະກິດ ແລະແບ່ງປັນຄວາມຮັບຜິດຊອບສັງຄົມ.	Cộng đồng ASEAN được thành lập vào ngày 31 tháng 12 năm 2015, từng bước trở thành hình mẫu của một cộng đồng gắn kết về chính trị, bao trùm về kinh tế và có trách nhiệm với xã hội.
ຍ້ອນແນວນັ້ນ, ອາຊຽນ ໄດ້ກາຍເປັນຄູ່ຮ່ວມມືສຳຄັນຂອງບັນດາປະເທດນອກພາກພື້ນ, ເປັນແກ່ນສານໃນບັນດາວິວັດການເຈລະຈາ ແລະຮ່ວມມື.	Nhờ đó, ASEAN đã trở thành đối tác quan trọng của các nước ngoài khu vực, là cốt lõi của các cuộc đàm phán và hợp tác.
ມຸ່ງໄປເຖິງເປົ້າໝາຍຫັນວິໄສທັດອາຊຽນ 2025 ໃຫ້ປະກົດຜົນເປັນຈິງ, ປະຊາຄົມອາຊຽນ ສືບຕໍ່ສະໜິດຕິດພັນ, ຢັ້ງຢືນບົດບາດໃຈກາງໃນບັນດາວິວັດທະນາການພາກພື້ນເພື່ອສັນຕິພາບ, ສະຖຽນລະພາບ, ຄວາມໝັ້ນຄົງ ແລະພັດທະນາຢູ່ອາຊີຕາເວັນອອກສ່ຽງໃຕ້, ມີທັດສະນະສຳຄັນໃນພາກພື້ນ ແລະໃນຫຼາຍບັນຫາສາກົນສຳຄັນ.	Hướng tới mục tiêu biến Tầm nhìn ASEAN 2025 thành hiện thực, Cộng đồng ASEAN sẽ tiếp tục hợp tác chặt chẽ và tái khẳng định vai trò trung tâm của mình trong phát triển khu vực vì hòa bình, ổn định, an ninh và phát triển ở Đông Nam Á, với các quan điểm chính của khu vực và quốc tế.
ໃນຍຸດທະສາດຂອງບັນດາປະເທດມະຫາອໍານາດ, ອາຊຽນ ແມ່ນຄູ່ຮ່ວມມືສຳຄັນເພື່ອການເຈລະຈາ ແລະຮ່ວມມືໃນພາກພື້ນ.	Trong chiến lược của các cường quốc, ASEAN là đối tác quan trọng để đối thoại và hợp tác ở khu vực.
ໃນສະພາບການໂລກພວມຜັນແປໄປຢ່າງສັບສົນ, ການແກ່ງແຍ້ງລະຫວ່າງບັນດາປະເທດມະຫາອໍານາດເພີ່ມຂຶ້ນ, ອາຊຽນ ດ້ວຍທີ່ຕັ້ງພູມສາດ-ຍຸດທະສາດຢູ່ໃຈກາງຂອງພາກພື້ນທີ່ກວ້າງໃຫຍ່ເຊື່ອມຕໍ່ສອງເຂດທະເລມະຫາສະໝຸດອິນເດຍ ແລະປາຊີຟິກ, ພວມຢືນຕໍ່ໜ້າກາລະໂອກາດ ແລະສິ່ງທ້າທາຍໃໝ່.	Trong một môi trường toàn cầu ngày càng phức tạp, sự cạnh tranh giữa các siêu cường ngày càng gia tăng, và ASEAN, với vị trí chiến lược ở trung tâm của một khu vực rộng lớn nối liền hai vùng biển Ấn Độ Dương và Thái Bình Dương, đang đứng trước những cơ hội và thách thức mới.
ດ້ວຍປະຊາກອນກວ່າ 642 ລ້ານຄົນ ແລະເນື້ອທີ່ກວ່າ 1,7 ລ້ານກິໂລຕາແມັດ, ອາຊຽນ ແມ່ນຕະຫຼາດມີຄວາມສາມາດບົ່ມຊ້ອນດ້ວຍພື້ນຖານເສດຖະກິດຂະຫຍັນຂັນເຄື່ອນ.	Với dân số hơn 642 triệu người và diện tích hơn 1,7 triệu km vuông, ASEAN là một thị trường tiềm năng với nền tảng kinh tế năng động.
ບັນດາປະເທດອາຊຽນ ກໍບືນຕົວຂຶ້ນຢ່າງບໍ່ຢຸດຢັ້ງ, ເດີນທາງລັດໜ້າບັນດາຜົນປະໂຫຍດຂອງການປະຕິວັດອຸດສາຫະກຳ 4.0 ດ້ວຍການເຂົ້າຮ່ວມບັນດາຂົງເຂດອຸດສາຫະກຳໃໝ່ຢ່າງແຮງ, ຄື: ປັນຍາປະດິດ, ຫຸ່ນຍົນທີ່ກ້າວໜ້າ...	Các nước ASEAN không ngừng vươn lên, bắt tay vào hưởng lợi của Cách mạng Công nghiệp 4.0 bằng cách tham gia tích cực vào các lĩnh vực công nghiệp, như: trí tuệ nhân tạo, robot tiên tiến ...
ເຖິງຢ່າງໃດກໍ່ຕາມ, ລັດທິອາລັກຂາເພີ່ມຂຶ້ນ, ການແກ່ງແຍ້ງດ້ານການຄ້າລະຫວ່າງບັນດາປະເທດມະຫາອໍານາດກໍເປັນສິ່ງທ້າທາຍ, ສົ່ງຜົນສະທ້ອນຢ່າງຫຍໍ້ທໍ້ເຖິງລະດັບການພັດທະນາເສດຖະກິດ ແລະການຄ້າສາກົນ.	Tuy nhiên, trước sự gia tăng của chủ nghĩa bảo hộ, tranh chấp thương mại giữa các cường quốc đã trở thành thách thức, ảnh hưởng không nhỏ đến trình độ phát triển kinh tế và thương mại quốc tế.
