ກປ.ອອນໄລ - ວັນທີ 15 ມັງກອນ, ຢູ່ຮ່າໂນ້ຍ, ສະມາຄົມຜູ້ປະສົບເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ/ດີໂອຊີນຫວຽດນາມ ໄດ້ຈັດຕັ້ງລາຍການສະແດງສິລະປະ “ບຸນເຕັດເພື່ອຜູ້ປະສົບເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມຫວຽດນາມ ຄັ້ງທີ 2 ປີ 2020.	Vào ngày 15 tháng 1, tại Hà Nội, Hiệp hội nạn nhân Việt Nam Orange / Bộ phận nạn nhân.
ທ່ານພົນໂທ ເຈິ່ນກວາງເຟືອງ, ຮອງຫົວໜ້າກົມໃຫຍ່ການເມືອງ ແລະທ່ານພົນໂທ ຫງວຽນວັນຣີງ, ປະທານສະມາຄົມຜູ້ປະສົບເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ/ດີໂອຊີນຫວຽດນາມ ເຂົ້າຮ່ວມລາຍການດັ່ງກ່າວ.	Delician, Phó Vụ trưởng Vụ Chính trị và Cục Cienon Dieng, Chủ tịch Việt Nam Orange / Phó Chủ tịch Việt Nam.
ໃນຊຸມປີຜ່ານມາ, ບັນດາຜູ້ປະສົບເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ/ດີໂອຊີນຢູ່ຫວຽດນາມ ໄດ້ຮັບຄວາມເອົາໃຈໃສ່ ແລະໜູນຊ່ວຍຂອງພັກ, ລັດ, ອໍານາດການປົກຄອງ, ອົງການຈັດຕັ້ງມະຫາຊົນຂັ້ນຕ່າງໆ, ບັນດາອົງການຈັດຕັ້ງ, ບຸກຄົນ, ບັນດາຜູ້ໃຈບຸນໃຈກຸສົນ.	Trong những năm gần đây, các nạn nhân của nạn nhân cam / cam ở Việt Nam, chính phủ, tổ chức, cá nhân, cá nhân, cá nhân, cá nhân, cá nhân, cá nhân, cá nhân
ທ່ານພົນໂທ ເຈິ່ນກວາງເຟືອງ ແລະທ່ານພົນໂທ ຫງວຽນວັນຣີງ ມອບຂອງຂວັນໃຫ້ແກ່ຄອບຄົວທີ່ມີຜູ້ປະສົບເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ.	Melician Quang Nguyen, Xieng dien Nguyễn Huân tặng quà cho các gia đình có nạn nhân của Orange.
ພາບ: ຕວ໋ນຮຸຍ.	Ảnh: Huế.
ສະມາຄົມໄດ້ຈັດຕັ້ງການຢ້ຽມຢາມ, ມອບເຮືອນແຫ່ງສາຍຈິດມິດໃຈ, ມອບຂອງຂວັນບຸນເຕັດໃຫ້ແກ່ຜູ້ປະສົບເຄາະຮ້າຍ 1.200 ຄົນ ຢູ່ 22 ແຂວງ, ນະຄອນດ້ວຍຈໍານວນເງິນທັງໝົດກວ່າ 1 ຕື້ດົ່ງ.	Hiệp hội đã thiết lập một chuyến thăm, giao hàng của một người bạn của tình bạn, để cung cấp 1.200 món quà lên 22 tỷ trong thành phố với tổng số 1 tỷ đồng.
ທີ່ລາຍການດັ່ງກ່າວ, ກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ໄດ້ມອບເງິນ 100 ລ້ານດົ່ງໃຫ້ກອງທຶນ “ບຸນເຕັດເພື່ອຜູ້ປະສົບເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມຫວຽດນາມ ;	Tại mặt hàng này, Bộ Quốc phòng đã đáp ứng 100 triệu đồng cung cấp cho các nạn nhân của Việt Nam;
ຄະນະຈັດຕັ້ງມອບຂອງຂວັນ 20 ພູດໃຫ້ແກ່ບັນດາຜູ້ປະສົບເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ/ດີໂອຊີນໃນບໍລິເວນນະຄອນຮ່າໂນ້ຍ;	Ban quà tặng 20 đại lý quà tặng của các nạn nhân cam / cam ở khu vực Hà Nội;
ມອບໃບຍ້ອງຍໍໃຫ້ແກ່ບັນດາອົງການຈັດຕັ້ງ, ວິສາຫະກິດ...	Cho chứng chỉ cho các tổ chức, doanh nghiệp ...
ທີ່ມີການປະກອບສ່ວນຫຼາຍຢ່າງໃຫ້ລາຍການ.	Với rất nhiều đóng góp cho các mục.
ໂດຍ: ທູຈາງ.	Bởi: mẫu.
