ກປ.ອອນໄລ - ວັນທີ 16 ມັງກອນ, ເຈົ້າໜ້າທີ່ອາວຸໂສ (SOM) ບັນດາປະເທດອາຊຽນ ໄດ້ປະຊຸມທີ່ນະຄອນຍາຈາງ, ແຂວງແຄ໋ງຮວ່າ.	Ngày 16/1, các quan chức cấp cao (SOM) của các nước ASEAN đã họp tại Nha Trang, tỉnh Khang Hòa.
ນີ້ແມ່ນກອງປະຊຸມ SOM ASEAN ທໍາອິດໃນປີ 2020.	Đây là SOM ASEAN đầu tiên vào năm 2020.
ທ່ານ ຫງວຽນກ໊ວກຢູງ, ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ, ຫົວໜ້າຄະນະເຈົ້າໜ້າທີ່ອາວຸໂສຫວຽດນາມ ປະຈໍາອາຊຽນ ເປັນປະທານການປະຊຸມດັ່ງກ່າວ.	Cuộc họp do Thứ trưởng Bộ Ngoại giao Nguyễn Quốc Dũng chủ trì.
ທີ່ການປະຊຸມ, ບັນດາເຈົ້າໜ້າທີ່ອາວຸໂສ ໄດ້ກວດກາຄືນວຽກງານການກະກຽມທຸກດ້ານໃຫ້ກອງປະຊຸມບັນດາລັດຖະມົນຕີການຕ່າງປະເທດອາຊຽນ ວົງແຄບທີ່ດໍາເນີນໃນລະຫວ່າງວັນທີ 16-17 ມັງກອນ ຢູ່ນະຄອນຍາຈາງ.	Tại cuộc họp, các quan chức cấp cao đã rà soát mọi công tác chuẩn bị cho Hội nghị Bộ trưởng Ngoại giao ASEAN sẽ được tổ chức vào ngày 16-17 / 1 tại Nha Trang.
ບັນດາປະເທດໄດ້ຕີລາຄາສູງຫວຽດນາມ ໄດ້ເປັນເຈົ້າການສະເໜີບັນດາທິດກໍານົດ, ບຸລິມະສິດ ແລະຂໍ້ລິເລີ່ມ ເພື່ອຜັນຂະຫຍາຍບັນດາເນື້ອໃນການຮ່ວມມືອາຊຽນ ໃນປີ 2020.	Hai nước ca ngợi Việt Nam chủ trì các chủ trương, ưu tiên và sáng kiến để triển khai các nội dung hợp tác ASEAN đến năm 2020.
ບົນພື້ນຖານນັ້ນ, ບັນດາປະເທດເຫັນດີເປັນເອກະພາບຈະສະເໜີແນະຕໍ່ບັນດາລັດຖະມົນຕີການຕ່າງປະເທດຮັບຮອງເອົາບັນດາເນື້ອໃນນີ້.	Trên cơ sở đó, hai nước nhất trí đề nghị Bộ trưởng Ngoại giao thông qua các nội dung này.
ບັນຍາກາດທີ່ການປະຊຸມບັນດາເຈົ້າໜ້າທີ່ອາວຸໂສອາຊຽນ.	Không khí tại Hội nghị các quan chức cấp cao ASEAN.
ພາບ: ວັນແຮ້ງ.	Ảnh: Van Haeng.
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ, ທ່ານ ຫງວຽນກ໊ວກຢູງ ໄດ້ແນະນໍາກ່ຽວກັບຫົວຂໍ້, ບັນດາບຸລິມະສິດ ແລະຂໍ້ລິເລີ່ມໂດຍຫວຽດນາມ ສະເໜີໃນປີ 2020.	Phát biểu tại buổi làm việc, ông Nguyễn Quốc Dũng đã giới thiệu các chủ đề, ưu tiên và các sáng kiến do Việt Nam khởi xướng trong năm 2020.
ຕາມນັ້ນແລ້ວ, ບັນດາຂໍ້ສະເໜີຂອງຫວຽດນາມ ແມ່ນຂຶ້ນກັບທຸກຂົງເຂດຮ່ວມມືອາຊຽນ, ໂດຍອີງໃສ່ບັນດາເນື້ອໃນຕົ້ນຕໍເຊິ່ງລວມມີການກໍ່ສ້າງປະຊາຄົມ, ການພົວພັນຕ່າງປະເທດ ແລະການໂຄສະນາເຜີຍແຜ່ຮູບພາບຂອງອາຊຽນ ເຖິງປະຊາຄົມສາກົນ.	Theo đó, các đề xuất của Việt Nam phụ thuộc vào tất cả các lĩnh vực hợp tác của ASEAN, dựa trên các chủ đề chính, bao gồm xây dựng cộng đồng, quan hệ đối ngoại và phổ biến hình ảnh ASEAN ra cộng đồng quốc tế.
ທ່ານ ຫງວຽນກ໊ວກຢູງ ຢັ້ງຢືນວ່າ: ໂດຍເປັນປະທານອາຊຽນ 2020, ຫວຽດນາມ ຈະສູ້ຊົນຈົນສຸດຄວາມສາມາດຂອງຕົນ ເພື່ອຜົນສໍາເລັດຂອງປະຊາຄົມອາຊຽນ, ເພື່ອອາຊຽນສາມັກຄີ, ເຫັນດີເປັນເອກະພາບ, ສວມບົດບາດໃຈກາງໃນພາກພື້ນ ແລະມຸ່ງໄປເຖິງອະນາຄົດ.	Nguyễn Quốc Dũng khẳng định với tư cách là Chủ tịch ASEAN 2020, Việt Nam sẽ nỗ lực hết mình vì sự thành công của Cộng đồng ASEAN, vì ASEAN đoàn kết, đồng thuận, đóng vai trò trung tâm ở khu vực và hướng tới tương lai.
ໂດຍ: ທູຈາງ.	Bởi: Tu Zhang.
