ກປ.ອອນໄລ - ປີ 2020 ເປັນຂີດໝາຍເຫດການສະເຫຼີມສະຫຼອງ 25 ປີແຫ່ງການຫັນການພົວພັນດ້ານການທູດຫວຽດນາມ-ອາເມລິກາ ເປັນປົກກະຕິ.	Năm 2020 đánh dấu kỷ niệm 25 năm bình thường hóa quan hệ ngoại giao Việt Nam - Hoa Kỳ.
ການພົວພັນລະຫວ່າງສອງປະເທດມີບັນດາບາດກ້າວໃຫຍ່, ກາຍເປັນຄູ່ຮ່ວມມືຮອບດ້ານຄືປັດຈຸບັນ ແມ່ນຕ້ອງໄດ້ເວົ້າເຖິງຊາວອາເມລິກາ ທີ່ໄດ້ປະກອບສ່ວນເປັນຂົວເຊື່ອມຕໍ່ມິດຕະພາບ.	Quan hệ hai nước đã có những bước phát triển vượt bậc, trở thành đối tác toàn diện, như bây giờ phải kể đến những người Mỹ đã góp phần làm nhịp cầu hữu nghị.
ທ່ານນາງ Jerilyn Brusseau, ຜູ້ຮ່ວມສ້າງຕັ້ງອົງການ PeaceTrees Vietnam (ຕົ້ນໄມ້ສັນຕິພາບຫວຽດນາມ) ແມ່ນໜຶ່ງໃນຈໍານວນນັ້ນ.	Jerilyn Brusseau, đồng sáng lập PeaceTrees Việt Nam, là một trong số đó.
ທ່ານນາງ Jerilyn Brusseau ໃຫ້ຮູ້ວ່າ, ທ່ານນາງແມ່ນເອື້ອຍຂອງທະຫານຜ່ານເສິກອາເມລິກາທີ່ໄດ້ເສຍສະຫຼະຊີວິດໃນປີ 1969 ຢູ່ຫວຽດນາມ.	Theo Jerilyn Brusseau, cô là em gái của một cựu binh Mỹ chết năm 1969 tại Việt Nam.
ທ່ານນາງແບ່ງປັນວ່າ “ນັ້ນແມ່ນເວລາທີ່ໂສກເສົ້າຫງວ່ມເຫງົາທີ່ສຸດໃນຊີວິດຂອງຂ້າພະເຈົ້າ ແລະຄອບຄົວ.	"Đó là một trong những khoảng thời gian buồn nhất của cuộc đời tôi và gia đình tôi," cô nói.
ຂ້າພະເຈົ້າກໍ່ຮູ້ວ່າ, ຄວາມເສົ້າສະຫຼົດໃຈຂອງຄອບຄົວຕົນເອງ ກໍ່ຄືຄວາມເສົ້າສະຫຼົດໃຈຂອງບັນດາຄອບຄົວຫວຽດນາມ.	Tôi biết, nỗi buồn của chính gia đình mình cũng là nỗi buồn của gia đình Việt Nam.
ດ້ວຍຄວາມຄິດນັ້ນ, ທ່ານນາງ Jerilyn Brusseau ຍາມໃດກໍ່ປາດຖະໜາຢາກມາຫວຽດນາມ ເພື່ອເຮັດສິ່ງໃດໜຶ່ງເປັນການປະກອບສ່ວນບັນເທົາຄວາມເຈັບປວດຈາກສົງຄາມ.	Với suy nghĩ đó, Jerilyn Brusseau luôn mong muốn được đến Việt Nam để làm một điều gì đó giúp xoa dịu nỗi đau chiến tranh.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ຮອດປີ 1995, ທ່ານນາງ Jerilyn Brusseau ຈຶ່ງມີໂອກາດ.	Tuy nhiên, vào năm 1995, Jerilyn Brusseau đã có cơ hội.
ເມື່ອມາຫວຽດນາມໃນປີ 1996, ທ່ານນາງ Jerilyn Brusseau ໄດ້ເຫັນປະຈັກຕາຜົນຮ້າຍຢ້ອນຫຼັງ ກໍ່ຄືບັນດາຜົນສະທ້ອນຈາກສົງຄາມຕໍ່ປະເທດຊາດ ແລະຊາວຫວຽດນາມ.	Khi đến Việt Nam vào năm 1996, Jerilyn Brusseau đã chứng kiến hậu quả của cuộc chiến chống lại đất nước và con người Việt Nam.
ເມື່ອກັບເມືອປະເທດແລ້ວ, ທ່ານນາງພ້ອມກັບຜົວ ແລະແມ່ຂອງຕົນຕັດສິນໃຈສ້າງຕັ້ງອົງການ PeaceTrees Vietnam ດ້ວຍເປົ້າໝາຍຢາກສ້າງຄວາມໄວ້ເນື້ອເຊື່ອໃຈ ແລະຄວາມເຂົ້າໃຈເຊິ່ງກັນ ແລະກັນລະຫວ່າງປະຊາຊົນສອງປະເທດ.	Khi về nước, cô cùng chồng và mẹ quyết định thành lập PeaceTrees Việt Nam với mục đích xây dựng lòng tin và sự hiểu biết lẫn nhau giữa nhân dân hai nước.
ທ່ານນາງ Jerilyn Brusseau, ຜູ້ສ້າງຕັ້ງອົງການ PeaceTrees Vietnam.	Jerilyn Brusseau, người sáng lập PeaceTrees Việt Nam.
