ກປ.ອອນໄລ - ພັກກອມມູນິດຫວຽດນາມ ໄດ້ຮັບການກຳເນີດໃນຕົ້ນປີ 1930, ມາຮອດປະຈຸບັນແມ່ນ 90 ລະດູບານໃໝ່	KPR Online - Đảng Cộng sản Việt Nam ra đời từ đầu những năm 1930, đến nay là mùa xuân thứ 90.
ໃນບົດຂຽນນີ້, ຂ້າພະເຈົ້າຂໍຄັດສະເໜີບາງເລື່ອງລາວຂອງປະທານໂຮ່ຈິມິນ ເພື່ອຍົກໃຫ້ເຫັນແນວຄິດອັນໃຫຍ່ຫຼວງຂອງເພິ່ນກ່ຽວກັບຄຸນຄ່າຂອງຄວາມສາມັກຄີ, ເອກະພາບພາຍໃນພັກ, ແລະກວ້າງກວ່າແມ່ນມະຫາສາມັກຄີທົ່ວປວງຊົນທັງຊາດ ແລະຄວາມສາມັກຄີສາກົນກັບອ້າຍນ້ອງ, ເພື່ອນມິດໃນທົ່ວຫ້າທະວີບ.	Trong bài viết này, tôi xin trích dẫn một số câu chuyện của Chủ tịch Hồ Chí Minh để nêu bật những tư tưởng lớn của Người về giá trị của đoàn kết, thống nhất trong Đảng, đoàn kết toàn dân tộc, đoàn kết quốc tế với anh em, bạn bè năm châu.
ສຳລັບລຸງໂຮ່, ຄວາມສາມັກຄີ, ເອກະພາບບໍ່ພຽງແຕ່ແມ່ນກຳລັງແຮງດ້ານຈິດໃຈເທົ່ານັ້ນ, ຫາກຍັງແມ່ນກຳລັງດ້ານວັດຖຸທີ່ໃຫຍ່ຫຼວງອີກດ້ວຍ.	Đối với Bác, đoàn kết thống nhất không chỉ là động lực tâm lý, mà còn là lực lượng vật chất to lớn.
ລຸງໂຮ່ ຕີຈັງຫວະບົດເພງ “ສາມັກຄີ.	Bác Hồ hát bài Đoàn kết.
ພາບ: ເລີມຮົ່ງລອງ.	Ảnh: Lâm Hồng Long
ກ່ຽວກັບຄວາມສາມັກຄີ, ເອກະພາບພາຍໃນພັກ	Về đoàn kết trong đảng
ເວົ້າເຖິງວັນສ້າງຕັ້ງພັກ, ລຸງໂຮ່, ດ້ວຍນາມປາກກາ ເຈິ່ນຖັ໊ງເລິ້ຍ, ໃນບົດໜັງສືພິມໂດຍພັກເຮົາຂຽນໃນປີ 1949, ເລົ່າຄືນວ່າ: ປີ 1929, ເມື່ອສະຫາຍ ຫງວຽນອ໊າຍກ໊ວກ ບໍ່ຢູ່ໃນປະເທດ, ສະມາຄົມຊາວໜູ່ມປະຕິວັດຫວຽດນາມ ຈັດຕັ້ງກອງປະຊຸມຢູ່ຮົ່ງກົງ.	Nhận xét về ngày thành lập Đảng, Bác Hồ, với bút hiệu Trần Thắng Lệnh, viết trong bài báo về Đảng năm 1949: “Năm 1929, khi đồng chí Nguyễn Ái Quốc chưa ở trong nước, Hội Việt Nam Cách mạng Thanh niên đã tổ chức cuộc họp tại Hồng Kông.
ບັນດາຜູ້ແທນພາກເໜືອຫວຽດນາມ ສະເໜີຈັດຕັ້ງພັກກອມມູນິດ, ແຕ່ຖືກປະຕິເສດໄດ້ກັບຄືນປະເທດບໍ່ເຂົ້າຮ່ວມກອງປະຊຸມອີກ.	Phái đoàn Việt Nam luôn có tổ chức Đảng Cộng sản, nhưng bị từ chối về nước.
ຫຼັງຈາກນັ້ນ, ໃນປະເທດຄ່ອຍໆສ້າງຕັ້ງສາມກຸ່ມກອມມູນິດ: ພັກກອມມູນິດອິນດູຈີນ, ພັກກອມມູນິດອານນາມ ແລະ ສະຫະພັນກອມມູນິດອິນດູຈີນ.	Về sau, cả nước dần hình thành ba nhóm cộng sản: Đông Dương Cộng sản Đảng, An Nam Cộng sản Đảng và Đông Dương Cộng sản Liên đoàn.
ປະເທດໜຶ່ງແຕ່ມີສາມພັກກອມມູນິດ.	Cả nước chỉ có ba Đảng Cộng sản.
ທັງສາມກຸ່ມລ້ວນແຕ່ເຂົ້າໃຈວ່າຄືແນວນັ້ນແມ່ນບໍ່ຖືກ.	Cả ba nhóm đều hiểu rằng điều này không đúng.
ໝູ່ມະຫາຊົນລ້ວນແຕ່ເຂົ້າໃຈວ່າຄືແນວນັ້ນແມ່ນບໍ່ຖືກ.	Quần chúng hiểu rằng điều này là không đúng.
ທັງສາມກຸ່ມລ້ວນແຕ່ຊອກຫາວິທີເພື່ອທ້ອນໂຮມເປັນເອກະພາບ.	Cả ba nhóm đang tìm cách để đoàn kết.
ແຕ່ຍ້ອນພະຍາດໃຈແຄບ ແລະວິທີເຮັດບໍ່ຄ່ອງແຄ້ວ, ສະນັ້ນຍິ່ງປາດຖະໜາຢາກໄດ້ໃກ້ກັນ, ຍິ່ງຖືກຫ່າງໄກກັນ.	Nhưng vì lòng dạ hẹp hòi và cách làm việc vụng về nên người ta càng muốn gần thì người ta càng xa.
ທ້າຍປີ 1929, ສະຫາຍ ຫງວຽນອ໊າຍກ໊ວກ ກັບຄືນຈີນ, ພ້ອມກັບຜູ້ແທນບັນດາກຸ່ມໄຂກອງປະຊຸມຢູ່ຮົ່ງກົງ...	Cuối năm 1929, đồng chí Nguyễn Ái Quốc cùng đoàn đại biểu về Trung Quốc dự hội nghị ở Hồng Kông.
ພາຍຫຼັງການປຶກສາຫາລືຢ່າງຟົດຟ້ືນ ແລະພາຍຫຼັງຮັບຟັງຄຳອະທິບາຍຢ່າງຈະແຈ້ງຂອງສະຫາຍ ຫງວຽນອ໊າຍກ໊ວກ, ທຸກຄົນລ້ວນແຕ່ເຫັນດີເປັນເອກະພາບໂຮມສາມກຸ່ມກອມມູນິດເປັນພັກໜຶ່ງດຽວ.	Sau khi thảo luận sôi nổi và được đồng chí Nguyễn Ái Quốc giải thích rõ ràng, mọi người nhất trí hợp nhất ba tổ chức cộng sản thành một đảng.
ຍ້ອນເຫດນັ້ນ, ພັກເຮົາໄດ້ຮັບການສ້າງຕັ້ງ.	Kết quả là đảng của chúng tôi được thành lập.
ໃນບົດຂຽນ, ລຸງໂຮ່ ຍັງຂຽນວ່າ: “ຄວາມເປັນເອກະພາບເຮັດໃຫ້ສະມາຊິກພັກ ແລະໝູ່ມະຫາຊົນໃນທົ່ວປະເທດ ມ່ວນຊື່ນທີ່ສຸດ ແລະຈູບຈ້າວຫ້າວຫັນຕື່ມ.	Trong bài, Bác Hồ viết: “Đoàn kết làm cho đảng viên và quần chúng cả nước rất vui, càng hôn càng tích cực.
ຍ້ອນແນວນັ້ນພັກເຮົາ ໄດ້ຮັບການພັດທະນາໂດຍໄວ, ເຄື່ອນໄຫວຢ່າງແຮງ.	Nhờ đó, đảng ta đã phát triển nhanh chóng và mạnh mẽ.
ນັບແຕ່ຄາວນັ້ນເປັນຕົ້ນໄປ, ຂະບວນການປະຕິວັດຢູ່ປະເທດຫວຽດນາມ ລ້ວນແຕ່ພາຍໃຕ້ການນຳພາຂອງພັກເຮົາ.	Từ đó trở đi, tiến trình cách mạng Việt Nam đều đặt dưới sự lãnh đạo của Đảng ta.
ສະນັ້ນ, ນັບແຕ່ຄາວເລີ່ມຕົ້ນການກໍ່ສ້າງພັກ, ຜູ້ນຳ ຫງວຽນອ໊າຍກ໊ວກ ໄດ້ຖືບົດຮຽນກ່ຽວກັບຄວາມສາມັກຄີ, ເອກະພາບພາຍໃນພັກເປັນສຳຄັນທ່ີສຸດ.	Vì vậy, ngay từ buổi đầu xây dựng Đảng, Nguyễn Ái Quốc đã dạy bài học đoàn kết trong Đảng là quan trọng nhất.
ປີ 1947, ດ້ວຍບົດປະພັນປ່ຽນແປງແບບແຜນເຮັດວຽກ, ບົດປະພັນທີ່ມີຄຸນຄ່າອັນເລິກເຊິ່ງ, ຍາວນານກ່ຽວກັບການກໍ່ສ້າງພັກ, ລຸງໂຮ່ ຕຳໜິຕິຊົມກ່ຽວກັບພະຍາດໃຈແຄບ, ນັ້ນແມ່ນຄວາມຂາດຕົກບົກພ່ອງກ່ຽວກັບການພົວພັນພາຍໃນພັກ ແລະນອກພັກ.	Năm 1947, với sự thay đổi lề lối làm việc, một bài báo có giá trị và lâu dài về công tác xây dựng đảng, Bác Hồ đã nhận xét bệnh hẹp hòi, một khuyết điểm trong đối nội và đối ngoại.
ລຸງໂຮ່ ຂຽນວ່າ “ພະຍາດນີ້ອັນຕະລາຍທີ່ສຸດ, ແຕ່ຍັງມີພະນັກງານ, ສະມາຊິກພັກ ຫຼາຍຄົນຕິດພະຍາດນີ້ຢູ່.	Bác Hồ viết: “Bệnh này nguy hiểm lắm nhưng cán bộ, đảng viên vẫn mắc.
ຢູ່ພາຍໃນພັກ, ພະຍາດນີ້ໄດ້ຈະກີດຂວາງຄວາມເປັນເອກະພາບ ແລະສາມັກຄີຂອງພັກ.	Trong nội bộ đảng, căn bệnh này đã cản trở sự đoàn kết, thống nhất của đảng.
