ກປ.ອອນໄລ - ປີ 2019 ສິ້ນສຸດລົງດ້ວຍຜົນງານຕ່າງໆຂອງປະເທດ.	Miễn phí - kết thúc 2019 với công việc của đất nước.
ເມື່ອແລກປ່ຽນກັບນັກຂ່າວໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ, ທ່ານ ຫງວຽນຈີ໊ຢຸງ, ລັດຖະມົນຕີກະຊວງແຜນການ ແລະການລົງທຶນຫວຽດນາມ ຢັ້ງຢືນວ່າ: ເງື່ອນໄຂ, ທ່ວງທ່າ ແລະກໍາລັງຂອງປະເທດເຮົາເອື້ອອຳນວຍໃຫ້ມີຈິນຕະນາການຢ່າງແຮງກ້າ ແລະມີຄວາມແຂງແຮງກວ່າເພື່ອໃຫ້ປະເທດພັດທະນາຢ່າງວ່ອງໄວ ແລະຍືນຍົງ.	Khi kế hoạch quy hoạch và quy hoạch đầu tư của người Việt Nam, mặt và không chính thức.
ໃນສະພາບການສາກົນໃໝ່, ດ້ວຍການແກ່ງແຍ້ງກັນຢ່າງດຸເດືອດ, ທ່າອ່ຽງການຜັນແປຢ່າງວ່ອງໄວຂອງວິທະຍາສາດ ແລະເຕັກໂນໂລຢີຂອງການປະຕິວັດອຸດສາຫະກໍາ ຄັ້ງທີ 4, ຮຽກຮ້ອງຕ້ອງມີຈິນຕະນາການໃໝ່, ມີວິໄສທັດໃໝ່ໃນຍຸດທະສາດ, ແຜນການພັດທະນາເສດຖະກິດ-ສັງຄົມ ໄລຍະ 2021-2030.	Trong bối cảnh quốc tế mới, với sự kết án nặng nề, niềm tin thứ tư về niềm tin khoa học và công nghệ, một kế hoạch phát triển xã hội 2021-2030.
ທີ່ຕັ້ງ, ອິດທິພົນຊື່ສຽງຂອງຫວຽດນາມ ສືບຕໍ່ໄດ້ຮັບການຢັ້ງຢືນ ແລະຍົກສູງຂຶ້ນ	Danh tiếng của Việt Nam về ảnh hưởng của Việt Nam tiếp tục được xác nhận và nâng cao
ນັກຂ່າວ: ປີ 2019, ສະພາບການດ້ານເສດຖະກິດໄດ້ຮັບການຕີລາຄາວ່າມີຜົນງານຫຼາຍຢ່າງ.	Nhà báo: 2019, điều kiện kinh tế đã được giải thích cho nhiều màn trình diễn.
ສະນັ້ນ, ທ່ານລັດຖະມົນຕີມີຄວາມປະທັບໃຈຕໍ່ຜົນງານໃດແດ່?	Vì vậy, Ấn tượng của Bộ trưởng là gì?
ທ່ານລັດຖະມົນຕີ ຫງວຽນຈີ໊ຢຸງ: ປີ 2019 ໄດ້ສິ້ນສຸດລົງດ້ວຍຫຼາຍຜົນງານຂອງປະເທດ.	Bộ trưởng Nguyễn X X giây: 2019 kết thúc với nhiều quốc gia.
ແຕ່ວ່າພົ້ນເດັ່ນທີ່ສຸດຂອງພື້ນຖານເສດຖະກິດທີ່ໄດ້ຮັບການຮັບຮູ້ນັັ້ນແມ່ນການຮັກສາພື້ນຖານ, ຮັກສາຄວາມໝັ້ນຄົງດ້ານເສດຖະກິດມະຫາພາກໃນເງື່ອນໄຂຕະຫຼາດການເງິນ, ເງິນຕາສາກົນມີການເໜັງຕີງຢ່າງແຮງ;	Nhưng hầu hết các cơ sở kinh tế là chữa bệnh, an ninh kinh tế vĩ mô trong tài chính, luật sư quốc tế;
ໄດ້ສັງກັດຢູ່ກຸ່ມບັນດາປະເທດມີການເຕີບໂຕສູງຂອງພາກພື້ນ ແລະໃນໂລກ.	Các quốc gia bị cản trở trong các nhóm tăng trưởng khu vực và toàn cầu.
ຖານະບົດບາດ, ທີ່ຕັ້ງ ແລະອິດທິພົນຊື່ສຽງຂອງຫວຽດນາມ ຢູ່ເວທີສາກົນສືບຕໍ່ໄດ້ຮັບການຢັ້ງຢືນ ແລະຍົກສູງຂຶ້ນ, ນັບມື້ນັບຍາດໄດ້ການສະໜັບສະໜູນ, ຕີລາຄາສູງຈາກປະຊາຄົມສາກົນ, ປະກອບສ່ວນປະຕິບັດໜ້າທີ່ປົກປັກຮັກສາເອກະລາດ, ອະທິປະໄຕ, ຜືນແຜ່ນດິນອັນຄົບຖ້ວນໄວ້ໃຫ້ໝັ້ນຄົງເຂັ້ມແຂງ ແລະບັນດາຜົນປະໂຫຍດຂອງປະເທດຊາດ.	Vai trò, danh tiếng của Việt Nam trong quốc tế, điều tra hội chúng, lợi ích của quốc gia.
ທ່ານ ຫງວຽນຈີ໊ຢຸງ ລັດຖະມົນຕີກະຊວງແຜນການ ແລະການລົງທຶນຫວຽດນາມ.	Thủ tướng Nguyễn K. Bộ Kế hoạch và Đầu tư của Bộ trưởng Minh Minh.
ພາບ: qdnd.vn.	Ảnh: QĐND.VN.
ສິ່ງປະທັບໃຈອີກອັນໜຶ່ງຂອງພື້ນຖານເສດຖະກິດໃນປີ 2019 ແມ່ນວິວັດການສ້າງໂຄງປະກອບພື້ນຖານເສດຖະກິດຄືນໃໝ່ໃຫ້ແທດຈິງກວ່າ;	Một ấn tượng khác về cơ sở kinh tế 2019 là một cơ cấu tái kinh tế hơn nữa của nhiều hơn
ໃນສະພາບການທີ່ຫຍຸ້ງຍາກບັນດາຂະແໜງການ, ຂົງເຂດຕົ້ນຕໍແມ່ນມີການພັດທະນາຢ່າງມີສະຖຽນລະພາບ ແລະມີຄວາມຕັ້ງໜ້າ.	Trong điều kiện khó khăn, ngành, khu vực chính đang phát triển ổn định và trước tiền phát triển trước.
ພັດທະນາເສດຖະກິດໄປຄຽງຄູ່ກັບການພັດທະນາບັນດາຂົງເຂດສັງຄົມ...	Phát triển nền kinh tế đi cùng với sự phát triển của khu vực xã hội ...
ປະກອບສ່ວນຮັບປະກັນຄວາມສະຫງົບ, ຄວາມເປັນລະບຽບຮຽບຮ້ອຍທາງສັງຄົມ.	Đóng góp cho hòa bình, trật tự xã hội.
ປີ 2019, ຕາມການຕີລາຄາຂອງເວທີປາໄສເສດຖະກິດໂລກ, ຫວຽດນາມ ເປັນຄັ້ງທໍາອິດທີ່ບືນຕົວຂຶ້ນຢູ່ອັນດັບທີ 67/141 ໃນຕາຕະລາງຈັດອັນດັບພື້ນຖານເສດຖະກິດໂລກ (ເພີ່ມຂຶ້ນ 10 ຂັ້ນເມື່ອທຽບໃສ່ປີ 2018), ຖືກຈັດຢູ່ອັນດັບທີ 8 ໃນຈໍານວນບັນດາພື້ນຖານເສດຖະກິດດີທີ່ສຸດໃນໂລກເພື່ອການລົງທຶນ (ເພີ່ມຂຶ້ນ 15 ຂັ້ນເມື່ອທຽບໃສ່ປີ 2018).	Năm 2019, là lần đầu tiên giải thích diễn đàn kinh tế thế giới, cộng đồng kinh tế tốt nhất của Việt Nam (đầu tư) vào năm 2018).
ນັກຂ່າວ: ສ່ວນສິ່ງທ້າທາຍ, ຂໍ້ຈໍາກັດຕ່າງໆຂອງພື້ນຖານເສດຖະກິດຕາມການສັງເກດຂອງທ່ານລັດຖະມົນຕີແລ້ວແມ່ນຫຍັງ?	Nhà báo: Thử thách, giới hạn của hướng dẫn kinh tế của bộ trưởng là gì?
ທ່ານລັດຖະມົນຕີ ຫງວຽນຈີ໊ຢຸງ: ໄປຄຽງຄູ່ກັບບັນດາໝາກຜົນທີ່ບັນລຸໄດ້ທາງດ້ານເສດຖະກິດ-ສັງຄົມ ໃນປີ 2019 ນັ້ນພື້ນຖານເສດຖະກິດຂອງປະເທດເຮົາຍັງມີຂໍ້ຄົງຂ້າງ, ຂໍ້ຈໍາກັດຈຳນວນໜຶ່ງ;	Thủ tướng Nguyễn Trí Dũng, cùng với kết quả đạt được trong nền kinh tế - Xã hội năm 2019, nền kinh tế của nước ta vẫn còn ở trên, số một;
ບາງບັນຫາຍັງມີການໂຮມເຂົ້າກັນ, ຄົງຂ້າງມາແຕ່ດົນແລ້ວ, ເຊິ່ງບໍ່ສາມາດແກ້ໄຂແບບງ່າຍດາຍໄດ້.	Một số vấn đề cũng được bao gồm, phía sau, không thể giải quyết đơn giản.
ພົ້ນເດັ່ນແມ່ນ, ບັນຫາການປ່ຽນແປງໃໝ່ຮູບແບບການເຕີບໂຕທີ່ຕິດພັນກັບການຍົກສູງສະມັດຕະພາບ, ຄຸນນະພາບ, ປະສິດທິຜົນ ແລະກໍາລັງແກ່ງແຍ້ງຂອງພື້ນຖານເສດຖະກິດເຖິງວ່າບັນລຸໄດ້ບາງໝາກຜົນກໍ່ຕາມແຕ່ວ່າພວມຖືກຈໍາກັດຍ້ອນລະບົບພື້ນຖານໂຄງລ່າງຮັບໃຊ້ໃຫ້ແກ່ການພັດທະນາຂອງປະເທດທີ່ຍັງບໍ່ທັນດີປານໃດ...	Nổi bật, vấn đề phát triển các mẫu tăng trưởng với hậu quả, hiệu quả và bồi thường của sự phát triển của đất nước không có sẵn cho sự phát triển của đất nước.
ນັກຂ່າວ: ສະພາແຫ່ງຊາດໄດ້ຕັ້ງເປົ້າໝາຍການເຕີບໂຕໃນປີ 2020 ໃຫ້ບັນລຸໄດ້ປະມານ 6,8%.	Nhà báo: Quốc hội thiết lập tăng trưởng vào năm 2020 đạt khoảng 6,8%.
ສະນັ້ນແມ່ນຫຍັງທີ່ເປັນກໍາລັງໜູນໃຫ້ປີ 2020, ຂໍຮຽນທ່ານລັດຖະມົນຕີ?	Vậy những gì 2020, yêu cầu một bộ trưởng?
ທ່ານລັດຖະມົນຕີ ຫງວຽນຈີ໊ຢຸງ: ປີ 2020 ສືບຕໍ່ແມ່ນປີທີ່ມີຄວາມຫຍຸ້ງຍາກ, ສິ່ງທ້າທາຍຫຼາຍຢ່າງ, ການເຕີບໂຕເສດຖະກິດ ແລະການຄ້າທົ່ວໂລກຍັງຊັກຊ້າ, ຄວາມສ່ຽງເພີ່ມຂຶ້ນ, ທ່າອ່ຽງປົກປ້ອງ, ແກ່ງແຍ້ງກັນນັບມື້ນັບສັບສົນ, ຮ້ອນແຮງ.	Bộ trưởng Nguyễn X X giây: 2020 Tiếp tục là một năm khó khăn, nhiều thách thức hơn, được bảo vệ, tiềm năng, nóng hơn.
