ກປ.ອອນໄລ - ທຸກຄົນເກືອບທັງໝົດເມື່ອໃກ້ຈະລ່ວງລັບໄປ ລ້ວນແຕ່ມີຄວາມຫວັງ ຢາກໄດ້ກັບຄືນບ່ອນທີ່ເຂົາເຈົ້າ ກໍາເນີດ ແລະເຕີບໃຫຍ່.	KPR Online - Hầu hết tất cả họ khi chết đều mong được trở về nơi mình sinh ra và lớn lên.
ແຕ່ວ່າມີຊາວອາເມລິກາບາງຄົນພັດໄຝ່ຝັນວ່າ ພາຍຫຼັງທີ່ຕົນລ່ວງລັບໄປແລ້ວຈະໄດ້ປົງສົບຢູ່ດິນແດນຫວຽດນາມທີ່ຫ່າງໄກ...	Nhưng một số người Mỹ mơ ước được chôn cất ở một vùng đất xa xôi của Việt Nam sau khi họ qua đời ...
ນັ້ນແມ່ນສາດສະດາຈານ, ນັກກະວີ Bruce Weigl.	Đó là giáo sư, nhà thơ Bruce Weigl.
ໃນການມາຫວຽດນາມຄັ້ງນີ້, ທ່ານກໍ່ເລີ່ມຂຽນນະວະນິຍາຍທີ່ກ່ຽວຂ້ອງເຖິງໝູ່ບ້ານຢູ່ຫວຽດນາມ.	Trong chuyến thăm Việt Nam, ông bắt đầu viết tiểu thuyết về làng quê Việt Nam.
Bruce Weigl ແມ່ນທະຫານຜ່ານເສິກອາເມລິກາ ທີ່ເຄີຍເຂົ້າຮ່ວມສົງຄາມຢູ່ແຂວງໄຕນີງ.	Bruce Weigl là một cựu binh Mỹ tham chiến tại Tây Ninh.
ທ່ານໄດ້ເຂົ້າຮ່ວມຂະບວນການຄັດຄ້ານສົງຄາມ ແລະຮຽກຮ້ອງໃຫ້ລັດຖະບານອາເມລິກາ ຢຸດຕິສົງຄາມຮຸກຮານຢູ່ຫວຽດນາມ.	Ông tham gia phong trào phản chiến và kêu gọi chính phủ Mỹ chấm dứt chiến tranh xâm lược Việt Nam.
ທ່ານແມ່ນນັກກະວີຜູ້ໜຶ່ງທີ່ໄດ້ເຮັດທຸກສິ່ງທຸກຢ່າງເພື່ອຮຽກຮ້ອງຫັນການພົວພັນກັບຫວຽດນາມເປັນປົກກະຕິ.	Ông là nhà thơ đã làm mọi cách để bình thường hóa quan hệ với Việt Nam.
ໃນຊຸມປີ 90 ຂອງສະຕະວັດກ່ອນ, ແຕ່ລະປີ, ບັນດານັກປະພັນຫວຽດນາມ ເຄີຍໄປຮອດ Boston (ອາເມລິກາ) ເພື່ອເຂົ້າຮ່ວມກອງປະຊຸມສໍາມະນາວັນນະຄະດີໃນລະດູແລ້ງ.	Vào những năm 1990, hàng năm, các nhà văn Việt Nam sang Boston (Mỹ) dự các hội thảo văn học vào mùa khô.
ມີເທື່ອໜຶ່ງ, ຄະນະຂອງນັກປະພັນ ຫງວຽນກວາງຊ໋າງ ຖືກກຸ່ມຊາວຫວຽດນາມພັດຖິ່ນຫົວຮຸນແຮງປິດລ້ອມ ແລະກະຈະທຳຮ້າຍພາຍຫຼັງການໂອ້ລົມຂອງເຂົາເຈົ້າຢູ່ຫໍສະໝຸດນະຄອນ Boston.	Trong một lần, nhóm nhà văn Nguyễn Quang Sáng bị một nhóm người Việt lưu vong bao vây và tấn công sau buổi nói chuyện tại Thư viện Boston.
Bruce Weigl ໄດ້ໃຊ້ຄັນທຸງເປັນ “ອາວຸດ ເພື່ອປົກປ້ອງໃຫ້ບັນດານັກປະພັນຫວຽດນາມ ແລະຮ້ອງດັງວ່າ: “ກູແມ່ນທະຫານເຮືອຕີທາງບົກຂອງອາເມລິກາ.	Bruce Weigl đã dùng lá cờ làm “vũ khí bảo vệ các nhà văn Việt Nam” và hô to: “Tôi là lính thủy đánh bộ Mỹ”.
ພວກມຶງຢ່າທໍາຮ້າຍໝູ່ເພື່ອນຂອງກູ ;	Đừng làm tổn thương bạn bè của tôi;
ນັກກະວີ Bruce Weigl ອ່ານກະວີຢູ່ມະຫາວິທະຍາໄລວັດທະນະທໍາຮ່າໂນ້ຍ ໃນເດືອນທັນວາ 2012.	Nhà thơ Bruce Weigl đọc thơ tại Đại học Văn hóa Hà Nội tháng 12/2012.
ພາບ: ຟານເກວ້	Ảnh: Phan Quốc
Bruce Weigl ແມ່ນນັກກະວີອາເມລິກາຜູ້ທຳອິດ ທີ່ໄດ້ແປບັນດາບົດກະວີຫວຽດນາມເປັນພາສາອັງກິດ ແລະແນະນໍາເຖິງເພື່ອນຜູ້້ອ່ານອາເມລິກາ ນັບແຕ່ປີ 1987.	Bruce Weigl là nhà thơ Mỹ đầu tiên dịch thơ Việt Nam sang tiếng Anh và giới thiệu với độc giả Mỹ từ năm 1987.
ນັ້ນແມ່ນບັນດາບົດກະວີຂອງນັກຮົບປົດປ່ອຍຫວຽດນາມທີ່ຖືກກັກຂັງ, ຖືກເສຍຫາຍໃນສົງຄາມ.	Đây là những bài thơ của những người giải phóng Việt Nam bị bắt và mất tích trong chiến tranh.
ໃນຊຸມປີມໍ່ໆມານີ້, ປີໃດ Bruce Weigl ກໍ່ມາຫວຽດນາມປະມານ 3 ເດືອນ.	Những năm gần đây, mỗi năm Bruce Weigl đến Việt Nam khoảng ba tháng.
ທ່ານເວົ້າວ່າ, ທ່ານຢາກໄດ້ດໍາລົງຊີວິດຢູ່ຫວຽດນາມຫຼາຍກວ່າ.	Anh ấy nói rằng anh ấy muốn sống ở Việt Nam nhiều hơn.
